tag,lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
th2,1330.0,0.49163133388901603,0.05564829208861225,0.4522814810045366,0.00043889301783510393,1.5244317023518186e-12,0.9912872555191591,0.00034151448907258024,0.008371229991768335,0.0005227398659131534,0.7652158365013704,0.23426142363271654,0.00020266605303305744,0.00011968827258859634,1.2723642921735595e-05,0.15694853122765462,0.8426864974620412,2.989334176090944e-05,0.4873478756980661,0.04258295438046002,0.3811314970946576,0.9199606490229068,0.0008923842965922796,clean_balanced_ED_EQ,-5.526212630667408e-31,1.3779393994925502e-30,2.0864027143445402e-32,-1.8001193294737577e-32,1.19646251376427e-31,-6.555940687408012e-32,-3.220975479628425e-24,1.203967309498059e-24,1.1122697866748411e-22,-7.026744545082475e-23,6.715271314349742e-23,2.809691903077506e-23,-4.6846805005010837e-38,-5.862383298610096e-39,3.52942690750626e-38,8.407567611483396e-39,1.1552533650886421e-38,-2.5451816724364174e-39,2.9839066527132083e-37,-8.798010380009333e-37,-1.2053073391152133e-36,-1.783623167701318e-36,-7.223246544048436e-39,-1.0593078678138727e-38,1.1013160786107975e-29,-9.051257213733607e-30,-1.1657992354084933e-30,2.969332289168701e-30,-9.847363508552079e-30,6.0819267044309046e-30,3.441680603049901e-30,-7.109998663038643e-31,1.0760388488806725e-29,7.654142143611573e-30,1.0401358903394945e-29,3.3202136480434514e-30,9.243846956689098e-39,-1.859247378158937e-39,-6.607466010679232e-39,-4.207694948579385e-39,-3.548797421890135e-39,1.1827900283281462e-38,-0.29193904995918274,-0.8681361079216003,-0.3709925711154938,0.15363796055316925,0.005737064406275749,-0.011723003350198269,0.008847884833812714,-0.01070448849350214,0.37325212359428406,0.9086896181106567,0.1869918406009674,0.0,-1.8740749139371893,-1.5031961063326613,-0.47268452215348766,0.5208890626819164,1.91691438086683e-15,8.018779743075495e-16,-3.5579986641038454e-22,2.46357061022863e-22,2.9112570575063934e-30,1.1722817608766188e-30,0.8390590534838852,0.16143298188576183,0.000492035369647148,21.207773208618164,-1.2152181321660163,-0.48736205623157386,-0.8369488189455266,-1.2385233667848783,0.2067081428514785,0.32720019986249266
th2,1375.0,0.5073751412367246,0.01126834790469107,0.4811261342198241,0.00023037663876047173,1.051501575173328e-12,0.9907799757677827,0.00038699456924086786,0.008833029662976569,0.00258546871651578,0.9894337443032084,0.00798078698027584,0.00013721688411008918,3.5253268012271735e-05,3.33684200348678e-05,0.15355402270824337,0.8462143895553463,2.57491642530856e-05,0.5026971301396972,0.011149283659449697,0.40713585796795204,0.9482650904951342,0.0015456619326282082,clean_balanced_ED_EQ,-2.736607021030146e-31,1.3101779236589087e-30,2.5637110994088175e-32,-6.517208346188502e-33,9.017635503375545e-32,-8.854076747670085e-32,-2.1375349791039266e-24,2.1822498767165697e-24,3.567852861127056e-23,-4.7937762092113063e-23,3.387062877593065e-24,4.163103847014698e-24,-3.655551456299739e-38,-3.9681057411006485e-39,1.8524702006637586e-38,2.0492981498293222e-39,1.8030814171063453e-38,1.9188030084838145e-39,1.2334696897152659e-37,-8.609874449777042e-37,-1.63404127561983e-36,-1.2243158978157091e-36,-1.1151841873521402e-38,-1.579463464919649e-39,4.504229135686351e-30,-7.770799767633483e-30,2.3118354938853966e-30,-1.0207335310560222e-30,-6.816064426246394e-30,8.791533705340212e-30,1.7476855126021746e-30,-1.7502350092048807e-30,8.404061459717885e-30,2.93203454865894e-30,4.552194806438242e-30,7.41454569007769e-31,-1.039310197314632e-38,-5.081774830229389e-39,-5.415016801560437e-39,-1.007961932846142e-39,1.3499942189777996e-39,9.973058211353734e-39,-0.6738178730010986,-0.6677126884460449,-0.11846041679382324,0.29402610659599304,-9.778836101759225e-05,-0.005632239393889904,0.006016902159899473,-0.009419494308531284,0.40808773040771484,0.8935874104499817,0.1869918406009674,0.0,-2.1496427172117047,-1.0057843503432193,-0.1269369247654405,0.5094535806411133,1.8662384727377524e-15,4.0624385537012473e-16,-2.748831478503935e-22,3.669534390054601e-22,3.6769034187984006e-30,7.401251343308106e-31,0.8999024919707233,0.10060915169159483,0.0005116436623180398,15.657883644104004,-1.1176436191910923,-0.23344549774936893,-1.0616026843494137,-0.7954126147271271,0.13640494614982107,0.10152179746258759
th4,1300.0,0.43431040168102525,0.180732135351059,0.3841117300786253,0.0008457328892903734,2.2843433728874282e-12,0.969880325629386,0.0009188550926778961,0.029200819277936156,0.000486366499738575,0.39582953864904985,0.6036840948512116,0.0012278676242423801,0.0015393857983315715,4.101301772856794e-05,0.26520172126106484,0.7318758168697777,0.00011419542885507534,0.4212291138066222,0.07153911775506733,0.28112208622055745,0.8844175239457704,0.01607128532357382,mixed_higher_order,-1.1439699905276663e-30,1.1388941538285579e-30,4.6392631700637707e-32,-1.7787159812281152e-32,2.728613852015742e-31,-6.3242353089174e-32,-4.597909898432191e-24,-5.265982861318714e-24,1.96844779741377e-22,-3.20327645551962e-23,1.758367667202119e-22,1.7245623988174623e-22,-1.053066815767628e-37,-6.243455170807894e-38,1.0780121046460965e-37,8.466944932130241e-38,-2.494553856531984e-39,-2.223486865421574e-38,8.447821109896593e-37,-9.512585636606952e-37,-4.755900645752289e-37,-2.0592516197395402e-36,1.281041465131175e-38,-2.3083286721574234e-38,1.8096961319969475e-29,-6.531280774000698e-30,-6.706526235018723e-30,5.4464719243115016e-30,-1.1390435084950751e-29,1.0848120989468268e-30,5.6750675962085094e-30,3.8746581674439504e-30,2.0286483321737904e-30,2.18880833482257e-29,1.47285248191794e-29,1.31343038567694e-29,3.5633000837722815e-38,2.4055585316391585e-38,-9.004837483430423e-40,-1.2207893199844171e-38,-9.521806409434948e-39,1.8635834412800705e-38,0.20053812861442566,-0.9131425619125366,-0.30206891894340515,-0.19296663999557495,0.012623048387467861,-0.015221133828163147,0.01285188365727663,-0.003338995622470975,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-1.1772417406961286,-1.9689278045759424,-0.6124983245112938,0.08255638392944656,1.4549457082364838e-15,1.5336159645541019e-15,-3.5288804311860586e-22,9.717857696923446e-23,1.5039781981296164e-30,1.5957078486578882e-30,0.8744359036699738,0.12865807574812635,0.00309397941810019,40.590641021728516,-1.0275803128842662,-1.0321600447635506,-0.3456610544917717,-1.4966735837486473,0.09640645870087669,0.5924280464747416
th4,1345.0,0.5095746457238477,0.032860976427199165,0.4572137044892869,0.0003506733596662316,1.3281483871061403e-12,0.9661744693907347,0.0010766787092460243,0.03274885190001939,0.0008369530290141315,0.8543906999526807,0.1447723470183051,0.000674451356358399,0.00032950636948005845,6.112342027403431e-05,0.13943297152159573,0.8594578663006355,4.408103165631687e-05,0.49233801294721014,0.028076112650763235,0.3929559149037718,0.8972457878861253,0.00018878989124621227,clean_balanced_ED_EQ,-5.111580490522827e-31,1.3295486247314846e-30,4.729215312593775e-32,-4.9492474124173825e-33,2.1791146652588106e-31,-1.4590309891862818e-31,-2.0325798603531083e-24,2.4607762242506163e-24,8.216844896260586e-23,-6.039358832906075e-23,3.7922278673734133e-23,1.79990952290457e-23,-7.975511165818839e-38,-2.5041732628478333e-38,5.579658315882039e-38,1.734199909904741e-38,2.3958538521568996e-38,7.699739451927313e-39,2.5693667431750804e-37,-8.101318059939997e-37,-1.2786130209121557e-36,-1.6785573388328518e-36,-1.4799296178522408e-38,-3.0564396262514826e-39,8.915166204090519e-30,-8.343639473658518e-30,4.308006987713008e-31,1.758787789479504e-30,-9.345966530555957e-30,6.584851684179016e-30,3.0189381457913654e-30,-7.236408072947143e-31,9.061109357810721e-30,7.440333117944116e-30,7.899963321223919e-30,2.460407123816443e-30,1.1303064481186699e-39,-4.1096877291267413e-39,-6.002530208370629e-39,-3.0977005936935566e-39,2.7196009252620555e-39,1.7753457869984138e-38,-0.4459790587425232,-0.8112651705741882,-0.2951296865940094,0.24050980806350708,0.003131863893941045,-0.009763532318174839,0.007383020129054785,-0.01028182078152895,0.3851882219314575,0.9036946296691895,0.1869918406009674,0.0,-1.9091447236596208,-1.4497748036776863,-0.3797071324585014,0.5367185643975979,1.8724060602454855e-15,7.464167513085726e-16,-3.529234190092693e-22,2.7173373628214394e-22,3.16836366666703e-30,1.2156954486328101e-30,0.8571536329584117,0.14510672450863274,0.0022603574670445603,18.329071044921875,-1.1594651633964699,-0.4457677890385703,-0.8681583285251334,-1.1397142917996625,0.17568052105373816,0.23902199434276586
th4,1405.0,0.3368064164275836,0.0333272231061174,0.6297277660330597,0.00013859443323925577,1.2591296329998847e-12,0.940106709353908,0.02432428846811871,0.03556900217797325,0.0005684171006015433,0.054950159410196944,0.9444814234892015,0.0001426537978521977,1.2741029650961957e-08,0.00014494863659271942,0.5706264786045664,0.42906293910899057,2.296711096851428e-05,0.31663397183701764,0.0018313362223803503,0.27019284613268335,0.5348444750170056,0.010920595450501652,EQ_dominated_with_ED,-2.4387066403812634e-31,1.188932170573705e-30,1.9144175302083944e-31,3.8252449644897497e-32,1.3401098311375952e-31,-1.943536638988086e-31,-1.6802757519670056e-24,2.2577321308286954e-24,1.1093387640295529e-23,-2.535047915319689e-23,-1.1443102963343928e-22,-8.157019355715478e-24,-4.949533809649175e-38,-7.606018479497913e-39,-3.5760442143733303e-40,-3.099794954031314e-40,4.985295045564413e-38,7.916007054126423e-39,2.535475722694289e-37,-2.2251051335574295e-36,-1.690392962294947e-36,-9.558835748839867e-37,-1.335650027514425e-38,4.8443367534187393e-39,1.131693296400993e-30,-6.352740779632667e-30,3.860625685189758e-30,-2.8712503208766828e-30,-4.9923198682281186e-30,9.223991765487374e-30,9.912867328183547e-31,-2.0113129292712325e-30,8.324638244725681e-30,8.81447435803619e-31,-3.368306322271845e-30,-9.285553657834381e-32,-2.853683695677259e-38,-6.423095326059547e-39,-6.629639197202119e-39,5.607238769808782e-39,8.645366605522037e-39,1.1925351066833113e-38,-0.8346928954124451,-0.48258087038993835,0.03106558322906494,0.26834923028945923,-0.0016847191145643592,-0.0008920786785893142,0.004788540303707123,-0.008148487657308578,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-2.133642347160814,-0.8329238865058685,-0.00439592079470061,0.3894022519109359,1.7550910984325496e-15,3.6345961035566057e-16,-2.263276335522383e-22,3.9425981549787055e-22,3.855917177177181e-30,7.360716106137539e-31,0.9296001602011853,0.07306570782764871,0.002665868028834062,19.78287124633789,-0.9925594260692636,-0.20359119916488727,-1.0518151191988117,-0.5947805147578212,0.07059353161104713,0.030891779454197982
th6,1330.0,0.5121360827748274,0.05219821930222101,0.4351956710033885,0.0004700269195630684,1.5452541503901765e-12,0.9294628182980255,0.0021742712427592985,0.06836291045921516,0.0006027933277820379,0.7594795468304885,0.23991765984172944,0.0017264534658861382,0.0011464981577053847,5.932727885189107e-05,0.15835126244548314,0.8386456506589165,7.080799315695945e-05,0.4760114468480019,0.039643479941009266,0.3649749566725805,0.8497656885362098,0.00081485432407473,clean_balanced_ED_EQ,-7.268643830810256e-31,1.2860445423646705e-30,7.115188595518862e-32,6.502242469083701e-33,3.6432142445765477e-31,-1.6666129833881023e-31,-2.1811476800783807e-24,2.864778525525174e-24,1.1578418932099551e-22,-5.411335639050793e-23,6.052178013440998e-23,3.8691822275703145e-23,-1.2145895075140686e-37,-6.138485541801432e-38,9.953970560424952e-38,4.889585682089078e-38,2.1919240868807953e-38,1.248899627143267e-38,4.035519719321746e-37,-8.285501810293987e-37,-9.471125540691064e-37,-1.8976897566695936e-36,-1.888300319248444e-38,-4.819277876899887e-39,1.1925485211105963e-29,-7.664777198920453e-30,-1.4208915880376206e-30,3.1273612514979207e-30,-1.0504593979041543e-29,4.537413811583336e-30,3.94834864907009e-30,8.956851697327922e-31,7.362868496996562e-30,1.2890386165726758e-29,9.516432311671266e-30,4.6336088052630125e-30,9.236712684838456e-39,-6.3684496652374306e-40,-5.404171410229864e-39,-5.7180808915285544e-39,2.455589317297133e-39,2.6626885861246957e-38,-0.2927575409412384,-0.8705700635910034,-0.3709925711154938,0.15363796055316925,0.005693153012543917,-0.011633276008069515,0.00880477949976921,-0.010652338154613972,0.37325212359428406,0.9086896181106567,0.1869918406009674,0.0,-1.647079007957728,-1.7237866470713807,-0.5383514191093514,0.4454890010457766,1.7853418024185367e-15,1.043901277807919e-15,-3.8132268523403284e-22,1.9490925971982216e-22,2.7300967614507617e-30,1.5623028400014283e-30,0.8437669585007089,0.1614311071960217,0.005198065696730536,21.236404418945312,-1.1341751656351728,-0.6410287551622499,-0.6576619156061144,-1.317729635443479,0.15918710764531985,0.3406063020016342
th6,1375.0,0.5289362148114986,0.009992639780194214,0.46084444239251054,0.00022670301579677012,1.0708316701508626e-12,0.9240264547945315,0.004178578568928998,0.07179496663653955,0.003239163943843802,0.9834149524405711,0.01334588361558515,0.0012176374001172064,0.000345930091863815,0.0002662396296908713,0.155072165798898,0.8430109294693134,8.709761011685703e-05,0.4887510553847078,0.009826911374195451,0.38849690172207774,0.8712665714461347,0.0014315053804760357,clean_balanced_ED_EQ,-4.365548912524251e-31,1.2582511689265756e-30,8.866946597998542e-32,1.260924388122012e-32,2.7194720820725773e-31,-2.5271228492156603e-31,-1.0703608505300596e-24,3.0678883870215033e-24,3.878934464386988e-23,-4.123946134442299e-23,1.937203994767661e-24,6.304468381511225e-24,-1.019343226985499e-37,-3.623186509858305e-38,5.493578273067198e-38,1.7520731610937693e-38,4.6998540553818256e-38,1.8711131813015985e-38,2.2694244616007275e-37,-8.329089056183715e-37,-1.4452336341150083e-36,-1.4009320846060857e-36,-1.9591971735988495e-38,5.892804025840977e-39,5.326176348810545e-30,-7.148050809606528e-30,2.630294844828158e-30,-5.359307605124536e-31,-7.956472413590822e-30,7.683981468456304e-30,1.949457663344493e-30,-1.4950053699230415e-30,7.37158751612231e-30,5.286147279892136e-30,4.2466020871659355e-30,1.2700403028016284e-30,-9.577303347842873e-39,-6.314618144915588e-39,-5.4701113011989044e-39,-3.2586575505405356e-40,1.0547554781000814e-38,2.0231679971949181e-38,-0.6757070422172546,-0.6695847511291504,-0.11846041679382324,0.29402610659599304,-9.703989780973643e-05,-0.005589130334556103,0.005987588781863451,-0.009373603388667107,0.40808773040771484,0.8935874104499817,0.1869918406009674,0.0,-1.9895992858381186,-1.2623253058865542,-0.19366510571346401,0.48350004216281295,1.789943355001053e-15,6.379231528529143e-16,-3.1671538204610993e-22,3.258129633357134e-22,3.545881015555861e-30,1.2064969445040171e-30,0.9049549936413153,0.1006079373668733,0.00556293100818861,15.680082321166992,-1.0733476460687412,-0.372401930931907,-0.9389382804339316,-0.9101564836817834,0.11734520466609642,0.11037349756058869
th8,1300.0,0.45988812541629537,0.17079120789524838,0.3681101744777421,0.0012104922107142053,2.305814614694245e-12,0.8943678216785494,0.0020195254273215266,0.10361265289412902,0.00020849299513627732,0.3895083363702161,0.6102831706346478,0.00476015386275006,0.006361649202811216,0.00011939119458059728,0.2663582361161259,0.722338710218479,6.1859405253313e-05,0.41130914094440363,0.06652459925393792,0.26590022865055146,0.8004341798225928,0.01434671884059614,mixed_higher_order,-1.2795733862618397e-30,9.648777580302782e-31,7.49540355656909e-32,1.346219315640356e-32,5.433232747433077e-31,-4.834714923351793e-32,-3.3868245995927804e-24,-2.9177201776240225e-24,1.9312944299817496e-22,-5.888907339447395e-24,1.4536321712537712e-22,1.932978525210252e-22,-1.613664879174168e-37,-1.736865533314068e-37,1.8143679565461783e-37,2.0541841400099596e-37,-2.007032285250742e-38,-3.1731843005813787e-38,9.454702601618882e-37,-8.237818177517954e-37,-1.911854763519241e-37,-2.0562111394846302e-36,-4.843114266019929e-41,-1.9110319525954786e-38,1.900874200204738e-29,-4.356113342590214e-30,-7.842083939928302e-30,4.994215877931737e-30,-1.1166658711970604e-29,-6.381009107127083e-31,4.979910371364005e-30,7.1259488579728e-30,-1.1244659090934046e-29,2.9829255998987863e-29,1.1932659500922647e-29,1.4653767199330727e-29,3.128591592295085e-38,2.801475070061572e-38,6.277580428751663e-39,-1.6235009936687052e-38,-1.0589888727096828e-38,3.55873343028056e-38,0.20139503479003906,-0.917044460773468,-0.30206891894340515,-0.19296663999557495,0.012477407231926918,-0.01504551712423563,0.01275788713246584,-0.003314574947580695,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-0.8913880052098853,-2.085521849266148,-0.6162639856574876,-0.014959797271071001,1.2256671785849494e-15,1.7083110956024917e-15,-3.5616886194017747e-22,4.735523041234537e-23,1.2704612145751414e-30,1.831712734026143e-30,0.8819125563501486,0.12865550603398718,0.010568062384135768,40.650390625,-0.8705720238871956,-1.1545097638733273,-0.13895448681910888,-1.4944637486630208,0.01772337511598357,0.5812462935643373
th8,1345.0,0.5400397841100535,0.02924126791866949,0.43035840921283686,0.0003605387584401532,1.3585157526924876e-12,0.878198991262134,0.004357344380234244,0.11744366435763189,0.0015581082008883798,0.8445104379946202,0.15393145380449152,0.0027362606345332687,0.0013797105228710992,0.00023254259584782084,0.14130747961575482,0.8542056655285233,0.0001383411024697368,0.47426239364686956,0.024694555977513608,0.3676145913574479,0.7969013059325553,0.00016851076011058924,clean_balanced_ED_EQ,-6.750066870364918e-31,1.2423947305826597e-30,9.70991050842748e-32,2.2159722671947447e-32,4.564123635881762e-31,-2.4298710224456014e-31,-1.1860297369874361e-24,3.9817609929150205e-24,8.436728240749317e-23,-4.730587542565035e-23,3.325179401953712e-23,2.4486870957945704e-23,-1.452156949094288e-37,-7.878852743158236e-38,1.0508310586466016e-37,5.216006925247456e-38,4.0132594689859157e-38,2.662845837418165e-38,3.5150370636615477e-37,-7.623928134286696e-37,-1.0284397680189078e-36,-1.7896433208104247e-36,-2.6194252165718784e-38,1.9655652013275967e-39,9.655410782499765e-30,-7.145553249335763e-30,4.008689827551157e-31,2.0479056305219597e-30,-1.0056279206796086e-29,5.0976476188138024e-30,3.336984524701906e-30,2.743095614909169e-31,6.443459597329245e-30,1.1083813604460007e-29,7.131231387394353e-30,3.351631781967658e-30,1.562912072622701e-39,-3.8904208339494945e-39,-5.37612739516951e-39,-3.649798659162741e-39,8.29769899163905e-39,3.1795354049340806e-38,-0.447884738445282,-0.8147317171096802,-0.2951296865940094,0.24050980806350708,0.003095729276537895,-0.00965088326483965,0.007329022046178579,-0.010206621140241623,0.3851882219314575,0.9036946296691895,0.1869918406009674,0.0,-1.686504303473648,-1.6658120441465216,-0.44818648175801723,0.4716082960579806,1.7465826879810231e-15,9.766393688090967e-16,-3.7973717944479326e-22,2.2001054336090917e-22,2.9821059894393445e-30,1.6263866613997378e-30,0.8644912328842318,0.145104389363077,0.00959562224730881,18.367305755615234,-1.0834604936610441,-0.588655972500847,-0.6982945859217964,-1.2151399435480101,0.1376093236652814,0.24541823963959167
th8,1405.0,0.3785550114567863,0.0313938605972175,0.5899199209172942,0.0001312070287020216,1.3037260121172624e-12,0.7965356453177637,0.08404653627536926,0.11941781840686695,0.0005968719347464589,0.040705888836141284,0.9586972392291122,0.0005768230407330229,5.419269985575963e-07,0.0005722932176901622,0.5747077991431218,0.4240738855424881,6.865712896836839e-05,0.30153256033900466,0.0012779149996076514,0.2501696330223142,0.6417057604499155,0.009095438440731563,mixed_higher_order,-3.874112764458401e-31,1.1412164932113435e-30,3.767356799354472e-31,1.064281840512836e-31,2.946745075994995e-31,-3.6183187098125863e-31,-7.008401407772995e-25,2.7606179527677662e-24,1.1106251139300422e-23,-2.0733833980744312e-23,-1.1231282936056652e-22,-2.0387403999380536e-23,-9.314527315950282e-38,-3.40455331678652e-38,-6.232628291093108e-40,2.9751785779796553e-39,9.376852417093895e-38,3.1070375256295997e-38,5.18105821785526e-37,-2.151999879084596e-36,-1.52713389274739e-36,-1.1327863633473016e-36,-2.1085848335124882e-38,1.1862011573116759e-38,1.8156826005641275e-30,-6.13469670159043e-30,4.3766694691315086e-30,-2.2328800608937662e-30,-6.192351183058269e-30,8.367574545890777e-30,8.692773404657892e-31,-2.1763808679159566e-30,8.106031595273681e-30,9.935270437870265e-31,-3.347536620275651e-30,-5.542684941352339e-31,-2.7083911659489905e-38,-9.786243220069904e-39,-8.733780672368375e-39,1.1509967986044365e-38,1.761024836872437e-38,2.0633406029430754e-38,-0.8382595777511597,-0.48464295268058777,0.03106558322906494,0.26834923028945923,-0.0016652813646942377,-0.0008817861671559513,0.004753517918288708,-0.00808889139443636,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-1.9928872901055343,-1.0805406859876219,-0.056976590591249036,0.37954418182966254,1.6829343094453033e-15,5.748974576399974e-16,-2.7035163150253013e-22,3.5846059268286178e-22,3.719899799978777e-30,1.2085903670626084e-30,0.9375614619833791,0.07306440595489765,0.01062586793827669,19.81691551208496,-0.9527248194285514,-0.32342359279949007,-0.9502302442456418,-0.704854936318077,0.057737550272429314,0.03092760046642197
