tag,h_nm,order,lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
h225_lamRmin,225.0,9,1286.0,0.4825422065079981,0.09809057379647651,0.41876682205123866,0.0006003976442868001,1.7263296005387841e-12,0.999339773441872,0.0005708186327474608,8.940792538063678e-05,0.0005946190438652666,0.3484089352001467,0.6509964457559879,7.48982977724967e-05,7.903082154054828e-06,3.5652768775561796e-05,0.23159553046075343,0.7682269308894385,5.9084501105893534e-05,0.48222361932784386,0.03417563236960179,0.32170795046274675,0.8678345985146434,0.0073325437161827324,mixed_higher_order,-6.696268446701525e-31,1.307827840285194e-30,7.771269591891936e-34,-3.510699827106242e-32,1.2320620850777876e-32,6.429998464460143e-33,-4.842285455545746e-24,-1.4202047302717761e-25,8.322872541972327e-23,-8.260553743000779e-23,1.4498708196949402e-22,6.834981872288895e-23,-1.166715219236509e-38,2.3869032594331433e-38,1.755352121553099e-39,-8.449769763328148e-39,9.911805664347871e-39,-1.5419251692243352e-38,4.177766962584889e-37,-9.574751717494526e-37,-1.461253465841888e-36,-1.2184757249615581e-36,-3.8842714402709225e-41,-1.6685599644303005e-38,6.1468188648825445e-30,-1.052209679693685e-29,1.1381902753049194e-30,3.2346643937262305e-30,-7.285011318261574e-30,7.287432714364063e-30,2.8561888569216143e-30,-1.6360491655666818e-30,1.2223659320172428e-29,7.23234610860913e-30,1.5128210756920577e-29,5.704835354356674e-30,2.5374993956807415e-38,4.4348223962257004e-39,-6.780151557332196e-39,-4.793151759191166e-39,-6.110638005641572e-39,5.2897680830540986e-39,-0.4035046100616455,-0.9142959713935852,0.004321202635765076,0.003972713369876146,0.007596538867801428,-0.011798768304288387,0.012478619813919067,-0.011146286502480507,0.4461965560913086,0.8751814961433411,0.1869918406009674,0.0,-2.0247193928105913,-1.322139121890218,-0.1516987611488656,0.14161153288516992,1.782053647893604e-15,9.661801218674371e-16,-2.4777551122029403e-22,3.1708510827042024e-22,2.8999501436103682e-30,1.5355734864373378e-30,0.9989500119838085,0.00031441089899424845,0.0007355771171972947,33.424781799316406,-1.192848732352993,-0.6107558718433016,-1.0852954914521422,-0.9049807180322182,0.2513178023458889,0.2532137797936036
h225_lam0,225.0,9,1332.5,0.5418979802811568,0.012703875623075782,0.4451191422009607,0.0002790018948066939,1.0134372507098282e-12,0.9996325922990018,0.00016881227926055127,0.00019859542173756211,0.002643796421386975,0.8081488469423173,0.1892073566362958,8.416425990168584e-06,8.594353530173821e-07,4.867226650168627e-06,0.15042913325977172,0.8495456444340104,1.1079218224514143e-05,0.5416988827900461,0.010266622436487304,0.37814902851102905,0.8214076420251952,0.000752333282100751,clean_balanced_ED_EQ,-2.43226186590562e-31,1.2577039071395878e-30,-7.503058299537487e-33,-1.4860120605676343e-32,1.755614677836048e-32,4.218083223891808e-33,-2.099019930269408e-24,2.176790279194918e-24,1.6639523962200813e-23,-5.018298891965989e-23,2.4889714027980354e-23,5.90999742957235e-24,-1.864437448080808e-39,7.600900359642603e-39,-9.032770121531669e-40,-2.3320714391758284e-39,2.7677183971739458e-39,-5.268828757122957e-39,9.233266190115794e-38,-7.340587118439277e-37,-1.6855783616855998e-36,-5.00073110269243e-37,-5.501038851162316e-39,-3.170583298822989e-39,1.0446401574267793e-30,-7.362232600481817e-30,1.8452395238199383e-30,-1.743234354556598e-30,-2.8898798605753407e-30,9.105466058395301e-30,1.0319161639854329e-30,-2.1261117240574875e-30,8.898338629746251e-30,2.315864181767279e-30,6.1729725165008745e-30,5.000449531547714e-31,-5.659322074528857e-39,-4.84947192032142e-39,-5.472261911351003e-39,-1.8321298930535515e-39,-2.1605911819236043e-39,5.780121065204268e-39,-0.8696127533912659,-0.4710627496242523,0.13621923327445984,0.05568763241171837,0.0020463133696466684,-0.005493116099387407,0.005215232260525227,-0.01264997385442257,0.47943422198295593,0.8574246168136597,0.1869918406009674,0.0,-2.236483333403155,-0.5562462297076018,0.011754100710780263,0.09811036144383595,1.826932310172252e-15,3.756611142019648e-16,-1.1457556289054176e-22,3.9367880014412803e-22,3.674648381735486e-30,7.05501113419748e-31,0.9781608166671879,0.021844012403553173,4.829070741063646e-06,17.612903594970703,-1.1071002687828315,-0.2141010893111175,-1.1660546196167367,-0.3459421250474766,0.14734804149101513,0.04885721874992939
h227.2_lamRmin,227.2,9,1285.0,0.4698644066872963,0.11898653369971486,0.410515358556065,0.0006337010569239241,1.8510054922811347e-12,0.9992972081054645,0.0006281008261146613,7.469106842077747e-05,0.000588207057967781,0.31911579708129245,0.6802959958607397,9.05876979272045e-05,9.631573362891616e-06,4.262833613255178e-05,0.2464732206192812,0.7533043971176738,7.953465562237773e-05,0.46953418979074574,0.03797048254352457,0.3092430246846222,0.8736889892348684,0.010002162180781636,mixed_higher_order,-7.444511389410894e-31,1.3010009772925023e-30,3.5679844816291674e-33,-3.740970264579298e-32,1.1371606880034245e-32,6.214603555026206e-33,-5.39950044760194e-24,-9.723955496336136e-25,9.770370828451948e-23,-8.23651042971418e-23,1.6491012135352635e-22,8.727686969885464e-23,-1.4110021507852475e-38,2.6345018774648413e-38,2.570990764447836e-39,-9.399620011459883e-39,1.1539022575618572e-38,-1.694540047735764e-38,4.873433405260268e-37,-9.887124635024968e-37,-1.3797517345211712e-36,-1.3453257151294046e-36,2.198718001957279e-39,-1.9678746461434116e-38,7.402356267223522e-30,-1.0653829366282031e-29,6.349373976670036e-31,3.9639407454732474e-30,-8.037294905637545e-30,6.689889551369047e-30,3.201583281824902e-30,-1.3972824538451658e-30,1.235556105031059e-29,8.006168285188658e-30,1.6105536523406317e-29,6.979575442968067e-30,2.969568311407943e-38,7.666957697436922e-39,-6.734360414237341e-39,-5.16624717067086e-39,-6.903195870190682e-39,4.938339082537382e-39,-0.2949322760105133,-0.9547449946403503,-0.026209920644760132,-0.015737460926175117,0.00812316033989191,-0.012272508814930916,0.01319014560431242,-0.009685303084552288,0.43600353598594666,0.8803038597106934,0.1869918406009674,0.0,-1.9399431674397476,-1.4381482089959567,-0.19534181586049776,0.14421325773540242,1.747130796046302e-15,1.0583182881706713e-15,-2.6779085506297884e-22,2.952799266780532e-22,2.7333567098309127e-30,1.6218582644743097e-30,0.9987396524300644,0.0012024126535101123,5.7934916425583793e-05,36.497928619384766,-1.18754550174239,-0.6795303130027746,-1.0263584806116344,-1.0007499337459895,0.25078132112518187,0.2974835672401551
h227.2_lam0,227.2,9,1332.5,0.5335226062609371,0.014862883771110575,0.451325549236048,0.00028896073190422586,1.0517299521183419e-12,0.9996271363696261,0.00017893777168325047,0.00019392585869062296,0.0023071656725043043,0.8065341762183863,0.19115865810910931,8.81931890335356e-06,9.245479401890975e-07,4.985694145827868e-06,0.14655433427171774,0.8534179629484258,1.297321886716348e-05,0.53332367508508,0.011987423718562292,0.3851693308556075,0.8459351936350982,0.0006090317210491516,clean_balanced_ED_EQ,-2.491202269666171e-31,1.270665853003653e-30,-7.589315091411452e-33,-1.5573396645623554e-32,1.729248909434404e-32,5.122245216874589e-33,-2.2816487919338127e-24,2.1173099694136694e-24,2.1390555210628922e-23,-5.41246486840499e-23,2.7602036825582383e-23,6.3950551246249975e-24,-1.961590040918273e-39,7.980465039306263e-39,-8.998246460847135e-40,-2.504041155439927e-39,2.8614251037772015e-39,-5.4764197670531845e-39,9.56928447254024e-38,-7.429516166134632e-37,-1.70162849060321e-36,-6.0997367270257314e-37,-5.832416360800787e-39,-3.956690355271669e-39,1.609627178060241e-30,-7.771746726306268e-30,1.8868469922362157e-30,-1.4031413872237467e-30,-3.4964752462681935e-30,9.17488847218726e-30,1.1917770508669454e-30,-2.129861126904023e-30,9.125159927756625e-30,2.3869521998082646e-30,6.529137094342113e-30,5.549657785313901e-31,-4.7185125531088805e-39,-4.866073582541643e-39,-5.594918405679697e-39,-1.8809572529288556e-39,-2.5879816401860175e-39,5.877759195543298e-39,-0.8376668691635132,-0.5273428559303284,0.10418079048395157,0.09562848508358002,0.0019243909046053886,-0.006000214256346226,0.005704158917069435,-0.012527545914053917,0.47051388025283813,0.8623517751693726,0.1869918406009674,0.0,-2.244514677639953,-0.6300992185587072,0.0033272416766983322,0.16144783901939858,1.840042757430313e-15,3.8419832960941634e-16,-1.386659469548597e-22,3.938033127092302e-22,3.664080444522539e-30,7.13729048474373e-31,0.9798159772464331,0.020187921100821415,3.898347254560619e-06,17.971426010131836,-1.1185100876349428,-0.21928934836597566,-1.1771578275097878,-0.42196947651140415,0.15892160175536338,0.06280726765274072
h235_lamRmin,235.0,9,1284.0,0.42063813883844015,0.20425933225845966,0.3743886835543486,0.0007138453487514373,2.2748314483071498e-12,0.9991257471800833,0.0008353173364031052,3.8935483513534135e-05,0.0006853103000311147,0.24312527397417752,0.7561894157257913,0.0001591846653064543,1.78139180778111e-05,7.222592892838313e-05,0.2968536006998277,0.7026959744900885,0.00020120029777104777,0.4202703947593961,0.04966060611712056,0.26308142082828434,0.8900493060096599,0.021861111484338794,mixed_higher_order,-9.970343951482414e-31,1.2123486373437245e-30,1.5328843007604958e-32,-4.2719294366090274e-32,9.255321271617995e-33,3.217889920780287e-33,-6.832711229052476e-24,-5.202916174174652e-24,1.4553145829823784e-22,-7.061774954275292e-23,2.262178718789255e-22,1.738105110112615e-22,-2.5580561226024264e-38,3.311412546478154e-38,6.429869718491774e-39,-1.2433677839800576e-38,1.915069728475218e-38,-2.068045348321091e-38,7.52749282334776e-37,-1.0324488325990538e-36,-1.0431594384879233e-36,-1.6662470997707857e-36,1.6084360502561896e-38,-2.911732438518794e-38,1.158825483990768e-29,-1.0240296616582256e-29,-1.6590859704878674e-30,6.015816321946449e-30,-9.929166395641258e-30,4.224480913080445e-30,4.317484473146378e-30,-2.2710334614955973e-31,1.1962275314578585e-29,1.0635761040647216e-29,1.800787469342412e-29,1.2082567744316684e-29,4.1822820790388e-38,2.24094640755312e-38,-6.108243300372253e-39,-6.272091766429947e-39,-9.44323945352618e-39,3.150968803787805e-39,0.07077878713607788,-0.9872151017189026,-0.07236087322235107,-0.12011701613664627,0.010642536915838718,-0.013308053836226463,0.013541695661842823,-0.0038186474703252316,0.4013182520866394,0.8966479897499084,0.1869918406009674,0.0,-1.5814100918022678,-1.7280584699018295,-0.31071178336949273,0.0794252643173544,1.5435848691589045e-15,1.3446684421919172e-15,-3.062135288650559e-22,2.153152703351946e-22,2.0223701806297493e-30,1.7383903686645038e-30,0.9798936616592302,0.0198621531289731,0.00024418521179669916,47.993648529052734,-1.107486060796327,-0.9107955094340668,-0.777186102872839,-1.241405716245187,0.21518099454350043,0.44345230677482717
h235_lam0,235.0,9,1332.5,0.512176388613384,0.024237105897441304,0.46325947476757434,0.0003270307216002649,1.1965956181860283e-12,0.9996195344376164,0.00021552019873059732,0.00016494536365300455,0.0014821703377660448,0.8011501880409017,0.19736764162133244,1.0850039034378883e-05,1.2047376262968454e-06,5.706760978424843e-06,0.141217753660973,0.8587439426424573,2.0542158930412455e-05,0.5119815231356506,0.019417561947302348,0.3978212678283808,0.9044920559921895,0.0002852122322708703,clean_balanced_ED_EQ,-2.863803526194486e-31,1.322590220686161e-30,-7.690655224145925e-33,-1.8321497099276674e-32,1.5513646818152741e-32,7.842151751217255e-33,-2.88312794782999e-24,1.7988356856266298e-24,4.2822291648079855e-23,-6.639550011395526e-23,3.820664544852632e-23,8.833445503841281e-24,-2.461762032481082e-39,9.53781587798624e-39,-8.016907706280753e-40,-3.182934540482652e-39,3.2634469094443575e-39,-6.354886793264559e-39,1.1977257561268903e-37,-7.855562899551978e-37,-1.68057777376704e-36,-1.0077027373225067e-36,-6.239271557854691e-39,-7.274898588686144e-39,4.027072058240576e-30,-8.954979933930487e-30,1.649135604946066e-30,-2.7146766926945683e-32,-5.676207842515265e-30,8.982126700857432e-30,1.7755570835248465e-30,-2.0438269647916524e-30,1.001832837060741e-29,2.8064671242717825e-30,7.830432376790987e-30,8.901890771107652e-31,-1.0633128827187215e-39,-4.729568757871212e-39,-6.078460449029025e-39,-2.154989575688063e-39,-4.224992361528064e-39,5.984466374359352e-39,-0.6876307129859924,-0.697795569896698,-0.043521106243133545,0.19515974819660187,0.0021715573966503143,-0.008073598146438599,0.007057348731905222,-0.011862587183713913,0.4384858310222626,0.8790700435638428,0.1869918406009674,0.0,-2.2237299360596703,-0.897365502628595,-0.08475474417332615,0.3641835360055358,1.8932208513307293e-15,4.3667324257419815e-16,-2.213930489561021e-22,3.7539147280021675e-22,3.580819508106211e-30,7.720907434331188e-31,0.9598245534576388,0.0401719411506021,3.5053917590843753e-06,19.038095474243164,-1.1642167766985259,-0.2520877637091774,-1.1625952974186247,-0.6971117206798315,0.19495145897487695,0.1257354522386704
h250_lamRmin,250.0,9,1414.0,0.07359440813835072,0.1543586571665043,0.7718476809648229,0.00019925373032201574,1.1693105308511013e-11,0.9897242845472823,0.010146916305990048,0.00012879914672760063,1.6981965294269338e-05,0.0009869603772694145,0.9989960576574363,3.78856059081842e-06,1.3058619932210745e-06,6.56057290979754e-07,0.9655663510108627,0.03442554960609555,2.3489031667498363e-06,0.07283817294140986,0.0001523458785118533,0.026571280629404323,0.09534835687574579,0.03818334109520334,EQ_dominated,-4.423418608192352e-31,1.7414282850718893e-30,1.7916987653914788e-32,-1.8104072281385592e-31,2.0486120304520767e-32,-6.5591280758501515e-34,1.2501431393673733e-24,2.979721430461318e-24,1.5595845176311312e-23,-1.9068716137988314e-23,7.701209360362605e-22,1.454660488264895e-22,1.5670522570554273e-39,-2.8021303349693665e-38,-2.02885201168235e-39,1.6351605439046166e-38,4.617933508453602e-40,1.1669718506598307e-38,-1.8117736798625255e-36,9.853376812448456e-36,-1.7381975461801568e-36,-7.464841282126174e-37,-8.796608661308187e-39,1.2914737237784144e-38,1.076735246521237e-29,-4.1274999074131904e-30,-3.3373023391753086e-30,-4.7182905046611385e-30,-7.430037391991265e-30,8.84578495462613e-30,8.977397116464435e-31,-1.8576423732976473e-30,-3.592353906781439e-30,1.2342435230654534e-30,4.6503440011889685e-29,8.980633951730155e-30,7.861234074973541e-38,1.1300623854444958e-38,6.823196281704336e-39,-4.445763463496674e-40,-4.222762580061494e-39,5.043603179595068e-39,-0.7776168584823608,-0.6178522706031799,0.09570099413394928,0.059112705290317535,0.0038853269070386887,-0.009561647661030293,0.007923399098217487,-0.017080185934901237,0.4360363781452179,0.8802876472473145,0.1869918406009674,0.0,-2.276001455022296,-0.7752104140647577,-0.07667880775734222,0.12176626274638229,1.9339279069245893e-15,5.362645447447051e-16,-1.6708967165353263e-22,4.097085936508566e-22,4.5717406568781066e-30,1.1791044916043455e-30,0.9865359277566493,0.01300750520980656,0.00045656703354413075,197.43174743652344,-1.44454790428891,-0.366930991935338,-1.0678363373695436,-0.4585916480706157,0.05276271139837709,0.04315335506055187
h250_lam0,250.0,9,1332.5,0.4910446812492525,0.051660591421350426,0.4568810404154449,0.0004136869139522511,1.4833739459950868e-12,0.9996266799435286,0.00029489862576302737,7.842143070836867e-05,0.0007323808139781106,0.7832492495865804,0.21601836959944154,1.7986331384202614e-05,2.086170842340241e-06,8.647284195042882e-06,0.15240633833814318,0.8475280817134107,3.6860162024609105e-05,0.4908613644211185,0.04046311946397165,0.3872195117545293,0.9304266146475859,0.0006576030215569222,clean_balanced_ED_EQ,-4.346165781249036e-31,1.4098235517075966e-30,-6.398499896985499e-33,-2.4518238043861324e-32,9.668157180776438e-33,8.790577622479044e-33,-3.825398077611055e-24,6.663884462746085e-25,1.011128694816096e-22,-7.681910840791725e-23,6.379948766746991e-23,1.941289509483778e-23,-4.504707566677912e-39,1.3280078473260549e-38,-2.017888190848912e-40,-4.771619362908147e-39,4.7064948977558555e-39,-8.508446436229533e-39,2.237407232977898e-37,-8.849319517703242e-37,-1.3557775619375128e-36,-1.671847878831459e-36,-2.679941864559536e-39,-1.393996075712398e-38,9.97298118309023e-30,-9.62823481732306e-30,-7.515178396337632e-31,2.616635044653446e-30,-9.221462984799221e-30,7.011599951998236e-30,2.907119438404347e-30,-1.5229038560502598e-30,1.1727714626929801e-29,4.465473514605349e-30,1.0218823509468996e-29,2.3051498345378944e-30,7.473360448591638e-39,-2.9231441580575047e-39,-6.956924409522359e-39,-3.175924423698649e-39,-7.720321659094713e-39,5.249001099893163e-39,-0.3201240301132202,-0.8589968085289001,-0.3602087199687958,0.17184801399707794,0.005328331608325243,-0.011340986005961895,0.008578166365623474,-0.010761190205812454,0.3752647042274475,0.907860279083252,0.1869918406009674,0.0,-1.9957954583218886,-1.3443242163343698,-0.41408293635669036,0.5627703121680696,1.968962144071251e-15,6.37977398240858e-16,-3.3583106980889934e-22,2.785501541400411e-22,3.0464096627279717e-30,9.343345673049239e-31,0.8405119208000814,0.1594714500091402,1.6629190778383318e-05,20.590421676635742,-1.2410043605427212,-0.3825734560639738,-0.9379040009086391,-1.1565561036618757,0.2255574133121861,0.29688911737608764
h221_lam0,221.0,9,1332.5,0.5600543995497401,0.009278443575348454,0.43040554195253106,0.0002616149223803756,9.483978626753018e-13,0.9996470805710161,0.00015047918443523512,0.0002024402445487472,0.0034373735971439463,0.8130451711377449,0.18351745526511115,7.84173152243906e-06,7.55345402618978e-07,4.7227642395397975e-06,0.16112150613377968,0.8388571932143642,7.980810691415264e-06,0.5598567454708512,0.007543793744611093,0.3610487848662075,0.7685066705994253,0.0010636071902494005,clean_balanced_ED_EQ,-2.3660208018339187e-31,1.2374006137663075e-30,-7.304658217136657e-33,-1.362196546368062e-32,1.7750472151725162e-32,2.517011770497048e-33,-1.756812307367213e-24,2.244928534513163e-24,9.48030221670832e-24,-4.2804162674973737e-23,2.018149189306993e-23,5.15269377229805e-24,-1.719841216938902e-39,6.977242877123266e-39,-8.860346645715037e-40,-2.0467246512251027e-39,2.6058826069045612e-39,-4.93051363964155e-39,8.946981452272187e-38,-7.228471129557789e-37,-1.632834517444399e-36,-3.0966774283620583e-37,-4.7329395110941304e-39,-1.9690366187491848e-39,1.6234440897935433e-31,-6.564395970852276e-30,1.6725656068358345e-30,-2.2818376515533382e-30,-1.8349091191720745e-30,8.846232187776631e-30,7.535325967114766e-31,-2.087907733574269e-30,8.526306338040803e-30,2.2265423880122098e-30,5.543691880688946e-30,4.319911754123981e-31,-7.285274804556557e-39,-4.7827018357161116e-39,-5.273007254554862e-39,-1.7674749584244164e-39,-1.4377232685553253e-39,5.532441150347298e-39,-0.9137561321258545,-0.3630344569683075,0.1798899620771408,-0.026291251182556152,0.002430201740935445,-0.004737032577395439,0.004235441330820322,-0.012734795920550823,0.4955202043056488,0.848229706287384,0.1869918406009674,0.0,-2.2073358733273776,-0.4279220717811918,0.007237128407214745,-0.017982140174798916,1.8072668876270745e-15,3.6576105769283977e-16,-7.171409451509634e-23,3.8743937941581915e-22,3.686311604564984e-30,6.987675687725723e-31,0.966772631302017,0.03323174233526432,4.3736372812297475e-06,16.89822006225586,-1.0892281914018707,-0.2082701859147029,-1.1295673196894318,-0.2142229102415336,0.12568222167710089,0.02783620494608769
hstar_lamRmin_o11,227.2,11,1285.0,0.4703893418010704,0.1080155140642416,0.42106645513161295,0.0005286890030750724,1.8084493791515822e-12,0.9994775928588181,0.000433693907218232,8.871323396370051e-05,0.0006865006040869228,0.3650277071439667,0.6342857922519463,7.294992593467977e-05,9.083391283787343e-06,3.182185088137229e-05,0.2341150377796005,0.7656947721641224,7.63348881773037e-05,0.47014360704977765,0.039428655434847006,0.322408383427955,0.8951445488101295,0.007504382406972801,mixed_higher_order,-6.891132677069066e-31,1.3126793499196225e-30,3.281173291346805e-33,-3.07081938523955e-32,1.1993531621599021e-32,7.158852983690725e-33,-5.465868922896288e-24,-1.1322775345225131e-24,9.656785527434803e-23,-8.509955700809316e-23,1.5253609823380125e-22,7.430123200620665e-23,-1.2043918682459532e-38,2.39941983896399e-38,2.274526375342292e-39,-9.196436983222098e-39,9.769380775077752e-39,-1.4797741740262213e-38,4.402100599158549e-37,-9.812212613297927e-37,-1.4063906572463997e-36,-1.343416102710763e-36,1.2863848724741634e-39,-1.937669844966364e-38,7.328359355797242e-30,-1.0702621742777925e-29,6.088866732701122e-31,3.8102491021257514e-30,-7.937244167946826e-30,6.8923745017727e-30,3.190426484636064e-30,-1.5069089668366135e-30,1.081288444880302e-29,6.0276991454443895e-30,1.460517559895895e-29,5.626355948171668e-30,2.583703398768496e-38,4.7659604694241615e-39,-5.779453072055849e-39,-3.7773445736347816e-39,-6.679776104863646e-39,4.997041771321059e-39,-0.331897109746933,-0.9413509368896484,-0.05299580097198486,0.008492283523082733,0.0038524202536791563,-0.00966302864253521,0.010534869506955147,-0.006955345626920462,0.43600353598594666,0.8803038597106934,0.1869918406009674,0.0,-1.9774608955279238,-1.400801035225659,-0.2069809736950298,0.18585879224787702,1.787900725460196e-15,9.939287938684017e-16,-2.6852082623578874e-22,2.9966027593312e-22,2.843271134236582e-30,1.5416121698404096e-30,0.996405493105744,0.003040034108417149,0.0005544727858388665,34.132469177246094,-1.1982054467563208,-0.6290182525146152,-1.0461744254438288,-0.9993294268159986,0.2591070516546157,0.29402517644558784
