case,h_nm,lam_nm,order,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
bare,250.0,1263.0,9,0.31562504172325134,0.9302767515182495,0.1869918406009674,0.0,0.9650340013781511,0.0349659484513376,0.31562504172325134,0.9302766919136047,0.14838601648807526,-0.11378726363182068,0.965033890480524,0.0349659512540168
bare,250.0,1267.0,9,0.3192753493785858,0.9290302991867065,0.1869918406009674,0.0,0.9650340455277594,0.0349659484513376,0.3192753195762634,0.9290302395820618,0.14748787879943848,-0.11494901776313782,0.9650339157484283,0.03496595107746803
bare,250.0,1271.0,9,0.32289770245552063,0.9277774095535278,0.1869918406009674,0.0,0.9650338479289085,0.0349659484513376,0.32289770245552063,0.9277774691581726,0.1465863734483719,-0.11609641462564468,0.965033958528598,0.03496594236967515
bare,250.0,1275.0,9,0.3264925181865692,0.9265185594558716,0.1869918406009674,0.0,0.9650340054479908,0.0349659484513376,0.3264925181865692,0.9265185594558716,0.1456817090511322,-0.1172296330332756,0.9650340054479908,0.0349659472131752
bare,250.0,1279.0,9,0.3300599455833435,0.9252536296844482,0.1869918406009674,0.0,0.9650338469227258,0.0349659484513376,0.3300599455833435,0.9252536296844482,0.14477401971817017,-0.11834874749183655,0.9650338469227258,0.03496594281824361
bare,250.0,1283.0,9,0.33360031247138977,0.9239831566810608,0.1869918406009674,0.0,0.9650340423113067,0.0349659484513376,0.3336002826690674,0.923983097076416,0.1438634842634201,-0.11945395171642303,0.9650339122798074,0.03496594868508085
bare,250.0,1287.0,9,0.33711379766464233,0.9227069616317749,0.1869918406009674,0.0,0.9650338496196191,0.0349659484513376,0.33711376786231995,0.9227069616317749,0.14295023679733276,-0.12054533511400223,0.9650338295260718,0.03496594801816061
bare,250.0,1291.0,9,0.34060072898864746,0.9214256405830383,0.1869918406009674,0.0,0.9650340677114606,0.0349659484513376,0.34060072898864746,0.9214255809783936,0.14203444123268127,-0.12162305414676666,0.9650339578689683,0.034965949796267326
bare,250.0,1295.0,9,0.3440612554550171,0.9201390147209167,0.1869918406009674,0.0,0.965033953916862,0.0349659484513376,0.3440612256526947,0.9201390147209167,0.14111627638339996,-0.1226872056722641,0.9650339334092141,0.03496595389598456
bare,250.0,1299.0,9,0.34749558568000793,0.9188475608825684,0.1869918406009674,0.0,0.9650340222069369,0.0349659484513376,0.34749558568000793,0.9188475608825684,0.14019586145877838,-0.12373792380094528,0.9650340222069369,0.03496595335673752
bare,250.0,1303.0,9,0.3509041368961334,0.9175512194633484,0.1869918406009674,0.0,0.9650339536294982,0.0349659484513376,0.3509041368961334,0.9175511598587036,0.13927331566810608,-0.12477536499500275,0.9650338442488727,0.03496594816682408
bare,250.0,1307.0,9,0.35428696870803833,0.9162504076957703,0.1869918406009674,0.0,0.9650340657989958,0.0349659484513376,0.35428693890571594,0.9162503480911255,0.13834884762763977,-0.12579962611198425,0.965033935456291,0.03496594956981092
bare,250.0,1311.0,9,0.3576444089412689,0.9149450659751892,0.1869918406009674,0.0,0.9650339969992929,0.0349659484513376,0.3576444387435913,0.9149449467658997,0.13742250204086304,-0.12681087851524353,0.9650338001766735,0.03496594297697886
bare,250.0,1315.0,9,0.3609766662120819,0.9136354327201843,0.1869918406009674,0.0,0.9650338574713874,0.0349659484513376,0.3609766662120819,0.9136354923248291,0.13649451732635498,-0.12780921161174774,0.9650339663852217,0.034965947832971134
bare,250.0,1319.0,9,0.3642839789390564,0.9123218059539795,0.1869918406009674,0.0,0.9650338949308014,0.0349659484513376,0.364283949136734,0.9123218655586243,0.13556495308876038,-0.12879475951194763,0.9650339819750231,0.03496594658369822
bare,250.0,1323.0,9,0.3675664961338043,0.911004364490509,0.1869918406009674,0.0,0.9650340812008383,0.0349659484513376,0.36756646633148193,0.9110043048858643,0.13463398814201355,-0.12976764142513275,0.9650339506919893,0.03496595152406567
bare,250.0,1327.0,9,0.3708244264125824,0.9096829891204834,0.1869918406009674,0.0,0.9650338959193983,0.0349659484513376,0.37082439661026,0.9096829891204834,0.13370171189308167,-0.13072796165943146,0.9650338738165408,0.0349659477227704
bare,250.0,1331.0,9,0.37405821681022644,0.9083580374717712,0.1869918406009674,0.0,0.965033873802814,0.0349659484513376,0.37405818700790405,0.9083580374717712,0.13276822865009308,-0.13167589902877808,0.9650338515072078,0.034965944923920356
bare,250.0,1335.0,9,0.3772679269313812,0.9070296883583069,0.1869918406009674,0.0,0.9650339442544692,0.0349659484513376,0.37726789712905884,0.9070296883583069,0.13183367252349854,-0.13261157274246216,0.9650339217675494,0.034965946436262385
bare,250.0,1339.0,9,0.38045376539230347,0.9056980013847351,0.1869918406009674,0.0,0.9650339373134856,0.0349659484513376,0.38045376539230347,0.9056979417800903,0.13089817762374878,-0.13353508710861206,0.9650338293458738,0.0349659523943231
bare,250.0,1343.0,9,0.3836159110069275,0.9043632745742798,0.1869918406009674,0.0,0.9650340995763891,0.0349659484513376,0.3836158812046051,0.904363214969635,0.12996186316013336,-0.13444651663303375,0.9650339689026,0.03496595171080986
bare,250.0,1347.0,9,0.3867546617984772,0.9030253291130066,0.1869918406009674,0.0,0.9650339134425083,0.0349659484513376,0.3867546617984772,0.9030252695083618,0.12902478873729706,-0.13534604012966156,0.965033805793504,0.034965946687484095
bare,250.0,1351.0,9,0.38987019658088684,0.9016847014427185,0.1869918406009674,0.0,0.9650340709978638,0.0349659484513376,0.38987019658088684,0.9016846418380737,0.1280871033668518,-0.13623376190662384,0.9650339635086748,0.03496594393214125
bare,250.0,1355.0,9,0.39296281337738037,0.9003411531448364,0.1869918406009674,0.0,0.9650339647436397,0.0349659484513376,0.39296281337738037,0.9003410935401917,0.12714888155460358,-0.13710983097553253,0.965033857414614,0.03496594383072571
bare,250.0,1359.0,9,0.3960324823856354,0.8989951610565186,0.1869918406009674,0.0,0.9650340267075642,0.0349659484513376,0.39603251218795776,0.8989951014518738,0.1262103021144867,-0.13797429203987122,0.9650339431443697,0.034965945623733674
bare,250.0,1363.0,9,0.39907971024513245,0.8976466059684753,0.1869918406009674,0.0,0.9650340443360621,0.0349659484513376,0.39907968044281006,0.8976465463638306,0.12527135014533997,-0.1388273537158966,0.965033913541248,0.034965945306995046
bare,250.0,1367.0,9,0.4021044969558716,0.8962956666946411,0.1869918406009674,0.0,0.9650339486077257,0.0349659484513376,0.4021044671535492,0.8962956666946411,0.12433219701051712,-0.13966907560825348,0.9650339246404309,0.034965945894726076
bare,250.0,1371.0,9,0.4051070511341095,0.894942581653595,0.1869918406009674,0.0,0.9650339473353755,0.0349659484513376,0.4051070511341095,0.894942581653595,0.12339292466640472,-0.14049957692623138,0.9650339473353755,0.03496594497417904
bare,250.0,1375.0,9,0.40808773040771484,0.8935874104499817,0.1869918406009674,0.0,0.9650340558240237,0.0349659484513376,0.40808770060539246,0.8935873508453369,0.12245360016822815,-0.14131900668144226,0.9650339249761836,0.03496594584358981
bare,250.0,1379.0,9,0.4110465347766876,0.8922302722930908,0.1869918406009674,0.0,0.9650341125481257,0.0349659484513376,0.41104650497436523,0.892230212688446,0.12151435017585754,-0.14212745428085327,0.9650339816857104,0.03496595055901697
bare,250.0,1383.0,9,0.4139837920665741,0.8908711671829224,0.1869918406009674,0.0,0.9650340166116828,0.0349659484513376,0.4139837920665741,0.8908711075782776,0.12057521939277649,-0.14292502403259277,0.9650339104115675,0.0349659460263334
bare,250.0,1387.0,9,0.41689953207969666,0.889510452747345,0.1869918406009674,0.0,0.9650340653950565,0.0349659484513376,0.41689956188201904,0.8895103931427002,0.11963635683059692,-0.14371183514595032,0.9650339842063006,0.034965949436714716
