candidate,source,lam_Tmin,Tmin,R,A,en_res,f_ED_3fam,f_MD_3fam,f_EQ_3fam,f_MQ,dominant,confidence
P0550_H0350_seed029,stageA_qualify_1nm,1343.5,0.0033565641572382,0.996467361727064,0.00017607411569786624,0.00017607411569786624,0.09694565507767756,0.4962651062116264,0.406789238710696,,my+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0550_H0250_seed029,stageA_qualify_1nm,1340.5,0.0066648230709489,0.9933795002260402,-4.432329698911275e-05,4.432329698911275e-05,0.08427722905788311,0.5120778429849632,0.4036449279571538,,my+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0650_H0350_seed029,stageA_qualify_1nm,1372.5,0.0068687345403361,0.9931754734961624,-4.4208036498516456e-05,4.4208036498516456e-05,0.1159386294144376,0.8404267728623237,0.043634597723238626,,my+px,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0650_H0250_seed029,stageA_qualify_1nm,1372.5,0.0069062154928452,0.9930320400697936,6.174443736117752e-05,6.174443736117752e-05,0.40809802960816494,0.20722071237090606,0.384681258020929,,Qxz+px,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0750_H0250_seed011,stageB_master_1nm,1334.0,0.0107657925369858,0.9883654531108188,0.0008687543521953556,0.0008687543521954,,,,0.0168325430273638,my+Qxz (exact: f_MD 0.56 f_EQ 0.35),HIGH pending sub-nm refinement (this stage)
P0750_H0250_seed011,stageA_qualify_1nm,1334.5,0.0134245559411144,0.986177416034359,0.0003980280245265977,0.0003980280245265977,0.07103527558762734,0.561334194672177,0.3676305297401957,,my+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0650_H0250_seed011,stageA_qualify_1nm,1372.5,0.015705555376092,0.9842470946420672,4.73499818408607e-05,4.73499818408607e-05,0.33136468916387796,0.2997575122596131,0.368877798576509,,Qxz+px,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0550_H0150_seed011,stageA_qualify_1nm,1331.5,0.0331847114775209,0.979669149371015,-0.012853860848535903,0.012853860848535903,0.6448517600884526,0.3295127102780595,0.02563552963348795,,px+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0550_H0350_seed011,stageA_qualify_1nm,1334.5,0.0390897801781627,0.9605390635260904,0.00037115629574691056,0.00037115629574691056,0.0474347950842479,0.5828443530799617,0.36972085183579045,,my+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0650_H0350_seed011,stageA_qualify_1nm,1333.5,0.0490134805353211,0.950282084406623,0.0007044350580559522,0.0007044350580559522,0.00919665124586121,0.7030303326965226,0.2877730160576162,,my+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0750_H0250_seed029,stageA_qualify_1nm,1312.5,0.0639106874689837,0.927633598222461,0.008455714308555295,0.008455714308555295,0.059578465657265385,0.7110805742682451,0.22934096007448948,,px+my,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0550 h-family (h=300),stageB_hsweep_lam0,1332.5,0.3654292592966051,0.6346020701467392,-3.1329443344274566e-05,3.1329443344274566e-05,,,,0.0008712736405356,px+Qxz (exact: f_ED 0.26 f_EQ 0.37),"HIGH ([9,9]; composition partially degraded at this h)"
P0650_H0150_seed011,stageA_qualify_1nm,1292.5,0.523506507665237,0.4764699502908487,2.3542043914304145e-05,2.3542043914304145e-05,0.6466238908894894,0.2243306635649325,0.12904544554557812,,px+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0750_H0150_seed029,stageA_qualify_1nm,1344.5,0.5431367388835012,0.4560375904771701,0.0008256706393287017,0.0008256706393287017,0.4179319635063758,0.005854026150091788,0.5762140103435325,,px+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0750_H0150_seed011,stageA_qualify_1nm,1349.5,0.557140933650366,0.4424778357551814,0.00038123059445260843,0.00038123059445260843,0.5681369783919155,0.0009948644585784786,0.4308681571495062,,px+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0550_H0150_seed029,stageA_qualify_1nm,1372.5,0.5943615296330597,0.4056315372867208,6.933080219539978e-06,6.933080219539978e-06,0.940766804180735,0.032419561427710755,0.02681363439155426,,px+my,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0750_H0350_seed011,stageA_qualify_1nm,1292.5,0.7775329127588937,0.2223594392161559,0.00010764802495041859,0.00010764802495041859,0.5224483486013701,0.1060771678356089,0.371474483563021,,Qxz+px,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0650_H0150_seed029,stageA_qualify_1nm,1292.5,0.7833374631327078,0.2166531600823583,9.376784933901039e-06,9.376784933901039e-06,0.95336585220739,0.024470540446329604,0.022163607346280374,,px+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0550_H0250_seed011,stageA_qualify_1nm,1322.5,0.8353639908819169,0.1647364983823923,-0.00010048926430922256,0.00010048926430922256,0.4817213407626427,0.07236780073118314,0.44591085850617423,,px+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
P0750_H0350_seed029,stageA_qualify_1nm,1311.5,0.9629415798259292,0.0367572256610483,0.00030119451302249717,0.00030119451302249717,0.5330153522293309,0.2573206140746357,0.20966403369603348,,px+Qxz,MEDIUM (1-nm grid; lossy-main scenario; A includes numerical residual)
