tag,lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
th2,1300.0,0.4275549008987112,0.1834171649042221,0.3882875845304508,0.0007403496666156,2.278651140768363e-12,0.9913415355286016,0.0006994001743585,0.0079590642970397,0.0006861080084113,0.3971898185986193,0.6021240733929693,0.0003776896755383,0.0003778948366773,3.460862498545799e-05,0.2647525272751497,0.7342864210857135,0.0001708585019355,0.4238529319797075,0.072851430456181,0.2851143007968812,0.9081584229634104,0.0165623659384874,mixed_higher_order,-1.0646869814224308e-30,1.2173275591651022e-30,2.981514600499456e-32,-3.092371827217688e-32,1.3828844012902615e-31,-4.329680567589444e-32,-5.4549120959541094e-24,-6.3273775605259174e-24,1.9585784363033936e-22,-4.5192420319720987e-23,1.892285230558564e-22,1.595035640277518e-22,-6.6853464911824e-38,-1.3389095756199507e-38,5.980178246206155e-38,3.278605832105134e-38,7.051672176021153e-39,-1.939694248292328e-38,7.845619800675191e-37,-1.0068598569851784e-36,-6.168024390541434e-37,-2.0343060595761003e-36,1.879514237830144e-38,-2.642379526887919e-38,1.7444110079319487e-29,-7.530435293453155e-30,-6.088449849228361e-30,5.56852183911373e-30,-1.1355662829497226e-29,1.96191507896824e-30,5.6941400886452585e-30,2.165783250449196e-30,7.770605470879855e-30,1.6669611831813388e-29,1.5906079178957113e-29,1.2053265445634093e-29,3.742011835951451e-38,2.1686274966792214e-38,-4.0093221781137925e-39,-9.50729422539035e-39,-1.076849837328412e-38,1.0151520142755052e-38,0.2003292590379715,-0.9121915102005004,-0.3020689189434051,-0.1929666399955749,0.0126593457534909,-0.0152649031952023,0.0128754172474145,-0.0033451099880039,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-1.3127182902516148,-1.889398666618053,-0.6053725032153103,0.1280959884304431,1.5593128049697965e-15,1.4317101550786882e-15,-3.470401459946488e-22,1.2171041775768004e-22,1.61417367385918e-30,1.4700995335979975e-30,0.8726184396130379,0.1286587220729461,0.0012771616859841,40.57639694213867,-1.0983477524442706,-0.96062604045868,-0.4482948601690716,-1.47854303546084,0.1360120259254706,0.5894577435130598
th2,1345.0,0.5015630151262543,0.0338414649628413,0.4642491687571676,0.0003463511537367,1.3204005231712141e-12,0.9911157568819384,0.0002957750759735,0.0085884680420878,0.0008086412504097,0.8564252199770674,0.1427661387725227,0.0001745167163286,7.886683927004242e-05,1.915705319266976e-05,0.1388869801381035,0.8608139984479113,2.6480805193719534e-05,0.4971070073608447,0.0289826840751476,0.3996321832339766,0.9256048686929318,0.0001943177371772,clean_balanced_ED_EQ,-4.235143422347854e-31,1.3628354235523131e-30,2.0369213419650074e-32,-1.3888685683543922e-32,1.0983310293078216e-31,-7.473612209264836e-32,-2.6139040479384152e-24,1.8011811093593182e-24,7.930686524212101e-23,-6.62013658067115e-23,3.965585612462374e-23,1.4369044747852238e-23,-4.243603733609359e-38,-4.94542313332283e-39,2.828115709895093e-38,5.004627398959167e-39,1.415487790228202e-38,-5.920493620268745e-41,2.0621463887543117e-37,-8.269139206730577e-37,-1.3925452549069136e-36,-1.6007669177777044e-36,-9.701226905137051e-39,-6.660921955155332e-39,8.428172264485205e-30,-8.867718800286392e-30,4.468374015181108e-31,1.5975348602101775e-30,-8.875007804473999e-30,7.270183381617419e-30,2.7445181956120422e-30,-1.2217227135763908e-30,1.0014953255992913e-29,5.396579070101491e-30,8.152027048936316e-30,1.9288930352555605e-30,8.796872492793006e-40,-4.186150895127524e-39,-6.2598909208063e-39,-2.7649012154959187e-39,-1.4497200299454378e-39,1.1362175522118575e-38,-0.4455145299434662,-0.8104201555252075,-0.2951296865940094,0.240509808063507,0.0031408695504069,-0.0097916070371866,0.0073965396732091,-0.0103006483986973,0.3851882219314575,0.9036946296691896,0.1869918406009674,0.0,-2.0055919898734995,-1.3254763736827222,-0.3427080855465073,0.5631884589230617,1.920947467071688e-15,6.230084303255643e-16,-3.3554245644654533e-22,2.954428789729746e-22,3.2421524219185155e-30,1.0002518650070582e-30,0.8553697655021526,0.1451073118403941,0.0004770773425466,18.319583892822266,-1.188493724605754,-0.3693359662713925,-0.9455165410666112,-1.0868958073841637,0.1925749199736792,0.230697857079808
th2,1405.0,0.3257712721348722,0.0338237514930116,0.6402639667750896,0.0001410095970265,1.2478192418597905e-12,0.9842747479876676,0.0062223607034524,0.0095028913088801,0.0006713296245473,0.058852818008509,0.9404758523669436,3.696370117833541e-05,2.305407943414857e-07,3.84518624463712e-05,0.5695772018915506,0.4303353080546079,1.1843949422437233e-05,0.3206484367821732,0.0019906230909832,0.2755281913784234,0.508807755925625,0.0114820899936915,EQ_dominated_with_ED,-1.6902390523445555e-31,1.2040514480497582e-30,9.419702127239077e-32,2.1735999635808752e-32,7.03269227725633e-32,-9.657522675559948e-32,-2.2231614772530483e-24,2.113379111192136e-24,1.0250166096342669e-23,-2.6828493169471393e-23,-1.147922172993757e-22,-1.9243148307286814e-24,-2.555054712992714e-38,1.3686416566099954e-39,-5.402001163622729e-40,-1.9471872974011737e-39,2.6090752055374807e-38,5.785424686086823e-40,1.1626269075572653e-37,-2.242917393966826e-36,-1.7556456405257418e-36,-8.53681904717839e-37,-1.0220117625086836e-38,6.630403385466878e-40,7.5692054747532495e-31,-6.387800637742378e-30,3.573998876804898e-30,-3.1748826123134416e-30,-4.3309211975549584e-30,9.562685466649236e-30,1.0361255361150536e-30,-1.963088722845561e-30,8.4383681065096e-30,7.97840801510925e-31,-3.3603742427216394e-30,1.3143046853204284e-31,-2.8997466850493563e-38,-4.632012028297093e-39,-6.149584102313211e-39,2.5139644485984897e-39,3.3638211007677365e-39,8.461259384331815e-39,-0.8338235020637512,-0.4820782244205475,0.0310655832290649,0.2683492302894592,-0.0016895635053515,-0.0008946438902057,0.0047973091714084,-0.008163409307599,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-2.1872972857868724,-0.6993428327891476,0.0213006645594228,0.3903563697558443,1.777965187563436e-15,2.530021647011133e-16,-2.0176993322655365e-22,4.0895288539343363e-22,3.89849000204354e-30,4.914837369768037e-31,0.927664702066855,0.0730660352851166,0.0007307373519715,19.77417755126953,-1.0051814929504816,-0.1411066791897331,-1.0924173667603403,-0.5311874542766762,0.0747093602921901,0.0285436586806841
th4,1330.0,0.4994436433589582,0.0543159767705746,0.4457880943888549,0.0004522854816123,1.5322897806233014e-12,0.9671140261456777,0.0009845178400034,0.0319014560143189,0.000494237569036,0.7632674146315577,0.2362383477994062,0.0007671918497624,0.0004979647755549,2.9239616069041595e-05,0.1575233867993206,0.8411420572301231,4.01597291697698e-05,0.483018952761748,0.0414576151628642,0.3749711148029377,0.8925693625626142,0.0008620021644984,clean_balanced_ED_EQ,-6.419390406417091e-31,1.3355538194975572e-30,4.6721871811808006e-32,-7.236782624348988e-33,2.387336273505787e-31,-1.2424614227319076e-31,-2.6398462872716464e-24,1.9998274582167776e-24,1.141984189683811e-22,-6.242689987906308e-23,6.413935343862488e-23,3.3596641369962124e-23,-8.595148425629496e-38,-3.1175471054110873e-38,6.871538754399116e-38,2.653636923690238e-38,1.7236103223085954e-38,4.6390677216587853e-39,3.5237120797882538e-37,-8.567654992022206e-37,-1.0794582740249352e-36,-1.848633604940337e-36,-1.2860857368315814e-38,-7.307186267551443e-39,1.151545107372046e-29,-8.384199747098176e-30,-1.2974568131842211e-30,3.058840682268581e-30,-1.0217994260536239e-29,5.3253590648295966e-30,3.7512195905055186e-30,8.818150299866678e-32,9.226806109023639e-30,1.0382244566473479e-29,1.001562634439432e-29,4.015248116348813e-30,9.281441458673811e-39,-1.2441274397206389e-39,-6.055200314333669e-39,-5.0024504009482004e-39,-3.9155329767830806e-41,1.9040324885253107e-38,-0.2922434210777282,-0.8690412640571594,-0.3709925711154938,0.1536379605531692,0.0057206144556403,-0.0116893900558352,0.0088317124173045,-0.0106849232688546,0.373252123594284,0.9086896181106568,0.1869918406009674,0.0,-1.765316805708106,-1.6193617691217206,-0.5067581502036193,0.4852092130499378,1.8559926460741106e-15,9.260183603035297e-16,-3.699486044545722e-22,2.212484709440101e-22,2.8262440329363262e-30,1.3705744340502109e-30,0.8408083030669075,0.1614322774753051,0.0022405805422125,21.21842384338379,-1.17783787772866,-0.566132271288814,-0.7495609611149864,-1.2836657191962315,0.1836433423071716,0.3359413872253136
th4,1375.0,0.5155975997019726,0.0107766934772974,0.4733964463665049,0.0002292604542249,1.0587898534910193e-12,0.9646354585009,0.0018009685694057,0.0335635729296943,0.0026364062067729,0.9871750150664924,0.0101885787267347,0.0005389435957649,0.0001494340574324,0.0001209531146584,0.1541526006197634,0.8449899758534496,4.8092758931343246e-05,0.4973637269904757,0.010638482545818,0.4000152517843418,0.9181509895316406,0.0015011422090812,clean_balanced_ED_EQ,-3.564020977273481e-31,1.287521927966661e-30,5.771291873580934e-32,1.1440211601816068e-33,1.758923844890003e-31,-1.76522041557864e-31,-1.570431201692216e-24,2.5878122377832398e-24,3.762794975368481e-23,-4.489028585521767e-23,2.7432459083936973e-24,5.280697576330375e-24,-7.026093554062209e-38,-1.8020072404688854e-38,3.720841801881361e-38,8.62274832090004e-39,3.305252372760341e-38,9.397323937303731e-39,1.759283793636726e-37,-8.494057757266032e-37,-1.5447606291911875e-36,-1.3184202431532963e-36,-1.512739018095977e-38,2.4309925103780316e-39,4.9388216252423185e-30,-7.486107674709256e-30,2.4764822650771373e-30,-7.793552281297732e-31,-7.415303280343396e-30,8.265463512815089e-30,1.8638680592761872e-30,-1.6197194484137495e-30,7.957280835194807e-30,4.141853745049685e-30,4.4277161787064414e-30,1.0199432054084651e-30,-1.0013813649234955e-38,-5.721156001576834e-39,-5.419394451832143e-39,-6.654950792703059e-40,6.294202807351541e-39,1.4815066983259002e-38,-0.6745204329490662,-0.6684088706970215,-0.1184604167938232,0.294026106595993,-9.750797471497208e-05,-0.005616090260446,0.0060059046372771,-0.0094022769480943,0.4080877304077148,0.8935874104499817,0.1869918406009674,0.0,-2.075249229123384,-1.1381674383489542,-0.1604616048860528,0.498238830597779,1.8328211707057385e-15,5.240016485465222e-16,-2.9686511437471844e-22,3.473752066483214e-22,3.6192542562320526e-30,9.762470531854291e-31,0.9017797828698818,0.1006086954092853,0.0023884782791672,15.666199684143066,-1.0983169853312065,-0.3040278142367723,-1.0035989023622387,-0.8565502537267491,0.1277334768562019,0.1070687957860259
th6,1300.0,0.4451987217676635,0.1764806073777755,0.3773168179906943,0.0010038528638666,2.2934752353635158e-12,0.936688504549231,0.0013708504079768,0.061940645042792,0.000327300158025,0.3932776042660225,0.6063950955759524,0.0026798116920107,0.0035213391583062,6.890455035770009e-05,0.2657415878498992,0.7279106169672224,7.773978220375965e-05,0.4170125249197819,0.0694058704689441,0.2746529177757154,0.8475244863519737,0.0153126990969995,mixed_higher_order,-1.2157815196054756e-30,1.05444340777978e-30,6.14967058204251e-32,-2.9331246836229746e-33,4.08726325923956e-31,-6.489054432049465e-32,-3.9060475707902744e-24,-4.121343981218991e-24,1.959268454652336e-22,-1.883780485669246e-23,1.6113734115261832e-22,1.8376990460670647e-22,-1.3697669718063586e-37,-1.1617852102408321e-37,1.4856417149745286e-37,1.4254547745827372e-37,-1.1587455126063791e-38,-2.6366958301665395e-38,8.98627137547608e-37,-8.899394575825505e-37,-3.329004133543083e-37,-2.0665280123634957e-36,6.487455468722166e-39,-2.063578917550548e-38,1.862053629684805e-29,-5.466773285983928e-30,-7.293860744519845e-30,5.252860034539735e-30,-1.1326675552328205e-29,2.1391357636995585e-31,5.433865129632749e-30,5.54195720843366e-30,-4.349135236903962e-30,2.6299018165549774e-29,1.3392567850234685e-29,1.4008017536156928e-29,3.35754171217264e-38,2.617625462754969e-38,2.5499260455727013e-39,-1.446342380911248e-38,-9.466102226602615e-39,2.717427780676416e-38,0.20089091360569,-0.9147489666938782,-0.3020689189434051,-0.1929666399955749,0.0125624518841505,-0.0151480659842491,0.012812690809369,-0.003328813239932,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-1.0362105348009414,-2.0344356332653013,-0.6162603983069065,0.0347528496410385,1.3433637907411345e-15,1.6260181599932565e-15,-3.5593355778911933e-22,7.226970864450367e-23,1.3893890190302731e-30,1.7162161477710442e-30,0.8775101103372515,0.1286570019861821,0.0061671123234336,40.6153450012207,-0.9513836586505172,-1.0969528205192345,-0.2419535572585431,-1.501962099499158,0.0566946400396558,0.5896654128365911
th6,1345.0,0.5225862661931387,0.0313001107974489,0.4457581582034111,0.0003554648060012,1.340943574694238e-12,0.9273585109822762,0.0024731554023253,0.0701683336153984,0.0010772156716403,0.850494483717829,0.1484283006105307,0.0015218393769108,0.0007595178805211,0.0001318095696834,0.1402384164412657,0.8572673603762714,8.105635534752395e-05,0.4846248216766565,0.0266205715729871,0.3821339196492266,0.8529848314817112,0.0001799007793548,clean_balanced_ED_EQ,-5.952249215993975e-31,1.2892412959362599e-30,7.298491719033226e-32,7.127242145915461e-33,3.341489556579944e-31,-2.0228087585259312e-31,-1.5539242876950215e-24,3.1928000815972983e-24,8.387816695005281e-23,-5.40311722194159e-23,3.577515018132952e-23,2.138855629144707e-23,-1.141962992308552e-37,-4.979923607636546e-38,8.153062396736571e-38,3.314875707265318e-38,3.266565327437456e-38,1.6650502257794452e-38,3.0555078064629062e-37,-7.885190909082243e-37,-1.1565523598611544e-36,-1.7418053937036498e-36,-2.0329941907374395e-38,-1.659308692967865e-40,9.32629463336192e-30,-7.765643556549438e-30,4.148053219752941e-31,1.9082777150044493e-30,-9.741096976890309e-30,5.8573667723096476e-30,3.217917386626564e-30,-2.1791636913930737e-31,7.86335001803576e-30,9.346137046641253e-30,7.556435956737523e-30,2.9390534075124472e-30,1.3588449777302551e-39,-4.009782132525661e-39,-5.7060731679696085e-39,-3.394393160526516e-39,5.986872072059671e-39,2.461146405821995e-38,-0.4467636048793793,-0.8126922845840454,-0.2951296865940094,0.240509808063507,0.003116829553619,-0.0097166625782847,0.0073605049401521,-0.0102504650130867,0.3851882219314575,0.9036946296691896,0.1869918406009674,0.0,-1.8023179236564653,-1.5635675260647712,-0.4150445433457552,0.5061364642951511,1.814052000522237e-15,8.646207888473246e-16,-3.67706903952708e-22,2.4647550600638227e-22,3.081448416346772e-30,1.4247280192209652e-30,0.8601705962253797,0.1451057487497817,0.0052763449751613,18.34500312805176,-1.1243141785446982,-0.5190803466246129,-0.7852810406017607,-1.1826587360537388,0.1571727190133475,0.2439954386304783
th6,1405.0,0.354698396704357,0.0324985575354976,0.6126677821055385,0.0001352636546066,1.2778659810009457e-12,0.8744338526198767,0.0515184834931398,0.0740476638869835,0.0005435903012515,0.0487581842431111,0.9506982254556372,0.0003216990659991,1.1189811115017864e-07,0.0003220059249439,0.5723354242843632,0.4269789485344699,4.181029211251223e-05,0.3101602855482843,0.0015845706559511,0.2615962454043685,0.5789408339465392,0.0100856440644753,EQ_dominated_with_ED,-3.16866211806415e-31,1.1678967991388908e-30,2.860702349328769e-31,6.663497513404897e-32,2.0924187841648333e-31,-2.8323691857130525e-31,-1.169725723031545e-24,2.4754879965088204e-24,1.140998116988579e-23,-2.3285287804794856e-23,-1.1360102094254592e-22,-1.4327135991156258e-23,-7.214061007333149e-38,-1.9477915064065e-38,-3.850850845293677e-40,1.3393652567010368e-39,7.252569353547557e-38,1.813854058116874e-38,3.87973316990019e-37,-2.194635266884856e-36,-1.613787708389886e-36,-1.0493698110681637e-36,-1.69985623320649e-38,8.596202475876828e-39,1.4868500802051029e-30,-6.2669745737865915e-30,4.128169397511008e-30,-2.5568697679507682e-30,-5.615019477716112e-30,8.823843455099993e-30,9.372991618437132e-31,-2.0797254252392708e-30,8.212865191612134e-30,9.472205231578788e-31,-3.3643375117549685e-30,-3.2170816745073488e-31,-2.789544947135992e-38,-8.148259883805646e-39,-7.495828526714283e-39,8.620722316915452e-39,1.342153573441846e-38,1.601035579005757e-38,-0.8361613154411316,-0.4834298193454742,0.0310655832290649,0.2683492302894592,-0.001676631742157,-0.0008877963409759,0.0047739376313984,-0.0081236381083726,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-2.068555812881245,-0.9603930614909048,-0.0305989600228997,0.3858250425532378,1.723273222327801e-15,4.710654864684747e-16,-2.492678416639623e-22,3.773561231342412e-22,3.7961530219356566e-30,9.756310054596311e-31,0.9328737349489832,0.0730651638349314,0.0059388987839148,19.79714012145996,-0.9749984106343644,-0.2645302676767125,-1.0041489456730917,-0.6529505609238979,0.064842589001432,0.031773398109369
th8,1330.0,0.5291953892901551,0.0493926178238346,0.4209205362267697,0.0004914566592405,1.5630423517780069e-12,0.8816712435779342,0.0038032633894667,0.114525493032599,0.0008609746630329,0.753706335678963,0.2454326896580041,0.0031022399806028,0.0020811330711223,0.0001035172143005,0.1594347517733343,0.835155628329245,0.000122729631395,0.4665763569711601,0.0372275289895938,0.3515341549091506,0.7953972100765625,0.0007551906596764,clean_balanced_ED_EQ,-8.066871915911436e-31,1.2299864258593017e-30,9.382688711045972e-32,2.3014750820960067e-32,4.940820379719475e-31,-1.9216437985592384e-31,-1.852227801363605e-24,3.780579695262547e-24,1.1593388777442115e-22,-4.554887545646423e-23,5.63614163261353e-23,4.330966806577579e-23,-1.5280323356479205e-37,-9.596403831887964e-38,1.2728041086034644e-37,7.510747235563014e-38,2.55228294075051e-38,2.085654689143226e-38,4.513398210461098e-37,-7.9556525411845e-37,-8.105277017129545e-37,-1.9301587318488916e-36,-2.5179111442349845e-38,-3.167716987998189e-39,1.223774347783272e-29,-6.906997114601576e-30,-1.53330507666066e-30,3.17796070597059e-30,-1.0704438757145259e-29,3.7290364086309876e-30,4.0303513472580775e-30,1.684548477860616e-30,5.2026611544992044e-30,1.5137989556358044e-29,8.917540153012055e-30,5.1592000305965236e-30,9.112342699888135e-39,-4.896009314344875e-41,-4.666555993718634e-39,-6.34229978767439e-39,3.8963135184477656e-39,3.4430678879649956e-38,-0.2934921979904175,-0.872754693031311,-0.3709925711154938,0.1536379605531692,0.0056546120904386,-0.0115545215085148,0.0087671186774969,-0.010606775060296,0.373252123594284,0.9086896181106568,0.1869918406009674,0.0,-1.520901338201834,-1.8155538641960536,-0.5669250198130058,0.4019876576932253,1.7057723920977705e-15,1.1545743938495794e-15,-3.898064715379585e-22,1.6770501345571912e-22,2.623439605577884e-30,1.7467760184952222e-30,0.8480039060946085,0.1614294767929069,0.0094333828875154,21.261621475219727,-1.0847369685290544,-0.7114252648328737,-0.5628192749322047,-1.3402756447033526,0.1339926817343621,0.3410466750520108
th8,1375.0,0.5467756948111981,0.0089719859304424,0.4440294721236731,0.0002228471346863,1.0873838971472477e-12,0.8727869972351511,0.0073002887937402,0.1199127139711086,0.0045305055191613,0.9776346484197048,0.0178348460611339,0.0021886625428065,0.0006296861338141,0.0004721028640677,0.1563194186166801,0.840246504664591,0.0001436251780405,0.477218716835429,0.0087713243107346,0.3730942119199798,0.8120870703241421,0.0013433694189319,clean_balanced_ED_EQ,-5.1344639799634675e-31,1.222729218536165e-30,1.1808030580884238e-31,2.7701240453255054e-32,3.7660645988953455e-31,-3.159043526500966e-31,-6.4638102759418135e-25,3.6118454287870485e-24,3.907525954286139e-23,-3.712608824664105e-23,9.839184444784211e-25,7.213282965462366e-24,-1.3108836534395442e-37,-5.829210961462851e-38,7.144042754927793e-38,2.859752561379457e-38,5.96479276735807e-38,2.969458923450056e-38,2.7582978683251614e-37,-8.117449987707394e-37,-1.3371470078876562e-36,-1.4706688187213586e-36,-2.446891114166708e-38,8.751927577932331e-39,5.659627081363812e-30,-6.764480377510475e-30,2.7740873478523303e-30,-2.9030570259837304e-31,-8.433714429216142e-30,7.0547862834342e-30,1.999192874644542e-30,-1.3891881464254664e-30,6.6575828864118e-30,6.347517822672381e-30,4.0142748123335904e-30,1.4832808167610321e-30,-9.090016007286534e-39,-6.856155012953245e-39,-5.56651799434543e-39,5.901493894842796e-42,1.40369749510944e-38,2.611260516099393e-38,-0.677402675151825,-0.6712650060653687,-0.1184604167938232,0.294026106595993,-9.638295887270942e-05,-0.0055512934923172,0.0059619783423841,-0.0093335099518299,0.4080877304077148,0.8935874104499817,0.1869918406009674,0.0,-1.89380361795102,-1.3770870155396342,-0.2260991220679584,0.465248967967105,1.7381446802304517e-15,7.470447146066585e-16,-3.3422362720187607e-22,3.0254958180224485e-22,3.4575225772681864e-30,1.4295400674338152e-30,0.909501918819901,0.1006068813007405,0.0101088001206415,15.699468612670898,-1.043045745480924,-0.4379940160453068,-0.8687166438955869,-0.9554629916868844,0.1056407693439189,0.1111870567402063
