tag,lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
baseline,1300.0,0.4251427561227266,0.1844532564242551,0.3897134409932672,0.000690546459751,2.27654295263078e-12,0.999233497171288,0.0007337172975124,3.278553119949729e-05,0.0009279563290024,0.3973732741780919,0.6016987694929057,0.0001135312322482,1.4408569777644184e-05,4.90475853764582e-05,0.2644019165273908,0.7351734164600134,0.0002476796251933,0.4248168829975521,0.0732967944381174,0.2865069618554081,0.91666489756859,0.0167434609757033,mixed_higher_order,-9.786027857929531e-31,1.2889159201576536e-30,1.1959668911023324e-32,-4.219030957776751e-32,7.568193711081816e-33,-5.352808198037497e-33,-6.465788737209818e-24,-7.282296986534621e-24,1.929875362201441e-22,-5.803314735107909e-23,2.0110313481916141e-22,1.4509266134026317e-22,-2.225191339320701e-38,3.010055285572159e-38,5.362524681768914e-39,-1.220952223060222e-38,1.688937924243318e-38,-1.789103640173661e-38,7.187195905166191e-37,-1.055960673243165e-36,-7.540867906271141e-37,-1.9920017351101253e-36,2.4320570253626715e-38,-3.0609283650000523e-38,1.6671127285572033e-29,-8.445996811709363e-30,-5.449141514380334e-30,5.6137339593325424e-30,-1.1221987070894752e-29,2.8322628523768207e-30,5.4896428608871286e-30,4.581794430393085e-31,1.2770661239550045e-29,1.0734511346285805e-29,1.6894524145260992e-29,1.0790872969136301e-29,3.890388489863104e-38,1.9107386519629006e-38,-6.718573340556732e-39,-6.410041218692359e-39,-1.3187805513724284e-38,1.9014353070572974e-39,0.2002601474523544,-0.9118767976760864,-0.3020689189434051,-0.1929666399955749,0.0126714371144771,-0.0152794821187853,0.0128832664340734,-0.003347149118781,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-1.4409339033613435,-1.796502468962914,-0.5953171315903503,0.1710865769814942,1.6554416160854685e-15,1.3210542206437226e-15,-3.3845340621441235e-22,1.4549684140788064e-22,1.7198435053941972e-30,1.3392895968097893e-30,0.8720174486899973,0.1286589379040539,0.0006763865940513,40.57269287109375,-1.1629391722353948,-0.8829555876058285,-0.5480737606646389,-1.4477960571413258,0.1746577387581785,0.5808192080434472
baseline,1345.0,0.4989081002336564,0.0341885932675358,0.4665606424400397,0.000342664058768,1.3178665226370073e-12,0.9996670327525864,0.0002144347270902,0.0001185325203231,0.0009801228212348,0.8567198403303499,0.1423000368484153,1.0575102476580366e-05,1.3066880174446592e-06,5.125315601169737e-06,0.1385971271405206,0.8613581223394067,2.77434139774936e-05,0.4987419801768092,0.0292900461652825,0.4018757989296199,0.9351634944823162,0.0001958857323963,clean_balanced_ED_EQ,-3.3306439147209584e-31,1.3887152406504655e-30,-7.411788146574332e-33,-1.9558694224819542e-32,1.1900219748252682e-32,1.0010387066629969e-32,-3.2873466157551246e-24,1.2282468413189647e-24,7.539483445233193e-23,-7.127621769944708e-23,4.094641074651452e-23,1.0554177318025681e-23,-2.842913265168534e-39,1.0142015025329927e-38,-5.794153413865572e-40,-3.656862867741609e-39,3.422319459926834e-39,-6.485139909484907e-39,1.5398098247164123e-37,-8.38627453506176e-37,-1.4964186019065546e-36,-1.5096204214345307e-36,-5.1276939568750386e-39,-1.091942377089304e-38,7.873363556529474e-30,-9.327150936847033e-30,4.604038548633077e-31,1.4230674927892076e-30,-8.333767411392779e-30,7.904083257904892e-30,2.4035707246039393e-30,-1.6923568820221966e-30,1.0707814467206484e-29,3.248176173343475e-30,8.30516687499008e-30,1.3591714298007598e-30,6.100521391026615e-40,-4.2356045575475536e-39,-6.473415104016501e-39,-2.4019971084033115e-39,-6.443871770520046e-39,5.5687911957048056e-39,-0.4453608393669128,-0.8101405501365662,-0.2951296865940094,0.240509808063507,0.0031438695732504,-0.0098009593784809,0.0074010486714541,-0.0103069273754954,0.3851882219314575,0.9036946296691896,0.1869918406009674,0.0,-2.0904164621211603,-1.1919082531172205,-0.3045946633740627,0.5854611906747355,1.959110684273685e-15,4.9546812046061715e-16,-3.1576856555993287e-22,3.1728475289870186e-22,3.3022111464471644e-30,7.794423804229602e-31,0.8547799309378113,0.1451075079571842,0.0001125611050044,18.316593170166016,-1.211062847541322,-0.2904568903282732,-1.01604492599201,-1.0250087558509628,0.2073372920971672,0.2193180462995019
baseline,1405.0,0.3221716928542615,0.033952126816576,0.6437337995730416,0.0001423807561209,1.2441183159577272e-12,0.9994835964578066,0.0002155915183911,0.0003008120238022,0.0008529727390905,0.0602114995300195,0.93893552773089,3.022917337704518e-06,7.571390214497271e-07,9.360454845496844e-07,0.5691854872949417,0.4308015208029317,8.27580028293922e-06,0.3220053222508771,0.0020443084678594,0.2773214998483159,0.5004734768749798,0.0116751648991575,EQ_dominated_with_ED,-9.295954407725582e-32,1.2130623021183627e-30,-4.259081650254104e-33,1.7353253028271558e-32,1.9315709555653223e-32,8.50786848852533e-33,-2.7881740110952394e-24,2.0470588885164824e-24,8.991307128930877e-24,-2.763553940397784e-23,-1.1467978587542022e-22,4.3223275074656134e-24,-6.741677226113202e-40,7.295075217825923e-39,-9.290762630756783e-40,-3.5468299603459854e-39,1.6032393142947215e-39,-3.7482444508135566e-39,-2.2384251574422533e-38,-2.2477792536211717e-36,-1.8084510454805907e-36,-7.443098385961423e-37,-7.641605252924455e-39,-3.8826899981675327e-39,3.699902269646446e-31,-6.369054020559783e-30,3.268237104070422e-30,-3.466483456330734e-30,-3.638228439331776e-30,9.83553659025315e-30,1.078596906810496e-30,-1.9285748116949725e-30,8.551543819938746e-30,6.985107617999326e-31,-3.34146647919748e-30,3.5051346390980496e-31,-2.926979822734552e-38,-2.797766524093869e-39,-6.063767591437003e-39,-6.128174455453012e-40,-2.328213643900326e-39,5.687296744532601e-39,-0.8335358500480652,-0.4819119274616241,0.0310655832290649,0.2683492302894592,-0.0016911772545427,-0.0008954983786679,0.0048002335242927,-0.0081683853641152,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-2.228838892275177,-0.5609715787283888,0.0461761129496028,0.3888148343033029,1.7915956543411057e-15,1.4066863189867364e-16,-1.7586308956453607e-22,4.212508166125914e-22,3.923360537545936e-30,2.435240338259869e-31,0.9270247811429808,0.0730661446196516,9.092576263247663e-05,19.77109909057617,-1.0127040483696126,-0.077605664982939,-1.1252745334344847,-0.4631327502339956,0.0769567436068373,0.0250381115163565
erode_1px,1330.0,0.5192360239799004,0.0089750175385146,0.4715315707035631,0.0002573877780217,1.039638643250246e-12,0.999589054863022,0.0003037968648058,0.0001071482721721,0.0047686449260586,0.9226513002028142,0.0725800548711271,6.47998663842328e-06,6.950334465603893e-06,4.685056032334152e-07,0.1376380190448163,0.8623000255362503,4.805659222613266e-05,0.5190226464609021,0.0082808116012535,0.4066016854588307,0.9081256864446988,0.0021199039327004,clean_balanced_ED_EQ,-1.9521471205374024e-31,1.2501020187837898e-30,-5.778484447807201e-33,-2.1287237340137016e-32,1.1521782829920661e-32,6.232883225156842e-33,-2.6830140062867262e-24,2.1600166827163968e-24,2.5053712819900962e-23,-4.083917766083514e-23,-1.3352082152907674e-23,1.5161661902597694e-24,-2.4938290576797683e-39,6.667379589379052e-39,7.014034794709043e-40,-7.338886896662231e-39,1.7924241297605603e-39,6.714934220013945e-40,6.623947351054666e-38,-7.305978009938711e-37,-1.5649799428583003e-36,-9.604201278757613e-37,-1.0922922967471332e-38,-8.281889203431932e-39,3.753919647223882e-30,-7.948289917839514e-30,2.407484125544409e-30,-2.1352767594689267e-30,-6.16140484068789e-30,1.0083567389254841e-29,1.3407826672710845e-30,-1.609505945656258e-30,7.032874221576887e-30,1.5235174155532389e-30,4.6410023686170575e-30,6.912287588292853e-31,-1.136002539317938e-38,-4.8033357208207406e-39,-3.9947648994538376e-39,-1.1774017076467467e-39,-2.8021922250313883e-39,4.079194969017047e-39,-0.694515585899353,-0.6632165908813477,-0.0838751792907714,0.2656759023666382,0.0002781135553959,-0.0061530964449048,0.0054172039963305,-0.0090762972831726,0.373252123594284,0.9086896181106568,0.1869918406009674,0.0,-2.18174949509679,-0.8340882021531586,-0.0728309099095807,0.4586145717160918,1.8516800305033466e-15,3.0738041995679103e-16,-2.273370668098472e-22,3.7089094364232897e-22,3.7222335536990796e-30,5.2824340345253215e-31,0.9222460834204086,0.0777304560708969,2.346050869450611e-05,13.904824256896973,-1.1024771051926192,-0.1721617495229734,-1.0867005222171715,-0.6669025116093598,0.120138002964127,0.0737013622070591
erode_1px,1375.0,0.2145741867371435,0.1610027585622935,0.6242188895465558,0.000204165154007,2.939601841834052e-12,0.998032751475992,0.0018795731164617,8.767540754641232e-05,7.882992861393225e-05,0.0001609561313225,0.9997602139400634,9.58602531134562e-06,1.3043282625509685e-07,1.180156786669079e-05,0.8459134911976613,0.1540562116389486,8.779137385617617e-06,0.2141520659849946,2.5914381150446386e-05,0.0961647973570137,0.3437483074134687,0.0039322806249544,EQ_dominated_with_ED,-2.408571435575064e-31,1.4406690485359921e-30,-1.888511651916097e-34,-6.338779272639819e-32,1.3667747254136145e-32,-7.876194644447692e-34,-1.1865674857131792e-24,3.155376195921418e-24,2.8366576273343823e-24,-3.89323210211076e-24,3.781921534332741e-22,3.3149702788539826e-23,-3.728626301611528e-39,1.8129869546983559e-38,3.590625887242343e-40,2.1289929548753964e-39,3.3695619446288045e-39,-2.0258877571055279e-38,-3.0143248163342817e-37,3.8762331774637925e-36,-1.582060568949697e-36,-4.999907474786494e-37,-1.202295437601301e-38,3.5110257613770164e-39,4.6301070484982884e-30,-4.518291117107768e-30,6.131113362893158e-31,-5.4661056701255375e-30,-5.243211065074891e-30,9.984393940678363e-30,6.780635695104883e-31,-1.7122983614953753e-30,4.8466050379399424e-30,1.381145612083012e-30,1.9798960786818326e-29,2.2041100619488395e-30,1.999548594660721e-38,-1.6597730208115147e-39,-1.4359144314678449e-39,-9.309855480777233e-40,-2.2693651617570375e-39,3.9139770092022447e-39,-0.8674708604812622,-0.4756700992584228,0.118442565202713,0.0833933129906654,-0.0005407602875493,-0.0001972640166059,0.0047910590656101,-0.0106355035677552,0.4080877304077148,0.8935874104499817,0.1869918406009674,0.0,-2.240086026420113,-0.549348001800107,-0.0447398007102869,0.1325576671659654,1.882005578965132e-15,3.4215809926854487e-16,-1.2374934527055758e-22,3.984097243619e-22,4.5742740900440195e-30,7.212177917361405e-31,0.9787680684474002,0.0211191540864679,0.0001127774661319,43.32309722900391,-1.2289587088795588,-0.2054625137339144,-1.027831898654627,-0.324833605853599,0.0110780331008515,0.0080715935416118
dilate_1px,1300.0,0.0710048146681512,0.8189696005964209,0.1089867384950232,0.0010388462404046,5.518098954233758e-12,0.9426414259883124,0.0568008504225923,0.0005577235890951,0.0012532810858136,0.0216449707551057,0.9771017481590806,0.0011947212651654,0.0005258269917243,0.0001409014929919,0.3423768853721646,0.6509486177290164,0.0048130471489375,0.0669320797508219,0.0177265730542301,0.0709447667741291,0.6514995828725858,0.3701689819883949,MD_contaminated,-9.867979282374362e-31,-1.6249801502472292e-31,2.45167020872296e-31,-1.2682069906984244e-32,1.8086940453545076e-32,-1.6267358667318422e-32,7.291356516670092e-24,-3.6404856847016484e-23,1.5246115383338997e-22,-2.3723187875072212e-23,-1.0828379119966586e-22,1.0310110842646634e-21,-9.924999787937297e-38,-1.2025573477186484e-38,6.628095883790724e-38,2.4421339370569238e-39,3.29690122053057e-38,9.583446461980211e-39,1.1918555340928205e-36,1.079941072764072e-37,-6.813902419045584e-37,-1.502884928379364e-36,1.4153279843770165e-37,1.0085730180665727e-38,1.3281360058292338e-29,-9.128244086138233e-30,-8.051504442847454e-30,1.341728820228395e-29,-5.2298582148509916e-30,-4.2890382674819845e-30,2.810148404946838e-30,5.473810528159045e-30,-1.0064138808791643e-29,3.1256657475266025e-29,-3.6749639923145294e-30,4.667715069785183e-29,-6.806416864128967e-39,1.2948791849484402e-37,7.178592279643264e-39,-1.280457416499546e-38,-1.2510703131747172e-38,-1.9613102052009e-39,0.7394195795059204,-0.1472698301076889,0.476794570684433,0.4478878676891327,0.0516979470849037,0.0140502229332923,0.0276716202497482,0.0350534059107303,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-0.3539301289043463,-1.1562745978746711,0.6022665411504101,0.2973842151359362,-1.9969202451584192e-16,6.81084213407389e-16,-2.5004045596506153e-22,1.6454981442474509e-22,-1.6206326005535404e-32,-7.867665594858432e-31,0.5712998039139284,0.4299310644904595,0.001230868404388,135.83023071289062,0.1466156978335961,-0.8903497488708805,-0.4952375734499325,-1.0923037040047945,0.0713977879801913,0.4588501846351703
dilate_1px,1345.0,0.5162113665034793,0.0645957585716948,0.4185052139332481,0.0006876609915777,1.502241604154464e-12,0.9980241543396692,0.0019661145457535,9.731114577011889e-06,0.0009881521144211,0.5482826782845621,0.4507291696010167,3.990439030939885e-05,2.6054446793651465e-05,2.51706276355849e-06,0.1543758574297981,0.8454770526777688,7.861399256640961e-05,0.5151914125151601,0.0354167355155118,0.3538365548065617,0.8107245231114595,0.0035046924217934,clean_balanced_ED_EQ,-5.4615318505192485e-31,1.4502357863979982e-30,-7.868347663141983e-34,-6.877708850849936e-32,4.7583092822326176e-33,8.796075822641345e-34,-4.7860284639726726e-24,1.958291858402398e-24,1.0139187055534961e-22,-6.750625240508365e-23,1.041946028223473e-22,3.661879869950614e-23,-7.460450261837324e-39,1.9297482404994182e-38,3.132628936546367e-39,-1.6421649277318422e-38,4.327813358661729e-39,-2.875823155749609e-39,2.75342754281946e-37,-8.672802276532161e-37,-1.2894010503615353e-36,-1.6947349875818447e-36,-6.86267911666877e-39,-1.9353206027714494e-38,7.363459403332952e-30,-7.061553600505023e-30,8.808779059100353e-31,1.5239653601339512e-30,-8.244335820019534e-30,5.5375887988298666e-30,3.2095669384232814e-30,-1.4878122269925729e-30,1.7567801673433685e-29,8.56115321727601e-30,1.6478162190135717e-29,4.8154308392496136e-30,1.962280334219918e-38,1.1726662345639078e-39,-1.015154634775111e-38,-5.981954894807947e-39,-1.0217296637709287e-38,6.227757061492636e-39,-0.263200432062149,-0.8964715003967285,-0.3373480141162872,0.1098999008536338,0.0122281070798635,-0.0179319996386766,0.0149377267807722,-0.0189804714173078,0.3851882219314575,0.9036946296691896,0.1869918406009674,0.0,-1.9411209853543956,-1.4184527691255548,-0.4351367957368874,0.4787754980485772,1.939281975042301e-15,7.663916131920525e-16,-3.3701191976310147e-22,2.675347608360381e-22,2.8543352964049563e-30,1.0830832961977e-30,0.8734067016750616,0.1264650648124415,0.0001282335124968,23.847227096557617,-1.2647133333532332,-0.4762861471678951,-0.8754832325122458,-1.1506986633551572,0.1963707394283704,0.2949415185056286
dilate_1px,1405.0,0.5377466737584702,0.004081360372781,0.4579526424814393,0.0002193233873094,9.006635730612333e-13,0.999566043036983,0.0003054948050744,0.0001284621579426,0.0081192949962855,0.9616663785233818,0.0302143264803326,2.5152790512875527e-06,4.042328632648779e-06,6.947148080303711e-07,0.1321657997644305,0.8677948954625029,3.205245057462732e-05,0.5375133148450534,0.0039249070491412,0.3974089655089576,0.8516140867607291,0.0014170788164481,clean_balanced_ED_EQ,-1.635913225633079e-31,1.327378102490199e-30,-7.305341940202506e-33,-2.221049674185037e-32,1.3688328933889458e-32,6.519892325923073e-33,-2.1215469029709976e-24,2.3259205394567667e-24,1.688195714402794e-23,-2.9813814438529793e-23,5.417550449270825e-24,2.7443490090008056e-24,-1.2894418283043308e-39,4.6192362437373976e-39,-8.013815839821026e-40,-6.026716348449283e-39,2.0908310823224863e-39,1.4074722931291017e-39,4.288728019171568e-38,-7.761638943350381e-37,-1.7455282707574772e-36,-9.59551822259271e-37,-1.0776979458145683e-38,-5.513835203805488e-39,1.6299506914293004e-30,-4.647145291227529e-30,2.990454060109038e-30,-3.5726950765557914e-30,-4.620405638175706e-30,8.219839481145953e-30,1.3663729080534818e-30,-1.9460608522001293e-30,9.7045953238887e-30,1.5728574514151752e-30,5.1860523496498014e-30,3.968152188631018e-31,-1.0577830893544112e-38,-3.860994070571781e-39,-6.060091768973565e-39,-1.3203995469393346e-39,-4.263516504744751e-39,7.006193327416714e-39,-0.7452356219291687,-0.6039997339248657,-0.0501104444265365,0.2776854336261749,0.000483313400764,-0.0057938424870371,0.0048261401243507,-0.0100188385695219,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-2.2179863233571115,-0.745063675723516,-0.0374715585404124,0.4494832968577353,1.848788149058105e-15,2.41706713715205e-16,-2.21157190321533e-22,4.037081492340797e-22,3.792129991133753e-30,4.375891020452529e-31,0.9202256129760716,0.0797439254435638,3.0461580364682384e-05,14.718497276306152,-1.1081386139537597,-0.1365713816583808,-1.086122024359992,-0.597063012458857,0.0830225905906331,0.0470112208965087
round_s1,1330.0,0.4872974696913317,0.0570490646328471,0.455238515807187,0.000414949868634,1.5210323797801404e-12,0.9996493197536648,0.0002807643160128,6.991593032233516e-05,0.0007250320215739,0.7609301852707647,0.2383447827076614,1.7659228682600293e-05,2.3563744777459443e-06,7.934932162140275e-06,0.1568011723206248,0.8431286768308667,4.220031318606867e-05,0.4871265840946219,0.0434103553205962,0.3838246474749612,0.9342107113659922,0.0008877694308813,clean_balanced_ED_EQ,-4.58759063644016e-31,1.4098701531260038e-30,-5.131409633503923e-33,-2.431171528751489e-32,9.138148888069752e-33,8.380746320032744e-33,-4.076779373954251e-24,3.939631946715877e-25,1.0759654450657387e-22,-7.764605536105911e-23,7.072296781354181e-23,2.264805086228211e-23,-4.4574795746480594e-39,1.3235823679266063e-38,-1.7226008912854412e-40,-5.0988050725504216e-39,4.6297400819976727e-39,-8.137033440263762e-39,2.42212183587716e-37,-8.985054276794753e-37,-1.3197409243071004e-36,-1.7072492670383913e-36,-2.2270656726986887e-39,-1.5103089846559362e-38,1.0593411428161152e-29,-9.743185815873152e-30,-1.115941451097025e-30,2.9223160609224065e-30,-9.477471044983726e-30,6.820871534816743e-30,3.1111438244741567e-30,-1.5300151723506896e-30,1.1223073198240537e-29,4.4029242890188216e-30,1.0576998215877653e-29,2.5607763304942063e-30,9.020948837275428e-39,-2.4684134774558677e-39,-6.603731182381907e-39,-3.0887643033290383e-39,-7.786060183342911e-39,4.980161500929099e-39,-0.2898093461990356,-0.8674371242523193,-0.3735068738460541,0.1534666717052459,0.0048648598603904,-0.0108199277892708,0.0084816040471196,-0.0096023026853799,0.373252123594284,0.9086896181106568,0.1869918406009674,0.0,-1.967148223897736,-1.376439169587061,-0.4374518792450109,0.5539556578789266,1.9639424211339048e-15,6.711886385992853e-16,-3.393282420849518e-22,2.6891090873055505e-22,2.9629442425223153e-30,9.611266257723291e-31,0.8365773593742726,0.1632235459586116,0.0001990946671157,21.176559448242188,-1.2433781737494038,-0.4045840714337784,-0.916409924728188,-1.18549038184925,0.2284140514921654,0.3165204277670135
round_s1,1375.0,0.5035212421833853,0.0116305688788218,0.4846242060113883,0.0002239829264045,1.0485988348385764e-12,0.9997222275291184,7.963556590286879e-05,0.0001981369049789,0.0030748058651129,0.9894221596310708,0.0075030345038161,2.6793503571374586e-06,4.556196605184301e-07,1.358011847534778e-06,0.1533252018568996,0.846649361247304,2.0943913931019097e-05,0.5033813778438027,0.0115075425778218,0.4103067744645238,0.962470230471201,0.00156952941501,clean_balanced_ED_EQ,-1.8900973567576103e-31,1.3240913756510185e-30,-6.58132494248147e-33,-9.959377782995442e-33,1.6155447344071927e-32,9.672412655092836e-33,-2.8523326368407783e-24,1.812912138008406e-24,3.33908990043703e-23,-5.060242853336158e-23,4.287636086096879e-24,3.0803972584910914e-24,-1.1892808406086056e-39,5.0104723963315285e-39,-8.338435053533554e-40,-1.9530131905320515e-39,2.023129155135513e-39,-3.0574579785370404e-39,6.947444854332317e-38,-8.68303792734768e-37,-1.71066734603327e-36,-1.1240680290940352e-36,-8.001298202227595e-39,-6.294982004246964e-39,4.1045939674406994e-30,-8.101675994565609e-30,2.1192483626446843e-30,-1.1929478685653414e-30,-6.223841110133265e-30,9.294623253154893e-30,1.6756068782483446e-30,-1.9477129284894155e-30,8.282337890520788e-30,1.581426981336293e-30,4.5728343630329215e-30,4.402097590864688e-31,-1.072937542677816e-38,-4.402677652503628e-39,-5.183201005238225e-39,-1.2714753259615404e-39,-4.0780497671910994e-39,5.607526923873799e-39,-0.671833336353302,-0.6686109900474548,-0.1203789412975311,0.2947583496570587,-0.0005515589145943,-0.0051951454952359,0.0061589777469635,-0.0088313091546297,0.4080877304077148,0.8935874104499817,0.1869918406009674,0.0,-2.208751769528767,-0.8683068465695298,-0.0937684862533466,0.5190622339316764,1.887334127465913e-15,2.856256850718924e-16,-2.5168476755064855e-22,3.836929896215111e-22,3.7021769133569e-30,4.982904519607455e-31,0.8984279816017998,0.1014894992287395,8.251916946067084e-05,15.650660514831545,-1.129512450560557,-0.1612342272208861,-1.1113850510838148,-0.7302836561609688,0.143987145788747,0.095012440752519
