h_nm,r11_re,r11_im,r22_re,r22_im,t21_re,t21_im,t12_re,t12_im,R_f,R_b,T,reciprocity_resid,unitarity_resid
200.0,0.0899553298950195,-0.4521768689155578,-0.2543622553348541,-0.3844853043556213,-0.8706387877464294,0.1711748838424682,-0.8706390261650085,0.1711745113134384,0.21255588215879928,0.21252910620446822,0.7873127395870547,4.422909640929521e-07,0.00013137825414599735
202.5,0.1231533512473106,-0.4139948189258575,-0.2267064899206161,-0.3676042854785919,-0.894006609916687,0.118548147380352,-0.8940064311027527,0.118548035621643,0.186558458020897,0.18652874327435257,0.813301481822041,2.1086591035216014e-07,0.00014006015706202746
205.0,0.1520017385482788,-0.3708098530769348,-0.2006804943084716,-0.3468409776687622,-0.9139963388442992,0.0621164925396442,-0.913995325565338,0.0621156506240367,0.16060447566063732,0.1605713245861153,0.8392477660662109,1.3174050794372488e-06,0.00014775827315183232
207.5,0.1755905449390411,-0.3231275677680969,-0.1768931150436401,-0.3223597109317779,-0.9298373460769652,0.0020181224681437,-0.9298375844955444,0.0020171338692307,0.13524346452371552,0.13520695738186186,0.8646015629777507,1.0169420975150287e-06,0.0001549724985338008
210.0,0.1930321753025055,-0.2716341614723205,-0.1559755504131317,-0.2944124341011047,-0.9407550692558287,-0.0614133551716804,-0.9407545924186708,-0.0614147149026393,0.1110465383807879,0.11100705368001666,0.8887917005239823,1.4409170537592837e-06,0.00016176109522980653
212.5,0.2035201042890548,-0.2172204107046127,-0.1385564506053924,-0.2633714079856872,-0.9460074305534364,-0.1276567727327346,-0.9460071325302124,-0.127657800912857,0.08860513967650839,0.08856238854872785,0.911226310286852,1.070500913657404e-06,0.0001685500366396253
215.0,0.2063834071159362,-0.160969853401184,-0.1252219527959823,-0.2297396659851074,-0.9449343085289,-0.1960038244724273,-0.9449341297149658,-0.1960047483444214,0.06850540443678095,0.06846085158898793,0.9313183466428087,9.410174730066868e-07,0.000176248920410349
217.5,0.2011538594961166,-0.1041419729590416,-0.1164808571338653,-0.1941511929035186,-0.9370048642158508,-0.2655760049819946,-0.9370055198669434,-0.2655768990516662,0.05130842572198518,0.051262475784499224,0.9485087299863615,1.1087104819857044e-06,0.00018284429165338345
220.0,0.1876121759414672,-0.0481226593255996,-0.1127233505249023,-0.1573565006256103,-0.9218628406524658,-0.3353604078292846,-0.9218621253967284,-0.3353617191314697,0.03751411890205977,0.03746762204269769,0.962297700115258,1.4936881169076484e-06,0.00018818098268225114
222.5,0.1658322513103485,0.0056398059241473,-0.1141875833272934,-0.1201949566602706,-0.8993628621101379,-0.4042525887489319,-0.8993622660636902,-0.4042540192604065,0.02753214298552064,0.0274856317926919,0.9722737132531523,1.5497207641601562e-06,0.00019414376132709243
225.0,0.1361964344978332,0.0557082705199718,-0.1209371015429496,-0.0835582092404365,-0.8695967793464661,-0.4711150825023651,-0.869595468044281,-0.4711161255836487,0.021652880174248927,0.021607756861078263,0.9781479796109567,1.6755691524589773e-06,0.00019914021479439104
227.5,0.099388375878334,0.1007438749074935,-0.1328474134206771,-0.0483378022909164,-0.8328948020935059,-0.53484046459198,-0.8328930139541626,-0.5348420143127441,0.0200273775911097,0.01998497838288002,0.9797680739193453,2.3662368346785554e-06,0.00020454848954498672
230.0,0.0563590377569198,0.1395765095949173,-0.149611160159111,-0.0153798013925552,-0.7898108959197998,-0.5944161415100098,-0.7898091077804565,-0.5944167971611023,0.022657943167585955,0.022620037535029596,0.9771318006012846,1.9045526157224724e-06,0.00021025623112946867
