lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
1300.0,0.546552386541969,0.1127405993597494,0.2406188278551186,0.1000881862431627,3.598909283476697e-12,0.6648955452312026,0.1302156612868007,0.2048887934819964,0.2709556556212905,0.6479007884346248,0.0811435559440847,0.0169795935750944,0.0090610761097962,0.0012343835549776,0.0450873945368371,0.900309070202212,0.0273284820210824,0.3634002470472375,0.0730447232137738,0.2166313131793879,0.4402484259148722,0.0410267913259411,mixed_higher_order,-1.0585719217127048e-31,1.878954148658477e-30,-8.119724643493883e-32,8.288678664747822e-31,-1.2778582314697524e-31,1.036843440317133e-30,1.587452092918776e-22,3.9462970948318827e-23,2.39493621202016e-22,8.138916151569396e-23,7.569836571296726e-23,-4.777899415558081e-23,-2.408660700825597e-37,3.8279025232860976e-37,1.7874361787190365e-37,-2.7785798808278723e-37,6.212246240453181e-38,-1.0493242253880669e-37,-2.492555158336646e-37,4.576511320703695e-37,4.025980117920724e-37,-2.2936228711837243e-36,-7.027527339192388e-38,3.99584533821679e-37,7.777936705885336e-29,1.0845317529985079e-29,-2.8248948357749653e-31,-8.875473287622279e-30,-7.749688439871692e-29,-1.9698432675855122e-30,4.29998415863354e-28,4.994804578429146e-29,-7.411333105172889e-29,-1.6119484961344644e-28,-3.560193064455094e-30,-1.2937899230064626e-29,-9.56009449161678e-38,1.4682892499766178e-38,-2.4089626658692107e-39,1.462830667350428e-37,3.0553948403031165e-37,3.524791696814501e-38,-0.0034890389069914,0.1964431703090667,-0.8225330114364624,-0.1183564364910125,-0.2897739112377167,0.0502024926245212,-0.4267881512641907,0.0455942079424858,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-1.0330376999429989,-0.640756845505178,-1.113824721417988,0.5851686619651331,3.298850239010808e-15,8.83358857056744e-17,-3.919897300030267e-22,-2.5776698007955626e-23,8.064950891474212e-30,4.652270681890045e-31,0.1250913024532907,0.8747957588189952,0.0001129387277141,31.14811134338379,-0.9116989319798728,-0.0513636211473499,0.15735920587092,-0.8964839939727622,-0.1317289211878056,0.3876220833927528
1301.0,0.5476941366709215,0.1073242165727682,0.2422725307305426,0.1027091160257677,3.595423511673267e-12,0.6613901897643755,0.1292667911911412,0.2093430190444832,0.2914315381360938,0.620723146861218,0.0878453150026882,0.0171480543154371,0.0090996447779514,0.0012695907800311,0.0452183305038826,0.8992166945572191,0.0280476850654785,0.3622395289856165,0.0666186254454635,0.2178555042655308,0.4423500536324173,0.0413069939469729,mixed_higher_order,-9.5939299181435e-32,1.8784576355480835e-30,-6.511102690891148e-32,8.289841616208353e-31,-1.094456533885048e-31,1.0525242842263782e-30,1.6164683023214665e-22,3.639826124369833e-23,2.301060083282516e-22,7.434328587642752e-23,7.567692197072301e-23,-5.048305287791377e-23,-2.302463974592061e-37,3.946390232031426e-37,1.7354671158067149e-37,-2.840015365625864e-37,5.669968281517126e-38,-1.106373448950508e-37,-2.406451136945609e-37,4.66180877380575e-37,3.583895686867877e-37,-2.311904856104768e-36,-6.055222082899307e-38,4.087223031880204e-37,7.694329167057896e-29,8.998456497879987e-30,2.6493694008359857e-30,-8.390075222114766e-30,-7.959266367882845e-29,-6.083830683620084e-31,4.382606125912417e-28,4.199057460465821e-29,-7.774040405473506e-29,-1.6015903985884842e-28,-4.337865530530608e-30,-1.2740685463955788e-29,-9.622822632820067e-38,1.460441103538149e-38,8.33987667340347e-40,1.4636372733814131e-37,3.1120646300182244e-37,2.995975564334609e-38,0.0043179597705602,0.1803903132677078,-0.8299515247344971,-0.096298798918724,-0.2868384718894958,0.0573050156235694,-0.4251478612422943,0.054047342389822,0.3492030799388885,0.9181999564170836,0.1869918406009674,0.0,-1.040836308646822,-0.6591233685690467,-1.106102709330079,0.6127479776485942,3.299146102214427e-15,7.402276820881684e-17,-4.069931700084584e-22,-2.0833282278671258e-23,8.093474947005816e-30,4.174741103597703e-31,0.1181194836689205,0.881764811220605,0.0001157051104744,31.77673721313477,-0.9107574331501692,-0.0465155179479016,0.1398646624183026,-0.9022410820358472,-0.1202326360597329,0.3721419039841076
1302.0,0.5492506965168082,0.1016618356745518,0.243450739114983,0.1056367286936568,3.5894418858493308e-12,0.6575115338834545,0.1282104931395576,0.2142779729769877,0.3152559515055895,0.589211528177424,0.0955325203169866,0.0174135926937703,0.009166140853246,0.0013238357132196,0.0454751500789657,0.8977689978010611,0.028852282859737,0.3611386679533224,0.0599003255551248,0.2185625260691859,0.4432415664811686,0.0416270321444061,mixed_higher_order,-8.578154022974332e-32,1.8774099504098963e-30,-4.9244209463532967e-32,8.28430643761417e-31,-9.021504009339067e-32,1.0690751431605222e-30,1.6453830680229358e-22,3.314841484741028e-23,2.1935822521351176e-22,6.733987496340168e-23,7.57767762595241e-23,-5.286574886975097e-23,-2.193849296452247e-37,4.068357771410441e-37,1.6815198843135727e-37,-2.9014323198382264e-37,5.123297334393068e-38,-1.1669254515722151e-37,-2.324312782131075e-37,4.742784442060434e-37,3.115595803643539e-37,-2.325991397607092e-36,-4.995968473699952e-38,4.177277546628164e-37,7.619360312775559e-29,7.172053350591394e-30,5.6511596458094724e-30,-8.018890128003292e-30,-8.18447621197052e-29,8.468389024564119e-31,4.468842705606837e-28,3.358376410481756e-29,-8.132112499707125e-29,-1.5898990394886529e-28,-5.1302046562820494e-30,-1.2467063382179237e-29,-9.68991966148891e-38,1.457634436349109e-38,4.0509591280858655e-39,1.4632411116958585e-37,3.1726645675418303e-37,2.4387825215499873e-38,0.0115575995296239,0.1636251509189605,-0.8366187810897827,-0.0732878521084785,-0.2834963798522949,0.0641513839364051,-0.4233351647853851,0.0622392371296882,0.350054383277893,0.9178757071495056,0.1869918406009674,0.0,-1.0496826807947766,-0.6775823582954067,-1.0969716552720172,0.6408174333537542,3.2988929164886205e-15,5.909302317617338e-17,-4.222047892226312e-22,-1.5095195948024552e-23,8.12123345194916e-30,3.675827695103112e-31,0.1113923655704525,0.8883884785211826,0.0002191559083648,32.44874572753906,-0.9095503537863706,-0.041558653850358,0.1214021493600878,-0.9063446379416272,-0.1088226342339315,0.3544874403403334
1303.0,0.5509506504742384,0.0961369746061059,0.244194673122306,0.1087177017973495,3.583279545706864e-12,0.6534735601312398,0.1271801793928515,0.2193462604759085,0.3414095270990722,0.5540504521206554,0.1045400207802724,0.0177294455556965,0.0092489380812705,0.0013893341660695,0.0458578691839821,0.8960656322648355,0.0297087807481458,0.3600316830220229,0.0532647342460249,0.218814454167044,0.4432242214654109,0.0419666911477795,mixed_higher_order,-7.534913385072175e-32,1.8762433276894173e-30,-3.323424948761639e-32,8.277229734948106e-31,-7.016575905037311e-32,1.0856379866728952e-30,1.6733590783608732e-22,2.980808503646522e-23,2.0779441418098492e-22,6.086732419877902e-23,7.596752196373628e-23,-5.545301415527214e-23,-2.0801859284507444e-37,4.189800711700148e-37,1.625939840120676e-37,-2.961641136156019e-37,4.5424590661965e-38,-1.2281574637493036e-37,-2.240410830739354e-37,4.824867795491236e-37,2.643547510511415e-37,-2.336603907316011e-36,-3.916114592838544e-38,4.263785119149853e-37,7.542804530381597e-29,5.3977900598453634e-30,8.720214225217019e-30,-7.807851164248704e-30,-8.414826412012964e-29,2.4100609404356032e-30,4.555965067124579e-28,2.4768229300580575e-29,-8.495295481453292e-29,-1.576995845411983e-28,-5.927180561854586e-30,-1.2155354732709505e-29,-9.7601009414751e-38,1.4572636630253186e-38,7.33933397352322e-39,1.4620391607482273e-37,3.234150363167727e-37,1.851777319646864e-38,0.0179926063865423,0.1465778201818466,-0.8424551486968994,-0.0498862788081169,-0.2799656987190246,0.0710928589105606,-0.4212699830532074,0.0706557855010032,0.3509041368961334,0.9175512194633484,0.1869918406009674,0.0,-1.0595407493291558,-0.6955968110873831,-1.0868295422545422,0.6687901050677003,3.2986495938640112e-15,4.361921190783605e-17,-4.3726444255890875e-22,-8.699859358437592e-24,8.149834553545178e-30,3.153651977355707e-31,0.1052437783011513,0.8946799570256495,7.626467319910013e-05,33.15277099609375,-0.9082875496255142,-0.0364764415903127,0.1028502904867135,-0.9090829261220648,-0.0982873684595805,0.3355423689030648
1304.0,0.5528971925416631,0.090480287080835,0.2444720753727193,0.1121504450047825,3.5741481628775456e-12,0.6489516939842439,0.1261268785688725,0.2249214274468836,0.3717427472831326,0.5131267444463059,0.1151305082705615,0.018137754303504,0.0093522981986141,0.0014764822441528,0.0463113438474304,0.8940941777589885,0.0306279436473101,0.358803569699045,0.046427855146356,0.2185810592154049,0.4421655213130736,0.0423724193552743,mixed_higher_order,-6.470981920873037e-32,1.873918112047108e-30,-1.7381491720229602e-32,8.264393721597918e-31,-4.865286824220401e-32,1.1027990533771186e-30,1.7010965302164826e-22,2.6148020466298842e-23,1.947183413334388e-22,5.45111639807807e-23,7.620712718710818e-23,-5.801933546711453e-23,-1.957851787143892e-37,4.315530520572608e-37,1.564179572574115e-37,-3.0220439130076784e-37,3.9367242947936247e-38,-1.293486091781924e-37,-2.1523112689994885e-37,4.902795387918064e-37,2.1388826887300802e-37,-2.3429250956409643e-36,-2.7068887061803594e-38,4.345974123830025e-37,7.47184123016888e-29,3.542313575542546e-30,1.1889396664857437e-29,-7.685367828670719e-30,-8.660781422963976e-29,4.143055897844896e-30,4.646624422011096e-28,1.522232036761027e-29,-8.844847592375155e-29,-1.563071405602955e-28,-6.789344579002103e-30,-1.1849381364882221e-29,-9.835940565489597e-38,1.4590955287798775e-38,1.0535278419640882e-38,1.4600149465824417e-37,3.2990012599770762e-37,1.218248812667675e-38,0.0239480473101139,0.1284347474575042,-0.8472741842269897,-0.0251207891851663,-0.2761234641075134,0.0776287019252777,-0.4192220866680145,0.0788745805621147,0.3517521917819977,0.9172264337539672,0.1869918406009674,0.0,-1.0705583195525945,-0.7140508889284094,-1.0746325065379947,0.6974574114846734,3.2970287916430104e-15,2.7753828661526306e-17,-4.527098325435037e-22,-1.2635847110450668e-24,8.174969017474595e-30,2.620460943134342e-31,0.0993393761177772,0.9004729547159303,0.0001876691662925,33.903472900390625,-0.906466238704752,-0.0313019368606901,0.0830881361106715,-0.9101447230811228,-0.0879560621241388,0.3141862561047431
1305.0,0.5551264821987305,0.084920837549998,0.2440918984249227,0.1158607818263486,3.5638562047241964e-12,0.6440615180874268,0.125060612372254,0.230877869540319,0.4057051565107682,0.4667203762768583,0.1275744672123734,0.01864147562319,0.0094947028574032,0.0015800172838274,0.0468794058978053,0.8917502487351634,0.0316541496026104,0.3575356048554473,0.039634285255081,0.2176690111346631,0.4397050154374368,0.0427717699928353,mixed_higher_order,-5.399631318197466e-32,1.871111004750181e-30,-1.0216236729417368e-33,8.248530409741035e-31,-2.62422279905903e-32,1.1204402584384891e-30,1.7276302257884514e-22,2.234642549097223e-23,1.8038589038931817e-22,4.869543523750576e-23,7.639158180298887e-23,-6.088345782698844e-23,-1.8316691814174441e-37,4.44177113087541e-37,1.502289629362969e-37,-3.082324415493706e-37,3.293796279627339e-38,-1.359446804853588e-37,-2.05895647335972e-37,4.978638493283485e-37,1.6280646633662693e-37,-2.3441224517050744e-36,-1.461881186344166e-38,4.424681700547422e-37,7.399089227414591e-29,1.7997130764166633e-30,1.5161399224468273e-29,-7.79085493722851e-30,-8.915229413824248e-29,5.991141860811847e-30,4.739213946857294e-28,5.226841452987576e-30,-9.2076949475297e-29,-1.548054348115754e-28,-7.627778702347709e-30,-1.1506195086538376e-29,-9.9113930262149e-38,1.4647012940120086e-38,1.387199153759567e-38,1.4573159436690487e-37,3.366537886952216e-37,5.52467986665564e-39,0.0290490761399269,0.1099569350481033,-0.8511391878128052,7.15619171387516e-05,-0.2720722556114197,0.084378570318222,-0.4168837666511535,0.087379902601242,0.3525988161563873,0.9169013500213624,0.1869918406009674,0.0,-1.0824862845211616,-0.7320969626244118,-1.0610838317642357,0.7259198238502251,3.294709104010585e-15,1.156990770422022e-17,-4.679801466445795e-22,6.91016658288274e-24,8.196630311142373e-30,2.07221865771599e-31,0.0940774317921889,0.9058652444276056,5.73237802053983e-05,34.70326232910156,-0.9044147933113024,-0.0260995014737611,0.0631477470755712,-0.9092148182147376,-0.0785119299797441,0.2908372073584401
1306.0,0.5574714774230765,0.0795601144536776,0.2431541070950008,0.119814301028245,3.552313299878645e-12,0.6389385648325902,0.123863927352675,0.237197507814735,0.4435490746337198,0.4149137945781224,0.1415371307881578,0.0192522006328905,0.0096620823944894,0.0017092814516138,0.0474847855691258,0.8891158606468116,0.0327757893050686,0.3561900257198041,0.033010588985045,0.2161921731995787,0.4361731800503692,0.0432234451117044,mixed_higher_order,-4.3173294484132576e-32,1.867696982905193e-30,1.5269076143936314e-32,8.22413916034452e-31,-2.663199693106759e-33,1.1382737952017672e-30,1.7532795843072097e-22,1.8365294523936112e-23,1.6487498298517045e-22,4.34406707588122e-23,7.656880839806501e-23,-6.367093758236423e-23,-1.697355589796917e-37,4.571666908663532e-37,1.4353226110320469e-37,-3.142431031655477e-37,2.620330376182921e-38,-1.429236638312884e-37,-1.961434795098524e-37,5.047812220757186e-37,1.1066093847555695e-37,-2.340753463798879e-36,-1.4842036428851595e-39,4.499202028759252e-37,7.32464300011701e-29,-2.5611724989445845e-32,1.8532112968757162e-29,-7.971148506534667e-30,-9.177854826538408e-29,7.996762631027969e-30,4.833212554085941e-28,-5.383786995069013e-30,-9.557908701266443e-29,-1.5306871588052684e-28,-8.533298974924416e-30,-1.1177887164055569e-29,-9.992405714484803e-38,1.4694351535078154e-38,1.716030608277751e-38,1.4525095764246808e-37,3.435892939212014e-37,-1.5513272549290613e-39,0.0333376228809356,0.0908342599868774,-0.8538775444030762,0.0258841533213853,-0.2675744593143463,0.0908695608377456,-0.4141753911972046,0.0957706198096275,0.3534435629844665,0.916576087474823,0.1869918406009674,0.0,-1.095581427868632,-0.7499881693167166,-1.0459863425888072,0.7542983339571043,3.291816422053411e-15,-4.725690390021138e-18,-4.831954739344455e-22,1.5968850720860484e-23,8.218072225121896e-30,1.517252589133005e-31,0.0892156282509246,0.91049011652107,0.0002942552280053,35.540706634521484,-0.9020733576529442,-0.0208521398667471,0.0428563548282766,-0.906518256505122,-0.0699860138936712,0.2656253379231766
1307.0,0.5601450349086357,0.0743202787639937,0.2412774508484731,0.1242572354788975,3.539021285238187e-12,0.6330585203861901,0.1227547296097626,0.2441867500040474,0.4861328247381598,0.3553507027144897,0.1585164725473505,0.0200243142444186,0.0098799781299622,0.0018716737470611,0.0484506179140728,0.8857380400503525,0.0340353759141325,0.3546045870009316,0.0264097632847219,0.2137086164228718,0.4307410327895301,0.0437119572981062,mixed_higher_order,-3.2272557729770664e-32,1.86311364947338e-30,3.1553196893201807e-32,8.199367347978653e-31,2.2159870529145548e-32,1.1570815783325109e-30,1.7774649951270273e-22,1.4208326226406542e-23,1.4744564970074397e-22,3.875077598614845e-23,7.706767555162446e-23,-6.654623249804147e-23,-1.5556564358501389e-37,4.7058098958311485e-37,1.3652595204750807e-37,-3.202541721055356e-37,1.90396881563217e-38,-1.5032678277452073e-37,-1.8645962326199727e-37,5.122649803104644e-37,5.751609279610774e-38,-2.3301421498727227e-36,1.225267320162962e-38,4.567421505351685e-37,7.264743719668592e-29,-1.842283977039712e-30,2.1967234104192537e-29,-8.319548734990742e-30,-9.461468192426704e-29,1.0161830222173758e-29,4.932121460850132e-28,-1.661739919882909e-29,-9.911198724111255e-29,-1.5131708215220404e-28,-9.4229967858549e-30,-1.0773921985130677e-29,-1.0077087089487778e-37,1.481499775831535e-38,2.048161089053655e-38,1.447626656742196e-37,3.5102810865649527e-37,-9.066560978509355e-39,0.0368069261312484,0.07123863697052,-0.8555502891540527,0.052444115281105,-0.2629834413528442,0.0973071977496147,-0.4114708304405212,0.1042162477970123,0.3542869687080383,0.9162504076957704,0.1869918406009674,0.0,-1.1095330088720154,-0.7675559912398309,-1.0290875940941229,0.7826699418993223,3.287444773629947e-15,-2.151220319416165e-17,-4.983258494545453e-22,2.589554377928244e-23,8.23354752868718e-30,9.444573625320136e-32,0.0850586743683162,0.9148859531075016,5.537252418230665e-05,36.45735549926758,-0.899171174724237,-0.0155752997963575,0.0222405454726787,-0.9010283891460148,-0.0623824933846972,0.2373636922870114
1308.0,0.5629967172353729,0.0694113393797943,0.2385277484785676,0.129064194906265,3.5248816508975333e-12,0.6267568829180848,0.1215272254112673,0.2517158916706478,0.532500275768307,0.2897167244999929,0.1777829997316999,0.0209574921636886,0.010147526391694,0.0020690036177402,0.0494604765708751,0.8819376239246697,0.0354278773313321,0.3528620675875567,0.0201096258882713,0.2103665957332892,0.4236752030275977,0.044233406710691,mixed_higher_order,-2.137779662992844e-32,1.8578089441242865e-30,4.8034741555889416e-32,8.167086858269027e-31,4.867611721095321e-32,1.176424670774858e-30,1.800038487997665e-22,9.789822225569509e-24,1.2832726719677917e-22,3.482578931438576e-23,7.744189715074761e-23,-6.965936039647337e-23,-1.4072033510364652e-37,4.842639143379804e-37,1.2928376912284612e-37,-3.262258687137951e-37,1.1436567283996695e-38,-1.5803806233096662e-37,-1.7622240147251468e-37,5.186913493320696e-37,3.203996990480555e-39,-2.313229843677161e-36,2.697958456889591e-38,4.628457302155506e-37,7.211984251142685e-29,-3.655416364860394e-30,2.5457198826307174e-29,-8.894997779949311e-30,-9.757704400171855e-29,1.2550414810805845e-29,5.033519093580349e-28,-2.871112275023283e-29,-1.025964064683018e-28,-1.4939832060151095e-28,-1.037979820459391e-29,-1.0371086975127917e-29,-1.016568466476969e-37,1.4950590559960282e-38,2.38155977877625e-38,1.4416409276359062e-37,3.5879604295976287e-37,-1.718020824002892e-38,0.039326287806034,0.0508276522159576,-0.855862021446228,0.079903669655323,-0.2580212652683258,0.103559210896492,-0.40857994556427,0.1126483902335167,0.3551287055015564,0.9159244298934937,0.1869918406009674,0.0,-1.12493840754042,-0.7850632281883545,-1.0102043803299987,0.8110304561160103,3.282264270196408e-15,-3.837818327374304e-17,-5.134547186631237e-22,3.694334129995871e-23,8.24760413797384e-30,3.6497000361616687e-32,0.0814294906345612,0.9185116279179152,5.888144752375091e-05,37.43827438354492,-0.8959255488698197,-0.010309410039106,0.0012370402923179,-0.8931214762445091,-0.0560210361880974,0.2064282424341433
1309.0,0.5660037825680331,0.0649732784701125,0.2346614427696991,0.1343614961921553,3.510043502656817e-12,0.6197364447789198,0.1202998519775068,0.2599637032435734,0.5814463009497716,0.2190044377366326,0.1995492613135959,0.0221108458290965,0.0104768898208537,0.0023159781077696,0.0507644119154836,0.87733924658475,0.0369926277420463,0.3507731719401335,0.0142294363192526,0.2058776934020582,0.4145934179185331,0.0448295016222951,mixed_higher_order,-1.0267555922335167e-32,1.851320471157617e-30,6.446694512765586e-32,8.131237337159168e-31,7.674687607170452e-32,1.1966019251493113e-30,1.8207296885811835e-22,5.1330845833177805e-24,1.0718753769991472e-22,3.173436668070696e-23,7.807216769691367e-23,-7.273841004701633e-23,-1.2512002414901793e-37,4.983996650735438e-37,1.217018161535805e-37,-3.3212678270981447e-37,3.418181436566205e-39,-1.6627304158569752e-37,-1.6610497298617462e-37,5.249136848540013e-37,-5.169391964162057e-38,-2.288254654916787e-36,4.2383322805278387e-38,4.680754241533883e-37,7.16000403875596e-29,-5.422150788813349e-30,2.912474032854804e-29,-9.694109370795049e-30,-1.0072478071610764e-28,1.5116260827643558e-29,5.139475158421885e-28,-4.1501625454334426e-29,-1.060444034728514e-28,-1.473360414275043e-28,-1.1405390987867637e-29,-9.907311455660776e-30,-1.0262256313884815e-37,1.515317008592347e-38,2.7142957571010917e-38,1.4344822704271134e-37,3.67042976971163e-37,-2.584952197324383e-38,0.0408350341022014,0.0299365073442459,-0.854720950126648,0.1080768629908561,-0.2527675628662109,0.1096191108226776,-0.4053982198238373,0.1211872547864914,0.3559688627719879,0.9155982732772828,0.1869918406009674,0.0,-1.1415216036143654,-0.8020386445873714,-0.9893266730481663,0.8392929685184161,3.27583560564728e-15,-5.592046983392689e-17,-5.284019844152952e-22,4.902903824066421e-23,8.259166253186364e-30,-2.4148470891304583e-32,0.0784714847769784,0.9212625782583664,0.0002659369646552,38.50368881225586,-0.8921144479262098,-0.0049477306203382,-0.0199281693081636,-0.8821293974129314,-0.0510091518167739,0.1722909878244126
