kind,name,h_nm,order,lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
p0750_fine,P0750_H0250_seed011,250.0,9,1328.0,0.1157760087252324,0.6435135676039877,0.14682220047547404,0.09388822319530588,4.555728887325912e-11,0.09133010229196507,0.03937714087957626,0.8692927568284587,7.652991967945271e-05,0.9689814294066432,0.030942040673677233,0.03017063337923026,0.002666702126145213,0.015626488271351255,0.0033212567940055777,0.9461848896734836,0.002030029755784094,0.010573834719830916,0.6235526965794805,0.13892094755850448,0.7885456582880478,0.040034326921859896,MD_contaminated,-5.343999150903083e-31,1.0653562703815311e-30,5.952083769463685e-31,5.081408865688142e-31,3.207511295716763e-30,1.798062890789051e-30,-2.3281143708684632e-23,7.255061882467788e-24,-1.349868164033491e-21,2.3889264365831614e-21,1.3143440510686587e-22,-4.723862154050105e-22,1.5208527625499895e-36,9.366135650458604e-37,-3.552335700990392e-37,-3.946970737451129e-37,-1.1656195771600148e-36,-5.4191645876253835e-37,2.953507210158387e-38,4.1799792910460475e-37,6.113373299102499e-36,3.556879063195638e-36,-1.7060244455802216e-37,-2.796825373915455e-37,1.202747440605552e-28,-2.1720160154347295e-28,1.035599450157439e-28,-2.100686586251446e-28,-2.238346890762991e-28,4.2727026016861755e-28,7.903785911926658e-28,-1.4816448248163615e-27,-1.7650762572115809e-28,-6.046608361675237e-29,-5.61049965373402e-29,7.787209866734135e-29,-1.3432434034513264e-37,9.886550709937698e-38,1.312650857793342e-37,8.389624897676711e-38,7.0964817973838976e-37,-1.2658392013232972e-36,-0.546680212020874,-0.3667018711566925,0.14296254515647888,0.5470208525657654,-0.08669494092464447,0.2215903401374817,-0.15851452946662903,0.4058731198310852,0.37163519859313965,0.9093521237373352,0.1869918406009674,0.0,-1.9180122324213023,-0.6838454723067986,0.4265708145462341,0.5533704405913015,2.294159302139584e-15,1.9246133612365952e-16,-4.0371081583765693e-22,7.650878061345777e-22,6.072238976229744e-30,-2.260335128435502e-31,0.48994780814917965,0.5095299479128403,0.0005222439379799493,412.2687683105469,-0.506029000962813,-0.2538323213237539,2.2897707311690274,1.3322329873768646,-3.784971507550988,-2.138706517528661
p0750_fine,P0750_H0250_seed011,250.0,9,1328.8,0.094771238582531,0.6480381160289826,0.1798358261513932,0.07735481923709314,7.381755754274183e-11,0.0955646230667954,0.02687513167988119,0.8775602452533234,0.0010547707235763495,0.9712511043769213,0.027694124899502254,0.020864680422430216,0.0014225102288099787,0.01182649728887527,0.0013771125320526823,0.9605747987734191,0.003934400754412783,0.009056777692712913,0.6294077358714889,0.17274576251762613,0.5269875341899265,0.03198206165365762,MD_contaminated,-9.016727779064201e-31,1.0785534464833749e-30,6.415389358530262e-31,3.797495433814206e-31,4.084870974642115e-30,1.2090955694052463e-30,-5.604210396651044e-23,1.0131438976502302e-22,-1.016710435314725e-21,3.3630570749360155e-21,5.515911023981374e-23,-5.907016643916173e-22,1.991644228130402e-36,6.5407778590631e-37,-4.514780923675649e-37,-3.094720022668196e-37,-1.5401664472458702e-36,-3.4460597348444365e-37,-1.6966144232270536e-38,3.8043931427063416e-37,9.5951216090857e-36,3.01504869144492e-36,-5.4870536023231506e-37,-3.3652493485026114e-37,8.598230107532524e-29,-2.908902926824532e-28,6.450593866643277e-29,-2.6341293492212157e-28,-1.50488239741758e-28,5.5430329570509735e-28,5.157214440292479e-28,-1.8736909018418046e-27,-1.7663384638227577e-28,-4.2635875786295963e-29,-4.3563336803601033e-29,1.0870878477760701e-28,-1.1756582813801874e-37,1.2553783315881824e-37,1.4037571468192383e-37,5.923292290130563e-38,4.890442039888754e-37,-1.6484486184835807e-36,-0.6855406165122986,-0.25617870688438416,0.3596993088722229,0.3254031538963318,-0.05719346925616264,0.22795580327510834,-0.06672075390815735,0.4103706181049347,0.37228259444236755,0.9090871810913086,0.1869918406009674,0.0,-1.9478158023781549,-0.5067222215835497,0.5070835265647295,0.13869853706303,2.2144416357800046e-15,5.559250669419817e-16,-2.1068093868561975e-22,8.014205696489871e-22,5.7151396175498546e-30,5.633814885804918e-31,0.5908284079213731,0.40812650857473365,0.0010450835038932071,600.2958374023438,-0.5119890438450011,-0.42802383593188953,3.589537365380804,1.1279304606349125,-5.325158410515209,-1.6098876721495412
p0750_fine,P0750_H0250_seed011,250.0,9,1329.6,0.07993597808486179,0.6450594464320143,0.21218473789867773,0.06281983758444623,1.1455518979113353e-10,0.13704105850158926,0.015233365843918495,0.8477255756544921,0.0031678358709206354,0.9718079361878289,0.025024227941250476,0.01481041978870437,0.0007275556730946631,0.009218361488753204,0.0007626481820800658,0.9683553521635114,0.006125662703856248,0.010954511049109302,0.6268738893555592,0.20547022659159644,0.37672821747920787,0.02277499356139827,MD_contaminated,-1.3618385271566744e-30,1.3652554748687722e-30,6.149751409506024e-31,1.874934521293104e-31,4.793353949142057e-30,-1.621155953655196e-31,-2.667196206858457e-23,2.4825541037362463e-22,1.1205578429827442e-22,4.37176823824591e-21,-1.2685043318267039e-22,-6.902020862828164e-22,2.3938997744183185e-36,-3.827571529192099e-38,-5.130379157875801e-37,-1.355915270097857e-37,-1.8808621649032186e-36,1.738672917402627e-37,-1.0478724354129182e-37,3.6960413166692272e-37,1.3687435710165607e-35,-2.238526113927161e-37,-1.0817131598819504e-36,-1.2383100574450215e-37,-1.0615626155585437e-29,-3.6248903642980096e-28,-2.2750227963087778e-29,-3.0242500157701435e-28,3.336585056322167e-29,6.64914083516595e-28,-1.1090906260361594e-28,-2.1808941793338574e-27,-1.6596840973303164e-28,-2.0719729497770503e-29,-5.715361688468719e-30,1.3911416956436914e-28,-7.70023794887497e-38,1.47458197161779e-37,1.3556689388647386e-37,2.2109350903132348e-38,-6.442197381794915e-38,-1.9828799744065923e-36,-0.7720456719398499,-0.01981034316122532,0.46330583095550537,-0.10866300016641617,-0.0154806487262249,0.21982981264591217,0.05121201276779175,0.352875679731369,0.3729291558265686,0.908822238445282,0.1869918406009674,0.0,-1.8537683105596432,-0.2729196032473544,0.30118603704976293,-0.4346548110801084,2.382992557266727e-15,1.0769798244486965e-15,5.2843416234866303e-23,7.0369679136578125e-22,5.856140959483083e-30,1.8343600043603822e-30,0.6450117662701413,0.35360385620014206,0.0013843775297166516,840.7328491210938,-0.6476964793376565,-0.6460754310840912,5.114313114944977,-0.0836425734157182,-6.918214722032062,0.17732549722997576
p0750_fine,P0750_H0250_seed011,250.0,9,1330.4,0.07041455454179672,0.6363634797591139,0.24280262864965085,0.0504193370494385,1.4474540681807854e-10,0.2182894214238187,0.006340154527146566,0.7753704240490348,0.006219805797176337,0.9710496509287679,0.022730543274055704,0.010742476939671087,0.000343044149317868,0.007368306128897404,0.0008335401667352457,0.9723700074350196,0.008342625180358873,0.015370752370744733,0.6179405348839037,0.2360939938253033,0.290007381441494,0.013748597899573818,MD_contaminated,-1.574746358563766e-30,2.0319328653745943e-30,4.374634141191595e-31,2.3875079879754115e-32,4.371591469962969e-30,-2.088791083136298e-30,1.2844623233629724e-22,3.6938723841737096e-22,2.058853351225967e-21,4.431623537842146e-21,-3.869317552931736e-22,-6.397101887118234e-22,2.2227583496630294e-36,-1.0453081988959115e-36,-4.3130967085274605e-37,8.146595889021638e-38,-1.7914487533219612e-36,9.638419850982325e-37,-2.01150849557973e-37,4.4001130572523975e-37,1.5040326598536412e-35,-6.844403755917503e-36,-1.4314013452434443e-36,5.420653125026912e-37,-1.654487424190975e-28,-3.5512770919470958e-28,-1.3919961972165373e-28,-2.6786603728916364e-28,3.0464835073589905e-28,6.229937008644644e-28,-9.761602772946272e-28,-1.970668133372374e-27,-1.3956540754619784e-28,-8.373324871179695e-30,5.65383401544639e-29,1.3775457932876758e-28,-1.896995865527855e-38,1.352822668391851e-37,1.016583037282655e-37,-9.687878705332411e-39,-8.832950004839395e-37,-1.8593532031199215e-36,-0.6530007123947144,0.2739923298358917,0.19617769122123718,-0.6091139316558838,0.019597239792346954,0.18190008401870728,0.11754100024700165,0.2027129977941513,0.3735746741294861,0.908557116985321,0.1869918406009674,0.0,-1.5698202455355372,-0.13662516608892566,-0.3773146382128019,-0.8093784119822129,2.985491620470135e-15,1.4454031125622039e-15,2.197016035230391e-22,3.89339425404159e-22,7.068275084941417e-30,2.9642293105923404e-30,0.5349534195703961,0.4644139144839409,0.0006326659456630246,966.4616088867188,-0.9633979873047683,-0.7466326758173484,5.613064446115436,-2.5543381073212856,-7.008717209896655,3.2561251631985595
p0750_fine,P0750_H0250_seed011,250.0,9,1331.2,0.06515936673147599,0.6236561528234258,0.2711006085688617,0.0400838718762366,1.3441784751220985e-10,0.3296222221202362,0.0016995123565088496,0.6686782655232549,0.010070375236779323,0.9690518358389059,0.02087778892431477,0.007936905630082751,0.0001388948212921494,0.00601892688474872,0.001240546143435787,0.9741582523017963,0.010506474218644325,0.021477975253976506,0.6043551398257699,0.26409489504139566,0.2403512374075877,0.006518667457633646,MD_contaminated,-1.2559296652370965e-30,2.64929493485608e-30,2.0802725364928834e-31,3.2338133887183964e-32,2.7539059264054595e-30,-3.1391511604062634e-30,3.2606168043393833e-22,3.4582792275076405e-22,3.464203746804172e-21,3.120650551237179e-21,-5.349080621259789e-22,-4.268887643006781e-22,1.4109909942548007e-36,-1.627216846688838e-36,-2.261822384127491e-37,1.7325926834963092e-37,-1.1848089082192191e-36,1.453958057933536e-36,-2.1686448599525192e-37,5.616839336797458e-37,1.1374534098130176e-35,-1.246169019837532e-35,-1.2097428641980817e-36,1.2675884352408545e-36,-2.6931808134847345e-28,-2.435655250273299e-28,-1.9541222818052097e-28,-1.6306418991105753e-28,4.647303095289944e-28,4.0662971493838745e-28,-1.4323460310505633e-27,-1.2290818644392395e-27,-1.1470567168634555e-28,-1.7403576823301628e-29,9.897240235843767e-29,9.37427555084487e-29,1.3059166495732163e-38,8.637296646863234e-38,5.748200738095377e-38,-8.495010063572361e-39,-1.3694267821622152e-36,-1.2091774536682546e-36,-0.361213743686676,0.3851998746395111,-0.344042032957077,-0.7591332197189331,0.02060873433947563,0.13502320647239685,0.05956140533089638,0.055418841540813446,0.37421923875808716,0.9082918167114258,0.1869918406009674,0.0,-1.2831550617436778,-0.25194743845256085,-1.1083517937409109,-0.5816475380909,3.667149536906854e-15,1.2766860522661086e-15,1.0736084900825029e-22,5.674345967175275e-23,8.720270207792337e-30,2.895151526033753e-30,0.29751029826760134,0.7012669747247896,0.001222727007609059,825.3681640625,-1.2553522816035367,-0.5951146284415495,4.239886521450415,-4.645126723499632,-4.93241651801101,5.475427479606278
p0750_fine,P0750_H0250_seed011,250.0,9,1332.0,0.06322025661092945,0.60818856392174,0.2970372100756153,0.03155396939171514,1.0262306961081332e-10,0.4538674218250271,0.0014522892338755466,0.5446802889410973,0.014642861083937678,0.9660072910655726,0.01934984785048969,0.0059353643936547506,4.01246749898158e-05,0.0050013967600896075,0.0018141217063434734,0.9746147301889946,0.012594262275927878,0.028693614875119178,0.5875145870911009,0.28949684035393747,0.2128361513860024,0.0020360853865376213,MD_contaminated,-7.593929941386369e-31,2.8656683973713226e-30,8.087737930252494e-32,1.4690513973287381e-31,1.2828088909353468e-30,-2.983562243470487e-30,4.367977200556436e-22,2.331652965536757e-22,3.6690246644416124e-21,1.6467083569514626e-21,-5.20901393589484e-22,-2.2940538967648126e-22,6.45877708613613e-37,-1.5795872043049153e-36,-6.116413137375341e-38,1.2627974968262924e-37,-5.847136629937843e-37,1.4533072240054774e-36,-1.6224436218794936e-37,6.4709848238232e-37,6.406245632393821e-36,-1.407348193379455e-35,-7.140896364292439e-37,1.6061863812438692e-36,-2.7871531247149413e-28,-1.2660426850953552e-28,-1.765592533608884e-28,-7.333302513385726e-29,4.552745314529368e-28,1.9993728791348514e-28,-1.3440305095531977e-27,-5.6745612970891425e-28,-1.057039720701316e-28,-3.3869959528761795e-29,1.0287872651955373e-28,4.6712845547056126e-29,8.269484314939256e-39,4.1273803724777327e-38,3.281979161056185e-38,1.3278228962653418e-38,-1.345335720386358e-36,-5.855507106391064e-37,-0.13259455561637878,0.2987208664417267,-0.7409496307373047,-0.5730664730072021,0.0016604193951934576,0.10861115902662277,-0.04629520699381828,-0.0013889820547774434,0.374862939119339,0.9080263376235962,0.1869918406009674,0.0,-1.17760081030862,-0.46916704109336155,-1.4269222050318207,-0.07616154526372597,3.995762712827941e-15,8.366502865034804e-16,-1.2923279363062364e-22,-8.1866238043046e-23,9.690646238387582e-30,2.030878595417179e-30,0.11861461308447514,0.8795567132364115,0.001828673679113324,586.2862548828125,-1.3570639867332632,-0.3596176323361094,2.385076816466731,-5.239626672684111,-2.6011798302205946,5.795678945478695
p0750_fine,P0750_H0250_seed011,250.0,9,1332.8,0.06370983324611117,0.5912754861108689,0.3203097377898489,0.02470494285317115,7.536353980010843e-11,0.5708414470251182,0.004606765255773684,0.42455178771910806,0.01976918317921654,0.9622053969513279,0.018025419869455547,0.004503050532403857,6.295198149964012e-06,0.004226722292868603,0.0024524273934654135,0.9742502802004188,0.014561224382693378,0.036368213399939085,0.5689284638208979,0.3120618517926829,0.19890070681494662,0.0005054279531322361,MD_contaminated,-3.8907267531134155e-31,2.8370375374171145e-30,4.517600312031757e-32,2.5324985762199236e-31,4.574918059666781e-31,-2.4268094591117134e-30,4.696506195117062e-22,1.276867362234222e-22,3.323695343780041e-21,6.944460890148546e-22,-4.499126405597174e-22,-1.1644887409237074e-22,2.0646222623900496e-37,-1.3089654646028282e-36,2.012898848746475e-38,4.527372296919362e-38,-2.2659126106894534e-37,1.263691500681519e-36,-9.859181208511432e-38,6.844384791003099e-37,2.8794525876322408e-36,-1.347846060499777e-35,-2.9942143291237205e-37,1.6581636556098185e-36,-2.482857423876883e-28,-5.371138063097739e-29,-1.3580947978771303e-28,-2.5977813925450407e-29,3.8409523366277247e-28,7.968920317195615e-29,-1.0816582186427124e-27,-2.0249246309271166e-28,-1.0643364116977793e-28,-4.5565094154613084e-29,9.021679871130257e-29,1.7344639530999106e-29,-9.046355838741684e-39,1.564780449195242e-38,2.5738832867306573e-38,3.3684674441497715e-38,-1.1342494775439877e-36,-2.2118671990235264e-37,-0.025777542963624,0.16558584570884705,-0.9165786504745483,-0.32518213987350464,-0.015479686670005322,0.09962385892868042,-0.12676246464252472,0.0005970943602733314,0.3755055069923401,0.907760739326477,0.1869918406009674,0.0,-1.192813031095403,-0.6375898515951828,-1.4470454178046304,0.33640688452560724,4.0517659282803936e-15,4.628012237245627e-16,-3.1959083315070223e-22,-8.337836043689164e-23,9.99990468880394e-30,1.1898325506482101e-30,0.038247687987598734,0.9619289255623781,0.00017661354997677847,405.9002685546875,-1.3426991501551204,-0.18413839915728636,1.0707478174099692,-5.012074981486324,-1.0963051782057571,5.247037133341075
p0750_fine,P0750_H0250_seed011,250.0,9,1333.6,0.06603841094934929,0.5732869844058391,0.3415418809134219,0.019132723731389627,5.628411480994285e-11,0.672473935374266,0.009838718288721073,0.31768734633701284,0.025567123920796925,0.9574686485472854,0.016964227531917533,0.003428999183263943,1.0813980309918814e-05,0.0036089238110002435,0.003116734653296924,0.9733408251755219,0.016493703196607083,0.044409110096971925,0.5489043141888075,0.33243665620026996,0.1933537719378242,0.0013948687969643908,MD_contaminated,-1.5284492021956633e-31,2.7336436142707578e-30,4.948492832000854e-32,3.27452175558227e-31,5.803954017524255e-32,-1.880941375519256e-30,4.689305787652808e-22,4.9670739654951116e-23,2.8815272230974085e-21,1.5531469659112015e-22,-3.793004868117742e-22,-6.060422040012277e-23,-1.2094567908999461e-38,-1.0337033875032861e-36,5.185651367338442e-38,-2.6099989300086095e-38,-3.976194576438496e-38,1.0598035859981728e-36,-4.5671447929647155e-38,6.9541218024051864e-37,7.057982687325786e-37,-1.2295468895320716e-35,-1.0395466343925228e-38,1.6031602373280458e-36,-2.1275745742399706e-28,-1.3605540879947962e-29,-9.788544310222536e-29,-5.256816086975781e-30,3.1064293507115253e-28,1.8862358046452811e-29,-8.289770832643063e-28,-2.994164545900888e-29,-1.1023755861635344e-28,-5.195817728894573e-29,7.518695980674064e-29,1.2948904371005466e-30,-2.6302574865463403e-38,2.939934316705149e-39,2.6410876240378224e-38,4.791645487341299e-38,-9.154239554241505e-37,-3.5722123207557453e-38,0.009892469272017479,0.04806502163410187,-0.9702755212783813,-0.11638407409191132,-0.02591761201620102,0.09827771782875061,-0.17738892138004303,0.021923817694187164,0.37614721059799194,0.9074950814247131,0.1869918406009674,0.0,-1.2498057242397724,-0.7462740422590136,-1.3570133483866604,0.6140848078454412,4.002433172601975e-15,2.0353975426220405e-16,-4.463555663068712e-22,-3.515148328600642e-23,1.0014363971341866e-29,5.613942403051121e-31,0.012738339687234344,0.9869273231049291,0.0003343372078364881,289.0988464355469,-1.292989279528736,-0.07229429697515427,0.26214202448285934,-4.566686050354464,-0.24504445465395583,4.546268205470018
p0750_fine,P0750_H0250_seed011,250.0,9,1334.4,0.0695477057341948,0.5554285544797826,0.36023864629066654,0.014785093495356194,4.389545866891418e-11,0.751595878367511,0.01567905925398316,0.23272506237850588,0.031740698128929073,0.9520655598002287,0.01619374207084214,0.002636915403247221,3.858161201730504e-05,0.0031256286446083824,0.0037521892501676726,0.9721422304402063,0.018304454649752954,0.052271768979737315,0.528804397649826,0.3502032010957691,0.19306009072130118,0.003881108430699301,MD_contaminated,-7.334165181934856e-33,2.626354359733079e-30,6.596846920184136e-32,3.7355473660438377e-31,-1.216204501142444e-31,-1.4563821164486004e-30,4.572348213094834e-22,-4.922038564009265e-24,2.5003958344482284e-21,-1.401226115431513e-22,-3.247507610122513e-22,-3.4802422942189934e-23,-1.1372789666137297e-37,-8.157964661944379e-37,6.021576919872404e-38,-7.937764845154563e-38,5.351212331639885e-38,8.951740015282247e-37,-4.87314117597554e-39,6.947523789306805e-37,-5.958009274877064e-37,-1.1167244704183879e-35,1.8334774354170247e-37,1.5235421904350184e-36,-1.8333778778743196e-28,8.051676933595355e-30,-6.879366540115319e-29,2.102303572053985e-30,2.5213148204516516e-28,-1.015398050564934e-29,-6.336801083134903e-28,4.436282196594935e-29,-1.1409959831409335e-28,-5.468824013476134e-29,6.258184216597507e-29,-7.103534841882478e-30,-3.9975068901042806e-38,-2.9226741070780428e-39,2.9467302041539086e-38,5.678568720272726e-38,-7.4100108967556095e-37,5.392117381827221e-38,0.012000007554888725,-0.041000667959451675,-0.9698899984359741,0.03816291689872742,-0.031005989760160446,0.09888947010040283,-0.20677176117897034,0.0454166978597641,0.37678802013397217,0.9072291851043701,0.1869918406009674,0.0,-1.3119239328580197,-0.8109024386139618,-1.245258174347806,0.7899423325854193,3.9271692680831205e-15,3.2654426947110406e-17,-5.254302217829491e-22,2.190028989627163e-23,9.923486654581184e-30,1.2442547269944082e-31,0.012565553652184234,0.9869602549578912,0.0004741913899245498,217.67689514160156,-1.2414976603192094,-0.0034669156049041785,-0.22102242642322917,-4.142678211979798,0.22094292678235752,3.9425811986617108
p0750_fine,P0750_H0250_seed011,250.0,9,1335.2,0.07385715415560438,0.5377773849940043,0.3769815832369643,0.011383877613427061,3.553098905870699e-11,0.8112076498844115,0.02140218042481235,0.16739016969077603,0.038396655658077004,0.946021020190343,0.015582324151580045,0.0020381437652667515,7.981842020942268e-05,0.0027338288894339915,0.004363359961086842,0.9707220394553292,0.020062809508673746,0.05991348844971853,0.5087487103873228,0.3659443313168849,0.19591714141955582,0.007256213145329749,MD_contaminated,8.728152416340041e-32,2.531279662962867e-30,8.48110077730678e-32,4.025600631838152e-31,-1.993070451454157e-31,-1.1331332136576583e-30,4.434884827029593e-22,-4.4978642029378715e-23,2.190625048124012e-21,-3.1125598770922533e-22,-2.830220913928926e-22,-2.3194938263705637e-23,-1.6005330737134968e-37,-6.482157828957116e-37,5.866726539143208e-38,-1.183923144409732e-37,1.0138602496450517e-37,7.666081243812574e-37,2.753489516591375e-38,6.9024495481294655e-37,-1.4283877488259117e-36,-1.0204026028144767e-35,3.210490558763253e-37,1.446058345350464e-36,-1.6025004780257692e-28,2.0312525084391028e-29,-4.6599116028183356e-29,3.6860982327121245e-30,2.0684914069008615e-28,-2.3998620424518884e-29,-4.85591588971085e-28,7.362230934103528e-29,-1.174838489068055e-28,-5.546941081193872e-29,5.254178577793787e-29,-1.1688261948149654e-29,-5.059115620754541e-38,-5.6366985301816484e-39,3.3018358228479117e-38,6.240761582446863e-38,-6.060857328896651e-37,9.783493715221755e-38,-0.0003957184962928295,-0.10951347649097443,-0.9476923942565918,0.154340922832489,-0.03295426815748215,0.09976612776517868,-0.22428402304649353,0.06678436696529388,0.3774278163909912,0.9069631695747375,0.1869918406009674,0.0,-1.370572654346009,-0.8505832625784635,-1.1369866551712322,0.9059224479296988,3.851642840462445e-15,-8.470053137668123e-17,-5.76769344466883e-22,7.671725857970443e-23,9.80601742287488e-30,-1.8840324519559907e-31,0.023032622165320715,0.9767054692574509,0.0002619085772282981,171.89439392089844,-1.1958381994227583,0.0412339190432495,-0.5292498008648974,-3.780821242589672,0.49048903632788743,3.4520703576435396
