tag,lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
baseline,1300.0,0.4251427561227266,0.18445325642425514,0.38971344099326727,0.0006905464597510843,2.2765429526307797e-12,0.9992334971712881,0.0007337172975124765,3.278553119949729e-05,0.0009279563290024777,0.39737327417809193,0.6016987694929057,0.00011353123224825453,1.4408569777644184e-05,4.9047585376458196e-05,0.26440191652739087,0.7351734164600134,0.0002476796251933337,0.42481688299755216,0.07329679443811743,0.28650696185540814,0.91666489756859,0.01674346097570332,mixed_higher_order,-9.78602785792953e-31,1.2889159201576536e-30,1.1959668911023324e-32,-4.2190309577767513e-32,7.568193711081816e-33,-5.352808198037497e-33,-6.465788737209818e-24,-7.282296986534621e-24,1.929875362201441e-22,-5.803314735107909e-23,2.0110313481916141e-22,1.4509266134026317e-22,-2.225191339320701e-38,3.010055285572159e-38,5.3625246817689144e-39,-1.220952223060222e-38,1.6889379242433182e-38,-1.7891036401736613e-38,7.187195905166191e-37,-1.055960673243165e-36,-7.540867906271141e-37,-1.9920017351101253e-36,2.4320570253626715e-38,-3.0609283650000523e-38,1.6671127285572033e-29,-8.445996811709363e-30,-5.449141514380334e-30,5.6137339593325424e-30,-1.1221987070894751e-29,2.8322628523768207e-30,5.4896428608871286e-30,4.581794430393085e-31,1.2770661239550045e-29,1.0734511346285805e-29,1.6894524145260992e-29,1.0790872969136301e-29,3.890388489863104e-38,1.9107386519629012e-38,-6.718573340556732e-39,-6.410041218692359e-39,-1.3187805513724284e-38,1.9014353070572978e-39,0.20026014745235443,-0.9118767976760864,-0.30206891894340515,-0.19296663999557495,0.012671437114477158,-0.015279482118785381,0.012883266434073448,-0.0033471491187810898,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-1.4409339033613437,-1.7965024689629139,-0.5953171315903503,0.17108657698149426,1.6554416160854683e-15,1.3210542206437226e-15,-3.3845340621441235e-22,1.4549684140788064e-22,1.7198435053941972e-30,1.3392895968097893e-30,0.8720174486899973,0.12865893790405397,0.0006763865940513369,40.57269287109375,-1.1629391722353948,-0.8829555876058285,-0.5480737606646389,-1.4477960571413258,0.1746577387581785,0.5808192080434472
baseline,1345.0,0.4989081002336564,0.03418859326753582,0.46656064244003975,0.00034266405876805944,1.3178665226370073e-12,0.9996670327525865,0.00021443472709021616,0.000118532520323153,0.0009801228212348084,0.8567198403303499,0.14230003684841536,1.0575102476580366e-05,1.3066880174446592e-06,5.125315601169737e-06,0.13859712714052067,0.8613581223394067,2.7743413977493597e-05,0.49874198017680926,0.029290046165282566,0.40187579892961994,0.9351634944823162,0.00019588573239630132,clean_balanced_ED_EQ,-3.3306439147209584e-31,1.3887152406504657e-30,-7.411788146574332e-33,-1.9558694224819542e-32,1.1900219748252682e-32,1.001038706662997e-32,-3.2873466157551246e-24,1.2282468413189647e-24,7.539483445233193e-23,-7.127621769944708e-23,4.094641074651452e-23,1.0554177318025681e-23,-2.842913265168534e-39,1.0142015025329928e-38,-5.794153413865572e-40,-3.6568628677416093e-39,3.422319459926834e-39,-6.485139909484908e-39,1.5398098247164125e-37,-8.38627453506176e-37,-1.4964186019065546e-36,-1.5096204214345307e-36,-5.127693956875039e-39,-1.0919423770893041e-38,7.873363556529473e-30,-9.327150936847032e-30,4.604038548633077e-31,1.4230674927892076e-30,-8.33376741139278e-30,7.904083257904892e-30,2.403570724603939e-30,-1.6923568820221966e-30,1.0707814467206483e-29,3.248176173343475e-30,8.30516687499008e-30,1.35917142980076e-30,6.100521391026615e-40,-4.235604557547554e-39,-6.473415104016501e-39,-2.4019971084033115e-39,-6.443871770520046e-39,5.5687911957048056e-39,-0.44536083936691284,-0.8101405501365662,-0.2951296865940094,0.24050980806350708,0.003143869573250413,-0.009800959378480911,0.007401048671454191,-0.010306927375495434,0.3851882219314575,0.9036946296691895,0.1869918406009674,0.0,-2.0904164621211603,-1.1919082531172205,-0.3045946633740627,0.5854611906747355,1.9591106842736846e-15,4.954681204606171e-16,-3.1576856555993287e-22,3.1728475289870186e-22,3.302211146447164e-30,7.794423804229602e-31,0.8547799309378113,0.1451075079571842,0.00011256110500446059,18.316593170166016,-1.2110628475413219,-0.29045689032827327,-1.01604492599201,-1.0250087558509628,0.20733729209716723,0.2193180462995019
baseline,1405.0,0.3221716928542615,0.033952126816576,0.6437337995730416,0.00014238075612097673,1.2441183159577272e-12,0.9994835964578066,0.00021559151839118453,0.0003008120238022362,0.0008529727390905635,0.060211499530019544,0.93893552773089,3.022917337704518e-06,7.571390214497271e-07,9.360454845496845e-07,0.5691854872949417,0.43080152080293177,8.27580028293922e-06,0.3220053222508771,0.00204430846785943,0.27732149984831594,0.5004734768749798,0.01167516489915754,EQ_dominated_with_ED,-9.295954407725582e-32,1.2130623021183627e-30,-4.259081650254104e-33,1.7353253028271558e-32,1.9315709555653225e-32,8.50786848852533e-33,-2.7881740110952394e-24,2.0470588885164824e-24,8.991307128930876e-24,-2.763553940397784e-23,-1.1467978587542022e-22,4.322327507465613e-24,-6.741677226113202e-40,7.295075217825924e-39,-9.290762630756783e-40,-3.5468299603459854e-39,1.6032393142947215e-39,-3.7482444508135566e-39,-2.2384251574422538e-38,-2.2477792536211714e-36,-1.8084510454805907e-36,-7.443098385961423e-37,-7.641605252924455e-39,-3.8826899981675327e-39,3.699902269646446e-31,-6.369054020559783e-30,3.268237104070422e-30,-3.466483456330734e-30,-3.638228439331776e-30,9.83553659025315e-30,1.0785969068104959e-30,-1.9285748116949725e-30,8.551543819938746e-30,6.985107617999326e-31,-3.3414664791974796e-30,3.5051346390980496e-31,-2.926979822734552e-38,-2.7977665240938692e-39,-6.063767591437004e-39,-6.128174455453012e-40,-2.328213643900326e-39,5.687296744532601e-39,-0.8335358500480652,-0.48191192746162415,0.03106558322906494,0.26834923028945923,-0.0016911772545427084,-0.0008954983786679804,0.0048002335242927074,-0.008168385364115238,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-2.228838892275177,-0.5609715787283888,0.0461761129496028,0.38881483430330294,1.7915956543411057e-15,1.4066863189867364e-16,-1.7586308956453607e-22,4.2125081661259134e-22,3.9233605375459356e-30,2.4352403382598695e-31,0.9270247811429808,0.07306614461965161,9.092576263247665e-05,19.771099090576172,-1.0127040483696126,-0.07760566498293901,-1.1252745334344847,-0.46313275023399564,0.07695674360683734,0.02503811151635653
erode_1px,1330.0,0.5192360239799004,0.008975017538514624,0.47153157070356316,0.00025738777802173084,1.039638643250246e-12,0.999589054863022,0.00030379686480589785,0.00010714827217216776,0.00476864492605863,0.9226513002028142,0.07258005487112719,6.47998663842328e-06,6.950334465603893e-06,4.685056032334152e-07,0.13763801904481632,0.8623000255362503,4.805659222613266e-05,0.5190226464609021,0.008280811601253579,0.4066016854588307,0.9081256864446988,0.002119903932700474,clean_balanced_ED_EQ,-1.9521471205374026e-31,1.2501020187837898e-30,-5.7784844478072005e-33,-2.1287237340137016e-32,1.1521782829920662e-32,6.232883225156842e-33,-2.683014006286726e-24,2.1600166827163968e-24,2.505371281990096e-23,-4.0839177660835144e-23,-1.3352082152907674e-23,1.5161661902597694e-24,-2.4938290576797683e-39,6.667379589379053e-39,7.014034794709043e-40,-7.338886896662232e-39,1.7924241297605603e-39,6.714934220013945e-40,6.623947351054666e-38,-7.305978009938711e-37,-1.5649799428583003e-36,-9.604201278757613e-37,-1.0922922967471333e-38,-8.281889203431932e-39,3.7539196472238824e-30,-7.948289917839514e-30,2.4074841255444092e-30,-2.1352767594689267e-30,-6.16140484068789e-30,1.0083567389254839e-29,1.3407826672710845e-30,-1.609505945656258e-30,7.032874221576887e-30,1.5235174155532387e-30,4.6410023686170575e-30,6.912287588292853e-31,-1.136002539317938e-38,-4.803335720820741e-39,-3.9947648994538376e-39,-1.1774017076467469e-39,-2.8021922250313883e-39,4.079194969017047e-39,-0.694515585899353,-0.6632165908813477,-0.08387517929077148,0.2656759023666382,0.0002781135553959757,-0.006153096444904804,0.0054172039963305,-0.009076297283172607,0.37325212359428406,0.9086896181106567,0.1869918406009674,0.0,-2.18174949509679,-0.8340882021531586,-0.07283090990958074,0.4586145717160918,1.8516800305033462e-15,3.0738041995679103e-16,-2.2733706680984713e-22,3.70890943642329e-22,3.72223355369908e-30,5.2824340345253215e-31,0.9222460834204086,0.07773045607089692,2.346050869450611e-05,13.904824256896973,-1.1024771051926192,-0.17216174952297347,-1.0867005222171717,-0.6669025116093598,0.12013800296412706,0.07370136220705915
erode_1px,1375.0,0.2145741867371435,0.16100275856229357,0.6242188895465558,0.00020416515400705154,2.939601841834052e-12,0.9980327514759919,0.001879573116461793,8.767540754641232e-05,7.882992861393225e-05,0.0001609561313225565,0.9997602139400634,9.58602531134562e-06,1.3043282625509685e-07,1.180156786669079e-05,0.8459134911976613,0.15405621163894864,8.779137385617617e-06,0.21415206598499464,2.5914381150446382e-05,0.0961647973570137,0.3437483074134687,0.0039322806249544795,EQ_dominated_with_ED,-2.408571435575064e-31,1.4406690485359921e-30,-1.8885116519160973e-34,-6.338779272639819e-32,1.3667747254136145e-32,-7.876194644447692e-34,-1.1865674857131792e-24,3.155376195921418e-24,2.8366576273343823e-24,-3.8932321021107594e-24,3.7819215343327405e-22,3.3149702788539826e-23,-3.7286263016115284e-39,1.8129869546983559e-38,3.5906258872423432e-40,2.1289929548753964e-39,3.3695619446288045e-39,-2.0258877571055279e-38,-3.0143248163342817e-37,3.8762331774637925e-36,-1.582060568949697e-36,-4.999907474786494e-37,-1.2022954376013013e-38,3.511025761377017e-39,4.630107048498288e-30,-4.518291117107768e-30,6.131113362893158e-31,-5.466105670125537e-30,-5.243211065074891e-30,9.984393940678362e-30,6.780635695104883e-31,-1.7122983614953753e-30,4.8466050379399424e-30,1.3811456120830121e-30,1.9798960786818323e-29,2.2041100619488395e-30,1.999548594660721e-38,-1.659773020811515e-39,-1.435914431467845e-39,-9.309855480777233e-40,-2.2693651617570378e-39,3.9139770092022447e-39,-0.8674708604812622,-0.47567009925842285,0.11844256520271301,0.08339331299066544,-0.0005407602875493467,-0.00019726401660591364,0.00479105906561017,-0.010635503567755222,0.40808773040771484,0.8935874104499817,0.1869918406009674,0.0,-2.2400860264201126,-0.549348001800107,-0.0447398007102869,0.13255766716596548,1.8820055789651316e-15,3.4215809926854487e-16,-1.2374934527055758e-22,3.984097243619e-22,4.57427409004402e-30,7.212177917361405e-31,0.9787680684474002,0.02111915408646791,0.00011277746613191919,43.323097229003906,-1.2289587088795588,-0.20546251373391441,-1.0278318986546273,-0.32483360585359905,0.011078033100851502,0.00807159354161186
dilate_1px,1300.0,0.07100481466815123,0.8189696005964209,0.10898673849502323,0.0010388462404046473,5.518098954233758e-12,0.9426414259883125,0.05680085042259235,0.0005577235890951763,0.0012532810858136567,0.02164497075510578,0.9771017481590806,0.0011947212651654555,0.0005258269917243153,0.0001409014929919005,0.3423768853721646,0.6509486177290164,0.004813047148937501,0.06693207975082192,0.017726573054230192,0.07094476677412914,0.6514995828725858,0.3701689819883949,MD_contaminated,-9.867979282374362e-31,-1.6249801502472292e-31,2.45167020872296e-31,-1.2682069906984244e-32,1.8086940453545073e-32,-1.6267358667318422e-32,7.291356516670092e-24,-3.640485684701648e-23,1.5246115383338997e-22,-2.3723187875072215e-23,-1.0828379119966586e-22,1.0310110842646634e-21,-9.924999787937297e-38,-1.2025573477186484e-38,6.628095883790724e-38,2.442133937056924e-39,3.29690122053057e-38,9.583446461980213e-39,1.1918555340928205e-36,1.0799410727640721e-37,-6.813902419045584e-37,-1.502884928379364e-36,1.4153279843770163e-37,1.0085730180665727e-38,1.3281360058292338e-29,-9.128244086138233e-30,-8.051504442847453e-30,1.341728820228395e-29,-5.229858214850991e-30,-4.289038267481984e-30,2.810148404946838e-30,5.473810528159045e-30,-1.0064138808791642e-29,3.125665747526603e-29,-3.67496399231453e-30,4.6677150697851823e-29,-6.806416864128967e-39,1.2948791849484402e-37,7.178592279643265e-39,-1.280457416499546e-38,-1.2510703131747172e-38,-1.9613102052009e-39,0.7394195795059204,-0.1472698301076889,0.476794570684433,0.4478878676891327,0.05169794708490372,0.014050222933292389,0.02767162024974823,0.03505340591073036,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,-0.3539301289043463,-1.1562745978746711,0.6022665411504101,0.29738421513593627,-1.9969202451584192e-16,6.81084213407389e-16,-2.500404559650615e-22,1.6454981442474509e-22,-1.6206326005535404e-32,-7.867665594858432e-31,0.5712998039139284,0.4299310644904595,0.0012308684043880191,135.83023071289062,0.1466156978335961,-0.8903497488708805,-0.4952375734499325,-1.0923037040047943,0.07139778798019139,0.45885018463517036
dilate_1px,1345.0,0.5162113665034793,0.06459575857169488,0.4185052139332481,0.0006876609915777514,1.502241604154464e-12,0.9980241543396693,0.0019661145457535896,9.731114577011887e-06,0.0009881521144211051,0.5482826782845621,0.4507291696010167,3.990439030939885e-05,2.6054446793651462e-05,2.51706276355849e-06,0.15437585742979817,0.8454770526777688,7.861399256640961e-05,0.5151914125151601,0.035416735515511825,0.3538365548065617,0.8107245231114595,0.0035046924217934034,clean_balanced_ED_EQ,-5.4615318505192485e-31,1.4502357863979982e-30,-7.868347663141983e-34,-6.877708850849936e-32,4.7583092822326176e-33,8.796075822641345e-34,-4.7860284639726726e-24,1.958291858402398e-24,1.013918705553496e-22,-6.750625240508365e-23,1.041946028223473e-22,3.661879869950614e-23,-7.460450261837325e-39,1.9297482404994182e-38,3.132628936546367e-39,-1.6421649277318425e-38,4.327813358661729e-39,-2.8758231557496094e-39,2.75342754281946e-37,-8.672802276532161e-37,-1.2894010503615351e-36,-1.6947349875818447e-36,-6.86267911666877e-39,-1.9353206027714497e-38,7.363459403332951e-30,-7.061553600505023e-30,8.808779059100353e-31,1.523965360133951e-30,-8.244335820019534e-30,5.5375887988298666e-30,3.2095669384232814e-30,-1.4878122269925727e-30,1.7567801673433685e-29,8.56115321727601e-30,1.6478162190135717e-29,4.8154308392496136e-30,1.962280334219918e-38,1.172666234563908e-39,-1.015154634775111e-38,-5.981954894807947e-39,-1.0217296637709289e-38,6.227757061492637e-39,-0.26320043206214905,-0.8964715003967285,-0.33734801411628723,0.10989990085363388,0.012228107079863548,-0.017931999638676643,0.01493772678077221,-0.018980471417307854,0.3851882219314575,0.9036946296691895,0.1869918406009674,0.0,-1.9411209853543954,-1.4184527691255548,-0.4351367957368874,0.4787754980485772,1.939281975042301e-15,7.663916131920525e-16,-3.3701191976310147e-22,2.675347608360381e-22,2.8543352964049563e-30,1.0830832961977e-30,0.8734067016750616,0.12646506481244152,0.00012823351249680037,23.847227096557617,-1.2647133333532332,-0.47628614716789514,-0.8754832325122458,-1.1506986633551572,0.1963707394283704,0.29494151850562866
dilate_1px,1405.0,0.5377466737584702,0.0040813603727810925,0.45795264248143935,0.0002193233873094533,9.006635730612333e-13,0.999566043036983,0.00030549480507445395,0.00012846215794264988,0.00811929499628556,0.9616663785233818,0.03021432648033264,2.5152790512875527e-06,4.042328632648779e-06,6.947148080303711e-07,0.13216579976443055,0.8677948954625029,3.205245057462732e-05,0.5375133148450534,0.003924907049141233,0.3974089655089576,0.8516140867607291,0.001417078816448132,clean_balanced_ED_EQ,-1.635913225633079e-31,1.327378102490199e-30,-7.305341940202506e-33,-2.2210496741850375e-32,1.368832893388946e-32,6.519892325923073e-33,-2.1215469029709976e-24,2.3259205394567667e-24,1.688195714402794e-23,-2.981381443852979e-23,5.417550449270825e-24,2.7443490090008056e-24,-1.2894418283043308e-39,4.6192362437373976e-39,-8.013815839821026e-40,-6.026716348449283e-39,2.0908310823224863e-39,1.4074722931291017e-39,4.288728019171568e-38,-7.761638943350381e-37,-1.7455282707574772e-36,-9.59551822259271e-37,-1.0776979458145684e-38,-5.5138352038054874e-39,1.6299506914293004e-30,-4.6471452912275285e-30,2.990454060109038e-30,-3.572695076555791e-30,-4.6204056381757064e-30,8.219839481145952e-30,1.3663729080534818e-30,-1.9460608522001293e-30,9.7045953238887e-30,1.5728574514151752e-30,5.186052349649801e-30,3.968152188631018e-31,-1.0577830893544112e-38,-3.8609940705717814e-39,-6.060091768973565e-39,-1.3203995469393346e-39,-4.263516504744751e-39,7.006193327416714e-39,-0.7452356219291687,-0.6039997339248657,-0.05011044442653656,0.2776854336261749,0.0004833134007640183,-0.005793842487037182,0.004826140124350786,-0.010018838569521904,0.4297611713409424,0.883368194103241,0.1869918406009674,0.0,-2.2179863233571115,-0.745063675723516,-0.03747155854041241,0.44948329685773536,1.8487881490581046e-15,2.4170671371520506e-16,-2.21157190321533e-22,4.037081492340797e-22,3.792129991133753e-30,4.375891020452529e-31,0.9202256129760715,0.07974392544356383,3.0461580364682384e-05,14.718497276306152,-1.1081386139537595,-0.13657138165838087,-1.086122024359992,-0.597063012458857,0.08302259059063315,0.04701122089650876
round_s1,1330.0,0.48729746969133175,0.057049064632847195,0.45523851580718705,0.0004149498686340004,1.5210323797801404e-12,0.9996493197536649,0.00028076431601287404,6.991593032233516e-05,0.0007250320215739853,0.7609301852707647,0.2383447827076614,1.7659228682600293e-05,2.3563744777459443e-06,7.934932162140275e-06,0.15680117232062485,0.8431286768308667,4.220031318606867e-05,0.48712658409462195,0.04341035532059625,0.3838246474749612,0.9342107113659922,0.0008877694308813519,clean_balanced_ED_EQ,-4.58759063644016e-31,1.4098701531260038e-30,-5.131409633503923e-33,-2.4311715287514893e-32,9.138148888069752e-33,8.380746320032744e-33,-4.076779373954251e-24,3.9396319467158774e-25,1.0759654450657387e-22,-7.76460553610591e-23,7.072296781354181e-23,2.264805086228211e-23,-4.4574795746480594e-39,1.3235823679266065e-38,-1.7226008912854414e-40,-5.098805072550422e-39,4.6297400819976727e-39,-8.137033440263763e-39,2.4221218358771596e-37,-8.985054276794753e-37,-1.3197409243071003e-36,-1.7072492670383913e-36,-2.2270656726986887e-39,-1.5103089846559365e-38,1.0593411428161152e-29,-9.743185815873151e-30,-1.115941451097025e-30,2.9223160609224065e-30,-9.477471044983726e-30,6.820871534816742e-30,3.1111438244741567e-30,-1.5300151723506896e-30,1.1223073198240535e-29,4.402924289018821e-30,1.0576998215877653e-29,2.5607763304942066e-30,9.020948837275429e-39,-2.4684134774558674e-39,-6.603731182381907e-39,-3.0887643033290383e-39,-7.786060183342911e-39,4.980161500929099e-39,-0.28980934619903564,-0.8674371242523193,-0.3735068738460541,0.15346667170524597,0.004864859860390425,-0.010819927789270878,0.008481604047119617,-0.009602302685379982,0.37325212359428406,0.9086896181106567,0.1869918406009674,0.0,-1.9671482238977362,-1.376439169587061,-0.4374518792450109,0.5539556578789266,1.9639424211339048e-15,6.711886385992853e-16,-3.393282420849518e-22,2.6891090873055505e-22,2.962944242522315e-30,9.61126625772329e-31,0.8365773593742726,0.16322354595861166,0.0001990946671157623,21.176559448242188,-1.2433781737494038,-0.4045840714337784,-0.916409924728188,-1.18549038184925,0.22841405149216545,0.3165204277670135
round_s1,1375.0,0.5035212421833853,0.011630568878821851,0.4846242060113883,0.0002239829264045296,1.0485988348385764e-12,0.9997222275291183,7.963556590286879e-05,0.00019813690497893997,0.00307480586511298,0.9894221596310709,0.007503034503816161,2.6793503571374586e-06,4.5561966051843005e-07,1.358011847534778e-06,0.15332520185689968,0.846649361247304,2.0943913931019097e-05,0.5033813778438027,0.011507542577821838,0.4103067744645238,0.962470230471201,0.0015695294150100765,clean_balanced_ED_EQ,-1.8900973567576103e-31,1.3240913756510183e-30,-6.58132494248147e-33,-9.959377782995442e-33,1.6155447344071927e-32,9.672412655092836e-33,-2.8523326368407786e-24,1.8129121380084065e-24,3.33908990043703e-23,-5.060242853336158e-23,4.2876360860968785e-24,3.0803972584910914e-24,-1.1892808406086056e-39,5.0104723963315285e-39,-8.338435053533554e-40,-1.9530131905320515e-39,2.0231291551355135e-39,-3.0574579785370404e-39,6.947444854332317e-38,-8.68303792734768e-37,-1.71066734603327e-36,-1.1240680290940353e-36,-8.001298202227595e-39,-6.294982004246965e-39,4.104593967440699e-30,-8.10167599456561e-30,2.1192483626446843e-30,-1.1929478685653414e-30,-6.223841110133264e-30,9.294623253154893e-30,1.6756068782483446e-30,-1.9477129284894155e-30,8.282337890520788e-30,1.581426981336293e-30,4.5728343630329215e-30,4.402097590864688e-31,-1.072937542677816e-38,-4.402677652503628e-39,-5.183201005238225e-39,-1.2714753259615404e-39,-4.0780497671910994e-39,5.6075269238737986e-39,-0.671833336353302,-0.6686109900474548,-0.12037894129753113,0.2947583496570587,-0.0005515589145943522,-0.00519514549523592,0.006158977746963501,-0.008831309154629707,0.40808773040771484,0.8935874104499817,0.1869918406009674,0.0,-2.208751769528767,-0.8683068465695298,-0.0937684862533466,0.5190622339316764,1.8873341274659132e-15,2.856256850718924e-16,-2.5168476755064855e-22,3.8369298962151107e-22,3.7021769133569e-30,4.982904519607455e-31,0.8984279816017998,0.10148949922873957,8.251916946067084e-05,15.650660514831543,-1.129512450560557,-0.16123422722088612,-1.1113850510838148,-0.7302836561609688,0.14398714578874708,0.09501244075251904
