lam_nm,C_ED,C_MD,C_EQ,C_MQ,f_ED,f_MD,f_EQ,f_MQ,C_Qmxx,C_Qmyy,C_Qmzz,C_Qmxy,C_Qmxz,C_Qmyz
1292.5,7.317935646e-13,1.48582322e-13,5.203244249e-13,5.400750538e-13,0.377062476,0.07655822755,0.2681013136,0.2782779828,1.136209111e-15,4.518473065e-17,1.047426834e-15,5.351943586e-13,2.549801879e-15,1.020726012e-16
1294.5,7.224015881e-13,1.330481624e-13,5.010833184e-13,4.780690494e-13,0.3937647193,0.07252153536,0.2731291507,0.2605845947,9.838308146e-16,4.065547684e-17,9.120895237e-16,4.735408758e-13,2.496270066e-15,9.532776925e-17
1296.5,7.13648251e-13,1.19466204e-13,4.82813611e-13,4.251162523e-13,0.40989666,0.06861755487,0.2773126484,0.2441731367,8.535198251e-16,3.625919522e-17,7.975764558e-16,4.209003558e-13,2.439556799e-15,8.898424486e-17
1298.5,7.050394435e-13,1.08177009e-13,4.644992771e-13,3.794183437e-13,0.4254570918,0.06527957559,0.2803027737,0.228960559,7.46710446e-16,3.23215021e-17,7.020275942e-16,3.754672891e-13,2.3871559e-15,8.283913131e-17
1300.5,6.970579384e-13,9.847272631e-14,4.470761397e-13,3.401197243e-13,0.4404159062,0.06221714524,0.2824721337,0.2148948148,6.563417085e-16,2.935451013e-17,6.206245833e-16,3.364036375e-13,2.332654495e-15,7.711157046e-17
1302.5,6.890325478e-13,9.010929454e-14,4.303214219e-13,3.059985148e-13,0.4546683772,0.05945995853,0.283953992,0.2019176722,5.797849049e-16,2.659738924e-17,5.512733332e-16,3.024912983e-13,2.278079832e-15,7.148105664e-17
1304.5,6.817439999e-13,8.286849403e-14,4.145737857e-13,2.765371135e-13,0.4683197392,0.05692598911,0.2847888464,0.1899654253,5.14506866e-16,2.446576435e-17,4.921160767e-16,2.73215687e-13,2.223904277e-15,6.643354651e-17
1306.5,6.743799887e-13,7.661283059e-14,3.992694334e-13,2.505998694e-13,0.4814035429,0.05468977238,0.2850169385,0.1788897461,4.59381206e-16,2.228018527e-17,4.414125454e-16,2.474434246e-13,2.171905171e-15,6.146573216e-17
1308.5,6.675149053e-13,7.105973246e-14,3.848538412e-13,2.277958666e-13,0.4940074589,0.05258914458,0.284818611,0.1685847856,4.114078259e-16,2.034780662e-17,3.972353199e-16,2.247901139e-13,2.119997953e-15,5.676374497e-17
1310.5,6.605740216e-13,6.622318038e-14,3.712139058e-13,2.078694323e-13,0.5058456737,0.05071151483,0.2842632954,0.159179516,3.701625817e-16,1.89210378e-17,3.588580181e-16,2.050023297e-13,2.066951756e-15,5.220925807e-17
1312.5,6.537638357e-13,6.190742267e-14,3.583208127e-13,1.902592448e-13,0.5171154085,0.04896765532,0.2834253033,0.1504916328,3.343229853e-16,1.752576373e-17,3.255389178e-16,1.875173191e-13,2.016507778e-15,4.803022103e-17
1314.5,6.477749755e-13,5.811529028e-14,3.457601733e-13,1.744317308e-13,0.5283291703,0.04739918066,0.2820040792,0.1422675699,3.025637185e-16,1.606640987e-17,2.962433017e-16,1.718039138e-13,1.968752243e-15,4.41913271e-17
1316.5,6.414764913e-13,5.482785147e-14,3.340252635e-13,1.605878747e-13,0.5386405873,0.04603832956,0.2804772529,0.1348438303,2.762241113e-16,1.499692327e-17,2.708960181e-16,1.58066159e-13,1.919042579e-15,4.055599476e-17
1318.5,6.354952154e-13,5.175794071e-14,3.228227541e-13,1.480741117e-13,0.5487157996,0.04469018671,0.2787400147,0.127853999,2.516651277e-16,1.373712728e-17,2.481171733e-16,1.456517177e-13,1.871765606e-15,3.7108958e-17
1320.5,6.296128443e-13,4.904033588e-14,3.120951091e-13,1.366987126e-13,0.5584411891,0.04349679923,0.2768157692,0.1212462425,2.307861445e-16,1.303447286e-17,2.277181632e-16,1.343715599e-13,1.822087564e-15,3.352630858e-17
1322.5,6.240600431e-13,4.663744178e-14,3.020137633e-13,1.267622119e-13,0.567599006,0.04241797867,0.2746894529,0.1152935624,2.120806568e-16,1.215157941e-17,2.101417977e-16,1.245179303e-13,1.779110989e-15,3.079660481e-17
1324.5,6.186275953e-13,4.438176349e-14,2.922905093e-13,1.175504085e-13,0.5766206234,0.04136808691,0.272442964,0.1095683257,1.950010587e-16,1.130184826e-17,1.939065012e-16,1.153870067e-13,1.735246281e-15,2.794616814e-17
