lam_nm,txx_re,txx_im,rxx_re,rxx_im,T,R,P_out_spec,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qxy_re,Qxy_im,C_px,C_Qxz,E_up_re,E_up_im,E_dn_re,E_dn_im,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im,dphi_rad_deg,U_proxy
1272.0,-0.5310317277908325,0.3955284357070923,-0.27523720264434814,-0.47515901923179626,0.517549991730011,0.4824935847695304,1.0000435764995415,-3.188802723453492e-31,1.8513698142016384e-30,-6.060821361699429e-31,5.0645663256254415e-31,-4.723034399250825e-31,5.538583747486906e-31,5.354711306612629e-23,8.926558980070202e-23,2.2829076702495606e-22,3.4336801564212705e-22,5.532178538755113e-23,2.6105415582593788e-23,8.24673379152697e-37,-8.10466648808544e-37,-1.527441887541231e-37,1.0325914278833037e-37,-3.511620295801249e-37,4.6972355361279196e-38,1.4218554961109277e-12,2.190379650482397e-13,-1.2611687424826254,-0.06916010021834004,-0.7986889488216526,-0.1544320523092458,-0.8824382804138671,-0.1519913293539787,0.32360456794669856,-0.3180297998613283,-0.5459216237802869,0.3629600328243873,-125.72504873034818,18.84391212463379
1274.0,-0.5060951709747314,0.4039264917373657,-0.3000102937221527,-0.475874662399292,0.5002946379700621,0.4997460820461672,1.0000407200162293,-3.143248337563687e-31,1.8551057374518836e-30,-5.973428871035579e-31,5.30935067183403e-31,-4.67186823377593e-31,5.733864692229521e-31,5.754655271514214e-23,8.884259295719143e-23,2.371563181583316e-22,3.359769590782647e-22,5.724627114236381e-23,2.4561454220789446e-23,8.498270231626247e-37,-8.741255634905726e-37,-1.5379859394743243e-37,1.094644722767529e-37,-3.5694245772272276e-37,6.171534116042233e-38,1.4173369529622383e-12,2.4122355628566084e-13,-1.2361496235259437,-0.08121794911177425,-0.8245241297663931,-0.13848677000048631,-0.8828308747810856,-0.14958482546213986,0.33242874599633104,-0.3419336606090725,-0.5333319930749275,0.3764634699376239,-124.57575899432067,19.032705307006836
1276.0,-0.4806365668773651,0.4107992351055145,-0.32545211911201477,-0.4755212068557739,0.4824828581145255,0.5173662372063514,0.999849095320877,-3.097345989275863e-31,1.8595064298032157e-30,-5.870733948267985e-31,5.550882559480993e-31,-4.617266792331986e-31,5.936819238783556e-31,6.164496791184992e-23,8.836201876832107e-23,2.4561341187803805e-22,3.2797259538050344e-22,5.92912612963431e-23,2.2901516963603886e-23,8.721997642822759e-37,-9.401810235735364e-37,-1.5498359796778598e-37,1.163659303101649e-37,-3.6223494501374585e-37,7.720269373292717e-38,1.413835611227845e-12,2.6442641466706585e-13,-1.2117952976231108,-0.09499534676884278,-0.8502247981587653,-0.12096643540242338,-0.8835381012028918,-0.14716933215567288,0.3401116487455001,-0.3666207343107457,-0.5198097865623886,0.38927720487457707,-123.39504685913508,19.25446319580078
1278.0,-0.45493143796920776,0.41636213660240173,-0.3512820303440094,-0.47356316447257996,0.46481151164068124,0.5352250773608861,1.0000365890015672,-3.044048047731575e-31,1.8640005556839684e-30,-5.761129929810653e-31,5.790055294971146e-31,-4.5539444782103275e-31,6.143859786158641e-31,6.583188199428768e-23,8.785598822109354e-23,2.536666796770537e-22,3.1967361703817898e-22,6.122546865173327e-23,2.1139862637995918e-23,8.919926886303426e-37,-1.0083470249110743e-36,-1.5621142140820402e-37,1.2364992318185098e-37,-3.670488352829924e-37,9.296454114666144e-38,1.4103279334003894e-12,2.886701145511134e-13,-1.188404465314351,-0.10995324649503124,-0.8752443341058203,-0.10157025840240441,-0.8842874392293082,-0.1444105499223849,0.34674202203313104,-0.39197214370178907,-0.5058636936526938,0.4014118047243279,-122.22131531089899,19.505237579345703
1280.0,-0.4288961589336395,0.42043763399124146,-0.37741658091545105,-0.47030138969421387,0.4468414410990454,0.5530970995598805,0.9999385406589258,-2.9911330349201338e-31,1.869065235980839e-30,-5.632430515830744e-31,6.029635766513456e-31,-4.484113726005456e-31,6.353592226171272e-31,7.009792658106698e-23,8.715966286410598e-23,2.6133550554073385e-22,3.108688941594846e-22,6.312437053954224e-23,1.9122059027807393e-23,9.085848791683256e-37,-1.078650962928591e-36,-1.573897425591574e-37,1.3167840550690748e-37,-3.7101386446482583e-37,1.0963146297107448e-37,1.4077077499105524e-12,3.138394124889614e-13,-1.1660836143688016,-0.12644705901104872,-0.899791614558709,-0.08073467811535279,-0.8853046853699174,-0.14167852675243284,0.35208899927330045,-0.41799191997377577,-0.4911621233712608,0.4129010789604358,-121.01643421960313,19.781604766845703
1282.0,-0.40272873640060425,0.42300984263420105,-0.40401968359947205,-0.46557512879371643,0.42874957959167953,0.571237242355152,0.9999868219468315,-2.9319263179185895e-31,1.874675532203809e-30,-5.494378310641055e-31,6.261403346047423e-31,-4.407116636950267e-31,6.568921674414859e-31,7.450183142658958e-23,8.64033484952535e-23,2.685944047956497e-22,3.0166011311766807e-22,6.495488164381764e-23,1.7033214436659132e-23,9.22169674083003e-37,-1.1512861803213676e-36,-1.5847860066433672e-37,1.4055198488350332e-37,-3.7471775407326658e-37,1.265618171788646e-37,1.4057754554362327e-12,3.4011949881884176e-13,-1.144825503862141,-0.1442846460650859,-0.9237680791604279,-0.058040459467350994,-0.8865767917841962,-0.1386574788028608,0.3562391749372508,-0.44474813097944865,-0.4758690218126016,0.4237078457389124,-119.80555667605365,20.091291427612305
1284.0,-0.37600159645080566,0.42397892475128174,-0.431131511926651,-0.45926347374916077,0.410147247171164,0.589672836265442,0.999820083436606,-2.869933490665381e-31,1.880514807251468e-30,-5.339658558965335e-31,6.492897310096633e-31,-4.321430678342661e-31,6.7927986071412135e-31,7.903281360909977e-23,8.550083362204536e-23,2.7534012880923805e-22,2.9183644942537177e-22,6.67685501129612e-23,1.4771989073446327e-23,9.322002584366243e-37,-1.2264389521744581e-36,-1.5937109061681597e-37,1.5017605676418073e-37,-3.775178401395662e-37,1.4417328712847848e-37,1.404150019711896e-12,3.6750596431809695e-13,-1.1244035346022092,-0.16385899803271958,-0.9471928666107534,-0.03340146013339414,-0.8879530558809048,-0.1355142859489594,0.3589930674932724,-0.4723052558178154,-0.45965509540839933,0.43367267326193093,-118.56079382130885,20.438339233398438
1286.0,-0.34920066595077515,0.42342567443847656,-0.45838281512260437,-0.4512426257133484,0.391601644020751,0.6082789661826684,0.9998806102034195,-2.799855779518019e-31,1.886602479524235e-30,-5.1742000743670925e-31,6.718964235139564e-31,-4.226994250660542e-31,7.022075279079188e-31,8.372301555467159e-23,8.44571139234097e-23,2.815006753996166e-22,2.8158469128150332e-22,6.85018574899776e-23,1.2288010263739542e-23,9.384301683671828e-37,-1.3032222682074842e-36,-1.5989309287756686e-37,1.6058384966379654e-37,-3.795128935166352e-37,1.6246246663857867e-37,1.4027465867336716e-12,3.9567767963278467e-13,-1.1052473660804694,-0.18464524168405552,-0.9696384217531031,-0.006904295064201964,-0.8894421465388004,-0.13199970643320585,0.3602690166954897,-0.5003149098666541,-0.4428183823783852,0.44268625951069007,-117.31557822445767,20.821001052856445
1288.0,-0.3222557604312897,0.42121410369873047,-0.485843688249588,-0.44159477949142456,0.3728565607682439,0.627168210585145,1.000024771353389,-2.725501014175331e-31,1.892748668156232e-30,-4.998927279031142e-31,6.9374820589173755e-31,-4.123648443264132e-31,7.2560936996382914e-31,8.853622395654816e-23,8.328585975413913e-23,2.8711587635571527e-22,2.7077672473693766e-22,7.020490404397933e-23,9.864102936323793e-24,9.405454719568042e-37,-1.3819854539358127e-36,-1.6003321427740014e-37,1.7188342683886388e-37,-3.812066173517038e-37,1.8093493699109696e-37,1.4013815620085918e-12,4.247562726520237e-13,-1.0872144097547283,-0.20689795651636642,-0.9911298612992643,0.021412443545132054,-0.8909541574968426,-0.1282947123775725,0.3599605953055909,-0.5289061736350043,-0.4251606255244926,0.4508155776978297,-116.04415055107367,21.24260139465332
1290.0,-0.2954241633415222,0.41731715202331543,-0.5133466720581055,-0.4302612543106079,0.35404656666432105,0.646019644058945,1.000066210723266,-2.6455069623275633e-31,1.8992743125970706e-30,-4.805122490829483e-31,7.1500324852797285e-31,-4.010913795431372e-31,7.495702404426358e-31,9.345304399723041e-23,8.194959116348892e-23,2.9199809094334753e-22,2.5951668553959717e-22,7.185122811254744e-23,7.168217525881086e-24,9.383585504875275e-37,-1.4618340875523737e-36,-1.5989828468969151e-37,1.839545958887136e-37,-3.8175315683040754e-37,2.0015697698815663e-37,1.400499124981508e-12,4.543964100588755e-13,-1.0707217673600795,-0.23043977600924107,-1.0115883256798113,0.051455959545045366,-0.8926398204616915,-0.12433616588291205,0.35801092985965616,-0.5577319892414874,-0.4068488991095199,0.45777057299946133,-114.7668751709039,21.699066162109375
