alpha,lam_EQ,lam_ED_bg,detune_nm,fwhm_EQ,Q_fit,lam_res_fit,dphi_at_res_deg,U_peak,T_at_res,R_at_res,CQ_peak,Cpx_at_res
0.94,1284.75,1388.0,-47.75,2.25,620.837588287108,1284.4544811512171,-116.23489801164239,1328.8221435546875,0.5058510606149017,0.4906814885833741,4.625855167021308e-11,2.294398329273217e-12
0.96,1300.25,1310.0,-32.25,2.75,528.7059214388041,1299.9469592798378,-114.7252480417,1228.2705078125,0.48678858207459297,0.5144349647862203,4.4111212354993625e-11,2.3946784350395965e-12
0.975,1311.75,1320.0,-20.75,3.25,386.65046616518595,1311.704726604522,-114.03739301235272,1130.5888671875,0.4736029963538313,0.5302259973103907,4.126067919447406e-11,2.4535829597404894e-12
0.985,1319.5,1328.0,-13.0,3.75,330.8629843920594,1319.366936235593,-111.42882447679527,1062.9364013671875,0.4087042500683191,0.5896448671180254,3.916108673335131e-11,2.620218819511287e-12
0.99,1323.25,1332.0,-9.25,4.0,409.51702183300245,1322.9266418408365,-111.89072083248683,1030.4638671875,0.42014666612614243,0.5785841399591471,3.8173425492789685e-11,2.6079746053573193e-12
0.995,1327.0,1336.0,-5.5,4.25,391.09345582784357,1326.7398845243742,-112.31954195608601,995.4672241210938,0.4308885992335621,0.5699112121274293,3.7216154006327717e-11,2.5967492022399624e-12
1.0,1331.0,1340.0,-1.5,4.25,372.6046910102619,1330.5419564294705,-109.14121018846583,963.6698608398438,0.3539218277237411,0.6479933130058633,3.626799067360063e-11,2.797897022733352e-12
1.005,1334.75,1344.0,2.25,4.5,369.90569062639634,1334.145143816361,-109.42257074303812,934.9613037109375,0.3612519642680953,0.6401817800574483,3.5323864517889776e-11,2.800713071716036e-12
1.01,1338.5,1348.0,6.0,4.75,288.8622330854532,1338.2985864547263,-109.4742894216957,905.3063354492188,0.3624198820776949,0.6378859174444594,3.4451871352659726e-11,2.818429130547689e-12
1.02,1346.0,1356.0,13.5,5.25,252.64545707074765,1345.874795686859,-109.28312166224751,849.8347778320312,0.3577115791359591,0.6422714237128792,3.266504574596299e-11,2.8694385956558917e-12
1.035,1357.5,1366.0,25.0,6.25,210.3624840310559,1357.2137540096298,-106.24433770370541,774.8756103515625,0.28509949907586324,0.7160346639910431,3.026925864605484e-11,3.1185813708102763e-12
1.05,1368.75,1378.0,36.25,7.25,253.86000339159693,1368.0439113977461,-105.35378943751287,703.2863159179688,0.2652873552325131,0.7341912327481573,2.81161600997722e-11,3.2521627870790512e-12
1.07,1383.75,1392.0,51.25,8.75,165.0496511337827,1383.4733869260524,-103.91610790438291,621.8302612304688,0.23483149921816998,0.765889914358753,2.5690035367923598e-11,3.460534415823731e-12
