CQe,Cm,Cp,F,Qxx_im,Qxx_re,Qxy_im,Qxy_re,Qxz_im,Qxz_re,Qyy_im,Qyy_re,Qyz_im,Qyz_re,Qzz_im,Qzz_re,S_Qxz,S_px,Tx_im,Tx_re,beta,it,lr,mx_im,mx_re,my_im,my_re,mz_im,mz_re,px_im,px_re,py_im,py_re,pz_im,pz_re,t
1.9058117231643398e-15,2.8206424307010847e-15,3.8712143790558845e-13,-2.4183146219695666,-3.274990347179551e-40,-1.4983090552902454e-41,-1.5266786135118378e-38,-3.534511022154146e-39,1.070737765149193e-37,-6.05171366889244e-38,-8.571887003100236e-41,-4.846446241604624e-41,4.327723639625942e-41,-2.618386576647392e-41,4.132175219571897e-40,6.344775648019845e-41,0.0061995029385244135,1.2797399807407415,1.0708959282731182e-38,-4.708666303460522e-38,1.0,0,0.02,3.335989935776113e-27,2.9100943397700766e-27,1.3507563843135174e-23,2.372411097861732e-23,-7.9686641804123675e-25,3.44198855630976e-24,1.0489353421576747e-30,2.385354005061079e-31,3.992476809390135e-34,1.7690044016743323e-34,-2.774740933667402e-34,1.1177379746822463e-34,9.50679087638855
,,,-2.3355950944659396,,,,,,,,,,,,,0.007151719010311169,1.3089330517943596,,,1.0592537251772889,1,0.01999657324975557,,,,,,,,,,,,,14.135130167007446
,,,-2.251470201452028,,,,,,,,,,,,,0.008271360584361677,1.339124255946493,,,1.1220184543019633,2,0.019986295347545736,,,,,,,,,,,,,17.49558734893799
,,,-2.1656737067087017,,,,,,,,,,,,,0.009591321300209447,1.3710120737874711,,,1.1885022274370185,3,0.01996917333733128,,,,,,,,,,,,,20.87570858001709
,,,-2.07800217061954,,,,,,,,,,,,,0.011147199694103358,1.4057382643001852,,,1.2589254117941673,4,0.019945218953682734,,,,,,,,,,,,,24.08279800415039
,,,-1.9882937724730223,,,,,,,,,,,,,0.012977534270524423,1.444766915610685,,,1.333521432163324,5,0.019914448613738107,,,,,,,,,,,,,27.3354434967041
,,,-1.8965091839425563,,,,,,,,,,,,,0.015113448290060023,1.4905600895263005,,,1.4125375446227544,6,0.019876883405951378,,,,,,,,,,,,,30.628376007080078
,,,-1.8022004590427678,,,,,,,,,,,,,0.017581582591610027,1.5472860338925256,,,1.4962356560944334,7,0.019832549075639548,,,,,,,,,,,,,34.00641417503357
,,,-1.7047824892012566,,,,,,,,,,,,,0.02038625351551046,1.6214640474150985,,,1.5848931924611134,8,0.019781476007338056,,,,,,,,,,,,,37.285330295562744
,,,-1.6024910948509064,,,,,,,,,,,,,0.023478502070280315,1.7275217936508627,,,1.6788040181225603,9,0.019723699203976767,,,,,,,,,,,,,40.62429976463318
8.137120521754505e-15,5.590856728725613e-15,5.744599992379478e-13,-1.4901326428089006,-5.400389202029295e-40,1.1404233050372323e-40,-1.972839444500137e-38,-5.82550656695595e-40,2.028369193686059e-37,-1.552515758894775e-37,9.065407621536505e-40,-4.806668154443322e-42,4.424510771124638e-40,-3.741290116632229e-40,-3.6650325418670316e-40,-1.0923763854969849e-40,0.026739525868709275,1.899037450818644,2.3313329789866406e-40,-1.4486429552214562e-38,1.7782794100389228,10,0.019659258262890684,6.545872905433744e-26,8.407175486156857e-26,2.317126343045193e-23,3.0050316401145964e-23,-4.617752547127226e-25,7.863771107380528e-24,1.3089002690779183e-30,6.264796389172501e-32,-1.355989250171893e-33,-1.8458981160858065e-34,-1.0069014314992084e-33,7.821565757528099e-34,43.8988082408905
,,,-1.3466034835226894,,,,,,,,,,,,,0.029758387157376113,2.273765569640266,,,1.8836490894898004,11,0.019588197348681932,,,,,,,,,,,,,47.16459655761719
,,,-1.0451544178864327,,,,,,,,,,,,,0.02912621090594445,4.24528075753803,,,1.9952623149688797,12,0.019510565162951538,,,,,,,,,,,,,50.423840284347534
,,,-3.1751943568425514,,,,,,,,,,,,,0.04386318719659592,0.039807145700184454,,,2.113489039836647,13,0.019426414910921785,,,,,,,,,,,,,53.60609197616577
,,,-1.7511796943950024,,,,,,,,,,,,,0.044835196170205587,0.6719323792709252,,,2.2387211385683394,14,0.019335804264972018,,,,,,,,,,,,,56.9789617061615
,,,-1.552252493209715,,,,,,,,,,,,,0.0467508830285632,0.9592698552680138,,,2.371373705661655,15,0.019238795325112867,,,,,,,,,,,,,60.30454730987549
,,,-1.4767710550644053,,,,,,,,,,,,,0.04884528449440667,1.067751809380796,,,2.51188643150958,16,0.019135454576426007,,,,,,,,,,,,,63.686943769454956
,,,-1.4247587527579042,,,,,,,,,,,,,0.05065306482936385,1.1425219257423722,,,2.6607250597988097,17,0.019025852843498607,,,,,,,,,,,,,67.0041754245758
,,,-1.3885582341945966,,,,,,,,,,,,,0.05219902275455933,1.1919314242976635,,,2.8183829312644537,18,0.01891006524188368,,,,,,,,,,,,,70.21262979507446
,,,-1.3620434175358314,,,,,,,,,,,,,0.05347297371358394,1.2269017410269456,,,2.9853826189179595,19,0.01878817112661965,,,,,,,,,,,,,73.43225860595703
1.6497671001696712e-14,1.0918144538902802e-14,3.7901868795138165e-13,-1.3421757068731277,-1.2106914115242954e-39,1.476029708315302e-40,1.1218647440535402e-38,7.070075510182164e-40,2.6676797224666473e-37,-2.485541765844786e-37,-8.042984711736082e-40,-1.4897796069610214e-40,9.030814129767432e-40,-6.4578022876337986e-40,2.014991823199429e-39,1.3776989893572417e-42,0.054484191415645034,1.2529406035427686,2.9369036712418715e-39,-6.547160634938306e-38,3.162277660168379,20,0.01866025403784439,1.0091820868543538e-25,2.236701515993325e-25,3.8344834941359155e-23,3.8203296653038073e-23,1.3646593280283903e-25,-1.8109716240086706e-24,1.0635905626521714e-30,4.1317227755868516e-32,-2.1841575805002447e-33,-1.912864801724153e-33,-1.5312848212481338e-33,1.2832114742600106e-33,76.65744614601135
,,,-1.3270870353604558,,,,,,,,,,,,,0.0552724277100316,1.2729117831813985,,,3.349654391578276,21,0.018526401643540923,,,,,,,,,,,,,79.89028906822205
,,,-1.315650362978925,,,,,,,,,,,,,0.05585217656534933,1.2888444691904768,,,3.548133892335754,22,0.018386705679454243,,,,,,,,,,,,,83.05793309211731
,,,-1.3069195169550631,,,,,,,,,,,,,0.056275061964192324,1.3016917403163142,,,3.7583740428844417,23,0.018241261886220158,,,,,,,,,,,,,86.42805981636047
,,,-1.3003063919970193,,,,,,,,,,,,,0.056556604423598,1.3124564186929328,,,3.9810717055349727,24,0.018090169943749474,,,,,,,,,,,,,89.64869165420532
,,,-1.2953199206131674,,,,,,,,,,,,,0.056736649687433964,1.3214043292251894,,,4.216965034285822,25,0.01793353340291235,,,,,,,,,,,,,93.10716915130615
,,,-1.2915427882652302,,,,,,,,,,,,,0.05683127779729476,1.3292074506164386,,,4.466835921509631,26,0.01777145961456971,,,,,,,,,,,,,96.29545068740845
,,,-1.2887334873728515,,,,,,,,,,,,,0.05686677265082517,1.335862424448061,,,4.7315125896148045,27,0.01760405965600031,,,,,,,,,,,,,99.47412633895874
,,,-1.286637841664793,,,,,,,,,,,,,0.05685599266250944,1.3417275085523632,,,5.011872336272723,28,0.017431448254773944,,,,,,,,,,,,,103.10838341712952
,,,-1.285019533833795,,,,,,,,,,,,,0.05681612288703785,1.3470217875976747,,,5.3088444423098835,29,0.017253743710122876,,,,,,,,,,,,,106.74632978439331
1.7169591802407552e-14,1.564926119579733e-14,4.0887918842964035e-13,-1.283883616898791,-3.193944666837535e-40,3.2309022004548548e-40,4.445914457325171e-39,1.8986092512617025e-40,2.6013954313523483e-37,-2.660830162846967e-37,-7.830055404444156e-40,-1.990321760764103e-40,8.527948394958298e-40,-7.810755192074606e-40,1.1024001589989229e-39,-1.240600377914742e-40,0.056749889382003385,1.3516611777258876,8.264176167176392e-40,-5.692916806993855e-38,5.62341325190349,30,0.017071067811865476,1.1150943117024131e-25,1.87153353099526e-25,4.7151154168166794e-23,4.450449291255316e-23,3.684197209720149e-26,-5.182442432681329e-25,1.105457000100666e-30,1.2719387167979298e-32,-1.1414392579520307e-33,-8.649863741704517e-34,-1.2561366534373675e-33,1.1829158905838226e-33,110.19628643989563
,,,-1.2830450129769824,,,,,,,,,,,,,0.05667520306496853,1.355714299384707,,,5.956621435290105,31,0.01688354575693754,,,,,,,,,,,,,113.64352130889893
,,,-1.282405579534052,,,,,,,,,,,,,0.05658948980591435,1.3595052467476358,,,6.309573444801932,32,0.016691306063588582,,,,,,,,,,,,,117.23921799659729
,,,-1.2819491819277729,,,,,,,,,,,,,0.05650284801625404,1.362833340020837,,,6.6834391756861455,33,0.01649448048330184,,,,,,,,,,,,,120.55229806900024
,,,-1.2816126547378428,,,,,,,,,,,,,0.05641521856404994,1.365869216593698,,,7.079457843841378,34,0.016293203910498374,,,,,,,,,,,,,124.00340485572815
,,,-1.2813607689104054,,,,,,,,,,,,,0.05632732180818631,1.3686899398336025,,,7.498942093324559,35,0.016087614290087208,,,,,,,,,,,,,127.5635666847229
,,,-1.2812070802717839,,,,,,,,,,,,,0.056244191784107785,1.3711342812985345,,,7.943282347242814,36,0.015877852522924733,,,,,,,,,,,,,131.03298044204712
,,,-1.2810983209524758,,,,,,,,,,,,,0.056161807909082526,1.3734443183299627,,,8.413951416451951,37,0.01566406236924833,,,,,,,,,,,,,134.49646282196045
