lam_nm,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,T,R,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,C_px,C_Qxz,E_up_re,E_up_im,E_dn_re,E_dn_im
1292.5,-0.7108272314071655,0.36838117241859436,-0.3138491213321686,-0.5103294849395752,0.00026591247296892107,-0.0016641775146126747,-0.002076980657875538,0.0016891068080440164,0.6409828812987176,0.35894462109012854,-1.5762665231441341e-31,1.380599435408745e-30,-8.450489804076872e-33,3.0688403911713173e-32,-2.3397853168976213e-31,1.7410645463579298e-31,-4.7006440773037004e-24,-6.020321415901707e-24,3.8992261833648207e-22,5.800442497364117e-22,5.295060849315539e-23,2.4470272336900167e-23,-7.530369462781337e-38,9.713588280158156e-38,3.3360270441461666e-38,-9.398392237465383e-38,4.194342651016325e-38,-3.151937947680263e-39,2.3189586666781325e-38,-1.6537731858363113e-38,1.707462748312269e-36,-1.3155326267005051e-36,1.3406854594185652e-38,-1.5001188991711604e-38,-9.80308692907463e-38,4.3873980449493653e-39,1.3724154829936409e-39,1.183918728789076e-39,5.175388652100491e-38,6.988540898744139e-38,7.297240875241358e-13,6.915608901235288e-13,-1.5068697706704184,0.025858567963422015,-0.8417274322039442,-0.20512991963958221
1293.5,-0.6994467973709106,0.37521103024482727,-0.32633253931999207,-0.5133861899375916,0.0003500373859424144,-0.001755822217091918,-0.0019808218348771334,0.0016408762894570827,0.630012345007638,0.37006492236780975,-1.5567799837551457e-31,1.385570755159949e-30,-8.241324028547098e-33,2.977978991623121e-32,-2.3324600654840233e-31,1.783388455198066e-31,-4.661101763481308e-24,-5.832483765925248e-24,3.9667127883685935e-22,5.734660803612691e-22,5.27784602632978e-23,2.4015491416759566e-23,-7.472630006270206e-38,9.358853964276437e-38,3.278341054453427e-38,-9.039505010028262e-38,4.1942869545431975e-38,-3.193466159240258e-39,2.225269692889541e-38,-1.626320224537928e-38,1.7056584890958942e-36,-1.3482612986753707e-36,1.2842574747101822e-38,-1.4799875407556982e-38,-9.779032708591962e-38,4.3746847979600046e-39,1.3335760295366531e-39,1.1155501396170142e-39,5.295328552086143e-38,6.959019467529673e-38,7.32421006366933e-13,7.003637772672001e-13,-1.4937069777305052,0.023420923904085535,-0.8573782631244938,-0.20011986977245177
1294.5,-0.6879663467407227,0.3815840482711792,-0.3388325273990631,-0.5160504579544067,0.0004561441019177437,-0.0019050685223191977,-0.0019025629153475165,0.0016367490170523524,0.6189079174963142,0.38112185547158145,-1.5374635612656128e-31,1.3901848907072615e-30,-8.027599869721756e-33,2.888894263702859e-32,-2.3268943335519454e-31,1.8263837682804316e-31,-4.6159468064626225e-24,-5.658162788950261e-24,4.032250718813405e-22,5.668421356685096e-22,5.258370270892442e-23,2.355990017221788e-23,-7.39806456594771e-38,9.069961129811893e-38,3.229404607736651e-38,-8.688864123353223e-38,4.168660141818205e-38,-3.810950521832113e-39,2.1379026171965358e-38,-1.5807326454204504e-38,1.7034543706979472e-36,-1.3810790932356585e-36,1.2368790930519052e-38,-1.4749003753719679e-38,-9.75705513786262e-38,4.367368892168419e-39,1.3105713041466197e-39,1.050986795581657e-39,5.41603598851294e-38,6.933169893283458e-38,7.347463949127056e-13,7.092251531871706e-13,-1.4805961136284667,0.020528727206421644,-0.8726571723398028,-0.19465061601635003
1295.5,-0.6763017773628235,0.3876766860485077,-0.3515178859233856,-0.5184338092803955,0.0005124247400090098,-0.0020261681638658047,-0.0017961490666493773,0.0016142335953190923,0.6076816749062098,0.3923442706305977,-1.5176520144766053e-31,1.3947861542419005e-30,-7.861010547356659e-33,2.807473498345965e-32,-2.3194060348415516e-31,1.869205102859181e-31,-4.609102090938205e-24,-5.520478294682539e-24,4.0964643824260944e-22,5.600535618920374e-22,5.2412194343631554e-23,2.3110111215413133e-23,-7.323672094032697e-38,8.801410612393671e-38,3.1757068518647787e-38,-8.370771357257415e-38,4.1479654767140987e-38,-4.3063984911893776e-39,2.047379444074671e-38,-1.5353066659888215e-38,1.7006221913906453e-36,-1.4140603739946362e-36,1.1926397081993258e-38,-1.4762024732376998e-38,-9.735547652912203e-38,4.359785690972982e-39,1.2882700174212488e-39,9.902853463195946e-40,5.536810262646497e-38,6.902222330548407e-38,7.370518762208126e-13,7.180639777092009e-13,-1.4675162128157764,0.017265013347519155,-0.8879230175667269,-0.18875473055854503
1296.5,-0.6645253300666809,0.39345791935920715,-0.36428990960121155,-0.5204797387123108,0.0005983391311019659,-0.0021488505881279707,-0.0017124781152233481,0.0015705067198723555,0.5964080241752734,0.4036116957199465,-1.4974302583988287e-31,1.3993981828112103e-30,-7.660913622044762e-33,2.7300356067926665e-32,-2.3117944449787974e-31,1.9110534421565044e-31,-4.575131356174245e-24,-5.3621521930101024e-24,4.158967530979175e-22,5.530883035997734e-22,5.2234792027218433e-23,2.2658690651825165e-23,-7.258889589112049e-38,8.555683013425995e-38,3.121590199509889e-38,-8.088927999191218e-38,4.137301271251585e-38,-4.6675078881463524e-39,1.9609073690777964e-38,-1.4735346679412705e-38,1.6968300313686737e-36,-1.4469693967588284e-36,1.1501579501325702e-38,-1.465707474796119e-38,-9.71734790690911e-38,4.3468131432755556e-39,1.240928694369989e-39,9.298432698323625e-40,5.65431679839421e-38,6.87131164649576e-38,7.393633068538324e-13,7.266220433197736e-13,-1.4547121303744197,0.0136740993520776,-0.9030971251598928,-0.18250752317138988
1297.5,-0.6527413725852966,0.39884302020072937,-0.37698784470558167,-0.5222329497337341,0.0006398137775249779,-0.0022011105902493,-0.0015872966032475233,0.0014803624944761395,0.5851523084968767,0.4148517998269784,-1.4773915374876112e-31,1.40386479200179e-30,-7.53549529266739e-33,2.6659679885355034e-32,-2.3043759961774805e-31,1.9525770630021937e-31,-4.5975862076608806e-24,-5.221395670997337e-24,4.21929253495091e-22,5.461211319821336e-22,5.205937389766256e-23,2.2213735890539853e-23,-7.182626556487779e-38,8.358109374397283e-38,3.0822291536234835e-38,-7.832393033682169e-38,4.1003983299616793e-38,-5.257139310968572e-39,1.8760029437979005e-38,-1.4113819374637345e-38,1.692693507316097e-36,-1.4796195118145627e-36,1.1046606612004654e-38,-1.460998010653018e-38,-9.69983804903733e-38,4.333674923026473e-39,1.1872749694533952e-39,8.665023046330375e-40,5.771995636131613e-38,6.840052739211894e-38,7.415241967305453e-13,7.351265488295839e-13,-1.4420934900172964,0.009766070689443048,-0.9179462586387599,-0.1759763590288134
1298.5,-0.640694797039032,0.40400031208992004,-0.3899775445461273,-0.5237144827842712,0.0006984838983044028,-0.00234611495397985,-0.001488646026700735,0.0014219348086044192,0.5737120672567728,0.42636358269381625,-1.456759899476937e-31,1.4084232949207746e-30,-7.433677127076128e-33,2.5937298241968155e-32,-2.2950222671586834e-31,1.9966850972559633e-31,-4.5191541146529685e-24,-5.049432715691873e-24,4.279231398817448e-22,5.389225455440789e-22,5.18949879808521e-23,2.1774994466848447e-23,-7.11211070022071e-38,8.159943894071853e-38,3.033908442052993e-38,-7.622741024214021e-38,4.078202697727499e-38,-5.372009082617804e-39,1.794232765754517e-38,-1.3420174918314307e-38,1.6877862475935277e-36,-1.5128433244890126e-36,1.0487112378687875e-38,-1.4329748535373457e-38,-9.68317074415057e-38,4.3152566623576e-39,1.1355088957318667e-39,8.04061355874868e-40,5.89478079707698e-38,6.804238515908011e-38,7.437739327523169e-13,7.43727853213986e-13,-1.4294960790852274,0.0054603585338853546,-0.932938629718512,-0.1690007218537012
1299.5,-0.6289623975753784,0.4086763560771942,-0.402580589056015,-0.5247343182563782,0.0007281224243342876,-0.002398971701040864,-0.0014069831231608987,0.0013703166041523218,0.5626163468077894,0.4374210928097784,-1.4351949333888152e-31,1.412765049291733e-30,-7.290927001601646e-33,2.5402189605239415e-32,-2.2839152771040998e-31,2.0372746176704946e-31,-4.5119574339416206e-24,-4.909280948048023e-24,4.335007950569175e-22,5.318080537327576e-22,5.171279280732323e-23,2.1325546307186612e-23,-7.046323160153728e-38,8.003552702653907e-38,2.9782457844067173e-38,-7.3857277595791e-38,4.068079529327987e-38,-6.178257229135614e-39,1.7183132654533333e-38,-1.2759464277253506e-38,1.6821561940524492e-36,-1.54480515355785e-36,1.0074466926797683e-38,-1.4235612618112323e-38,-9.670627658880413e-38,4.2944758813894885e-39,1.0921009197378263e-39,7.574637280831208e-40,6.009525800598071e-38,6.764790930239788e-38,7.457866622056798e-13,7.516493501114693e-13,-1.4175464887634508,0.0010419340846011531,-0.9472187473819724,-0.16180742369938225
1300.5,-0.6169840693473816,0.4130614101886749,-0.4153931438922882,-0.5254732370376587,0.0008171773515641689,-0.0025765218306332827,-0.0013197012012824416,0.0013220683904364705,0.5512963766590789,0.4486770763116443,-1.4134391130541919e-31,1.4170210517893742e-30,-7.166498777684569e-33,2.463105596045195e-32,-2.273126164686036e-31,2.0805309480407553e-31,-4.4576698250521845e-24,-4.756488957701982e-24,4.389957592242644e-22,5.245229912338584e-22,5.152145880987476e-23,2.0884682686333286e-23,-6.982429587112876e-38,7.859381545090658e-38,2.938402167223932e-38,-7.183067080886706e-38,4.0440282708618113e-38,-6.763145654569396e-39,1.6333116026266337e-38,-1.1952176153436145e-38,1.6759479427862307e-36,-1.57721896224098e-36,9.64983409740374e-39,-1.414665916778104e-38,-9.657035591633563e-38,4.276269173999277e-39,1.0418105464924642e-39,6.9506927981117975e-40,6.130322004648578e-38,6.725364705773741e-38,7.477074892216656e-13,7.597133348683563e-13,-1.4054883099866917,-0.0038098888455064366,-0.9614598036427022,-0.15415022655984637
1301.5,-0.6047823429107666,0.41718199849128723,-0.4284467399120331,-0.5259048342704773,0.0008322574431076646,-0.0026195559184998274,-0.0012179396580904722,0.0012378488900139928,0.5398100568874821,0.46014551929719283,-1.3910796498726523e-31,1.4213614945092732e-30,-7.067602334641493e-33,2.4179557937689028e-32,-2.2618817045897737e-31,2.1240553616012575e-31,-4.421443450253039e-24,-4.604297315054425e-24,4.444172659977984e-22,5.170641859137411e-22,5.135898356734438e-23,2.0444919275872337e-23,-6.912316322908527e-38,7.724188601221213e-38,2.885619780933483e-38,-6.98775103885761e-38,4.0266935386158264e-38,-7.364388686729919e-39,1.5522301245505171e-38,-1.1126421216592568e-38,1.6691408971048513e-36,-1.6101120517683804e-36,9.150450089303239e-39,-1.3870227013748788e-38,-9.64456895859106e-38,4.256938659329205e-39,9.869422310464006e-40,6.441609317709233e-40,6.25168493571008e-38,6.684666211370284e-38,7.497100987708545e-13,7.67935741680123e-13,-1.3935191020304187,-0.00904343179553837,-0.9757787633988824,-0.14604201770844094
