lam_nm,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,T,R,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,C_px,C_Qxz,E_up_re,E_up_im,E_dn_re,E_dn_im
1292.5,-0.07759025692939758,0.2977008521556854,-0.7464597225189209,-0.26137155294418335,-0.3032744526863098,-0.0031331414356827736,-0.4328754246234894,-0.016499783843755722,0.18663125557202795,0.8131705821413353,-1.736717707920833e-31,1.868109182905398e-30,-1.9551758963017508e-31,8.14376652239477e-31,-2.4170585569726686e-31,9.246745328272049e-31,1.3640002343111155e-22,5.775797001017873e-23,2.847515889031136e-22,1.3791417720619561e-22,7.493150132226301e-23,-3.120395346210788e-23,-3.0608045637158407e-37,2.9732906414350266e-37,2.0990650485802645e-37,-2.3202729254043022e-37,9.617397274515338e-38,-6.530173708374488e-38,-2.9877061986580734e-37,3.89344419883696e-37,6.753144209462258e-37,-2.0798948198510594e-36,-1.2551782175529643e-37,3.2833612330634824e-37,-9.165325921855901e-38,1.5449729836270275e-38,-2.5624964333997154e-38,1.4275589336856271e-37,2.67092825418932e-37,6.738359639890362e-38,1.3302724044062351e-12,7.117979454687026e-13,-1.0010694401318363,-0.5052744759230042,-1.134204284523008,0.3872416152555361
1293.5,-0.06644631177186966,0.28619763255119324,-0.7582446336746216,-0.24472559988498688,-0.30234387516975403,0.0038945614360272884,-0.4326942563056946,-0.008382813073694706,0.17775118368743514,0.8221201347303944,-1.6543794389455304e-31,1.8704670171293325e-30,-1.8094709732971317e-31,8.176073413926507e-31,-2.287466056599975e-31,9.389554055998045e-31,1.3936483400695911e-22,5.57538918199781e-23,2.809387319529668e-22,1.3027701135335873e-22,7.504570450692094e-23,-3.3233473403972923e-23,-2.9874800394534884e-37,3.0838138018440823e-37,2.0648242395329435e-37,-2.38056492859158e-37,9.226554202839346e-38,-7.032493592729215e-38,-2.931548003421589e-37,3.986764303440795e-37,6.452966301043004e-37,-2.1140856722696048e-36,-1.1983611957532085e-37,3.3784256461411498e-37,-9.211141623303509e-38,1.5300667747340567e-38,-2.2687400063795838e-38,1.434968750482709e-37,2.718147038829828e-37,6.379231293533751e-38,1.3284325473083055e-12,7.238747675878266e-13,-1.0026474845493405,-0.5228456379250556,-1.1347945651944367,0.4122242729675559
1294.5,-0.055621422827243805,0.27394619584083557,-0.769595742225647,-0.22730137407779694,-0.30117517709732056,0.011103499680757523,-0.4322788715362549,-2.1765690689790063e-05,0.16897003589775544,0.8308085443599023,-1.570285420440235e-31,1.8726833562358346e-30,-1.65879201016754e-31,8.204948444646863e-31,-2.1503809720370837e-31,9.533083138553007e-31,1.4231792724949332e-22,5.3588313161583e-23,2.765678121342424e-22,1.226607907892229e-22,7.519173390865809e-23,-3.539591562210035e-23,-2.907867234215713e-37,3.1956269511852916e-37,2.0278091138850004e-37,-2.4415958365459843e-37,8.800580734627403e-38,-7.540310146215614e-38,-2.872726157611193e-37,4.082576499567256e-37,6.132637231119466e-37,-2.1472156198939577e-36,-1.1364374147164328e-37,3.47298466106139e-37,-9.259169448187183e-38,1.5167870899454795e-38,-1.9622708236393184e-38,1.4417891387669162e-37,2.7660370409822214e-37,5.99662582931832e-38,1.3264298657612157e-12,7.354005651178876e-13,-1.0051319201246034,-0.5407186357236793,-1.1344198690659606,0.43772337067309686
1295.5,-0.045183319598436356,0.261369913816452,-0.780559778213501,-0.20919561386108398,-0.29975950717926025,0.018277635797858238,-0.4317111074924469,0.008280834183096886,0.16054559833306611,0.8394794247705486,-1.4817749243530815e-31,1.875049855917985e-30,-1.5073117508386024e-31,8.229741405748893e-31,-2.007402700019357e-31,9.678297518335024e-31,1.4531771022451848e-22,5.1346534293036065e-23,2.7174630808991233e-22,1.15095274826849e-22,7.516369986095822e-23,-3.76352535637332e-23,-2.8263886579576637e-37,3.3063412190053098e-37,1.990039797005694e-37,-2.503290398814028e-37,8.363488811003818e-38,-8.030492254847031e-38,-2.809715821082095e-37,4.1735656779491155e-37,5.797856945559039e-37,-2.1792309544670325e-36,-1.0707473929979802e-37,3.569421479464441e-37,-9.307911000907683e-38,1.5067716929738745e-38,-1.655730667241265e-38,1.4478282203274803e-37,2.814805509347011e-37,5.59596358073014e-38,1.324648449367433e-12,7.464708033571215e-13,-1.0084244703116385,-0.5585201636938611,-1.1333997708566113,0.4636892941110809
1296.5,-0.03510129824280739,0.24797821044921875,-0.7908847332000732,-0.19029337167739868,-0.2980400621891022,0.025461440905928612,-0.43093499541282654,0.016617203131318092,0.15220145763861753,0.8476913302246639,-1.3926865630565393e-31,1.8762806559485332e-30,-1.3538252966216024e-31,8.250513668494565e-31,-1.857980572187236e-31,9.828226466348137e-31,1.4829060695613585e-22,4.8962010824088096e-23,2.6586505072377345e-22,1.0747743844527136e-22,7.528589685213957e-23,-3.9851874617727455e-23,-2.7410653467865622e-37,3.4206114486484927e-37,1.949252973326451e-37,-2.563963083803468e-37,7.918126557855599e-38,-8.566491109759891e-38,-2.743545972148989e-37,4.26580752759517e-37,5.437848198214874e-37,-2.2083028268603542e-36,-9.993579781172554e-38,3.6642999475856334e-37,-9.359181100523963e-38,1.4948518296132618e-38,-1.3446702392536374e-38,1.4528644125208856e-37,2.8660128339035163e-37,5.175545632856699e-38,1.3213339096802857e-12,7.557501359658224e-13,-1.0122830018989915,-0.5766782377603613,-1.1308444957657784,0.489992326283859
1297.5,-0.02549244463443756,0.23407892882823944,-0.8006795644760132,-0.17084476351737976,-0.2960270047187805,0.032584842294454575,-0.4299904406070709,0.024847276508808136,0.14413656912494324,0.8557848643541757,-1.3014275816341283e-31,1.8776484654175023e-30,-1.201119063233471e-31,8.26646971082956e-31,-1.7035211931343426e-31,9.978749704714667e-31,1.513274314974243e-22,4.6466353486389976e-23,2.5942022799950955e-22,9.991042333046141e-23,7.539954002691212e-23,-4.2171637211526645e-23,-2.651741697551258e-37,3.533661019020962e-37,1.905566989989359e-37,-2.6242606847426116e-37,7.461744817005466e-38,-9.094012917854172e-38,-2.6732001117125737e-37,4.356235839864412e-37,5.060328632820496e-37,-2.2356618064389065e-36,-9.224706001508897e-38,3.761821249526106e-37,-9.415446908963042e-38,1.484734092255132e-38,-1.0338256826158611e-38,1.4568960685584422e-37,2.9179701617349905e-37,4.73965262581703e-38,1.3182609668731222e-12,7.641808598799482e-13,-1.0171454640898414,-0.5948341213880552,-1.1275740013500177,0.5165467841695561
1298.5,-0.0162610225379467,0.2193884551525116,-0.8099339008331299,-0.15033327043056488,-0.29375961422920227,0.039644669741392136,-0.4288863241672516,0.03316681087017059,0.13626212589917897,0.863636532318114,-1.206281237071262e-31,1.8783549382672435e-30,-1.0458960522778888e-31,8.279245993428162e-31,-1.538498869774127e-31,1.0133586257749355e-30,1.5432081925243926e-22,4.375478662626467e-23,2.5202598655571936e-22,9.236319822355832e-23,7.546439804814622e-23,-4.4417385400331786e-23,-2.558700995745453e-37,3.652039209664731e-37,1.8612107975090356e-37,-2.686776061331224e-37,6.974898601457215e-38,-9.65263817736335e-38,-2.6012949555076906e-37,4.44418304831836e-37,4.658630322169512e-37,-2.2607970175532637e-36,-8.383613030837832e-38,3.856044931337693e-37,-9.471247368792174e-38,1.4769499304109126e-38,-7.204059322632886e-39,1.4600074686043115e-37,2.972088278708964e-37,4.2708303279694366e-38,1.3143040278745646e-12,7.71366440012067e-13,-1.02279828842956,-0.6132770530337248,-1.122881088369487,0.543838495670449
1299.5,-0.007659189868718386,0.2042558491230011,-0.8185098171234131,-0.12936744093894958,-0.2911074459552765,0.046743445098400116,-0.42745834589004517,0.041423499584198,0.12870760984067464,0.8711307992913512,-1.1097594046237103e-31,1.878845022016189e-30,-8.893651693183567e-32,8.284761368233071e-31,-1.3678994342657142e-31,1.0288332396569532e-30,1.5728172036874035e-22,4.096864583212073e-23,2.4396834546391583e-22,8.504577836042866e-23,7.558775926352239e-23,-4.671287165744212e-23,-2.458868458744634e-37,3.76822297778313e-37,1.8117689959182168e-37,-2.7479570391427013e-37,6.470995680081712e-38,-1.0202658910441411e-37,-2.525779510747864e-37,4.531738608930931e-37,4.244192008883439e-37,-2.2833953389209856e-36,-7.502547538355976e-38,3.950905436500474e-37,-9.52998901843232e-38,1.468525148854807e-38,-4.000630062270867e-39,1.4618315877675302e-37,3.026808373429962e-37,3.783213484928555e-38,1.3101173566678134e-12,7.772929048698138e-13,-1.029335984472748,-0.6315925375533613,-1.1172041337514973,0.5711122714146806
1300.5,0.0004398619057610631,0.18848976492881775,-0.8263448476791382,-0.10743638873100281,-0.28828221559524536,0.05374337360262871,-0.4259427487850189,0.04977794736623764,0.12152357099611238,0.8782934541959511,-1.010008438104914e-31,1.8788770945187835e-30,-7.312156707417322e-32,8.288600245120635e-31,-1.1862558484818393e-31,1.044585463162879e-30,1.6020254712149754e-22,3.79492311078917e-23,2.349609855015479e-22,7.790433634558169e-23,7.559497516648305e-23,-4.9196813096420525e-23,-2.356590588438054e-37,3.8871349884562435e-37,1.7629068698553872e-37,-2.809848470951936e-37,5.936836743552515e-38,-1.0772863746967636e-37,-2.4493389145689147e-37,4.616521985574875e-37,3.809175381536783e-37,-2.303271837974387e-36,-6.544768999138952e-38,4.0421147649161645e-37,-9.592474185519226e-38,1.463755906574318e-38,-8.012518418878439e-40,1.4631167988220216e-37,3.083273069258894e-37,3.2607167107576544e-38,1.305357234312458e-12,7.817653834630153e-13,-1.0369051391019914,-0.6499676502926689,-1.1101900934490818,0.5988744234677924
1301.5,0.007905194535851479,0.17216897010803223,-0.8334360122680664,-0.08495508134365082,-0.28510990738868713,0.06069059669971466,-0.42418813705444336,0.05803246423602104,0.11467565418766332,0.8851362949144272,-9.08790185215209e-32,1.8782076122252347e-30,-5.732110543225137e-32,8.28606034520366e-31,-1.0001936227058116e-31,1.0607394365248494e-30,1.6307167541324216e-22,3.482708723770019e-23,2.249185845801144e-22,7.08515538788228e-23,7.570489337430594e-23,-5.156775945350097e-23,-2.2496999233277666e-37,4.006418572713039e-37,1.7095094437400965e-37,-2.870094209271248e-37,5.401904386447787e-38,-1.1363243702832165e-37,-2.3687124632680637e-37,4.699968649141985e-37,3.354028769968798e-37,-2.3193953038403208e-36,-5.538665898153029e-38,4.132302038871336e-37,-9.656951171872755e-38,1.4601161762222223e-38,2.4355563769802155e-39,1.46329306725956e-37,3.1419890731839496e-37,2.723060397987974e-38,1.2997115508102644e-12,7.841550810296134e-13,-1.0452312092565808,-0.6682424821485411,-1.1018436219048835,0.6267015272354549
