geometry,fill,A_E,C,center_dominant,lambda_pole_nm,Q_pole,pole_stable,certified
ref: bare ITO,0.0,0.04486156984662004,-0.0016098023520967465,False,,,False,False
ref: EDR cuboid,0.3896484375,0.198728960456235,0.10845329275688675,True,1463.6053081605223,5.249223556766706,True,True
ref: unpadded QNM winner,0.59375,0.20500276299081777,0.12105363264343959,True,1498.7352510385413,5.751480365505117,True,True
ref: padded QNM winner,0.49468994140625,0.2009487771416496,0.07827945299977447,True,1460.2424599325382,5.022428100150903,True,True
ref: padded F_ENZ winner,0.4876708984375,0.20785200271447868,0.07520897307658356,True,1497.064192871042,5.639878772212685,True,True
padQ x-scale 0.8,0.3919677734375,0.1842703498325492,0.09987208460020303,True,1456.1597758339926,4.9777353775309505,True,True
padQ y-scale 0.8,0.39654541015625,0.2001041283716103,0.10309411188779102,True,1463.4515822891096,5.233492278402215,True,True
padQ x-scale 0.9,0.44549560546875,0.19900891414391886,0.09409983319039479,True,1494.4138358801063,5.455542798901182,True,True
padQ y-scale 0.9,0.44091796875,0.2005082215212357,0.09820933249314642,True,1460.797427062142,5.195212705359214,True,True
padQ x-scale 1.1,0.54388427734375,0.19937311248015432,0.03986470600252073,True,1462.9224784239282,5.473214752055963,True,True
padQ y-scale 1.1,0.5010986328125,0.2004961000731591,0.07399656831286387,True,1465.8967748523885,5.039093417656366,True,True
padQ x-scale 1.2,0.597412109375,0.18499041538340022,-0.08855311522030951,False,1476.069007101661,5.230889993026885,True,True
padQ y-scale 1.2,0.501953125,0.20033127527134464,0.07380331375663997,True,1463.1828082452412,5.154392760336243,True,True
padQ dilate -3px,0.43170166015625,0.19963675665541625,0.09580590376559717,True,1467.86804102151,5.079151314370634,True,True
padQ dilate -2px,0.45245361328125,0.2007649512152907,0.09222303030179525,True,1462.3648846042436,5.028801447314134,True,True
padQ dilate -1px,0.47344970703125,0.20108441380516862,0.08711036618995795,True,1460.1868112817563,5.160090199837749,True,True
padQ dilate +1px,0.5115966796875,0.20063233138656744,0.0673477751021747,True,1458.8348298709411,5.279312427798607,True,True
padQ dilate +2px,0.5240478515625,0.20034300093122626,0.057596552017648725,True,1460.4107567422293,5.196154907085604,True,True
padQ dilate +3px,0.5364990234375,0.20007887309363037,0.04406810963125465,True,1458.8413774795138,5.230827654320076,True,True
morph padQ->padE 0.25,0.49346923828125,0.20278557620830384,0.07669402015575773,True,1462.6108707553087,5.173072801661433,True,True
morph padQ->padE 0.5,0.48687744140625,0.2051609304982216,0.07868261390121076,True,1463.0276548704157,5.027129632956903,True,True
morph padQ->padE 0.75,0.48583984375,0.20707496369477607,0.07741042399962278,True,1468.5843779526047,5.49228976219608,True,True
unpadded dilate -3px,0.521240234375,0.20008279125808204,0.06302137934206253,True,1511.3902584731645,5.2460324930346065,True,True
unpadded dilate -1px,0.569091796875,0.20434364403534178,0.12239868789922123,True,1481.1998367094527,4.911582755832411,True,True
unpadded dilate +1px,0.609375,0.20311702698847933,0.12309638629246254,True,1462.6839383585561,5.2259812671204955,True,True
unpadded dilate +3px,0.640625,0.1980971883123388,0.1303602076391421,True,1499.3320647411308,5.799168129875667,True,True
EDR scale 0.7,0.191162109375,0.13891973970350158,0.08401150271007228,True,1505.2461864211043,4.630465006001791,False,False
EDR scale 0.85,0.28167724609375,0.18239581075493128,0.09896260419926381,True,1499.3161794126358,5.346239324570382,True,True
EDR scale 1.15,0.51507568359375,0.185445222291035,0.09190251702719426,True,1473.132281324701,5.12473767782392,True,True
EDR scale 1.3,0.657958984375,0.15189907675808306,-0.2817283248562749,False,1327.6021243537843,34.5420292739023,True,True
control: uniform slab 0.3,0.29999999999999993,0.04217516823995904,-0.0033481582627320644,False,,,False,False
control: uniform slab 0.6,0.5999999999999999,0.031284027414215876,-0.006495104669424063,False,,,False,False
control: uniform slab 1.0,1.0,0.0233370901993048,-0.008468634867783247,False,,,False,False
control: EDR scale 0.4,0.05841064453125,0.06239614586633335,0.032912353985795194,False,,,False,False
control: padQ erode -6px,0.37237548828125,0.19021796485722742,0.10177222044318436,True,1502.8482808665894,5.4889064213311025,True,True
