candidate,branch,P,h,lambda_pole,Q_loaded,Q_rad,Q_nr,gamma_ratio,Q_lossless,linearity_resid,jumps,eta_ENZ_z_modal,eta_z_modal,ito_E_frac_modal,eta_ENZ_z_loaded,eta_z_loaded,ito_E_frac_loaded,F_Ez_lambdaE,F_Ez_pole,eta_z_driven_lambdaE,eta_z_driven_pole,A_lambdaE,A_pole,U_lambdaE,U_pole,peak_Ez2_lambdaE,Ez2_p95_lambdaE,Ez2_p99_lambdaE,modal_note
padded QNM,padded QNM|1289nm,850.0,140.0,1289.0388048543005,48.62374760390276,90.65820180330256,105.16550752739867,1.1600219884746008,90.34691046001196,0.0018517879585305,0,0.0086488732702126,0.2207665442018274,0.1287389676613848,0.0069457626959313,0.1827934254048878,0.1255214788096784,2.213813141196418,1.483821816746448,0.7792009830183609,0.1828106425813739,0.2009487771416497,0.4667672843519149,231419638.9289629,3549209332.939974,11.346829961425469,8.171105492686381,10.168848102619988,
padded QNM,padded QNM|1459nm,850.0,140.0,1485.8648147505137,4.90266662637445,138.61678015416868,5.0987452482205775,0.036783030471129,,0.0143193580951831,2,0.42407617966991,0.9629180216736882,0.9141050515773258,0.1508851500844454,0.7660880913085856,0.547434251429596,2.213813141196418,2.0383018097027654,0.7792009830183609,0.7660088579245625,0.2009487771416497,0.2018456469195415,231419638.9289629,224447815.1263983,11.346829961425469,8.171105492686381,10.168848102619988,from s=0.03 pole 1513.6 nm (s=0 level continuity-flagged)
padded QNM,padded QNM|1503nm,850.0,140.0,1485.8648147505137,4.90266662637445,138.61678015416868,5.0987452482205775,0.036783030471129,,0.0143193580951831,2,0.42407617966991,0.9629180216736882,0.9141050515773258,0.1508851500844454,0.7660880913085856,0.547434251429596,2.213813141196418,2.0383018097027654,0.7792009830183609,0.7660088579245625,0.2009487771416497,0.2018456469195415,231419638.9289629,224447815.1263983,11.346829961425469,8.171105492686381,10.168848102619988,from s=0.03 pole 1513.6 nm (s=0 level continuity-flagged)
padded F_ENZ,padded F_ENZ|1283nm,850.0,140.0,1283.299041472619,37.40709686324482,57.21119783905938,108.63683157617672,1.8988735716001373,56.97914612093152,0.0026766923724455,0,0.0079849312217116,0.2046274638420674,0.1284226804417346,0.0060802643173854,0.1621543793907422,0.1240920243576857,2.284938517045628,1.1972590189572132,0.7775369819303835,0.162173189793179,0.2078520027144788,0.4209083886282831,246907824.76609403,3271351400.46937,13.954664405879983,9.36401026451396,12.154166762032991,
padded F_ENZ,padded F_ENZ|1466nm,850.0,140.0,1488.5599029125865,4.896562991356623,115.86329214397456,5.125949145306043,0.0442413559156977,110.32672280383878,0.0048592936803026,1,0.4340975714563991,0.9298621563139108,0.9404231144507744,0.1472758402402068,0.7644517514858682,0.5398672832123514,2.284938517045628,2.0805605737007977,0.7775369819303835,0.7643689383680415,0.2078520027144788,0.2072042787742949,246907824.76609403,234713429.7284585,13.954664405879983,9.36401026451396,12.154166762032991,
padded F_ENZ,padded F_ENZ|1499nm,850.0,140.0,1488.5599029125865,4.896562991356623,115.86329214397456,5.125949145306043,0.0442413559156977,110.32672280383878,0.0048592936803026,1,0.4340975714563991,0.9298621563139108,0.9404231144507744,0.1472758402402068,0.7644517514858682,0.5398672832123514,2.284938517045628,2.0805605737007977,0.7775369819303835,0.7643689383680415,0.2078520027144788,0.2072042787742949,246907824.76609403,234713429.7284585,13.954664405879983,9.36401026451396,12.154166762032991,
P800 robust,P800 robust|1438nm,800.0,200.0,1437.5570013652975,73.81163297289444,206.24202106327576,109.82218323340774,0.53249179128105,223.82193720825427,0.0450710904781319,0,0.0237198118313347,0.5791768332427791,0.145786408354327,0.0093509788874783,0.3338734967748964,0.1026124432305271,2.1523369784203954,2.414700052272783,0.3377928549984518,0.3338836846744334,0.4506718588398914,0.514371971428077,3265626376.4275894,3800099519.071058,21.054931986968075,8.399995767676245,13.319253249870275,
P800 robust,P800 robust|1478nm,800.0,200.0,1499.8042387035791,5.508265231167946,181.1458068540944,5.695573712748599,0.031441929634817,138.63192625574152,0.009224550666518,1,0.4146784815034769,0.9559112152124134,0.9072713439404312,0.0950176519279719,0.7488635139302663,0.4054618423867792,2.1523369784203954,2.073466624814693,0.3377928549984518,0.7487832940208164,0.4506718588398914,0.2139007575910754,3265626376.4275894,321160835.5431957,21.054931986968075,8.399995767676245,13.319253249870275,
P800 robust,P800 robust|1515nm,800.0,200.0,1499.8042387035791,5.508265231167946,181.1458068540944,5.695573712748599,0.031441929634817,138.63192625574152,0.009224550666518,1,0.4146784815034769,0.9559112152124134,0.9072713439404312,0.0950176519279719,0.7488635139302663,0.4054618423867792,2.1523369784203954,2.073466624814693,0.3377928549984518,0.7487832940208164,0.4506718588398914,0.2139007575910754,3265626376.4275894,321160835.5431957,21.054931986968075,8.399995767676245,13.319253249870275,
P925 robust,P925 robust|1337nm,925.0,240.0,1338.3900464805256,25.376931521040603,30.55866482878448,61.4373863922546,2.0104735182796394,37.63399212181637,0.2966222161373398,0,0.20886007072964,0.9603418061688808,0.5688745372139689,0.0792467495925101,0.7784459774660526,0.3119701106935261,4.03134377032727,5.726389066806845,0.6234195914836314,0.7784013652177527,0.45739515914468,0.4550556428668156,2036665735.665121,1421899689.5685637,47.79635212003106,15.480136686492932,28.070913601467826,
