# xy-averaged squared field magnitudes vs z from final2/prod/fields_normalized.npz, lambda = 1302.2820 nm
# z_nm is the FDTDX domain coordinate (z=0 at the domain bottom, inside the glass PML); +z: glass -> ITO -> a-Si:H -> air
# E normalized to the incident Ex phasor; Dz in units of eps0*E_inc
z_nm,dz_nm,region,E2_xyavg,Ex2_xyavg,Ey2_xyavg,Ez2_xyavg,Dz2_xyavg
1695.8518,13.1381,glass,8.11315652e-01,1.69306908e-01,1.06322408e-01,5.35686337e-01,2.83340461e+00
1707.4740,10.1062,glass,8.87801133e-01,1.85663054e-01,1.18606246e-01,5.83531834e-01,3.08647370e+00
1716.4141,7.7740,glass,9.58408669e-01,2.01309597e-01,1.30060490e-01,6.27038582e-01,3.31659385e+00
1723.2911,5.9800,glass,1.02252913e+00,2.15984777e-01,1.40530159e-01,6.66014197e-01,3.52274748e+00
1728.5811,4.6000,ITO,1.95768280e+01,2.28901995e-01,1.47036519e-01,1.92008895e+01,3.52813323e+00
1733.1811,4.6000,ITO,1.97473174e+01,2.91872757e-01,1.64747082e-01,1.92906976e+01,3.54463531e+00
1737.7811,4.6000,ITO,2.01064897e+01,4.26955260e-01,2.04025665e-01,1.94755088e+01,3.57859408e+00
1742.3811,4.6000,ITO,2.06806955e+01,6.41490837e-01,2.68776446e-01,1.97704282e+01,3.63278506e+00
1746.9811,4.6000,ITO,2.15287777e+01,9.50477780e-01,3.67203060e-01,2.02110969e+01,3.71375724e+00
1752.2711,5.9800,aSi,2.45722111e+00,1.11466411e+00,4.16222786e-01,9.26334216e-01,4.06291278e+00
1759.1481,7.7740,aSi,2.16429702e+00,1.06344015e+00,3.90694733e-01,7.10162138e-01,4.29026266e+00
1768.0882,10.1062,aSi,1.93645292e+00,1.01706881e+00,3.68900986e-01,5.50483124e-01,4.68071032e+00
1779.5428,12.8031,aSi,1.75589738e+00,9.73318743e-01,3.51653378e-01,4.30925258e-01,5.31841374e+00
