lambda_nm,R,T,A_closure_residual,R_9000fs_window,T_9000fs_window,R_18000fs_window,T_18000fs_window,R_27000fs_window,T_27000fs_window
1200.00,0.089893,0.909224,0.000883,0.090067,0.910433,0.089898,0.909811,0.089881,0.909387
1202.00,0.084417,0.914754,0.000829,0.084583,0.913482,0.084408,0.914142,0.084394,0.914636
1204.00,0.079030,0.920199,0.000771,0.078812,0.919797,0.079093,0.920516,0.079025,0.919902
1206.00,0.073768,0.925458,0.000774,0.073780,0.926824,0.073675,0.925360,0.073775,0.925193
1208.00,0.068657,0.930471,0.000872,0.068819,0.929474,0.068717,0.930132,0.068674,0.930369
1210.00,0.063752,0.935385,0.000862,0.063582,0.935254,0.063751,0.936006,0.063787,0.935313
1212.00,0.059166,0.940133,0.000701,0.059211,0.941287,0.059112,0.939919,0.059199,0.939915
1214.00,0.054995,0.944205,0.000800,0.055089,0.942759,0.055040,0.943724,0.055009,0.944074
1216.00,0.051307,0.947956,0.000737,0.051155,0.948957,0.051344,0.948267,0.051333,0.947709
1218.00,0.048289,0.951009,0.000702,0.048414,0.950822,0.048226,0.951559,0.048285,0.950797
1220.00,0.045941,0.953376,0.000683,0.045896,0.952742,0.045920,0.953208,0.045933,0.953356
1222.00,0.044258,0.955027,0.000715,0.044222,0.956299,0.044291,0.954428,0.044228,0.955325
1224.00,0.042861,0.956584,0.000555,0.042956,0.954934,0.042921,0.956030,0.042869,0.956608
1226.00,0.041164,0.958138,0.000698,0.041042,0.959898,0.041173,0.958272,0.041182,0.957951
1228.00,0.038285,0.961032,0.000683,0.038405,0.959403,0.038251,0.961565,0.038275,0.961106
1230.00,0.033622,0.965818,0.000560,0.033505,0.967392,0.033581,0.966373,0.033611,0.965965
1232.00,0.027311,0.972159,0.000530,0.027424,0.970540,0.027276,0.972667,0.027333,0.971835
1234.00,0.020234,0.979196,0.000570,0.020146,0.980555,0.020205,0.979678,0.020227,0.979325
1236.00,0.013573,0.985834,0.000593,0.013643,0.984611,0.013550,0.986292,0.013574,0.985752
1238.00,0.008297,0.991124,0.000579,0.008240,0.992208,0.008281,0.991557,0.008295,0.991214
1240.00,0.004862,0.994593,0.000545,0.004899,0.993787,0.004850,0.995007,0.004859,0.994568
1242.00,0.003119,0.996395,0.000486,0.003089,0.997004,0.003111,0.996782,0.003119,0.996497
1244.00,0.002466,0.997120,0.000413,0.002488,0.996825,0.002458,0.997444,0.002466,0.996993
1246.00,0.002969,0.996696,0.000335,0.002961,0.996565,0.002961,0.996879,0.002966,0.996792
1248.00,0.011620,0.988083,0.000297,0.011579,0.988648,0.011628,0.988001,0.011626,0.987959
1250.00,0.072794,0.926840,0.000366,0.072937,0.925863,0.072848,0.926504,0.072809,0.926750
1252.00,0.291742,0.707877,0.000381,0.291704,0.708279,0.291755,0.707745,0.291735,0.707970
1254.00,0.555057,0.444600,0.000343,0.554682,0.444868,0.554905,0.444733,0.555014,0.444648
1256.00,0.672090,0.327594,0.000316,0.672456,0.327332,0.672045,0.327682,0.672009,0.327611
1258.00,0.713964,0.285717,0.000319,0.714039,0.285796,0.714189,0.285679,0.714010,0.285692
1260.00,0.741399,0.258355,0.000246,0.740909,0.258379,0.741390,0.258333,0.741450,0.258344
1262.00,0.768770,0.230960,0.000270,0.769249,0.230938,0.768580,0.230967,0.768865,0.230961
1264.00,0.797574,0.202213,0.000213,0.797580,0.202202,0.797613,0.202210,0.797596,0.202214
1266.00,0.826470,0.173275,0.000255,0.825975,0.173285,0.826681,0.173283,0.826514,0.173274
1268.00,0.854441,0.145377,0.000183,0.854839,0.145405,0.854203,0.145380,0.854400,0.145372
1270.00,0.880386,0.119389,0.000225,0.880643,0.119355,0.880428,0.119376,0.880388,0.119386
