lambda_nm,R,T,A_closure_residual,R_3000fs_window,T_3000fs_window
1200.00,0.086402,0.912945,0.000653,0.085957,0.909697
1202.00,0.081479,0.917033,0.001488,0.081647,0.915364
1204.00,0.076143,0.923876,-0.000019,0.076865,0.924266
1206.00,0.071041,0.926995,0.001964,0.071167,0.931219
1208.00,0.066207,0.934052,-0.000259,0.065543,0.933970
1210.00,0.061112,0.937243,0.001644,0.060892,0.935478
1212.00,0.056913,0.942558,0.000528,0.056969,0.939626
1214.00,0.052343,0.947324,0.000333,0.053013,0.946656
1216.00,0.048800,0.949471,0.001729,0.048859,0.953361
1218.00,0.045470,0.954862,-0.000333,0.045102,0.956767
1220.00,0.042584,0.956333,0.001083,0.042296,0.956928
1222.00,0.040446,0.958354,0.001200,0.040266,0.956487
1224.00,0.037655,0.962843,-0.000498,0.038085,0.958279
1226.00,0.034220,0.964653,0.001126,0.034596,0.963464
1228.00,0.029104,0.969788,0.001108,0.029072,0.971314
1230.00,0.021905,0.978452,-0.000357,0.021804,0.979988
1232.00,0.014344,0.984963,0.000693,0.014116,0.987531
1234.00,0.007722,0.991139,0.001139,0.007565,0.992829
1236.00,0.003051,0.996886,0.000063,0.003119,0.995870
1238.00,0.000916,0.998781,0.000302,0.000971,0.997257
1240.00,0.000703,0.998394,0.000904,0.000689,0.997675
1242.00,0.001332,0.998337,0.000331,0.001281,0.997857
1244.00,0.001379,0.998563,0.000058,0.001319,0.998697
1246.00,0.000322,0.999132,0.000545,0.000356,1.000180
1248.00,0.007324,0.992176,0.000500,0.007254,0.993241
1250.00,0.080866,0.919017,0.000117,0.080373,0.919494
1252.00,0.344500,0.655081,0.000419,0.343728,0.655048
1254.00,0.622504,0.376689,0.000807,0.621678,0.376311
1256.00,0.723679,0.276015,0.000307,0.722355,0.275490
1258.00,0.751379,0.249044,-0.000422,0.749375,0.248861
1260.00,0.767130,0.233074,-0.000204,0.765406,0.233621
1262.00,0.784010,0.215339,0.000652,0.783691,0.216319
1264.00,0.803863,0.195267,0.000870,0.804882,0.196065
1266.00,0.826093,0.173767,0.000140,0.827473,0.174163
1268.00,0.848804,0.151736,-0.000539,0.850008,0.151937
1270.00,0.870088,0.130223,-0.000311,0.871467,0.130373
1272.00,0.889324,0.110158,0.000519,0.891253,0.110114
1274.00,0.907073,0.091947,0.000980,0.909097,0.091539
1276.00,0.923892,0.075517,0.000591,0.924955,0.074824
1278.00,0.939532,0.060699,-0.000231,0.938914,0.060014
1280.00,0.953214,0.047491,-0.000705,0.951119,0.047067
1282.00,0.964426,0.036013,-0.000438,0.961732,0.035898
1284.00,0.973341,0.026332,0.000327,0.970885,0.026407
1286.00,0.980624,0.018369,0.001007,0.978687,0.018494
1288.00,0.986887,0.011959,0.001154,0.985201,0.012073
1290.00,0.992345,0.006957,0.000697,0.990467,0.007072
1292.00,0.996775,0.003300,-0.000076,0.994500,0.003437
1294.00,0.999782,0.000989,-0.000772,0.997308,0.001122
1296.00,1.001048,0.000039,-0.001087,0.998887,0.000094
1298.00,1.000488,0.000435,-0.000924,0.999239,0.000323
1300.00,0.998242,0.002126,-0.000368,0.998370,0.001784
1302.00,0.994578,0.005033,0.000389,0.996292,0.004453
1304.00,0.989773,0.009081,0.001146,0.993026,0.008302
1306.00,0.984047,0.014211,0.001742,0.988602,0.013305
1308.00,0.977511,0.020391,0.002098,0.983047,0.019435
1310.00,0.970199,0.027611,0.002190,0.976405,0.026665
1312.00,0.962076,0.035881,0.002043,0.968713,0.034971
1314.00,0.953072,0.045222,0.001706,0.960004,0.044335
1316.00,0.943099,0.055680,0.001221,0.950304,0.054757
1318.00,0.932039,0.067338,0.000624,0.939612,0.066265
1320.00,0.919706,0.080376,-0.000082,0.927871,0.078964
1322.00,0.905726,0.095203,-0.000929,0.914888,0.093121
1324.00,0.889152,0.112879,-0.002031,0.900072,0.109464
1326.00,0.866836,0.136858,-0.003694,0.881315,0.130395
1328.00,0.820612,0.186182,-0.006794,0.845732,0.168916
1330.00,0.483075,0.382000,0.134925,0.501412,0.241624
1332.00,0.890070,0.098329,0.011601,0.878621,0.111503
1334.00,0.861385,0.134082,0.004533,0.858445,0.142854
1336.00,0.841005,0.156953,0.002041,0.841419,0.163615
1338.00,0.823477,0.175970,0.000553,0.825774,0.181295
1340.00,0.807255,0.193299,-0.000554,0.810752,0.197585
1342.00,0.791794,0.209661,-0.001454,0.796052,0.213030
1344.00,0.776859,0.225325,-0.002185,0.781535,0.227828
1346.00,0.762322,0.240391,-0.002713,0.767111,0.242058
1348.00,0.748090,0.254886,-0.002976,0.752724,0.255759
1350.00,0.734088,0.268816,-0.002903,0.738343,0.268958
1352.00,0.720257,0.282194,-0.002451,0.723966,0.281693
1354.00,0.706553,0.295066,-0.001619,0.709613,0.294019
1356.00,0.692995,0.307508,-0.000503,0.695356,0.306010
1358.00,0.679674,0.319628,0.000698,0.681315,0.317753
1360.00,0.666779,0.331522,0.001699,0.667659,0.329327
1362.00,0.654576,0.343229,0.002194,0.654606,0.340787
1364.00,0.643352,0.354680,0.001968,0.642401,0.352141
1366.00,0.633318,0.365651,0.001031,0.631289,0.363318
1368.00,0.624501,0.375804,-0.000305,0.621474,0.374161
1370.00,0.616695,0.384781,-0.001477,0.613079,0.384414
1372.00,0.609507,0.392371,-0.001878,0.606110,0.393741
1374.00,0.602576,0.398652,-0.001228,0.600457,0.401773
1376.00,0.595834,0.403981,0.000185,0.595910,0.408152
1378.00,0.589736,0.408750,0.001513,0.592256,0.412584
