lambda_nm,R,T,A
1200.00,0.066551,0.608319,0.325130
1202.00,0.059581,0.609250,0.331169
1204.00,0.055386,0.614711,0.329902
1206.00,0.053347,0.623688,0.322965
1208.00,0.052534,0.634095,0.313371
1210.00,0.051980,0.643352,0.304668
1212.00,0.050909,0.649048,0.300044
1214.00,0.048880,0.649518,0.301603
1216.00,0.045824,0.644237,0.309940
1218.00,0.041972,0.633892,0.324136
1220.00,0.037723,0.620159,0.342117
1222.00,0.033494,0.605255,0.361251
1224.00,0.029592,0.591359,0.379050
1226.00,0.026148,0.580057,0.393795
1228.00,0.023117,0.571908,0.404976
1230.00,0.020326,0.566275,0.413398
1232.00,0.017572,0.561396,0.421032
1234.00,0.014705,0.554711,0.430584
1236.00,0.011697,0.543355,0.444948
1238.00,0.008669,0.524723,0.466608
1240.00,0.005867,0.496981,0.497152
1242.00,0.003603,0.459464,0.536933
1244.00,0.002176,0.412814,0.585009
1246.00,0.001799,0.358943,0.639258
1248.00,0.002535,0.300744,0.696721
1250.00,0.004283,0.241680,0.754037
1252.00,0.006789,0.185279,0.807933
1254.00,0.009691,0.134650,0.855659
1256.00,0.012588,0.092109,0.895303
1258.00,0.015111,0.058933,0.925956
1260.00,0.016976,0.035295,0.947729
1262.00,0.018025,0.020374,0.961601
1264.00,0.018233,0.012591,0.969176
1266.00,0.017693,0.009934,0.972372
1268.00,0.016585,0.010298,0.973117
1270.00,0.015125,0.011795,0.973080
1272.00,0.013533,0.012979,0.973487
1274.00,0.011997,0.012975,0.975028
1276.00,0.010654,0.011484,0.977862
1278.00,0.009592,0.008703,0.981705
1280.00,0.008857,0.005174,0.985969
1282.00,0.008468,0.001599,0.989933
1284.00,0.008435,-0.001338,0.992904
1286.00,0.008768,-0.003113,0.994346
1288.00,0.009482,-0.003452,0.993970
1290.00,0.010594,-0.002354,0.991759
1292.00,0.012110,-0.000060,0.987949
1294.00,0.014017,0.003021,0.982963
1296.00,0.016270,0.006410,0.977320
1298.00,0.018793,0.009659,0.971548
1300.00,0.021484,0.012430,0.966086
1302.00,0.024221,0.014543,0.961235
1304.00,0.026889,0.015991,0.957120
1306.00,0.029392,0.016914,0.953694
1308.00,0.031672,0.017552,0.950776
1310.00,0.033720,0.018181,0.948099
1312.00,0.035573,0.019051,0.945376
1314.00,0.037307,0.020335,0.942358
1316.00,0.039023,0.022097,0.938880
1318.00,0.040821,0.024290,0.934889
1320.00,0.042779,0.026773,0.930448
1322.00,0.044939,0.029347,0.925714
1324.00,0.047295,0.031797,0.920907
1326.00,0.049791,0.033943,0.916266
1328.00,0.052333,0.035670,0.911997
1330.00,0.054803,0.036949,0.908247
1332.00,0.057086,0.037841,0.905073
1334.00,0.059086,0.038475,0.902439
1336.00,0.060745,0.039027,0.900228
1338.00,0.062056,0.039676,0.898268
1340.00,0.063059,0.040573,0.896368
1342.00,0.063835,0.041813,0.894353
1344.00,0.064490,0.043413,0.892097
1346.00,0.065132,0.045320,0.889548
1348.00,0.065853,0.047417,0.886731
1350.00,0.066707,0.049550,0.883743
1352.00,0.067705,0.051561,0.880734
1354.00,0.068807,0.053315,0.877878
1356.00,0.069932,0.054731,0.875337
1358.00,0.070973,0.055793,0.873234
1360.00,0.071817,0.056554,0.871629
1362.00,0.072364,0.057126,0.870509
1364.00,0.072546,0.057661,0.869794
1366.00,0.072338,0.058317,0.869344
1368.00,0.071768,0.059238,0.868994
1370.00,0.070905,0.060520,0.868575
1372.00,0.069851,0.062199,0.867950
1374.00,0.068723,0.064243,0.867034
1376.00,0.067630,0.066559,0.865811
1378.00,0.066659,0.069009,0.864332
1380.00,0.065854,0.071439,0.862707
1382.00,0.065214,0.073700,0.861086
1384.00,0.064691,0.075682,0.859627
1386.00,0.064199,0.077331,0.858470
1388.00,0.063631,0.078659,0.857710
1390.00,0.062879,0.079744,0.857378
1392.00,0.061848,0.080717,0.857436
1394.00,0.060479,0.081740,0.857781
1396.00,0.058756,0.082980,0.858264
1398.00,0.056712,0.084578,0.858710
1400.00,0.054421,0.086625,0.858953
