lambda_nm,R,T,A
1200.00,0.020138,0.981377,-0.001516
1202.00,0.011628,0.989704,-0.001333
1204.00,0.012012,0.984433,0.003555
1206.00,0.018634,0.982776,-0.001410
1208.00,0.011407,0.988963,-0.000370
1210.00,0.019159,0.978502,0.002339
1212.00,0.026002,0.974756,-0.000758
1214.00,0.020097,0.980143,-0.000240
1216.00,0.035046,0.963749,0.001205
1218.00,0.043288,0.956039,0.000673
1220.00,0.037690,0.963027,-0.000717
1222.00,0.059636,0.941135,-0.000771
1224.00,0.070829,0.925738,0.003433
1226.00,0.063623,0.936991,-0.000615
1228.00,0.092420,0.913292,-0.005711
1230.00,0.109723,0.883466,0.006811
1232.00,0.099532,0.896305,0.004163
1234.00,0.136755,0.877952,-0.014707
1236.00,0.167433,0.828286,0.004280
1238.00,0.151652,0.831068,0.017281
1240.00,0.192830,0.826726,-0.019556
1242.00,0.239964,0.770578,-0.010542
1244.00,0.202978,0.767055,0.029967
1246.00,0.231160,0.787008,-0.018168
1248.00,0.352322,0.683270,-0.035593
1250.00,0.474483,0.460700,0.064817
1252.00,0.831266,0.148782,0.019952
1254.00,1.368803,-0.206639,-0.162164
1256.00,1.295745,-0.273859,-0.021887
1258.00,0.481054,0.151477,0.367468
1260.00,0.044326,0.593895,0.361779
1262.00,0.482844,0.542229,-0.025073
1264.00,0.915281,0.237216,-0.152497
1266.00,0.844529,0.125515,0.029957
1268.00,0.787642,0.148713,0.063646
1270.00,0.946629,0.102813,-0.049442
1272.00,0.976830,0.050383,-0.027213
1274.00,0.898669,0.057239,0.044092
1276.00,0.950773,0.049624,-0.000397
1278.00,1.015337,0.020116,-0.035453
1280.00,0.967446,0.018216,0.014338
1282.00,0.957536,0.020607,0.021857
1284.00,1.016425,0.005271,-0.021695
1286.00,1.008658,0.001183,-0.009841
1288.00,0.971285,0.006538,0.022177
1290.00,1.000720,-0.000014,-0.000706
1292.00,1.022730,-0.003439,-0.019291
1294.00,0.988264,0.003746,0.007991
1296.00,0.982568,0.003346,0.014086
1298.00,1.011646,0.000838,-0.012484
1300.00,0.998787,0.009462,-0.008248
1302.00,0.970490,0.015129,0.014381
1304.00,0.983704,0.013654,0.002642
1306.00,0.992442,0.021758,-0.014200
1308.00,0.963909,0.033791,0.002300
1310.00,0.951680,0.035624,0.012695
1312.00,0.965433,0.040657,-0.006090
1314.00,0.953512,0.056611,-0.010124
1316.00,0.925418,0.065634,0.008948
1318.00,0.924771,0.068003,0.007226
1320.00,0.928504,0.082088,-0.010593
1322.00,0.904462,0.099532,-0.003994
1324.00,0.883919,0.104598,0.011483
1326.00,0.886859,0.112137,0.001005
1328.00,0.878810,0.132617,-0.011427
1330.00,0.851425,0.146667,0.001908
1332.00,0.838869,0.150231,0.010901
1334.00,0.839781,0.164553,-0.004333
1336.00,0.823095,0.186665,-0.009760
1338.00,0.797994,0.195511,0.006495
1340.00,0.791137,0.200451,0.008412
1342.00,0.787909,0.220221,-0.008130
1344.00,0.766965,0.239784,-0.006749
1346.00,0.746623,0.243921,0.009457
1348.00,0.743027,0.251904,0.005069
1350.00,0.735980,0.274349,-0.010330
1352.00,0.714421,0.288881,-0.003302
1354.00,0.699315,0.289753,0.010932
1356.00,0.697344,0.301030,0.001627
1358.00,0.687843,0.323366,-0.011209
1360.00,0.668027,0.331988,-0.000015
1362.00,0.657706,0.331021,0.011273
1364.00,0.656519,0.344942,-0.001461
1366.00,0.646029,0.365122,-0.011151
1368.00,0.629220,0.367991,0.002789
1370.00,0.622954,0.366180,0.010866
1372.00,0.622188,0.381810,-0.003997
1374.00,0.611830,0.398684,-0.010514
1376.00,0.598579,0.396405,0.005016
1378.00,0.595691,0.394289,0.010019
1380.00,0.595127,0.410846,-0.005973
1382.00,0.585527,0.424003,-0.009530
1384.00,0.576060,0.417213,0.006727
1386.00,0.576090,0.415043,0.008867
1388.00,0.575366,0.432155,-0.007521
1390.00,0.566580,0.441659,-0.008239
1392.00,0.561116,0.430756,0.008128
1394.00,0.563984,0.428716,0.007300
1396.00,0.562336,0.446640,-0.008976
1398.00,0.553607,0.452787,-0.006394
1400.00,0.552584,0.437706,0.009710
