lambda_nm,R,T,A
1200.00,0.020237,1.009064,-0.029301
1202.00,0.007105,1.018062,-0.025167
1204.00,0.005212,0.998804,-0.004016
1206.00,0.015832,0.967664,0.016504
1208.00,0.028556,0.949815,0.021629
1210.00,0.031576,0.958964,0.009460
1212.00,0.023273,0.986272,-0.009545
1214.00,0.014377,1.007037,-0.021415
1216.00,0.018530,0.999991,-0.018522
1218.00,0.039469,0.964302,-0.003770
1220.00,0.066294,0.921255,0.012451
1222.00,0.081687,0.898891,0.019422
1224.00,0.076864,0.910662,0.012474
1226.00,0.060885,0.943901,-0.004786
1228.00,0.055653,0.967130,-0.022783
1230.00,0.079164,0.951948,-0.031113
1232.00,0.129417,0.894397,-0.023814
1234.00,0.182226,0.820521,-0.002747
1236.00,0.206720,0.770904,0.022375
1238.00,0.189161,0.773267,0.037572
1240.00,0.148351,0.820648,0.031000
1242.00,0.130036,0.870075,-0.000111
1244.00,0.181075,0.864150,-0.045225
1246.00,0.318109,0.763845,-0.081954
1248.00,0.510556,0.573395,-0.083951
1250.00,0.690266,0.342529,-0.032795
1252.00,0.784638,0.144038,0.071325
1254.00,0.755520,0.038761,0.205719
1256.00,0.622026,0.046844,0.331130
1258.00,0.454056,0.139969,0.405975
1260.00,0.339250,0.257649,0.403100
1262.00,0.340885,0.337641,0.321475
1264.00,0.468515,0.344143,0.187342
1266.00,0.675996,0.279999,0.044005
1268.00,0.886438,0.178855,-0.065293
1270.00,1.029903,0.083939,-0.113842
1272.00,1.074284,0.025953,-0.100237
1274.00,1.034768,0.011311,-0.046080
1276.00,0.959662,0.024751,0.015587
1278.00,0.902344,0.042327,0.055329
1280.00,0.894909,0.046025,0.059067
1282.00,0.936406,0.031937,0.031657
1284.00,0.999355,0.008918,-0.008273
1286.00,1.048651,-0.009653,-0.038998
1288.00,1.061298,-0.014980,-0.046318
1290.00,1.036831,-0.007461,-0.029371
1292.00,0.994307,0.005104,0.000589
1294.00,0.959432,0.013523,0.027045
1296.00,0.949923,0.013185,0.036892
1298.00,0.967074,0.006345,0.026580
1300.00,0.997121,-0.000152,0.003030
1302.00,1.020433,0.000253,-0.020686
1304.00,1.022705,0.009647,-0.032352
1306.00,1.002017,0.024670,-0.026688
1308.00,0.968514,0.039030,-0.007544
1310.00,0.937778,0.047654,0.014568
1312.00,0.922047,0.049805,0.028148
1314.00,0.924109,0.049320,0.026571
1316.00,0.936766,0.052014,0.011220
1318.00,0.947559,0.061995,-0.009554
1320.00,0.945750,0.079169,-0.024919
1322.00,0.927767,0.099372,-0.027138
1324.00,0.898440,0.116945,-0.015385
1326.00,0.867842,0.128125,0.004033
1328.00,0.845729,0.133215,0.021056
1330.00,0.836627,0.136327,0.027047
1332.00,0.837986,0.142893,0.019121
1334.00,0.842040,0.156472,0.001488
1336.00,0.840112,0.176682,-0.016795
1338.00,0.827054,0.199413,-0.026468
1340.00,0.803561,0.219158,-0.022718
1342.00,0.775446,0.232087,-0.007533
1344.00,0.750460,0.238159,0.011381
1346.00,0.734387,0.241095,0.024518
1348.00,0.728391,0.246275,0.025334
1350.00,0.728773,0.257756,0.013471
1352.00,0.729090,0.276038,-0.005128
1354.00,0.723425,0.297785,-0.021210
1356.00,0.709203,0.317618,-0.026821
1358.00,0.688212,0.331002,-0.019214
1360.00,0.665523,0.336633,-0.002156
1362.00,0.646914,0.337122,0.015964
1364.00,0.636139,0.337578,0.026283
1366.00,0.633307,0.342904,0.023789
1368.00,0.635058,0.355218,0.009724
1370.00,0.636317,0.372746,-0.009063
1372.00,0.632721,0.390753,-0.023473
1374.00,0.622588,0.404007,-0.026595
1376.00,0.607502,0.409486,-0.016988
1378.00,0.591404,0.407932,0.000664
1380.00,0.578660,0.403465,0.017875
1382.00,0.572065,0.401459,0.026475
1384.00,0.571714,0.405784,0.022502
1386.00,0.575147,0.416809,0.008044
1388.00,0.578664,0.431219,-0.009882
1390.00,0.579061,0.443704,-0.022765
1392.00,0.575007,0.449706,-0.024713
1394.00,0.567403,0.447794,-0.015197
1396.00,0.558699,0.440468,0.000833
1398.00,0.551548,0.432945,0.015507
1400.00,0.547524,0.430477,0.021999
