lambda_nm,R,T,A_closure_residual,R_3ps_window,T_3ps_window
1200.00,0.014741,0.984453,0.000806,0.014426,0.984640
1202.00,0.013519,0.985668,0.000813,0.013296,0.985319
1204.00,0.013186,0.986033,0.000781,0.013446,0.985604
1206.00,0.013788,0.985412,0.000800,0.014068,0.985562
1208.00,0.015359,0.983883,0.000758,0.015166,0.984419
1210.00,0.017906,0.981314,0.000780,0.017532,0.981581
1212.00,0.021499,0.977752,0.000749,0.021525,0.977356
1214.00,0.026078,0.973170,0.000752,0.026573,0.972518
1216.00,0.031747,0.967504,0.000749,0.032023,0.967387
1218.00,0.038400,0.960875,0.000725,0.038055,0.961458
1220.00,0.046087,0.953184,0.000730,0.045442,0.953960
1222.00,0.054773,0.944514,0.000713,0.054587,0.944691
1224.00,0.064367,0.934924,0.000709,0.065006,0.934203
1226.00,0.075035,0.924274,0.000691,0.075871,0.923262
1228.00,0.086784,0.912541,0.000676,0.086969,0.912067
1230.00,0.099882,0.899466,0.000652,0.099111,0.899969
1232.00,0.114819,0.884570,0.000611,0.113603,0.885815
1234.00,0.131792,0.867610,0.000598,0.131272,0.868707
1236.00,0.150924,0.848520,0.000556,0.151759,0.848663
1238.00,0.171748,0.827773,0.000479,0.173458,0.826888
1240.00,0.192588,0.806946,0.000466,0.194042,0.805582
1242.00,0.211244,0.788310,0.000446,0.211246,0.787326
1244.00,0.226301,0.773350,0.000349,0.224312,0.773515
1246.00,0.242381,0.757312,0.000307,0.239378,0.758683
1248.00,0.296873,0.702774,0.000353,0.295181,0.704470
1250.00,0.527952,0.471733,0.000315,0.530139,0.472279
1252.00,0.916307,0.083474,0.000220,0.924126,0.081586
1254.00,1.126436,-0.126759,0.000322,1.141180,-0.132071
1256.00,1.225700,-0.226505,0.000805,1.249147,-0.236022
1258.00,1.108747,-0.111037,0.002290,1.142788,-0.115369
1260.00,0.137738,0.860123,0.002139,0.146414,0.882630
1262.00,0.592341,0.407043,0.000616,0.602704,0.411290
1264.00,0.755506,0.244303,0.000191,0.765595,0.243501
1266.00,0.831905,0.167965,0.000130,0.839790,0.165835
1268.00,0.877012,0.122774,0.000213,0.882098,0.120650
1270.00,0.907527,0.092214,0.000258,0.909837,0.090639
1272.00,0.929941,0.069838,0.000221,0.929875,0.068987
1274.00,0.947160,0.052677,0.000163,0.945392,0.052496
1276.00,0.960665,0.039198,0.000137,0.957982,0.039491
1278.00,0.971344,0.028507,0.000149,0.968453,0.029037
1280.00,0.979801,0.020022,0.000176,0.977205,0.020588
1282.00,0.986468,0.013347,0.000185,0.984443,0.013819
1284.00,0.991611,0.008209,0.000180,0.990261,0.008525
1286.00,0.995415,0.004423,0.000162,0.994732,0.004567
1288.00,0.997990,0.001859,0.000151,0.997903,0.001844
1290.00,0.999432,0.000420,0.000148,0.999835,0.000276
1292.00,0.999820,0.000031,0.000149,1.000592,-0.000202
1294.00,0.999220,0.000629,0.000151,1.000237,0.000349
1296.00,0.997678,0.002167,0.000155,0.998832,0.001878
1298.00,0.995239,0.004608,0.000153,0.996437,0.004341
1300.00,0.991929,0.007922,0.000150,0.993106,0.007698
1302.00,0.987771,0.012082,0.000146,0.988887,0.011914
1304.00,0.982792,0.017067,0.000142,0.983822,0.016957
1306.00,0.977015,0.022849,0.000137,0.977953,0.022796
1308.00,0.970463,0.029403,0.000135,0.971312,0.029401
1310.00,0.963169,0.036700,0.000131,0.963935,0.036743
1312.00,0.955161,0.044709,0.000130,0.955856,0.044790
1314.00,0.946478,0.053395,0.000127,0.947114,0.053508
1316.00,0.937155,0.062721,0.000124,0.937742,0.062859
1318.00,0.927233,0.072646,0.000120,0.927784,0.072804
1320.00,0.916757,0.083127,0.000116,0.917279,0.083298
1322.00,0.905771,0.094115,0.000114,0.906275,0.094295
1324.00,0.894330,0.105562,0.000109,0.894822,0.105744
1326.00,0.882481,0.117413,0.000106,0.882967,0.117593
1328.00,0.870282,0.129615,0.000103,0.870764,0.129787
1330.00,0.857789,0.142110,0.000100,0.858266,0.142268
1332.00,0.845060,0.154842,0.000098,0.845528,0.154979
1334.00,0.832153,0.167752,0.000095,0.832608,0.167861
1336.00,0.819124,0.180783,0.000093,0.819556,0.180856
1338.00,0.806031,0.193878,0.000091,0.806431,0.193908
1340.00,0.792930,0.206981,0.000089,0.793287,0.206960
1342.00,0.779875,0.220038,0.000087,0.780176,0.219961
1344.00,0.766918,0.232997,0.000085,0.767152,0.232859
1346.00,0.754110,0.245808,0.000082,0.754269,0.245609
1348.00,0.741498,0.258426,0.000076,0.741577,0.258170
1350.00,0.729125,0.270804,0.000071,0.729126,0.270501
1352.00,0.717036,0.282907,0.000056,0.716967,0.282571
1354.00,0.705261,0.294693,0.000046,0.705137,0.294346
1356.00,0.693838,0.306128,0.000034,0.693681,0.305797
1358.00,0.682788,0.317186,0.000026,0.682624,0.316900
1360.00,0.672133,0.327840,0.000026,0.671993,0.327629
1362.00,0.661894,0.338073,0.000034,0.661800,0.337958
1364.00,0.652082,0.347869,0.000049,0.652050,0.347863
1366.00,0.642713,0.357217,0.000070,0.642737,0.357319
1368.00,0.633806,0.366109,0.000084,0.633864,0.366304
1370.00,0.625388,0.374534,0.000077,0.625433,0.374796
1372.00,0.617472,0.382474,0.000054,0.617453,0.382772
1374.00,0.610073,0.389913,0.000014,0.609956,0.390219
1376.00,0.603175,0.396841,-0.000015,0.602970,0.397126
1378.00,0.596750,0.403262,-0.000012,0.596533,0.403492
1380.00,0.590770,0.409201,0.000030,0.590663,0.409324
1382.00,0.585223,0.414688,0.000089,0.585347,0.414638
1384.00,0.580140,0.419747,0.000113,0.580528,0.419472
1386.00,0.575559,0.424366,0.000074,0.576107,0.423873
1388.00,0.571504,0.428511,-0.000015,0.571978,0.427911
1390.00,0.567913,0.432156,-0.000068,0.568064,0.431651
1392.00,0.564682,0.435336,-0.000018,0.564382,0.435138
1394.00,0.561739,0.438153,0.000108,0.561050,0.438376
1396.00,0.559134,0.440692,0.000174,0.558279,0.441293
1398.00,0.556991,0.442942,0.000068,0.556273,0.443761
1400.00,0.555321,0.444787,-0.000107,0.555092,0.445611
