lambda_nm,R,T,A_closure_residual,R_3000fs_window,T_3000fs_window
1200.00,0.015345,0.984648,0.000007,0.015405,0.981222
1202.00,0.014226,0.984369,0.001406,0.014649,0.984842
1204.00,0.013946,0.985601,0.000453,0.013773,0.987939
1206.00,0.013895,0.985317,0.000788,0.013677,0.986655
1208.00,0.015426,0.983460,0.001114,0.015268,0.982309
1210.00,0.017997,0.981871,0.000132,0.018536,0.978600
1212.00,0.022999,0.975461,0.001540,0.023057,0.976271
1214.00,0.028965,0.970985,0.000050,0.028718,0.972543
1216.00,0.035988,0.962895,0.001118,0.035444,0.965274
1218.00,0.042602,0.956588,0.000810,0.042453,0.956102
1220.00,0.047499,0.952322,0.000179,0.048414,0.948872
1222.00,0.052529,0.946046,0.001424,0.052875,0.945340
1224.00,0.057603,0.942222,0.000175,0.057526,0.942761
1226.00,0.066335,0.933069,0.000596,0.065557,0.935880
1228.00,0.080401,0.918228,0.001371,0.079240,0.921390
1230.00,0.097143,0.902935,-0.000079,0.097871,0.900780
1232.00,0.115001,0.884350,0.000649,0.116525,0.880680
1234.00,0.125927,0.872782,0.001291,0.126829,0.870639
1236.00,0.125284,0.874932,-0.000216,0.125966,0.873309
1238.00,0.130996,0.868631,0.000373,0.129329,0.872111
1240.00,0.170650,0.827693,0.001657,0.166828,0.835820
1242.00,0.249734,0.750041,0.000224,0.249060,0.753182
1244.00,0.302765,0.697835,-0.000600,0.306265,0.694209
1246.00,0.257780,0.741194,0.001026,0.262517,0.735449
1248.00,0.390604,0.607964,0.001433,0.402561,0.593026
1250.00,0.651184,0.349268,-0.000452,0.681104,0.314409
1252.00,0.961143,0.040073,-0.001217,0.931018,0.065059
1254.00,0.981853,0.017231,0.000917,1.002113,-0.004639
1256.00,0.964099,0.033552,0.002349,0.980894,0.018231
1258.00,0.669270,0.328821,0.001910,0.678568,0.320643
1260.00,0.042470,0.956315,0.001214,0.042679,0.952290
1262.00,0.462195,0.537683,0.000122,0.460568,0.536264
1264.00,0.703067,0.296819,0.000114,0.700089,0.298267
1266.00,0.811605,0.188230,0.000164,0.806800,0.192176
1268.00,0.869845,0.130118,0.000037,0.865199,0.134075
1270.00,0.904871,0.095042,0.000087,0.902437,0.097056
1272.00,0.928598,0.071060,0.000343,0.928557,0.071172
1274.00,0.946753,0.052778,0.000470,0.947893,0.052108
1276.00,0.961295,0.038402,0.000303,0.962569,0.037698
