lambda_nm,R,T,A
1200.00,0.009853,0.692964,0.297183
1202.00,0.008443,0.688586,0.302972
1204.00,0.007163,0.687035,0.305802
1206.00,0.006316,0.686569,0.307116
1208.00,0.006165,0.684862,0.308973
1210.00,0.006836,0.679679,0.313484
1212.00,0.008264,0.669511,0.322225
1214.00,0.010202,0.653987,0.335811
1216.00,0.012292,0.634007,0.353701
1218.00,0.014174,0.611510,0.374317
1220.00,0.015589,0.588973,0.395437
1222.00,0.016466,0.568811,0.414722
1224.00,0.016946,0.552744,0.430311
1226.00,0.017352,0.541333,0.441315
1228.00,0.018117,0.533790,0.448094
1230.00,0.019667,0.528075,0.452258
1232.00,0.022315,0.521264,0.456421
1234.00,0.026172,0.510111,0.463717
1236.00,0.031105,0.491667,0.477228
1238.00,0.036745,0.463862,0.499393
1240.00,0.042550,0.425893,0.531557
1242.00,0.047892,0.378417,0.573691
1244.00,0.052171,0.323445,0.624384
1246.00,0.054906,0.264056,0.681039
1248.00,0.055813,0.203915,0.740272
1250.00,0.054834,0.146759,0.798407
1252.00,0.052130,0.095878,0.851992
1254.00,0.048038,0.053707,0.898256
1256.00,0.042999,0.021600,0.935400
1258.00,0.037494,-0.000241,0.962747
1260.00,0.031963,-0.012663,0.980700
1262.00,0.026766,-0.017316,0.990550
1264.00,0.022147,-0.016330,0.994182
1266.00,0.018240,-0.011978,0.993738
1268.00,0.015076,-0.006363,0.991287
1270.00,0.012622,-0.001179,0.988557
1272.00,0.010805,0.002426,0.986769
1274.00,0.009545,0.003894,0.986561
1276.00,0.008772,0.003203,0.988025
1278.00,0.008435,0.000754,0.990811
1280.00,0.008501,-0.002788,0.994287
1282.00,0.008948,-0.006652,0.997704
1284.00,0.009752,-0.010108,1.000356
1286.00,0.010883,-0.012579,1.001696
1288.00,0.012301,-0.013703,1.001402
1290.00,0.013956,-0.013353,0.999397
1292.00,0.015797,-0.011618,0.995821
1294.00,0.017780,-0.008753,0.990973
1296.00,0.019878,-0.005112,0.985234
1298.00,0.022080,-0.001081,0.979001
1300.00,0.024399,0.002985,0.972617
1302.00,0.026858,0.006806,0.966337
1304.00,0.029485,0.010205,0.960310
1306.00,0.032301,0.013115,0.954584
1308.00,0.035307,0.015565,0.949127
1310.00,0.038478,0.017661,0.943861
1312.00,0.041760,0.019547,0.938693
1314.00,0.045077,0.021378,0.933545
1316.00,0.048341,0.023288,0.928371
1318.00,0.051463,0.025366,0.923172
1320.00,0.054369,0.027646,0.917984
1322.00,0.057016,0.030105,0.912879
1324.00,0.059391,0.032669,0.907940
1326.00,0.061518,0.035232,0.903249
1328.00,0.063452,0.037674,0.898874
1330.00,0.065262,0.039884,0.894854
1332.00,0.067023,0.041775,0.891202
1334.00,0.068795,0.043304,0.887901
1336.00,0.070612,0.044472,0.884916
1338.00,0.072475,0.045328,0.882198
1340.00,0.074349,0.045954,0.879696
1342.00,0.076172,0.046459,0.877369
1344.00,0.077859,0.046955,0.875186
1346.00,0.079328,0.047542,0.873131
1348.00,0.080505,0.048292,0.871204
1350.00,0.081345,0.049241,0.869414
1352.00,0.081839,0.050383,0.867778
1354.00,0.082015,0.051675,0.866310
1356.00,0.081935,0.053043,0.865022
1358.00,0.081683,0.054400,0.863917
1360.00,0.081352,0.055657,0.862991
1362.00,0.081025,0.056741,0.862234
1364.00,0.080762,0.057607,0.861631
1366.00,0.080588,0.058246,0.861166
1368.00,0.080489,0.058687,0.860824
1370.00,0.080415,0.058993,0.860592
1372.00,0.080286,0.059250,0.860464
1374.00,0.080010,0.059559,0.860431
1376.00,0.079499,0.060017,0.860484
1378.00,0.078682,0.060706,0.860611
1380.00,0.077527,0.061683,0.860790
1382.00,0.076040,0.062970,0.860990
1384.00,0.074273,0.064553,0.861174
1386.00,0.072315,0.066383,0.861302
1388.00,0.070278,0.068385,0.861337
1390.00,0.068284,0.070461,0.861255
1392.00,0.066442,0.072506,0.861052
1394.00,0.064829,0.074410,0.860760
1396.00,0.063482,0.076073,0.860446
1398.00,0.062382,0.077405,0.860213
1400.00,0.061462,0.078335,0.860203
