lambda_nm,R,T,A_closure_residual
1200.00,0.015345,0.984648,0.000007
1202.00,0.014226,0.984369,0.001406
1204.00,0.013946,0.985601,0.000453
1206.00,0.013895,0.985317,0.000788
1208.00,0.015426,0.983460,0.001114
1210.00,0.017997,0.981871,0.000132
1212.00,0.022999,0.975461,0.001540
1214.00,0.028965,0.970985,0.000050
1216.00,0.035988,0.962895,0.001118
1218.00,0.042602,0.956588,0.000810
1220.00,0.047499,0.952322,0.000179
1222.00,0.052529,0.946046,0.001424
1224.00,0.057603,0.942222,0.000175
1226.00,0.066335,0.933069,0.000596
1228.00,0.080401,0.918228,0.001371
1230.00,0.097143,0.902935,-0.000079
1232.00,0.115001,0.884350,0.000649
1234.00,0.125927,0.872782,0.001291
1236.00,0.125284,0.874932,-0.000216
1238.00,0.130996,0.868631,0.000373
1240.00,0.170650,0.827693,0.001657
1242.00,0.249734,0.750041,0.000224
1244.00,0.302765,0.697835,-0.000600
1246.00,0.257780,0.741194,0.001026
1248.00,0.390604,0.607964,0.001433
1250.00,0.651184,0.349268,-0.000452
1252.00,0.961143,0.040073,-0.001217
1254.00,0.981853,0.017231,0.000917
1256.00,0.964099,0.033552,0.002349
1258.00,0.669270,0.328821,0.001910
1260.00,0.042470,0.956315,0.001214
1262.00,0.462195,0.537683,0.000122
1264.00,0.703067,0.296819,0.000114
1266.00,0.811605,0.188230,0.000164
1268.00,0.869845,0.130118,0.000037
1270.00,0.904871,0.095042,0.000087
1272.00,0.928598,0.071060,0.000343
1274.00,0.946753,0.052778,0.000470
1276.00,0.961295,0.038402,0.000303
1278.00,0.972528,0.027476,-0.000004
1280.00,0.980691,0.019442,-0.000133
1282.00,0.986529,0.013445,0.000026
1284.00,0.990948,0.008754,0.000298
1286.00,0.994509,0.005036,0.000455
1288.00,0.997277,0.002308,0.000415
1290.00,0.999068,0.000702,0.000230
1292.00,0.999706,0.000286,0.000008
1294.00,0.999121,0.000994,-0.000115
1296.00,0.997419,0.002693,-0.000111
1298.00,0.994749,0.005248,0.000003
1300.00,0.991258,0.008580,0.000162
1302.00,0.987033,0.012661,0.000305
1304.00,0.982105,0.017500,0.000394
1306.00,0.976475,0.023114,0.000411
1308.00,0.970116,0.029510,0.000375
1310.00,0.963019,0.036679,0.000301
1312.00,0.955190,0.044599,0.000211
1314.00,0.946647,0.053229,0.000124
1316.00,0.937426,0.062526,0.000048
1318.00,0.927573,0.072441,-0.000015
1320.00,0.917137,0.082923,-0.000060
1322.00,0.906175,0.093918,-0.000093
1324.00,0.894742,0.105373,-0.000115
1326.00,0.882896,0.117233,-0.000128
1328.00,0.870694,0.129441,-0.000135
1330.00,0.858198,0.141941,-0.000140
1332.00,0.845464,0.154676,-0.000140
1334.00,0.832550,0.167586,-0.000136
1336.00,0.819515,0.180613,-0.000129
1338.00,0.806410,0.193701,-0.000111
1340.00,0.793290,0.206796,-0.000085
1342.00,0.780204,0.219842,-0.000046
1344.00,0.767203,0.232790,0.000006
1346.00,0.754337,0.245594,0.000069
1348.00,0.741647,0.258212,0.000142
1350.00,0.729184,0.270603,0.000213
1352.00,0.716999,0.282730,0.000270
1354.00,0.705145,0.294560,0.000295
1356.00,0.693671,0.306055,0.000274
1358.00,0.682618,0.317179,0.000203
1360.00,0.672017,0.327895,0.000088
1362.00,0.661880,0.338167,-0.000047
1364.00,0.652189,0.347966,-0.000156
1366.00,0.642915,0.357277,-0.000192
1368.00,0.634032,0.366098,-0.000130
1370.00,0.625536,0.374448,0.000016
1372.00,0.617470,0.382351,0.000179
1374.00,0.609916,0.389813,0.000271
1376.00,0.602953,0.396823,0.000224
1378.00,0.596605,0.403343,0.000052
1380.00,0.590803,0.409333,-0.000136
1382.00,0.585410,0.414783,-0.000193
1384.00,0.580323,0.419739,-0.000062
1386.00,0.575574,0.424272,0.000154
1388.00,0.571312,0.428423,0.000264
1390.00,0.567683,0.432171,0.000146
1392.00,0.564634,0.435457,-0.000091
1394.00,0.561917,0.438271,-0.000188
1396.00,0.559323,0.440696,-0.000019
1398.00,0.556940,0.442844,0.000216
1400.00,0.555063,0.444729,0.000208
