lambda_nm,eps_re_supplied,eps_im_supplied,eps_re_fit,eps_im_fit,err_re,err_im,abs_err,eps_re_drudeonly,eps_im_drudeonly
1150.0,0.748068,0.248948,0.748993,0.265676,9.24e-04,1.67e-02,1.68e-02,0.743327,0.299771
1151.0,0.743393,0.250063,0.744331,0.266549,9.38e-04,1.65e-02,1.65e-02,0.738736,0.300547
1152.0,0.738715,0.251177,0.739666,0.267425,9.51e-04,1.62e-02,1.63e-02,0.734142,0.301325
1153.0,0.734033,0.252293,0.734997,0.268302,9.64e-04,1.60e-02,1.60e-02,0.729544,0.302104
1154.0,0.729349,0.253412,0.730325,0.269183,9.76e-04,1.58e-02,1.58e-02,0.724942,0.302884
1155.0,0.724663,0.254529,0.725648,0.270065,9.86e-04,1.55e-02,1.56e-02,0.720336,0.303665
1156.0,0.719972,0.255648,0.720969,0.270950,9.96e-04,1.53e-02,1.53e-02,0.715727,0.304448
1157.0,0.715278,0.256770,0.716285,0.271838,1.01e-03,1.51e-02,1.51e-02,0.711113,0.305232
1158.0,0.710581,0.257891,0.711598,0.272727,1.02e-03,1.48e-02,1.49e-02,0.706496,0.306018
1159.0,0.705882,0.259015,0.706907,0.273619,1.02e-03,1.46e-02,1.46e-02,0.701875,0.306805
1160.0,0.701179,0.260138,0.702212,0.274514,1.03e-03,1.44e-02,1.44e-02,0.697251,0.307593
1161.0,0.696473,0.261262,0.697514,0.275411,1.04e-03,1.41e-02,1.42e-02,0.692622,0.308382
1162.0,0.691764,0.262387,0.692812,0.276310,1.05e-03,1.39e-02,1.40e-02,0.687990,0.309173
1163.0,0.687053,0.263514,0.688107,0.277212,1.05e-03,1.37e-02,1.37e-02,0.683354,0.309965
1164.0,0.682338,0.264642,0.683398,0.278116,1.06e-03,1.35e-02,1.35e-02,0.678714,0.310759
1165.0,0.677619,0.265771,0.678685,0.279022,1.07e-03,1.33e-02,1.33e-02,0.674070,0.311553
1166.0,0.672898,0.266901,0.673969,0.279931,1.07e-03,1.30e-02,1.31e-02,0.669423,0.312350
1167.0,0.668173,0.268032,0.669249,0.280843,1.08e-03,1.28e-02,1.29e-02,0.664772,0.313147
1168.0,0.663446,0.269164,0.664525,0.281756,1.08e-03,1.26e-02,1.26e-02,0.660117,0.313946
1169.0,0.658715,0.270297,0.659798,0.282673,1.08e-03,1.24e-02,1.24e-02,0.655458,0.314746
1170.0,0.653982,0.271431,0.655067,0.283591,1.08e-03,1.22e-02,1.22e-02,0.650796,0.315547
1171.0,0.649245,0.272566,0.650332,0.284512,1.09e-03,1.19e-02,1.20e-02,0.646129,0.316350
1172.0,0.644506,0.273703,0.645594,0.285436,1.09e-03,1.17e-02,1.18e-02,0.641459,0.317154
