lambda_nm,eps_aSiH_supplied,eps_aSiH_fit,err_aSiH,eps_glass_supplied,eps_glass_fit,err_glass
1150.0,8.957450,8.957417,-3.32e-05,2.301053,2.301032,-2.05e-05
1151.0,8.956553,8.956568,1.56e-05,2.301039,2.301023,-1.55e-05
1152.0,8.955715,8.955722,7.16e-06,2.301020,2.301014,-6.54e-06
1153.0,8.954877,8.954878,1.30e-06,2.301001,2.301004,3.20e-06
1154.0,8.954039,8.954037,-2.00e-06,2.300985,2.300995,1.04e-05
1155.0,8.953201,8.953198,-2.74e-06,2.300973,2.300986,1.28e-05
1156.0,8.952363,8.952362,-9.43e-07,2.300965,2.300977,1.19e-05
1157.0,8.951525,8.951529,3.38e-06,2.300958,2.300967,9.55e-06
1158.0,8.950688,8.950698,1.02e-05,2.300950,2.300958,7.90e-06
1159.0,8.949850,8.949870,1.96e-05,2.300942,2.300949,7.41e-06
1160.0,8.949072,8.949044,-2.84e-05,2.300932,2.300940,7.55e-06
1161.0,8.948235,8.948221,-1.41e-05,2.300923,2.300931,7.76e-06
1162.0,8.947397,8.947400,2.77e-06,2.300914,2.300922,7.68e-06
1163.0,8.946560,8.946582,2.20e-05,2.300905,2.300913,7.39e-06
1164.0,8.945782,8.945766,-1.60e-05,2.300897,2.300904,7.05e-06
1165.0,8.944944,8.944953,8.15e-06,2.300888,2.300895,6.79e-06
1166.0,8.944167,8.944142,-2.50e-05,2.300879,2.300886,6.63e-06
1167.0,8.943329,8.943333,4.01e-06,2.300870,2.300877,6.54e-06
1168.0,8.942552,8.942528,-2.43e-05,2.300861,2.300868,6.46e-06
1169.0,8.941715,8.941724,9.52e-06,2.300852,2.300859,6.39e-06
1170.0,8.940937,8.940923,-1.40e-05,2.300844,2.300850,6.32e-06
1171.0,8.940100,8.940125,2.46e-05,2.300835,2.300841,6.27e-06
1172.0,8.939323,8.939328,5.84e-06,2.300826,2.300832,6.25e-06
1173.0,8.938545,8.938535,-1.06e-05,2.300817,2.300823,6.26e-06
1174.0,8.937768,8.937743,-2.46e-05,2.300808,2.300814,6.29e-06
1175.0,8.936931,8.936954,2.35e-05,2.300799,2.300806,6.35e-06
1176.0,8.936154,8.936168,1.41e-05,2.300790,2.300797,6.44e-06
1177.0,8.935376,8.935383,7.04e-06,2.300782,2.300788,6.54e-06
1178.0,8.934599,8.934602,2.32e-06,2.300773,2.300779,6.64e-06
1179.0,8.933822,8.933822,-9.90e-08,2.300764,2.300771,6.75e-06
1180.0,8.933045,8.933045,-2.15e-07,2.300755,2.300762,6.89e-06
1181.0,8.932268,8.932270,1.96e-06,2.300746,2.300753,7.11e-06
1182.0,8.931491,8.931497,6.41e-06,2.300737,2.300745,7.43e-06
1183.0,8.930714,8.930727,1.31e-05,2.300728,2.300736,7.79e-06
1184.0,8.929937,8.929959,2.21e-05,2.300720,2.300728,8.04e-06
1185.0,8.929220,8.929193,-2.64e-05,2.300711,2.300719,8.02e-06
1186.0,8.928443,8.928430,-1.29e-05,2.300703,2.300710,7.80e-06
1187.0,8.927666,8.927669,2.79e-06,2.300694,2.300702,7.85e-06
1188.0,8.926889,8.926910,2.07e-05,2.300685,2.300693,8.75e-06
1189.0,8.926172,8.926153,-1.89e-05,2.300674,2.300685,1.09e-05
1190.0,8.925395,8.925399,3.48e-06,2.300664,2.300676,1.29e-05
1191.0,8.924619,8.924647,2.80e-05,2.300655,2.300668,1.28e-05
1192.0,8.923902,8.923897,-4.97e-06,2.300651,2.300660,8.50e-06
1193.0,8.923125,8.923149,2.40e-05,2.300651,2.300651,-8.58e-08
1194.0,8.922408,8.922403,-4.69e-06,2.300653,2.300643,-9.92e-06
1195.0,8.921631,8.921660,2.86e-05,2.300652,2.300634,-1.77e-05
1196.0,8.920915,8.920919,4.23e-06,2.300647,2.300626,-2.08e-05
1197.0,8.920198,8.920180,-1.79e-05,2.300638,2.300618,-2.01e-05
1198.0,8.919421,8.919443,2.17e-05,2.300627,2.300610,-1.77e-05
1199.0,8.918704,8.918708,3.82e-06,2.300617,2.300601,-1.56e-05
1200.0,8.917988,8.917976,-1.20e-05,2.300608,2.300593,-1.47e-05
1201.0,8.917271,8.917245,-2.57e-05,2.300599,2.300585,-1.44e-05
1202.0,8.916495,8.916517,2.25e-05,2.300591,2.300577,-1.43e-05
1203.0,8.915778,8.915791,1.30e-05,2.300582,2.300568,-1.38e-05
1204.0,8.915061,8.915067,5.60e-06,2.300573,2.300560,-1.31e-05
1205.0,8.914345,8.914345,2.75e-07,2.300564,2.300552,-1.23e-05
1206.0,8.913628,8.913625,-2.98e-06,2.300555,2.300544,-1.15e-05
1207.0,8.912912,8.912908,-4.17e-06,2.300547,2.300536,-1.08e-05
1208.0,8.912195,8.912192,-3.31e-06,2.300538,2.300528,-1.01e-05
1209.0,8.911479,8.911478,-3.99e-07,2.300529,2.300520,-9.36e-06
1210.0,8.910762,8.910767,4.54e-06,2.300520,2.300512,-8.58e-06
1211.0,8.910046,8.910057,1.15e-05,2.300511,2.300504,-7.76e-06
1212.0,8.909330,8.909350,2.05e-05,2.300503,2.300496,-6.90e-06
1213.0,8.908673,8.908645,-2.82e-05,2.300494,2.300488,-6.03e-06
