# T_eff(I) for the selected wavelengths, TTM tau_ep = 450 fs (columns), plus g=0 / tau 1000 fs band
I_peak_Wcm2,F_mJcm2,Teff_1241nm_tau450,Tepk_1241nm_tau450,Teff_1241nm_g0,Teff_1241nm_tau1000,Teff_1250nm_tau450,Tepk_1250nm_tau450,Teff_1250nm_g0,Teff_1250nm_tau1000,Teff_1279nm_tau450,Tepk_1279nm_tau450,Teff_1279nm_g0,Teff_1279nm_tau1000
1.0000e+06,1.8800e-04,0.38923,321.2,0.38924,0.38924,0.17621,327.5,0.17621,0.17621,0.00057,335.8,0.00057,0.00057
1.1781e+06,2.2148e-04,0.38924,324.8,0.38926,0.38925,0.17622,332.1,0.17623,0.17622,0.00057,341.8,0.00057,0.00057
1.3879e+06,2.6093e-04,0.38926,329.0,0.38928,0.38927,0.17623,337.5,0.17624,0.17623,0.00057,348.6,0.00057,0.00057
1.6352e+06,3.0740e-04,0.38928,333.8,0.38930,0.38929,0.17624,343.7,0.17625,0.17625,0.00057,356.5,0.00057,0.00057
1.9264e+06,3.6216e-04,0.38931,339.4,0.38933,0.38932,0.17625,350.8,0.17627,0.17626,0.00057,365.5,0.00057,0.00057
2.2695e+06,4.2666e-04,0.38933,345.9,0.38936,0.38935,0.17627,359.0,0.17629,0.17628,0.00057,375.7,0.00057,0.00057
2.6737e+06,5.0265e-04,0.38937,353.3,0.38940,0.38938,0.17629,368.3,0.17631,0.17630,0.00057,387.5,0.00057,0.00057
3.1500e+06,5.9218e-04,0.38940,361.9,0.38944,0.38942,0.17631,379.0,0.17633,0.17632,0.00057,400.8,0.00057,0.00057
3.7110e+06,6.9766e-04,0.38944,371.7,0.38949,0.38947,0.17633,391.2,0.17636,0.17635,0.00057,415.8,0.00057,0.00057
4.3720e+06,8.2192e-04,0.38949,382.8,0.38955,0.38952,0.17636,404.9,0.17640,0.17638,0.00057,432.8,0.00057,0.00057
5.1507e+06,9.6831e-04,0.38955,395.5,0.38961,0.38958,0.17640,420.5,0.17643,0.17642,0.00057,451.9,0.00057,0.00057
6.0681e+06,1.1408e-03,0.38961,409.8,0.38969,0.38965,0.17643,438.1,0.17648,0.17646,0.00057,473.2,0.00056,0.00056
7.1489e+06,1.3440e-03,0.38969,426.0,0.38977,0.38973,0.17648,457.8,0.17653,0.17650,0.00056,497.1,0.00056,0.00056
8.4222e+06,1.5833e-03,0.38977,444.2,0.38987,0.38982,0.17652,479.8,0.17658,0.17655,0.00056,523.6,0.00056,0.00056
9.9223e+06,1.8654e-03,0.38986,464.7,0.38997,0.38992,0.17658,504.4,0.17664,0.17661,0.00056,553.1,0.00056,0.00056
1.1690e+07,2.1976e-03,0.38997,487.5,0.39010,0.39004,0.17664,531.7,0.17671,0.17668,0.00056,585.7,0.00055,0.00056
1.3772e+07,2.5890e-03,0.39009,512.9,0.39023,0.39016,0.17671,561.9,0.17680,0.17675,0.00056,621.7,0.00055,0.00055
1.6224e+07,3.0501e-03,0.39022,541.1,0.39039,0.39031,0.17678,595.4,0.17691,0.17684,0.00055,661.4,0.00055,0.00055
1.9114e+07,3.5934e-03,0.39037,572.4,0.39059,0.39047,0.17688,632.3,0.17705,0.17696,0.00055,705.0,0.00054,0.00054
2.2519e+07,4.2334e-03,0.39054,606.9,0.39084,0.39069,0.17701,672.9,0.17721,0.17711,0.00054,752.9,0.00053,0.00054
2.6529e+07,4.9875e-03,0.39078,645.0,0.39115,0.39097,0.17717,717.5,0.17740,0.17729,0.00054,805.3,0.00053,0.00053
3.1255e+07,5.8758e-03,0.39108,686.7,0.39151,0.39130,0.17735,766.3,0.17762,0.17749,0.00053,862.7,0.00052,0.00052
3.6822e+07,6.9223e-03,0.39143,732.5,0.39193,0.39169,0.17757,819.7,0.17786,0.17772,0.00052,925.4,0.00051,0.00052
4.3380e+07,8.1553e-03,0.39183,782.7,0.39241,0.39213,0.17780,878.1,0.17815,0.17798,0.00051,993.8,0.00050,0.00051
5.1106e+07,9.6078e-03,0.39229,837.5,0.39295,0.39263,0.17807,941.7,0.17850,0.17827,0.00050,1068.4,0.00049,0.00050
6.0209e+07,1.1319e-02,0.39281,897.3,0.39358,0.39319,0.17837,1011.1,0.17893,0.17865,0.00049,1149.6,0.00047,0.00048
7.0933e+07,1.3335e-02,0.39339,962.6,0.39436,0.39386,0.17876,1086.4,0.17943,0.17910,0.00048,1238.0,0.00046,0.00047
8.3567e+07,1.5710e-02,0.39407,1033.5,0.39530,0.39469,0.17923,1168.2,0.18000,0.17963,0.00046,1334.0,0.00044,0.00045
9.8451e+07,1.8509e-02,0.39494,1110.5,0.39637,0.39567,0.17978,1257.0,0.18065,0.18023,0.00044,1438.4,0.00041,0.00043
1.1599e+08,2.1805e-02,0.39596,1194.0,0.39760,0.39680,0.18040,1353.2,0.18144,0.18091,0.00042,1551.8,0.00039,0.00041
1.3664e+08,2.5689e-02,0.39713,1284.4,0.39900,0.39808,0.18109,1457.4,0.18237,0.18172,0.00040,1674.5,0.00036,0.00038
1.6098e+08,3.0264e-02,0.39845,1382.3,0.40068,0.39952,0.18191,1570.0,0.18345,0.18269,0.00037,1807.4,0.00033,0.00035
1.8966e+08,3.5655e-02,0.39991,1488.2,0.40264,0.40127,0.18292,1691.3,0.18470,0.18382,0.00034,1951.3,0.00030,0.00032
2.2344e+08,4.2005e-02,0.40168,1602.3,0.40488,0.40331,0.18408,1822.0,0.18622,0.18510,0.00031,2106.4,0.00026,0.00029
2.6323e+08,4.9487e-02,0.40378,1724.9,0.40747,0.40564,0.18538,1962.6,0.18803,0.18668,0.00028,2272.7,0.00022,0.00025
3.1012e+08,5.8301e-02,0.40617,1856.7,0.41057,0.40829,0.18696,2113.2,0.19011,0.18856,0.00024,2451.4,0.00018,0.00021
3.6535e+08,6.8685e-02,0.40883,1998.3,0.41416,0.41150,0.18888,2273.7,0.19246,0.19071,0.00020,2643.2,0.00015,0.00017
4.3043e+08,8.0919e-02,0.41207,2149.1,0.41823,0.41521,0.19108,2444.7,0.19507,0.19313,0.00016,2849.0,0.00012,0.00013
5.0709e+08,9.5331e-02,0.41586,2309.4,0.42277,0.41940,0.19354,2626.9,0.19803,0.19581,0.00012,3069.0,0.00010,0.00010
5.9741e+08,1.1231e-01,0.42012,2479.7,0.42779,0.42406,0.19625,2820.7,0.20136,0.19880,0.00009,3298.7,0.00008,0.00008
7.0381e+08,1.3231e-01,0.42483,2660.5,0.43341,0.42918,0.19924,3026.5,0.20504,0.20219,0.00007,3539.3,0.00007,0.00007
8.2917e+08,1.5588e-01,0.43000,2852.0,0.43966,0.43485,0.20264,3242.5,0.20908,0.20594,0.00006,3791.5,0.00007,0.00007
9.7686e+08,1.8365e-01,0.43564,3054.4,0.44651,0.44119,0.20640,3468.8,0.21346,0.21003,0.00006,4055.3,0.00010,0.00006
1.1508e+09,2.1636e-01,0.44198,3266.0,0.45394,0.44812,0.21050,3705.6,0.21816,0.21444,0.00006,4330.8,0.00014,0.00008
1.3558e+09,2.5489e-01,0.44892,3486.9,0.46193,0.45561,0.21491,3952.8,0.22295,0.21917,0.00007,4616.5,0.00020,0.00013
1.5973e+09,3.0029e-01,0.45640,3717.1,0.47046,0.46364,0.21962,4209.9,0.22776,0.22411,0.00011,4908.1,0.00028,0.00019
1.8818e+09,3.5378e-01,0.46440,3956.0,0.47935,0.47218,0.22462,4476.2,0.23261,0.22891,0.00018,5205.3,0.00037,0.00027
2.2170e+09,4.1679e-01,0.47288,4203.0,0.48853,0.48115,0.22951,4754.8,0.23753,0.23372,0.00026,5506.9,0.00047,0.00037
2.6119e+09,4.9102e-01,0.48181,4457.1,0.49803,0.49029,0.23428,5046.1,0.24245,0.23857,0.00035,5811.4,0.00058,0.00047
3.0771e+09,5.7848e-01,0.49095,4721.2,0.50785,0.49970,0.23905,5348.0,0.24697,0.24350,0.00046,6119.4,0.00070,0.00058
3.6251e+09,6.8151e-01,0.50024,4996.5,0.51796,0.50940,0.24388,5658.6,0.25112,0.24823,0.00057,6442.3,0.00083,0.00070
4.2708e+09,8.0290e-01,0.50978,5280.0,0.52805,0.51938,0.24878,5976.0,0.25497,0.25233,0.00069,6773.8,0.00096,0.00083
5.0315e+09,9.4590e-01,0.51957,5569.5,0.53810,0.52957,0.25307,6312.3,0.25858,0.25608,0.00081,7109.6,0.00107,0.00096
5.9276e+09,1.1144e+00,0.52959,5862.8,0.54817,0.53949,0.25678,6669.7,0.26195,0.25956,0.00094,7445.8,0.00117,0.00110
6.9834e+09,1.3129e+00,0.53963,6164.4,0.55830,0.54937,0.26017,7042.7,0.26487,0.26285,0.00108,7778.7,0.00125,0.00120
8.2272e+09,1.5467e+00,0.54936,6488.0,0.56854,0.55929,0.26336,7428.0,0.26735,0.26592,0.00121,8117.9,0.00132,0.00128
9.6926e+09,1.8222e+00,0.55908,6825.3,0.57835,0.56930,0.26639,7822.3,0.26945,0.26836,0.00130,8549.3,0.00138,0.00135
1.1419e+10,2.1467e+00,0.56886,7172.2,0.58671,0.57941,0.26908,8246.5,0.27123,0.27037,0.00137,9058.3,0.00143,0.00140
1.3453e+10,2.5291e+00,0.57872,7524.8,0.59381,0.58889,0.27110,8756.9,0.27275,0.27206,0.00142,9639.5,0.00147,0.00145
1.5849e+10,2.9796e+00,0.58866,7879.3,0.59983,0.59611,0.27273,9339.4,0.27403,0.27348,0.00147,10293.2,0.00151,0.00149
