Te_K,lambda_nm,eps_re_target,eps_im_target,eps_re_fit,eps_im_fit,abs_err
300,1200.0,0.510537,0.305969,0.511621,0.312661,6.780e-03
300,1201.0,0.505707,0.307138,0.506776,0.313657,6.606e-03
300,1202.0,0.500874,0.308307,0.501927,0.314655,6.434e-03
300,1203.0,0.496039,0.309480,0.497075,0.315656,6.262e-03
300,1204.0,0.491200,0.310651,0.492220,0.316660,6.095e-03
300,1205.0,0.486356,0.311824,0.487361,0.317666,5.927e-03
300,1206.0,0.481510,0.313000,0.482498,0.318675,5.760e-03
300,1207.0,0.476662,0.314175,0.477633,0.319686,5.595e-03
300,1208.0,0.471810,0.315353,0.472763,0.320700,5.431e-03
300,1209.0,0.466954,0.316531,0.467891,0.321716,5.270e-03
300,1210.0,0.462097,0.317711,0.463015,0.322736,5.108e-03
300,1211.0,0.457235,0.318890,0.458135,0.323758,4.950e-03
300,1212.0,0.452370,0.320071,0.453252,0.324782,4.793e-03
300,1213.0,0.447503,0.321255,0.448366,0.325809,4.635e-03
300,1214.0,0.442632,0.322439,0.443476,0.326839,4.480e-03
300,1215.0,0.437758,0.323624,0.438583,0.327871,4.326e-03
300,1216.0,0.432880,0.324811,0.433687,0.328906,4.174e-03
300,1217.0,0.428000,0.325998,0.428787,0.329944,4.024e-03
300,1218.0,0.423116,0.327187,0.423884,0.330985,3.874e-03
300,1219.0,0.418230,0.328378,0.418977,0.332028,3.725e-03
300,1220.0,0.413340,0.329568,0.414067,0.333073,3.580e-03
300,1221.0,0.408447,0.330761,0.409154,0.334122,3.434e-03
300,1222.0,0.403551,0.331954,0.404237,0.335173,3.291e-03
300,1223.0,0.398651,0.333149,0.399317,0.336227,3.149e-03
300,1224.0,0.393749,0.334346,0.394394,0.337283,3.007e-03
300,1225.0,0.388842,0.335543,0.389467,0.338343,2.868e-03
300,1226.0,0.383933,0.336741,0.384537,0.339404,2.731e-03
300,1227.0,0.379021,0.337941,0.379604,0.340469,2.594e-03
300,1228.0,0.374107,0.339142,0.374667,0.341536,2.459e-03
300,1229.0,0.369187,0.340344,0.369727,0.342606,2.326e-03
300,1230.0,0.364266,0.341548,0.364784,0.343679,2.193e-03
300,1231.0,0.359341,0.342752,0.359837,0.344755,2.063e-03
300,1232.0,0.354413,0.343959,0.354887,0.345833,1.933e-03
300,1233.0,0.349482,0.345166,0.349934,0.346914,1.806e-03
300,1234.0,0.344547,0.346374,0.344978,0.347998,1.680e-03
300,1235.0,0.339609,0.347584,0.340018,0.349084,1.555e-03
300,1236.0,0.334669,0.348795,0.335055,0.350174,1.432e-03
300,1237.0,0.329724,0.350007,0.330089,0.351266,1.310e-03
300,1238.0,0.324778,0.351221,0.325119,0.352360,1.190e-03
300,1239.0,0.319827,0.352435,0.320146,0.353458,1.072e-03
300,1240.0,0.314874,0.353650,0.315170,0.354558,9.549e-04
300,1241.0,0.309916,0.354867,0.310191,0.355661,8.401e-04
300,1242.0,0.304956,0.356087,0.305208,0.356767,7.256e-04
300,1243.0,0.299993,0.357306,0.300222,0.357876,6.142e-04
300,1244.0,0.295027,0.358527,0.295233,0.358987,5.044e-04
300,1245.0,0.290056,0.359749,0.290241,0.360102,3.982e-04
300,1246.0,0.285085,0.360973,0.285245,0.361219,2.941e-04
300,1247.0,0.280109,0.362197,0.280247,0.362339,1.979e-04
300,1248.0,0.275129,0.363423,0.275245,0.363461,1.220e-04
300,1249.0,0.270146,0.364651,0.270240,0.364587,1.130e-04
300,1250.0,0.265160,0.365879,0.265231,0.365715,1.783e-04
300,1251.0,0.260171,0.367109,0.260220,0.366847,2.669e-04
300,1252.0,0.255180,0.368340,0.255205,0.367981,3.603e-04
300,1253.0,0.250185,0.369573,0.250187,0.369117,4.552e-04
300,1254.0,0.245185,0.370807,0.245166,0.370257,5.498e-04
300,1255.0,0.240184,0.372041,0.240142,0.371400,6.429e-04
300,1256.0,0.235179,0.373278,0.235114,0.372545,7.357e-04
300,1257.0,0.230170,0.374516,0.230084,0.373693,8.271e-04
300,1258.0,0.225159,0.375754,0.225050,0.374845,9.162e-04
300,1259.0,0.220144,0.376995,0.220013,0.375999,1.005e-03
300,1260.0,0.215127,0.378236,0.214973,0.377155,1.091e-03
300,1261.0,0.210105,0.379479,0.209930,0.378315,1.177e-03
300,1262.0,0.205081,0.380723,0.204884,0.379478,1.261e-03
300,1263.0,0.200053,0.381968,0.199835,0.380643,1.342e-03
300,1264.0,0.195023,0.383216,0.194782,0.381812,1.424e-03
300,1265.0,0.189989,0.384462,0.189727,0.382983,1.502e-03
300,1266.0,0.184951,0.385712,0.184668,0.384158,1.580e-03
300,1267.0,0.179911,0.386963,0.179606,0.385335,1.657e-03
300,1268.0,0.174868,0.388216,0.174541,0.386515,1.732e-03
300,1269.0,0.169820,0.389469,0.169474,0.387698,1.805e-03
300,1270.0,0.164770,0.390723,0.164403,0.388884,1.876e-03
300,1271.0,0.159717,0.391979,0.159329,0.390073,1.946e-03
300,1272.0,0.154660,0.393236,0.154251,0.391264,2.014e-03
300,1273.0,0.149600,0.394496,0.149171,0.392459,2.081e-03
300,1274.0,0.144537,0.395755,0.144088,0.393657,2.146e-03
300,1275.0,0.139471,0.397016,0.139002,0.394857,2.209e-03
300,1276.0,0.134401,0.398279,0.133913,0.396061,2.271e-03
300,1277.0,0.129328,0.399544,0.128820,0.397267,2.332e-03
300,1278.0,0.124252,0.400809,0.123725,0.398477,2.391e-03
300,1279.0,0.119173,0.402075,0.118627,0.399689,2.447e-03
300,1280.0,0.114090,0.403344,0.113525,0.400905,2.504e-03
300,1281.0,0.109005,0.404613,0.108421,0.402123,2.558e-03
300,1282.0,0.103915,0.405883,0.103314,0.403345,2.609e-03
300,1283.0,0.098824,0.407156,0.098203,0.404569,2.660e-03
300,1284.0,0.093728,0.408430,0.093090,0.405796,2.709e-03
300,1285.0,0.088630,0.409704,0.087974,0.407027,2.756e-03
300,1286.0,0.083527,0.410981,0.082855,0.408260,2.803e-03
300,1287.0,0.078422,0.412259,0.077733,0.409496,2.847e-03
300,1288.0,0.073314,0.413537,0.072608,0.410736,2.888e-03
300,1289.0,0.068202,0.414816,0.067480,0.411978,2.929e-03
300,1290.0,0.063087,0.416099,0.062349,0.413224,2.968e-03
300,1291.0,0.057969,0.417382,0.057215,0.414472,3.006e-03
300,1292.0,0.052848,0.418667,0.052078,0.415724,3.042e-03
300,1293.0,0.047723,0.419953,0.046938,0.416978,3.076e-03
300,1294.0,0.042595,0.421240,0.041796,0.418236,3.108e-03
300,1295.0,0.037464,0.422528,0.036650,0.419496,3.139e-03
300,1296.0,0.032330,0.423818,0.031502,0.420760,3.168e-03
300,1297.0,0.027191,0.425109,0.026350,0.422027,3.195e-03
300,1298.0,0.022051,0.426402,0.021196,0.423296,3.221e-03
300,1299.0,0.016905,0.427696,0.016039,0.424569,3.245e-03
300,1300.0,0.011758,0.428992,0.010879,0.425845,3.267e-03
300,1301.0,0.006608,0.430289,0.005716,0.427124,3.288e-03
300,1302.0,0.001454,0.431587,0.000551,0.428406,3.307e-03
300,1303.0,-0.003703,0.432887,-0.004618,0.429691,3.324e-03
300,1304.0,-0.008863,0.434188,-0.009789,0.430980,3.339e-03
300,1305.0,-0.014028,0.435491,-0.014963,0.432271,3.353e-03
300,1306.0,-0.019194,0.436794,-0.020140,0.433565,3.365e-03
300,1307.0,-0.024365,0.438100,-0.025320,0.434863,3.375e-03
300,1308.0,-0.029538,0.439406,-0.030502,0.436163,3.383e-03
300,1309.0,-0.034715,0.440715,-0.035687,0.437467,3.390e-03
300,1310.0,-0.039895,0.442025,-0.040875,0.438774,3.395e-03
300,1311.0,-0.045078,0.443335,-0.046066,0.440084,3.398e-03
300,1312.0,-0.050265,0.444648,-0.051260,0.441397,3.400e-03
300,1313.0,-0.055455,0.445962,-0.056456,0.442713,3.400e-03
300,1314.0,-0.060647,0.447277,-0.061655,0.444032,3.398e-03
300,1315.0,-0.065844,0.448593,-0.066857,0.445355,3.393e-03
300,1316.0,-0.071045,0.449912,-0.072062,0.446681,3.387e-03
300,1317.0,-0.076247,0.451231,-0.077269,0.448009,3.380e-03
300,1318.0,-0.081452,0.452552,-0.082479,0.449341,3.371e-03
300,1319.0,-0.086663,0.453874,-0.087692,0.450676,3.360e-03
300,1320.0,-0.091875,0.455199,-0.092908,0.452015,3.348e-03
300,1321.0,-0.097090,0.456524,-0.098126,0.453356,3.333e-03
300,1322.0,-0.102311,0.457851,-0.103347,0.454701,3.316e-03
300,1323.0,-0.107533,0.459179,-0.108570,0.456048,3.298e-03
300,1324.0,-0.112759,0.460509,-0.113796,0.457399,3.278e-03
300,1325.0,-0.117987,0.461840,-0.119025,0.458753,3.257e-03
300,1326.0,-0.123220,0.463171,-0.124257,0.460111,3.232e-03
300,1327.0,-0.128455,0.464506,-0.129491,0.461471,3.207e-03
300,1328.0,-0.133694,0.465842,-0.134728,0.462835,3.180e-03
300,1329.0,-0.138936,0.467178,-0.139967,0.464202,3.150e-03
300,1330.0,-0.144181,0.468517,-0.145209,0.465572,3.119e-03
300,1331.0,-0.149431,0.469856,-0.150454,0.466945,3.086e-03
300,1332.0,-0.154682,0.471198,-0.155701,0.468321,3.051e-03
300,1333.0,-0.159937,0.472540,-0.160951,0.469701,3.015e-03
300,1334.0,-0.165196,0.473885,-0.166204,0.471084,2.977e-03
300,1335.0,-0.170458,0.475230,-0.171459,0.472470,2.936e-03
300,1336.0,-0.175723,0.476577,-0.176716,0.473860,2.894e-03
300,1337.0,-0.180990,0.477926,-0.181976,0.475252,2.850e-03
300,1338.0,-0.186262,0.479276,-0.187239,0.476648,2.803e-03
300,1339.0,-0.191537,0.480628,-0.192504,0.478047,2.756e-03
300,1340.0,-0.196815,0.481981,-0.197772,0.479449,2.706e-03
300,1341.0,-0.202096,0.483336,-0.203042,0.480855,2.655e-03
300,1342.0,-0.207381,0.484691,-0.208315,0.482264,2.600e-03
300,1343.0,-0.212669,0.486048,-0.213591,0.483676,2.545e-03
300,1344.0,-0.217960,0.487407,-0.218869,0.485091,2.488e-03
