wavelength_nm,energy_eV,n,k,eps1,eps2
# ITO  (Drude-Lorentz, SE fit .mxm)  validated vs measured Psi full-range incl. ENZ, RMSE 0.73 deg
# ENZ (Re eps=0) ~1302 nm ; @1260nm n=0.570 k=0.332 ; range 310-1675 nm (in measured/fit range)
310.000000,3.999490,2.321948,0.206782,5.348682,0.960274
311.000000,3.986630,2.317162,0.201324,5.328709,0.932999
312.000000,3.973853,2.312355,0.196058,5.308546,0.906711
313.000000,3.961156,2.307532,0.190982,5.288231,0.881394
314.000000,3.948541,2.302701,0.186092,5.267804,0.857027
315.000000,3.936006,2.297869,0.181383,5.247300,0.833590
316.000000,3.923551,2.293040,0.176853,5.226755,0.811061
317.000000,3.911173,2.288221,0.172496,5.206200,0.789419
318.000000,3.898874,2.283417,0.168309,5.185666,0.768640
319.000000,3.886652,2.278634,0.164287,5.165181,0.748700
320.000000,3.874506,2.273875,0.160426,5.144773,0.729575
321.000000,3.862436,2.269147,0.156720,5.124465,0.711241
322.000000,3.850441,2.264452,0.153166,5.104282,0.693673
323.000000,3.838520,2.259794,0.149758,5.084243,0.676845
324.000000,3.826673,2.255178,0.146492,5.064369,0.660733
325.000000,3.814898,2.250607,0.143364,5.044677,0.645312
326.000000,3.803196,2.246083,0.140368,5.025185,0.630556
327.000000,3.791566,2.241609,0.137499,5.005905,0.616440
328.000000,3.780006,2.237188,0.134754,4.986852,0.602941
329.000000,3.768517,2.232822,0.132127,4.968039,0.590033
330.000000,3.757097,2.228514,0.129614,4.949474,0.577692
331.000000,3.745746,2.224264,0.127210,4.931168,0.565895
332.000000,3.734464,2.220075,0.124910,4.913129,0.554619
333.000000,3.723249,2.215947,0.122711,4.895365,0.543840
334.000000,3.712102,2.211883,0.120607,4.877880,0.533537
335.000000,3.701021,2.207882,0.118595,4.860680,0.523687
336.000000,3.690006,2.203947,0.116670,4.843768,0.514269
337.000000,3.679056,2.200076,0.114829,4.827149,0.505263
338.000000,3.668172,2.196271,0.113066,4.810824,0.496648
339.000000,3.657351,2.192533,0.111379,4.794795,0.488404
340.000000,3.646594,2.188861,0.109763,4.779063,0.480513
341.000000,3.635900,2.185255,0.108215,4.763627,0.472956
342.000000,3.625269,2.181715,0.106732,4.748487,0.465715
343.000000,3.614700,2.178241,0.105308,4.733643,0.458774
344.000000,3.604192,2.174832,0.103943,4.719092,0.452115
345.000000,3.593745,2.171489,0.102631,4.704832,0.445723
346.000000,3.583358,2.168211,0.101370,4.690861,0.439581
347.000000,3.573032,2.164996,0.100156,4.677176,0.433676
348.000000,3.562764,2.161845,0.098988,4.663773,0.427993
349.000000,3.552556,2.158756,0.097861,4.650650,0.422518
350.000000,3.542406,2.155729,0.096774,4.637801,0.417239
351.000000,3.532313,2.152762,0.095724,4.625222,0.412142
352.000000,3.522278,2.149856,0.094708,4.612910,0.407215
353.000000,3.512300,2.147008,0.093723,4.600859,0.402448
354.000000,3.502378,2.144218,0.092768,4.589064,0.397830
355.000000,3.492513,2.141485,0.091840,4.577521,0.393349
356.000000,3.482702,2.138807,0.090937,4.566225,0.388995
357.000000,3.472947,2.136183,0.090058,4.555169,0.384760
358.000000,3.463246,2.133613,0.089200,4.544348,0.380635
359.000000,3.453599,2.131095,0.088361,4.533758,0.376610
360.000000,3.444006,2.128628,0.087539,4.523393,0.372678
361.000000,3.434465,2.126210,0.086734,4.513246,0.368830
362.000000,3.424978,2.123841,0.085943,4.503313,0.365060
363.000000,3.415543,2.121518,0.085166,4.493587,0.361361
364.000000,3.406159,2.119242,0.084399,4.484063,0.357725
365.000000,3.396827,2.117010,0.083643,4.474736,0.354148
366.000000,3.387546,2.114822,0.082897,4.465600,0.350623
367.000000,3.378316,2.112676,0.082157,4.456649,0.347144
368.000000,3.369136,2.110571,0.081425,4.447878,0.343706
369.000000,3.360005,2.108505,0.080698,4.439281,0.340306
