t_fs,I_Wcm2@1.00e+08,Te_K@1.00e+08,Tl_K@1.00e+08,A@1.00e+08,T@1.00e+08,I_Wcm2@1.00e+09,Te_K@1.00e+09,Tl_K@1.00e+09,A@1.00e+09,T@1.00e+09,I_Wcm2@5.01e+09,Te_K@5.01e+09,Tl_K@5.01e+09,A@5.01e+09,T@5.01e+09,I_Wcm2@1.00e+10,Te_K@1.00e+10,Tl_K@1.00e+10,A@1.00e+10,T@1.00e+10
-450.00,0.00145519,300,300,0.993488,0.00256753,0.0145519,300,300,0.993488,0.00256753,0.0729323,300,300,0.993488,0.00256753,0.145519,300,300,0.993488,0.00256753
-448.00,0.00181566,300,300,0.993488,0.00256753,0.0181566,300,300,0.993488,0.00256753,0.0909988,300,300,0.993488,0.00256753,0.181566,300,300,0.993488,0.00256753
-446.00,0.0022632,300,300,0.993488,0.00256753,0.022632,300,300,0.993488,0.00256753,0.113429,300,300,0.993488,0.00256753,0.22632,300,300,0.993488,0.00256753
-444.00,0.00281827,300,300,0.993488,0.00256753,0.0281827,300,300,0.993488,0.00256753,0.141248,300,300,0.993488,0.00256753,0.281827,300,300,0.993488,0.00256753
-442.00,0.00350601,300,300,0.993488,0.00256753,0.0350601,300,300,0.993488,0.00256753,0.175717,300,300,0.993488,0.00256753,0.350601,300,300,0.993488,0.00256753
-440.00,0.00435729,300,300,0.993488,0.00256753,0.0435729,300,300,0.993488,0.00256753,0.218382,300,300,0.993488,0.00256753,0.435729,300,300,0.993488,0.00256753
-438.00,0.00540993,300,300,0.993488,0.00256753,0.0540993,300,300,0.993488,0.00256753,0.271139,300,300,0.993488,0.00256753,0.540993,300,300,0.993488,0.00256753
-436.00,0.00671024,300,300,0.993488,0.00256753,0.0671024,300,300,0.993488,0.00256753,0.336309,300,300,0.993488,0.00256753,0.671024,300,300,0.993488,0.00256753
-434.00,0.00831489,300,300,0.993488,0.00256753,0.0831489,300,300,0.993488,0.00256753,0.416732,300,300,0.993488,0.00256753,0.831489,300,300,0.993488,0.00256753
-432.00,0.0102931,300,300,0.993488,0.00256753,0.102931,300,300,0.993488,0.00256753,0.515878,300,300,0.993488,0.00256753,1.02931,300,300,0.993488,0.00256753
-430.00,0.0127294,300,300,0.993488,0.00256753,0.127294,300,300,0.993488,0.00256753,0.637984,300,300,0.993488,0.00256753,1.27294,300,300,0.993488,0.00256753
-428.00,0.0157269,300,300,0.993488,0.00256753,0.157269,300,300,0.993488,0.00256753,0.788213,300,300,0.993488,0.00256753,1.57269,300,300,0.993488,0.00256753
-426.00,0.0194111,300,300,0.993488,0.00256753,0.194111,300,300,0.993488,0.00256753,0.972859,300,300,0.993488,0.00256753,1.94111,300,300,0.993488,0.00256753
-424.00,0.0239347,300,300,0.993488,0.00256753,0.239347,300,300,0.993488,0.00256753,1.19958,300,300,0.993488,0.00256753,2.39347,300,300,0.993488,0.00256753
-422.00,0.0294834,300,300,0.993488,0.00256753,0.294834,300,300,0.993488,0.00256753,1.47767,300,300,0.993488,0.00256753,2.94834,300,300,0.993488,0.00256753
-420.00,0.0362827,300,300,0.993488,0.00256753,0.362827,300,300,0.993488,0.00256753,1.81844,300,300,0.993488,0.00256753,3.62827,300,300,0.993488,0.00256753
-418.00,0.044606,300,300,0.993488,0.00256753,0.44606,300,300,0.993488,0.00256753,2.23559,300,300,0.993488,0.00256753,4.4606,300,300,0.993488,0.00256753
