t_fs,I_Wcm2@1.00e+08,Te_K@1.00e+08,Tl_K@1.00e+08,A@1.00e+08,T@1.00e+08,I_Wcm2@1.00e+09,Te_K@1.00e+09,Tl_K@1.00e+09,A@1.00e+09,T@1.00e+09,I_Wcm2@1.58e+10,Te_K@1.58e+10,Tl_K@1.58e+10,A@1.58e+10,T@1.58e+10,I_Wcm2@2.00e+10,Te_K@2.00e+10,Tl_K@2.00e+10,A@2.00e+10,T@2.00e+10
-450.00,0.00145519,300,300,0.258075,0.5159,0.0145519,300,300,0.258075,0.5159,0.230632,300,300,0.258075,0.5159,0.290349,300,300,0.258075,0.5159
-448.00,0.00181566,300,300,0.258075,0.5159,0.0181566,300,300,0.258075,0.5159,0.287763,300,300,0.258075,0.5159,0.362273,300,300,0.258075,0.5159
-446.00,0.0022632,300,300,0.258075,0.5159,0.022632,300,300,0.258075,0.5159,0.358693,300,300,0.258075,0.5159,0.451568,300,300,0.258075,0.5159
-444.00,0.00281827,300,300,0.258075,0.5159,0.0281827,300,300,0.258075,0.5159,0.446665,300,300,0.258075,0.5159,0.562318,300,300,0.258075,0.5159
-442.00,0.00350601,300,300,0.258075,0.5159,0.0350601,300,300,0.258075,0.5159,0.555666,300,300,0.258075,0.5159,0.699542,300,300,0.258075,0.5159
-440.00,0.00435729,300,300,0.258075,0.5159,0.0435729,300,300,0.258075,0.5159,0.690584,300,300,0.258075,0.5159,0.869394,300,300,0.258075,0.5159
-438.00,0.00540993,300,300,0.258075,0.5159,0.0540993,300,300,0.258075,0.5159,0.857416,300,300,0.258075,0.5159,1.07942,300,300,0.258075,0.5159
-436.00,0.00671024,300,300,0.258075,0.5159,0.0671024,300,300,0.258075,0.5159,1.0635,300,300,0.258075,0.5159,1.33887,300,300,0.258075,0.5159
-434.00,0.00831489,300,300,0.258075,0.5159,0.0831489,300,300,0.258075,0.5159,1.31782,300,300,0.258075,0.5159,1.65904,300,300,0.258075,0.5159
-432.00,0.0102931,300,300,0.258075,0.5159,0.102931,300,300,0.258075,0.5159,1.63135,300,300,0.258075,0.5159,2.05375,300,300,0.258075,0.5159
