lambda_op_nm,I_peak_Wcm2,E_cell_J,E_per_10um_pixel_nJ_equiv,T_avg,R_avg,A_avg,Fz_avg,Te_peak_K,I_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K),T_avg_G05,T_avg_G2
1302,1.0000e+05,1.0868e-16,1.5967e-05,0.002567,0.003944,0.993489,0.955931,300.3,2.5675e+02,1,1,0.002567,0.002568
1302,1.2589e+05,1.3681e-16,2.0101e-05,0.002567,0.003944,0.993489,0.955931,300.4,3.2323e+02,1,1,0.002567,0.002567
1302,1.5849e+05,1.7224e-16,2.5306e-05,0.002567,0.003944,0.993489,0.955931,300.5,4.0691e+02,1,1,0.002567,0.002567
1302,1.9953e+05,2.1684e-16,3.1858e-05,0.002567,0.003943,0.993489,0.955931,300.6,5.1227e+02,1,1,0.002567,0.002567
1302,2.5119e+05,2.7298e-16,4.0107e-05,0.002567,0.003943,0.993489,0.955932,300.8,6.4490e+02,1,1,0.002567,0.002567
1302,3.1623e+05,3.4366e-16,5.0492e-05,0.002567,0.003943,0.993490,0.955932,300.9,8.1187e+02,1,1,0.002567,0.002567
1302,3.9811e+05,4.3264e-16,6.3566e-05,0.002567,0.003942,0.993490,0.955932,301.2,1.0221e+03,1,1,0.002567,0.002567
1302,5.0119e+05,5.4467e-16,8.0025e-05,0.002567,0.003942,0.993491,0.955933,301.5,1.2867e+03,1,1,0.002567,0.002567
1302,6.3096e+05,6.8570e-16,1.0074e-04,0.002567,0.003941,0.993491,0.955933,301.9,1.6198e+03,1,1,0.002567,0.002567
1302,7.9433e+05,8.6324e-16,1.2683e-04,0.002567,0.003941,0.993492,0.955934,302.4,2.0391e+03,1,1,0.002567,0.002567
1302,1.0000e+06,1.0868e-15,1.5967e-04,0.002567,0.003939,0.993493,0.955935,303.0,2.5670e+03,1,1,0.002567,0.002567
1302,1.2589e+06,1.3681e-15,2.0101e-04,0.002567,0.003938,0.993495,0.955936,303.8,3.2315e+03,1,1,0.002566,0.002567
1302,1.5849e+06,1.7224e-15,2.5306e-04,0.002567,0.003937,0.993497,0.955937,304.8,4.0680e+03,1,1,0.002566,0.002567
1302,1.9953e+06,2.1684e-15,3.1858e-04,0.002567,0.003935,0.993499,0.955939,306.0,5.1208e+03,1,1,0.002566,0.002567
1302,2.5119e+06,2.7298e-15,4.0107e-04,0.002566,0.003932,0.993502,0.955941,307.5,6.4461e+03,1,1,0.002565,0.002567
1302,3.1623e+06,3.4366e-15,5.0492e-04,0.002566,0.003929,0.993505,0.955944,309.5,8.1141e+03,1,1,0.002565,0.002567
1302,3.9811e+06,4.3264e-15,6.3566e-04,0.002565,0.003925,0.993510,0.955947,311.9,1.0213e+04,1,1,0.002564,0.002566
1302,5.0119e+06,5.4467e-15,8.0025e-04,0.002565,0.003920,0.993516,0.955952,315.0,1.2855e+04,1,1,0.002563,0.002566
1302,6.3096e+06,6.8570e-15,1.0074e-03,0.002564,0.003913,0.993523,0.955957,318.9,1.6179e+04,1,1,0.002562,0.002566
1302,7.9433e+06,8.6324e-15,1.2683e-03,0.002563,0.003905,0.993532,0.955964,323.7,2.0361e+04,1,1,0.002560,0.002565
1302,1.0000e+07,1.0868e-14,1.5967e-03,0.002562,0.003894,0.993544,0.955973,329.8,2.5622e+04,1,1,0.002558,0.002565
1302,1.2589e+07,1.3681e-14,2.0101e-03,0.002561,0.003881,0.993559,0.955984,337.4,3.2239e+04,1,1,0.002556,0.002564
1302,1.5849e+07,1.7224e-14,2.5306e-03,0.002559,0.003863,0.993578,0.955999,347.0,4.0557e+04,1,1,0.002552,0.002563
1302,1.9953e+07,2.1684e-14,3.1858e-03,0.002557,0.003841,0.993602,0.956017,358.9,5.1011e+04,1,1,0.002548,0.002562
