lambda_op_nm,I_peak_Wcm2,E_cell_J,R_avg,T_avg,A_avg,Te_peak_K,I_refl_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K),R_avg_G05,R_avg_G2
1302,1.0000e+05,1.0868e-16,0.003944,0.002567,0.993489,300.3,3.9439e+02,1,1,0.003944,0.003944
1302,1.2589e+05,1.3681e-16,0.003944,0.002567,0.993489,300.4,4.9649e+02,1,1,0.003943,0.003944
1302,1.5849e+05,1.7224e-16,0.003944,0.002567,0.993489,300.5,6.2502e+02,1,1,0.003943,0.003944
1302,1.9953e+05,2.1684e-16,0.003943,0.002567,0.993489,300.6,7.8682e+02,1,1,0.003943,0.003944
1302,2.5119e+05,2.7298e-16,0.003943,0.002567,0.993489,300.8,9.9048e+02,1,1,0.003942,0.003944
1302,3.1623e+05,3.4366e-16,0.003943,0.002567,0.993490,300.9,1.2468e+03,1,1,0.003942,0.003944
1302,3.9811e+05,4.3264e-16,0.003942,0.002567,0.993490,301.2,1.5695e+03,1,1,0.003941,0.003943
1302,5.0119e+05,5.4467e-16,0.003942,0.002567,0.993491,301.5,1.9757e+03,1,1,0.003940,0.003943
1302,6.3096e+05,6.8570e-16,0.003941,0.002567,0.993491,301.9,2.4868e+03,1,1,0.003939,0.003943
1302,7.9433e+05,8.6324e-16,0.003941,0.002567,0.993492,302.4,3.1301e+03,1,1,0.003938,0.003942
1302,1.0000e+06,1.0868e-15,0.003939,0.002567,0.993493,303.0,3.9395e+03,1,1,0.003936,0.003942
1302,1.2589e+06,1.3681e-15,0.003938,0.002567,0.993495,303.8,4.9579e+03,1,1,0.003934,0.003941
1302,1.5849e+06,1.7224e-15,0.003937,0.002567,0.993497,304.8,6.2391e+03,1,1,0.003931,0.003940
1302,1.9953e+06,2.1684e-15,0.003935,0.002567,0.993499,306.0,7.8505e+03,1,1,0.003927,0.003939
1302,2.5119e+06,2.7298e-15,0.003932,0.002566,0.993502,307.5,9.8768e+03,1,1,0.003923,0.003938
1302,3.1623e+06,3.4366e-15,0.003929,0.002566,0.993505,309.5,1.2424e+04,1,1,0.003917,0.003936
1302,3.9811e+06,4.3264e-15,0.003925,0.002565,0.993510,311.9,1.5625e+04,1,1,0.003910,0.003934
1302,5.0119e+06,5.4467e-15,0.003920,0.002565,0.993516,315.0,1.9644e+04,1,1,0.003901,0.003931
1302,6.3096e+06,6.8570e-15,0.003913,0.002564,0.993523,318.9,2.4689e+04,1,1,0.003890,0.003928
1302,7.9433e+06,8.6324e-15,0.003905,0.002563,0.993532,323.7,3.1016e+04,1,1,0.003875,0.003924
1302,1.0000e+07,1.0868e-14,0.003894,0.002562,0.993544,329.8,3.8941e+04,1,1,0.003857,0.003918
1302,1.2589e+07,1.3681e-14,0.003881,0.002561,0.993559,337.4,4.8855e+04,1,1,0.003833,0.003911
1302,1.5849e+07,1.7224e-14,0.003863,0.002559,0.993578,347.0,6.1232e+04,1,1,0.003803,0.003902
1302,1.9953e+07,2.1684e-14,0.003841,0.002557,0.993602,358.9,7.6648e+04,1,1,0.003765,0.003891
1302,2.5119e+07,2.7298e-14,0.003813,0.002554,0.993633,373.9,9.5785e+04,1,1,0.003716,0.003877
1302,3.1623e+07,3.4366e-14,0.003777,0.002550,0.993673,392.5,1.1944e+05,1,1,0.003653,0.003858
1302,3.9811e+07,4.3264e-14,0.003730,0.002545,0.993725,415.7,1.4850e+05,1,1,0.003573,0.003835
1302,5.0119e+07,5.4467e-14,0.003669,0.002538,0.993793,444.4,1.8391e+05,1,1,0.003472,0.003804
1302,6.3096e+07,6.8570e-14,0.003591,0.002529,0.993880,480.0,2.2658e+05,1,1,0.003344,0.003764
1302,7.9433e+07,8.6324e-14,0.003490,0.002517,0.993993,523.8,2.7720e+05,1,1,0.003185,0.003713
1302,1.0000e+08,1.0868e-13,0.003359,0.002502,0.994139,577.6,3.3595e+05,1,1,0.002991,0.003646
1302,1.2589e+08,1.3681e-13,0.003194,0.002481,0.994326,643.3,4.0206e+05,1,1,0.002763,0.003558
1302,1.5849e+08,1.7224e-13,0.002987,0.002453,0.994560,723.2,4.7340e+05,1,1,0.002511,0.003444
1302,1.9953e+08,2.1684e-13,0.002739,0.002416,0.994846,819.9,5.4643e+05,1,1,0.002262,0.003294
1302,2.5119e+08,2.7298e-13,0.002460,0.002366,0.995174,936.2,6.1790e+05,1,1,0.002081,0.003102
1302,3.1623e+08,3.4366e-13,0.002189,0.002300,0.995512,1075.5,6.9214e+05,1,1,0.002093,0.002862
1302,3.9811e+08,4.3264e-13,0.002017,0.002213,0.995770,1241.6,8.0306e+05,1,1,0.002536,0.002577
1302,5.0119e+08,5.4467e-13,0.002140,0.002101,0.995760,1438.9,1.0723e+06,1,1,0.003828,0.002274
1302,6.3096e+08,6.8570e-13,0.002934,0.001959,0.995107,1672.2,1.8515e+06,1,1,0.006656,0.002037
1302,7.9433e+08,8.6324e-13,0.005077,0.001785,0.993138,1946.8,4.0328e+06,1,1,0.012091,0.002067
1302,1.0000e+09,1.0868e-12,0.009692,0.001582,0.988726,2268.0,9.6924e+06,1,1,0.021631,0.002794
1302,1.2589e+09,1.3681e-12,0.018443,0.001357,0.980200,2639.9,2.3219e+07,1,1,0.037098,0.005044
1302,1.5849e+09,1.7224e-12,0.033457,0.001127,0.965416,3064.4,5.3027e+07,1,1,0.060279,0.010258
1302,1.9953e+09,2.1684e-12,0.056867,0.000914,0.942219,3540.0,1.1346e+08,1,1,0.092340,0.020594
1302,2.5119e+09,2.7298e-12,0.090048,0.000743,0.909209,4062.0,2.2619e+08,1,1,0.133315,0.038700
1302,3.1623e+09,3.4366e-12,0.132959,0.000632,0.866409,4624.3,4.2045e+08,1,1,0.181979,0.066885
1302,3.9811e+09,4.3264e-12,0.184051,0.000593,0.815356,5222.0,7.3272e+08,1,1,0.236248,0.106052
1302,5.0119e+09,5.4467e-12,0.240811,0.000632,0.758557,5853.0,1.2069e+09,1,1,0.293674,0.155183
1302,6.3096e+09,6.8570e-12,0.300490,0.000752,0.698757,6518.4,1.8960e+09,0,1,0.351999,0.211734
1302,7.9433e+09,8.6324e-12,0.360617,0.000958,0.638425,7222.4,2.8645e+09,0,1,0.408331,0.272621
1302,1.0000e+10,1.0868e-11,0.419254,0.001256,0.579490,7971.2,4.1925e+09,0,1,0.448634,0.334903
1302,1.2589e+10,1.3681e-11,0.461400,0.001474,0.537125,8954.6,5.8087e+09,0,0,0.478859,0.396274
1302,1.5849e+10,1.7224e-11,0.490081,0.001605,0.508314,10266.6,7.7673e+09,0,0,0.502261,0.453525
1302,1.9953e+10,2.1684e-11,0.511650,0.001700,0.486650,11932.9,1.0209e+10,0,0,0.520531,0.489708
1302,2.5119e+10,2.7298e-11,0.528271,0.001772,0.469957,12000.0,1.3270e+10,0,0,0.534856,0.513538
1302,3.1623e+10,3.4366e-11,0.541187,0.001827,0.456985,12000.0,1.7114e+10,0,0,0.546120,0.530657
1302,3.9811e+10,4.3264e-11,0.551271,0.001870,0.446858,12000.0,2.1946e+10,0,0,0.554992,0.543483
1302,5.0119e+10,5.4467e-11,0.559168,0.001904,0.438928,12000.0,2.8025e+10,0,0,0.561990,0.553323
1302,6.3096e+10,6.8570e-11,0.565365,0.001930,0.432705,12000.0,3.5672e+10,0,0,0.567515,0.560949
1302,7.9433e+10,8.6324e-11,0.570236,0.001951,0.427813,12000.0,4.5295e+10,0,0,0.571881,0.566883
1302,1.0000e+11,1.0868e-10,0.574072,0.001967,0.423961,12000.0,5.7407e+10,0,0,0.575332,0.571514
1294,1.0000e+05,1.0868e-16,0.000022,0.005236,0.994741,300.3,2.2477e+00,1,1,0.000022,0.000022
1294,1.2589e+05,1.3681e-16,0.000022,0.005236,0.994741,300.4,2.8294e+00,1,1,0.000022,0.000022
1294,1.5849e+05,1.7224e-16,0.000022,0.005236,0.994741,300.5,3.5615e+00,1,1,0.000022,0.000022
1294,1.9953e+05,2.1684e-16,0.000022,0.005236,0.994741,300.6,4.4829e+00,1,1,0.000022,0.000022
1294,2.5119e+05,2.7298e-16,0.000022,0.005236,0.994741,300.8,5.6424e+00,1,1,0.000022,0.000022
1294,3.1623e+05,3.4366e-16,0.000022,0.005236,0.994741,301.0,7.1014e+00,1,1,0.000022,0.000022
1294,3.9811e+05,4.3264e-16,0.000022,0.005236,0.994741,301.2,8.9370e+00,1,1,0.000022,0.000022
1294,5.0119e+05,5.4467e-16,0.000022,0.005236,0.994741,301.5,1.1246e+01,1,1,0.000022,0.000022
1294,6.3096e+05,6.8570e-16,0.000022,0.005236,0.994741,301.9,1.4150e+01,1,1,0.000022,0.000022
1294,7.9433e+05,8.6324e-16,0.000022,0.005237,0.994741,302.4,1.7802e+01,1,1,0.000022,0.000022
1294,1.0000e+06,1.0868e-15,0.000022,0.005237,0.994741,303.0,2.2392e+01,1,1,0.000022,0.000022
1294,1.2589e+06,1.3681e-15,0.000022,0.005237,0.994741,303.8,2.8161e+01,1,1,0.000022,0.000022
1294,1.5849e+06,1.7224e-15,0.000022,0.005237,0.994741,304.8,3.5405e+01,1,1,0.000022,0.000022
1294,1.9953e+06,2.1684e-15,0.000022,0.005237,0.994741,306.0,4.4500e+01,1,1,0.000022,0.000022
1294,2.5119e+06,2.7298e-15,0.000022,0.005237,0.994741,307.5,5.5911e+01,1,1,0.000022,0.000022
1294,3.1623e+06,3.4366e-15,0.000022,0.005237,0.994741,309.5,7.0216e+01,1,1,0.000022,0.000022
1294,3.9811e+06,4.3264e-15,0.000022,0.005237,0.994741,311.9,8.8136e+01,1,1,0.000022,0.000022
1294,5.0119e+06,5.4467e-15,0.000022,0.005237,0.994741,315.0,1.1057e+02,1,1,0.000022,0.000022
1294,6.3096e+06,6.8570e-15,0.000022,0.005238,0.994740,318.9,1.3864e+02,1,1,0.000022,0.000022
1294,7.9433e+06,8.6324e-15,0.000022,0.005238,0.994740,323.7,1.7375e+02,1,1,0.000022,0.000022
1294,1.0000e+07,1.0868e-14,0.000022,0.005238,0.994740,329.8,2.1773e+02,1,1,0.000022,0.000022
1294,1.2589e+07,1.3681e-14,0.000022,0.005239,0.994740,337.5,2.7300e+02,1,1,0.000022,0.000022
1294,1.5849e+07,1.7224e-14,0.000022,0.005239,0.994739,347.0,3.4300e+02,1,1,0.000022,0.000022
1294,1.9953e+07,2.1684e-14,0.000022,0.005240,0.994738,359.0,4.3305e+02,1,1,0.000023,0.000022
1294,2.5119e+07,2.7298e-14,0.000022,0.005241,0.994737,373.9,5.5227e+02,1,1,0.000025,0.000022
1294,3.1623e+07,3.4366e-14,0.000023,0.005243,0.994735,392.6,7.1792e+02,1,1,0.000029,0.000022
1294,3.9811e+07,4.3264e-14,0.000024,0.005245,0.994731,415.8,9.6523e+02,1,1,0.000035,0.000022
1294,5.0119e+07,5.4467e-14,0.000027,0.005247,0.994726,444.5,1.3699e+03,1,1,0.000047,0.000022
1294,6.3096e+07,6.8570e-14,0.000033,0.005250,0.994717,480.1,2.0993e+03,1,1,0.000069,0.000023
1294,7.9433e+07,8.6324e-14,0.000044,0.005254,0.994701,523.9,3.5284e+03,1,1,0.000108,0.000025
1294,1.0000e+08,1.0868e-13,0.000065,0.005260,0.994675,577.7,6.5094e+03,1,1,0.000176,0.000029
1294,1.2589e+08,1.3681e-13,0.000103,0.005268,0.994628,643.3,1.2998e+04,1,1,0.000297,0.000036
1294,1.5849e+08,1.7224e-13,0.000174,0.005279,0.994547,723.1,2.7526e+04,1,1,0.000509,0.000051
1294,1.9953e+08,2.1684e-13,0.000304,0.005294,0.994402,819.5,6.0612e+04,1,1,0.000880,0.000078
1294,2.5119e+08,2.7298e-13,0.000543,0.005315,0.994141,935.4,1.3649e+05,1,1,0.001525,0.000131
1294,3.1623e+08,3.4366e-13,0.000983,0.005345,0.993671,1073.9,3.1101e+05,1,1,0.002636,0.000231
1294,3.9811e+08,4.3264e-13,0.001787,0.005388,0.992825,1238.8,7.1148e+05,1,1,0.004534,0.000425
1294,5.0119e+08,5.4467e-13,0.003240,0.005449,0.991311,1433.9,1.6238e+06,1,1,0.007726,0.000800
1294,6.3096e+08,6.8570e-13,0.005830,0.005537,0.988633,1663.9,3.6784e+06,1,1,0.012979,0.001522
1294,7.9433e+08,8.6324e-13,0.010339,0.005665,0.983996,1933.2,8.2125e+06,1,1,0.021395,0.002906
1294,1.0000e+09,1.0868e-12,0.017952,0.005851,0.976197,2246.1,1.7952e+07,1,1,0.034378,0.005518
1294,1.2589e+09,1.3681e-12,0.030260,0.006116,0.963623,2605.8,3.8096e+07,1,1,0.053477,0.010320
1294,1.5849e+09,1.7224e-12,0.049096,0.006487,0.944417,3013.2,7.7811e+07,1,1,0.080010,0.018808
1294,1.9953e+09,2.1684e-12,0.076046,0.006990,0.916965,3466.6,1.5173e+08,1,1,0.114594,0.032993
1294,2.5119e+09,2.7298e-12,0.111848,0.007644,0.880508,3962.1,2.8095e+08,1,1,0.156829,0.055052
1294,3.1623e+09,3.4366e-12,0.155981,0.008463,0.835556,4495.0,4.9326e+08,1,1,0.205325,0.086567
1294,3.9811e+09,4.3264e-12,0.206757,0.009453,0.783790,5062.1,8.2312e+08,1,1,0.258067,0.127760
1294,5.0119e+09,5.4467e-12,0.261801,0.010616,0.727583,5662.7,1.3121e+09,1,1,0.312895,0.177281
1294,6.3096e+09,6.8570e-12,0.318706,0.011957,0.669338,6298.6,2.0109e+09,0,1,0.367802,0.232680
1294,7.9433e+09,8.6324e-12,0.375292,0.013483,0.611225,6974.5,2.9811e+09,0,1,0.421199,0.291165
1294,1.0000e+10,1.0868e-11,0.429937,0.015208,0.554855,7696.9,4.2994e+09,0,1,0.463853,0.350211
1294,1.2589e+10,1.3681e-11,0.475599,0.016807,0.507594,8555.0,5.9874e+09,0,0,0.494461,0.407771
1294,1.5849e+10,1.7224e-11,0.505260,0.017776,0.476965,9741.2,8.0078e+09,0,0,0.518049,0.462413
1294,1.9953e+10,2.1684e-11,0.527184,0.018476,0.454340,11262.6,1.0519e+10,0,0,0.536432,0.503084
1294,2.5119e+10,2.7298e-11,0.543996,0.019009,0.436995,12000.0,1.3665e+10,0,0,0.550831,0.528284
1294,3.1623e+10,3.4366e-11,0.557035,0.019421,0.423544,12000.0,1.7615e+10,0,0,0.562144,0.545971
1294,3.9811e+10,4.3264e-11,0.567203,0.019741,0.413055,12000.0,2.2581e+10,0,0,0.571052,0.559097
1294,5.0119e+10,5.4467e-11,0.575159,0.019992,0.404850,12000.0,2.8826e+10,0,0,0.578075,0.569092
1294,6.3096e+10,6.8570e-11,0.581399,0.020188,0.398414,12000.0,3.6684e+10,0,0,0.583618,0.576821
1294,7.9433e+10,8.6324e-11,0.586301,0.020342,0.393357,12000.0,4.6572e+10,0,0,0.587997,0.582829
1294,1.0000e+11,1.0868e-10,0.590159,0.020463,0.389378,12000.0,5.9016e+10,0,0,0.591459,0.587513
1262,1.0000e+05,1.0868e-16,0.144300,0.015230,0.840470,300.3,1.4430e+04,1,1,0.144302,0.144299
1262,1.2589e+05,1.3681e-16,0.144301,0.015230,0.840469,300.3,1.8166e+04,1,1,0.144304,0.144299
1262,1.5849e+05,1.7224e-16,0.144302,0.015230,0.840468,300.4,2.2870e+04,1,1,0.144305,0.144300
1262,1.9953e+05,2.1684e-16,0.144303,0.015230,0.840467,300.5,2.8792e+04,1,1,0.144307,0.144300
1262,2.5119e+05,2.7298e-16,0.144305,0.015230,0.840465,300.6,3.6248e+04,1,1,0.144310,0.144301
1262,3.1623e+05,3.4366e-16,0.144307,0.015230,0.840463,300.8,4.5634e+04,1,1,0.144313,0.144302
1262,3.9811e+05,4.3264e-16,0.144309,0.015230,0.840461,301.0,5.7450e+04,1,1,0.144317,0.144303
1262,5.0119e+05,5.4467e-16,0.144312,0.015230,0.840458,301.3,7.2327e+04,1,1,0.144322,0.144305
1262,6.3096e+05,6.8570e-16,0.144316,0.015230,0.840454,301.6,9.1057e+04,1,1,0.144329,0.144307
