lambda_op_nm,I_peak_Wcm2,E_cell_J,E_per_10um_pixel_nJ_equiv,T_avg,R_avg,A_avg,Fz_avg,Te_peak_K,I_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1302,1.0000e+05,5.5205e-17,1.5967e-05,0.515900,0.226025,0.258075,0.229495,300.1,5.1590e+04,1,1
1302,1.2589e+05,6.9499e-17,2.0101e-05,0.515900,0.226025,0.258075,0.229495,300.1,6.4948e+04,1,1
1302,1.5849e+05,8.7494e-17,2.5306e-05,0.515899,0.226025,0.258075,0.229495,300.1,8.1765e+04,1,1
1302,1.9953e+05,1.1015e-16,3.1858e-05,0.515899,0.226025,0.258075,0.229495,300.2,1.0294e+05,1,1
1302,2.5119e+05,1.3867e-16,4.0107e-05,0.515899,0.226026,0.258075,0.229495,300.2,1.2959e+05,1,1
1302,3.1623e+05,1.7457e-16,5.0492e-05,0.515899,0.226026,0.258075,0.229495,300.2,1.6314e+05,1,1
1302,3.9811e+05,2.1977e-16,6.3566e-05,0.515899,0.226026,0.258075,0.229495,300.3,2.0538e+05,1,1
1302,5.0119e+05,2.7668e-16,8.0025e-05,0.515898,0.226026,0.258075,0.229495,300.4,2.5856e+05,1,1
1302,6.3096e+05,3.4832e-16,1.0074e-04,0.515898,0.226027,0.258075,0.229495,300.5,3.2551e+05,1,1
1302,7.9433e+05,4.3851e-16,1.2683e-04,0.515898,0.226027,0.258075,0.229494,300.6,4.0979e+05,1,1
1302,1.0000e+06,5.5205e-16,1.5967e-04,0.515897,0.226028,0.258075,0.229494,300.8,5.1590e+05,1,1
1302,1.2589e+06,6.9499e-16,2.0101e-04,0.515896,0.226029,0.258075,0.229494,301.0,6.4947e+05,1,1
1302,1.5849e+06,8.7494e-16,2.5306e-04,0.515895,0.226030,0.258074,0.229494,301.2,8.1764e+05,1,1
1302,1.9953e+06,1.1015e-15,3.1858e-04,0.515894,0.226032,0.258074,0.229494,301.6,1.0293e+06,1,1
1302,2.5119e+06,1.3867e-15,4.0107e-04,0.515893,0.226033,0.258074,0.229493,302.0,1.2959e+06,1,1
1302,3.1623e+06,1.7457e-15,5.0492e-04,0.515891,0.226036,0.258073,0.229493,302.5,1.6314e+06,1,1
1302,3.9811e+06,2.1977e-15,6.3566e-04,0.515889,0.226039,0.258073,0.229492,303.1,2.0538e+06,1,1
1302,5.0119e+06,2.7668e-15,8.0025e-04,0.515886,0.226042,0.258072,0.229492,303.9,2.5856e+06,1,1
1302,6.3096e+06,3.4832e-15,1.0074e-03,0.515882,0.226047,0.258071,0.229491,304.9,3.2550e+06,1,1
1302,7.9433e+06,4.3851e-15,1.2683e-03,0.515877,0.226052,0.258070,0.229490,306.2,4.0978e+06,1,1
1302,1.0000e+07,5.5205e-15,1.5967e-03,0.515871,0.226060,0.258069,0.229489,307.8,5.1587e+06,1,1
1302,1.2589e+07,6.9499e-15,2.0101e-03,0.515864,0.226069,0.258067,0.229487,309.8,6.4943e+06,1,1
