lambda_op_nm,I_peak_Wcm2,E_cell_J,R_avg,T_avg,A_avg,Te_peak_K,I_refl_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1302,1.0000e+05,5.5205e-17,0.226025,0.515900,0.258075,300.1,2.2603e+04,1,1
1302,1.2589e+05,6.9499e-17,0.226025,0.515900,0.258075,300.1,2.8455e+04,1,1
1302,1.5849e+05,8.7494e-17,0.226025,0.515899,0.258075,300.1,3.5823e+04,1,1
1302,1.9953e+05,1.1015e-16,0.226025,0.515899,0.258075,300.2,4.5098e+04,1,1
1302,2.5119e+05,1.3867e-16,0.226026,0.515899,0.258075,300.2,5.6775e+04,1,1
1302,3.1623e+05,1.7457e-16,0.226026,0.515899,0.258075,300.2,7.1476e+04,1,1
1302,3.9811e+05,2.1977e-16,0.226026,0.515899,0.258075,300.3,8.9983e+04,1,1
1302,5.0119e+05,2.7668e-16,0.226026,0.515898,0.258075,300.4,1.1328e+05,1,1
1302,6.3096e+05,3.4832e-16,0.226027,0.515898,0.258075,300.5,1.4261e+05,1,1
1302,7.9433e+05,4.3851e-16,0.226027,0.515898,0.258075,300.6,1.7954e+05,1,1
1302,1.0000e+06,5.5205e-16,0.226028,0.515897,0.258075,300.8,2.2603e+05,1,1
1302,1.2589e+06,6.9499e-16,0.226029,0.515896,0.258075,301.0,2.8455e+05,1,1
1302,1.5849e+06,8.7494e-16,0.226030,0.515895,0.258074,301.2,3.5823e+05,1,1
1302,1.9953e+06,1.1015e-15,0.226032,0.515894,0.258074,301.6,4.5099e+05,1,1
1302,2.5119e+06,1.3867e-15,0.226033,0.515893,0.258074,302.0,5.6777e+05,1,1
1302,3.1623e+06,1.7457e-15,0.226036,0.515891,0.258073,302.5,7.1479e+05,1,1
1302,3.9811e+06,2.1977e-15,0.226039,0.515889,0.258073,303.1,8.9988e+05,1,1
1302,5.0119e+06,2.7668e-15,0.226042,0.515886,0.258072,303.9,1.1329e+06,1,1
