Te=   300 K: eps(1302)=+0.0015+0.4316i  T(1302)=0.5159 A=0.2581 Fz=0.2295 | T_min=0.2238@1294 A_max=0.4656@1292 | max|Ftot-A|=1.4e-04 | 54s
Te=   400 K: eps(1302)=+0.0043+0.4312i  T(1302)=0.5153 A=0.2579 Fz=0.2294 | T_min=0.2226@1294 A_max=0.4655@1292 | max|Ftot-A|=1.4e-04 | 108s
Te=   500 K: eps(1302)=+0.0079+0.4308i  T(1302)=0.5145 A=0.2578 Fz=0.2292 | T_min=0.2212@1294 A_max=0.4653@1292 | max|Ftot-A|=1.4e-04 | 251s
Te=   600 K: eps(1302)=+0.0124+0.4302i  T(1302)=0.5136 A=0.2576 Fz=0.2290 | T_min=0.2194@1294 A_max=0.4652@1292 | max|Ftot-A|=1.4e-04 | 306s
Te=   800 K: eps(1302)=+0.0235+0.4288i  T(1302)=0.5111 A=0.2571 Fz=0.2285 | T_min=0.2150@1294 A_max=0.4647@1292 | max|Ftot-A|=1.4e-04 | 362s
Te=  1000 K: eps(1302)=+0.0377+0.4270i  T(1302)=0.5080 A=0.2564 Fz=0.2278 | T_min=0.2097@1294 A_max=0.4638@1292 | max|Ftot-A|=1.4e-04 | 414s
Te=  1250 K: eps(1302)=+0.0593+0.4242i  T(1302)=0.5031 A=0.2555 Fz=0.2268 | T_min=0.2018@1294 A_max=0.4622@1292 | max|Ftot-A|=1.4e-04 | 468s
Te=  1500 K: eps(1302)=+0.0849+0.4209i  T(1302)=0.4972 A=0.2544 Fz=0.2257 | T_min=0.1933@1294 A_max=0.4597@1292 | max|Ftot-A|=1.4e-04 | 535s
Te=  2000 K: eps(1302)=+0.1456+0.4132i  T(1302)=0.4825 A=0.2519 Fz=0.2229 | T_min=0.1761@1294 A_max=0.4537@1294 | max|Ftot-A|=1.3e-04 | 588s
Te=  2500 K: eps(1302)=+0.2157+0.4042i  T(1302)=0.4642 A=0.2494 Fz=0.2198 | T_min=0.1629@1294 A_max=0.4483@1294 | max|Ftot-A|=1.3e-04 | 642s
Te=  3000 K: eps(1302)=+0.2919+0.3945i  T(1302)=0.4431 A=0.2468 Fz=0.2166 | T_min=0.1423@1296 A_max=0.4381@1294 | max|Ftot-A|=1.2e-04 | 697s
Te=  3500 K: eps(1302)=+0.3715+0.3844i  T(1302)=0.4199 A=0.2445 Fz=0.2132 | T_min=0.1226@1296 A_max=0.4228@1294 | max|Ftot-A|=1.2e-04 | 750s
Te=  4000 K: eps(1302)=+0.4525+0.3740i  T(1302)=0.3949 A=0.2423 Fz=0.2098 | T_min=0.1111@1296 A_max=0.4131@1296 | max|Ftot-A|=1.2e-04 | 803s
Te=  4500 K: eps(1302)=+0.5337+0.3636i  T(1302)=0.3690 A=0.2402 Fz=0.2065 | T_min=0.1090@1296 A_max=0.4007@1296 | max|Ftot-A|=1.1e-04 | 857s
Te=  5000 K: eps(1302)=+0.6139+0.3534i  T(1302)=0.3425 A=0.2383 Fz=0.2030 | T_min=0.0886@1298 A_max=0.3853@1296 | max|Ftot-A|=1.1e-04 | 911s
Te=  6000 K: eps(1302)=+0.7694+0.3336i  T(1302)=0.2895 A=0.2346 Fz=0.1962 | T_min=0.0666@1298 A_max=0.3555@1298 | max|Ftot-A|=1.0e-04 | 964s
Te=  7000 K: eps(1302)=+0.9158+0.3149i  T(1302)=0.2387 A=0.2309 Fz=0.1892 | T_min=0.0709@1298 A_max=0.3331@1298 | max|Ftot-A|=9.6e-05 | 1018s
Te=  8000 K: eps(1302)=+1.0520+0.2975i  T(1302)=0.1921 A=0.2269 Fz=0.1820 | T_min=0.0509@1300 A_max=0.3072@1298 | max|Ftot-A|=9.0e-05 | 1071s
