Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
300,1200.0,0.510537,0.305969,0.673263,0.042554,0.284183,0.050731,0.003762,0.229648,0.284141,6.232459,1
300,1202.0,0.500874,0.308307,0.676220,0.035168,0.288612,0.052337,0.003898,0.232334,0.288569,6.267960,1
300,1204.0,0.491200,0.310651,0.678670,0.028443,0.292887,0.053976,0.004045,0.234822,0.292843,6.297746,1
300,1206.0,0.481510,0.313000,0.680517,0.022421,0.297062,0.055645,0.004203,0.237169,0.297017,6.323445,1
300,1208.0,0.471810,0.315353,0.681641,0.017144,0.301215,0.057338,0.004373,0.239458,0.301170,6.347342,1
300,1210.0,0.462097,0.317711,0.681913,0.012637,0.305450,0.059049,0.004556,0.241800,0.305404,6.372378,1
300,1212.0,0.452370,0.320071,0.681201,0.008908,0.309891,0.060771,0.004751,0.244323,0.309844,6.401952,1
300,1214.0,0.442632,0.322439,0.679365,0.005951,0.314684,0.062500,0.004958,0.247178,0.314636,6.439805,1
300,1216.0,0.432880,0.324811,0.676298,0.003727,0.319975,0.064230,0.005180,0.250515,0.319925,6.489775,1
300,1218.0,0.423116,0.327187,0.671878,0.002202,0.325919,0.065957,0.005417,0.254494,0.325868,6.555717,1
300,1220.0,0.413340,0.329568,0.666023,0.001319,0.332658,0.067681,0.005670,0.259254,0.332605,6.640977,1
300,1222.0,0.403551,0.331954,0.658666,0.001022,0.340312,0.069400,0.005944,0.264914,0.340257,6.748228,1
300,1224.0,0.393749,0.334346,0.649770,0.001262,0.348968,0.071116,0.006240,0.271554,0.348910,6.879128,1
300,1226.0,0.383933,0.336741,0.639323,0.002006,0.358672,0.072837,0.006566,0.279209,0.358612,7.034223,1
300,1228.0,0.374107,0.339142,0.627331,0.003242,0.369427,0.074570,0.006928,0.287867,0.369364,7.212749,1
300,1230.0,0.364266,0.341548,0.613828,0.004988,0.381184,0.076326,0.007336,0.297457,0.381119,7.412574,1
300,1232.0,0.354413,0.343959,0.598814,0.007301,0.393885,0.078118,0.007804,0.307893,0.393816,7.631261,1
300,1234.0,0.344547,0.346374,0.582254,0.010278,0.407468,0.079979,0.008350,0.319066,0.407395,7.865805,1
300,1236.0,0.334669,0.348795,0.564041,0.014060,0.421899,0.081939,0.008997,0.330887,0.421823,8.113718,1
300,1238.0,0.324778,0.351221,0.543990,0.018833,0.437177,0.084036,0.009775,0.343286,0.437097,8.373148,1
300,1240.0,0.314874,0.353650,0.521735,0.024854,0.453410,0.086326,0.010728,0.356272,0.453326,8.644129,1
300,1242.0,0.304956,0.356087,0.496628,0.032489,0.470882,0.088905,0.011916,0.369972,0.470794,8.929504,1
300,1244.0,0.295027,0.358527,0.467543,0.042308,0.490149,0.091924,0.013434,0.384698,0.490056,9.236577,1
300,1246.0,0.285085,0.360973,0.432341,0.055330,0.512329,0.095676,0.015435,0.401120,0.512230,9.580985,1
300,1248.0,0.275129,0.363423,0.386209,0.073859,0.539933,0.100820,0.018227,0.420781,0.539827,9.998841,1
300,1250.0,0.265160,0.365879,0.313455,0.105477,0.581068,0.109628,0.022609,0.448716,0.580953,10.608085,1
300,1252.0,0.255180,0.368340,0.161127,0.179444,0.659429,0.116854,0.032960,0.509481,0.659295,11.983282,1
300,1254.0,0.245185,0.370807,0.137804,0.192331,0.669864,0.103239,0.044172,0.522316,0.669727,12.222944,1
300,1256.0,0.235179,0.373278,0.107721,0.206890,0.685389,0.092864,0.064238,0.528144,0.685246,12.297085,1
300,1258.0,0.225159,0.375754,0.067613,0.221528,0.710859,0.082882,0.102296,0.525527,0.710705,12.174860,1
300,1260.0,0.215127,0.378236,0.022382,0.215402,0.762216,0.072575,0.164125,0.525340,0.762040,12.109916,1
300,1262.0,0.205081,0.380723,0.015230,0.144297,0.840472,0.065810,0.195383,0.579082,0.840275,13.282589,1
300,1264.0,0.195023,0.383216,0.053343,0.064701,0.881956,0.065210,0.142877,0.673675,0.881762,15.376108,1
300,1266.0,0.184951,0.385712,0.075702,0.035074,0.889224,0.064595,0.087566,0.736879,0.889041,16.736298,1
300,1268.0,0.174868,0.388216,0.078689,0.027858,0.893453,0.062494,0.056365,0.774417,0.893276,17.503048,1
300,1270.0,0.164770,0.390723,0.073465,0.025550,0.900986,0.059719,0.039597,0.801495,0.900811,18.027163,1
300,1272.0,0.154660,0.393236,0.065416,0.023572,0.911011,0.056777,0.030001,0.824060,0.910838,18.445235,1
300,1274.0,0.144537,0.395755,0.056693,0.021089,0.922218,0.053878,0.024083,0.844082,0.922044,18.802683,1
300,1276.0,0.134401,0.398279,0.048180,0.018155,0.933665,0.051109,0.020184,0.862197,0.933490,19.114486,1
300,1278.0,0.124252,0.400809,0.040263,0.014996,0.944741,0.048503,0.017470,0.878590,0.944564,19.385280,1
300,1280.0,0.114090,0.403344,0.033113,0.011836,0.955052,0.046073,0.015494,0.893306,0.954873,19.616757,1
300,1282.0,0.103915,0.405883,0.026799,0.008860,0.964340,0.043819,0.014000,0.906340,0.964160,19.809356,1
300,1284.0,0.093728,0.408430,0.021316,0.006202,0.972482,0.041735,0.012831,0.917734,0.972300,19.964424,1
300,1286.0,0.083527,0.410981,0.016657,0.003960,0.979383,0.039815,0.011894,0.927489,0.979199,20.082627,1
300,1288.0,0.073314,0.413537,0.012774,0.002197,0.985029,0.038050,0.011125,0.935669,0.984843,20.165846,1
300,1290.0,0.063087,0.416099,0.009611,0.000947,0.989443,0.036427,0.010481,0.942347,0.989255,20.216075,1
300,1292.0,0.052848,0.418667,0.007120,0.000224,0.992656,0.034942,0.009935,0.947590,0.992467,20.235168,1
300,1294.0,0.042595,0.421240,0.005236,0.000022,0.994741,0.033584,0.009466,0.951501,0.994551,20.225855,1
300,1296.0,0.032330,0.423818,0.003900,0.000325,0.995775,0.032344,0.009059,0.954180,0.995583,20.190549,1
300,1298.0,0.022051,0.426402,0.003047,0.001103,0.995850,0.031212,0.008704,0.955741,0.995656,20.132053,1
300,1300.0,0.011758,0.428992,0.002621,0.002324,0.995055,0.030182,0.008391,0.956288,0.994861,20.052806,1
300,1302.0,0.001454,0.431587,0.002568,0.003944,0.993488,0.029246,0.008116,0.955931,0.993292,19.955434,1
300,1304.0,-0.008863,0.434188,0.002835,0.005926,0.991240,0.028394,0.007872,0.954776,0.991042,19.842394,1
300,1306.0,-0.019194,0.436794,0.003375,0.008220,0.988405,0.027622,0.007657,0.952927,0.988206,19.715971,1
300,1308.0,-0.029538,0.439406,0.004148,0.010788,0.985064,0.026923,0.007466,0.950475,0.984864,19.578266,1
300,1310.0,-0.039895,0.442025,0.005112,0.013583,0.981305,0.026291,0.007298,0.947515,0.981103,19.431357,1
300,1312.0,-0.050265,0.444648,0.006234,0.016566,0.977200,0.025720,0.007150,0.944127,0.976997,19.277053,1
300,1314.0,-0.060647,0.447277,0.007483,0.019700,0.972817,0.025206,0.007020,0.940387,0.972612,19.116901,1
300,1316.0,-0.071045,0.449912,0.008835,0.022946,0.968219,0.024743,0.006907,0.936363,0.968013,18.952436,1
300,1318.0,-0.081452,0.452552,0.010266,0.026270,0.963465,0.024329,0.006809,0.932119,0.963257,18.784947,1
300,1320.0,-0.091875,0.455199,0.011754,0.029638,0.958608,0.023959,0.006726,0.927714,0.958399,18.615679,1
300,1322.0,-0.102311,0.457851,0.013288,0.033031,0.953681,0.023628,0.006656,0.923185,0.953470,18.445423,1
300,1324.0,-0.112759,0.460509,0.014851,0.036421,0.948728,0.023335,0.006599,0.918581,0.948515,18.275104,1
300,1326.0,-0.123220,0.463171,0.016429,0.039781,0.943790,0.023078,0.006553,0.913945,0.943575,18.105655,1
300,1328.0,-0.133694,0.465842,0.018017,0.043090,0.938893,0.022852,0.006518,0.909306,0.938676,17.937513,1
300,1330.0,-0.144181,0.468517,0.019609,0.046338,0.934052,0.022656,0.006493,0.904685,0.933833,17.771176,1
300,1332.0,-0.154682,0.471198,0.021195,0.049503,0.929302,0.022487,0.006477,0.900117,0.929081,17.607281,1
300,1334.0,-0.165196,0.473885,0.022771,0.052576,0.924653,0.022345,0.006471,0.895613,0.924429,17.445982,1
300,1336.0,-0.175723,0.476577,0.024336,0.055545,0.920119,0.022227,0.006472,0.891193,0.919893,17.287711,1
300,1338.0,-0.186262,0.479276,0.025888,0.058396,0.915716,0.022132,0.006482,0.886873,0.915487,17.132648,1
300,1340.0,-0.196815,0.481981,0.027426,0.061122,0.911451,0.022058,0.006500,0.882662,0.911220,16.980941,1
300,1342.0,-0.207381,0.484691,0.028949,0.063719,0.907331,0.022005,0.006525,0.878568,0.907098,16.832774,1
300,1344.0,-0.217960,0.487407,0.030454,0.066179,0.903367,0.021971,0.006557,0.874603,0.903131,16.688250,1
300,1346.0,-0.228552,0.490130,0.031948,0.068502,0.899550,0.021955,0.006595,0.870761,0.899311,16.547202,1
300,1348.0,-0.239158,0.492859,0.033428,0.070675,0.895898,0.021957,0.006640,0.867059,0.895655,16.409968,1
300,1350.0,-0.249776,0.495593,0.034900,0.072702,0.892399,0.021976,0.006690,0.863488,0.892154,16.276337,1
300,1352.0,-0.260407,0.498333,0.036360,0.074577,0.889064,0.022010,0.006747,0.860058,0.888816,16.146452,1
300,1354.0,-0.271052,0.501079,0.037813,0.076303,0.885884,0.022061,0.006809,0.856763,0.885633,16.020105,1
300,1356.0,-0.281710,0.503832,0.039264,0.077882,0.882854,0.022126,0.006876,0.853597,0.882600,15.897136,1
300,1358.0,-0.292380,0.506590,0.040711,0.079304,0.879985,0.022207,0.006949,0.850572,0.879728,15.777801,1
300,1360.0,-0.303064,0.509355,0.042159,0.080571,0.877270,0.022301,0.007026,0.847681,0.877009,15.661851,1
