lambda_op_nm,T_cold,T_at_I_max_trust,dT_trust,I_max_trust_Wcm2,E_cell_max_trust_J,I_max_model_Wcm2
1200,0.673264,0.802552,+0.129288,2.512e+10,2.730e-11,3.981e+10
1202,0.676220,0.807313,+0.131092,2.512e+10,2.730e-11,3.981e+10
1204,0.678670,0.797815,+0.119144,1.995e+10,2.168e-11,3.981e+10
1206,0.680518,0.801008,+0.120490,1.995e+10,2.168e-11,3.981e+10
1208,0.681642,0.803406,+0.121764,1.995e+10,2.168e-11,3.981e+10
1210,0.681914,0.804935,+0.123021,1.995e+10,2.168e-11,3.981e+10
1212,0.681201,0.805524,+0.124323,1.995e+10,2.168e-11,3.981e+10
1214,0.679365,0.805100,+0.125734,1.995e+10,2.168e-11,3.981e+10
1216,0.676298,0.803610,+0.127312,1.995e+10,2.168e-11,3.162e+10
1218,0.671879,0.800997,+0.129118,1.995e+10,2.168e-11,3.162e+10
1220,0.666024,0.797217,+0.131194,1.995e+10,2.168e-11,3.162e+10
1222,0.658667,0.777539,+0.118872,1.585e+10,1.722e-11,3.162e+10
1224,0.649770,0.771260,+0.121490,1.585e+10,1.722e-11,3.162e+10
1226,0.639323,0.763760,+0.124437,1.585e+10,1.722e-11,3.162e+10
1228,0.627332,0.755041,+0.127709,1.585e+10,1.722e-11,3.162e+10
1230,0.613828,0.745124,+0.131296,1.585e+10,1.722e-11,3.162e+10
1232,0.598814,0.734007,+0.135192,1.585e+10,1.722e-11,2.512e+10
1234,0.582255,0.706309,+0.124054,1.259e+10,1.368e-11,2.512e+10
1236,0.564042,0.692549,+0.128507,1.259e+10,1.368e-11,2.512e+10
1238,0.543991,0.677337,+0.133347,1.259e+10,1.368e-11,2.512e+10
1240,0.521736,0.660357,+0.138621,1.259e+10,1.368e-11,1.995e+10
1242,0.496629,0.641004,+0.144375,1.259e+10,1.368e-11,1.995e+10
1244,0.467544,0.600532,+0.132989,1.000e+10,1.087e-11,1.995e+10
1246,0.432342,0.570908,+0.138567,1.000e+10,1.087e-11,1.585e+10
1248,0.386210,0.530027,+0.143818,1.000e+10,1.087e-11,1.585e+10
1250,0.313456,0.439383,+0.125928,7.943e+09,8.632e-12,1.259e+10
1252,0.161128,0.262104,+0.100977,7.943e+09,8.632e-12,1.259e+10
1254,0.137805,0.215664,+0.077859,7.943e+09,8.632e-12,1.259e+10
1256,0.107721,0.168485,+0.060763,7.943e+09,8.632e-12,1.259e+10
1258,0.067613,0.116372,+0.048759,7.943e+09,8.632e-12,1.585e+10
1260,0.022383,0.059672,+0.037289,7.943e+09,8.632e-12,1.585e+10
1262,0.015230,0.021502,+0.006272,7.943e+09,8.632e-12,1.259e+10
1264,0.053344,0.070425,+0.017081,6.310e+09,6.857e-12,1.259e+10
1266,0.075703,0.173597,+0.097894,6.310e+09,6.857e-12,1.000e+10
1268,0.078690,0.203488,+0.124798,6.310e+09,6.857e-12,1.000e+10
1270,0.073465,0.185823,+0.112358,6.310e+09,6.857e-12,1.000e+10
1272,0.065417,0.160529,+0.095112,6.310e+09,6.857e-12,1.000e+10
1274,0.056693,0.136600,+0.079906,6.310e+09,6.857e-12,1.259e+10
1276,0.048180,0.115308,+0.067127,6.310e+09,6.857e-12,1.259e+10
1278,0.040264,0.096565,+0.056301,6.310e+09,6.857e-12,1.259e+10
1280,0.033113,0.080087,+0.046974,6.310e+09,6.857e-12,1.259e+10
1282,0.026800,0.065625,+0.038826,6.310e+09,6.857e-12,1.000e+10
1284,0.021316,0.052947,+0.031630,6.310e+09,6.857e-12,1.000e+10
1286,0.016657,0.038230,+0.021573,5.012e+09,5.447e-12,1.000e+10
1288,0.012774,0.029432,+0.016658,5.012e+09,5.447e-12,1.000e+10
1290,0.009611,0.021937,+0.012327,5.012e+09,5.447e-12,1.000e+10
1292,0.007120,0.015692,+0.008572,5.012e+09,5.447e-12,1.000e+10
1294,0.005236,0.010616,+0.005379,5.012e+09,5.447e-12,1.000e+10
1296,0.003900,0.006644,+0.002744,5.012e+09,5.447e-12,1.000e+10
1298,0.003047,0.003698,+0.000651,5.012e+09,5.447e-12,1.000e+10
1300,0.002621,0.001717,-0.000904,5.012e+09,5.447e-12,1.000e+10
