lambda_op_nm,R_cold,R_at_I_max_trust,dR_trust,I_max_trust_Wcm2
1200,0.042554,0.042217,-0.000337,2.512e+10
1202,0.035168,0.034947,-0.000221,2.512e+10
1204,0.028443,0.028430,-0.000013,1.995e+10
1206,0.022421,0.022548,+0.000126,1.995e+10
1208,0.017144,0.017469,+0.000325,1.995e+10
1210,0.012637,0.013249,+0.000612,1.995e+10
1212,0.008908,0.009933,+0.001025,1.995e+10
1214,0.005951,0.007555,+0.001604,1.995e+10
1216,0.003727,0.006128,+0.002400,1.995e+10
1218,0.002202,0.005660,+0.003457,1.995e+10
1220,0.001319,0.006136,+0.004817,1.995e+10
1222,0.001022,0.006219,+0.005197,1.585e+10
1224,0.001262,0.008139,+0.006877,1.585e+10
1226,0.002006,0.010810,+0.008804,1.585e+10
1228,0.003242,0.014160,+0.010918,1.585e+10
1230,0.004988,0.018104,+0.013116,1.585e+10
1232,0.007301,0.022582,+0.015281,1.585e+10
1234,0.010278,0.023403,+0.013126,1.259e+10
1236,0.014060,0.028255,+0.014196,1.259e+10
1238,0.018833,0.033653,+0.014820,1.259e+10
1240,0.024854,0.039785,+0.014931,1.259e+10
1242,0.032489,0.047024,+0.014535,1.259e+10
1244,0.042308,0.052221,+0.009913,1.000e+10
1246,0.055330,0.065552,+0.010222,1.000e+10
1248,0.073859,0.085602,+0.011744,1.000e+10
1250,0.105477,0.123836,+0.018359,7.943e+09
1252,0.179445,0.256272,+0.076828,7.943e+09
1254,0.192332,0.324932,+0.132600,7.943e+09
1256,0.206891,0.379361,+0.172470,7.943e+09
1258,0.221530,0.430716,+0.209186,7.943e+09
1260,0.215404,0.476438,+0.261034,7.943e+09
1262,0.144300,0.484664,+0.340364,7.943e+09
1264,0.064703,0.344143,+0.279440,6.310e+09
1266,0.035075,0.214876,+0.179801,6.310e+09
1268,0.027859,0.196041,+0.168182,6.310e+09
1270,0.025551,0.223610,+0.198059,6.310e+09
1272,0.023574,0.251136,+0.227562,6.310e+09
1274,0.021090,0.272555,+0.251465,6.310e+09
1276,0.018156,0.288659,+0.270503,6.310e+09
1278,0.014997,0.300655,+0.285658,6.310e+09
1280,0.011837,0.309462,+0.297626,6.310e+09
1282,0.008861,0.315723,+0.306861,6.310e+09
1284,0.006203,0.319903,+0.313701,6.310e+09
1286,0.003961,0.271076,+0.267115,5.012e+09
1288,0.002197,0.270273,+0.268075,5.012e+09
1290,0.000947,0.268367,+0.267420,5.012e+09
1292,0.000224,0.265501,+0.265277,5.012e+09
1294,0.000022,0.261801,+0.261778,5.012e+09
1296,0.000324,0.257385,+0.257060,5.012e+09
1298,0.001103,0.252349,+0.251246,5.012e+09
1300,0.002323,0.246791,+0.244468,5.012e+09
1302,0.003944,0.240811,+0.236867,5.012e+09
1304,0.005925,0.234487,+0.228562,5.012e+09
1306,0.008219,0.227908,+0.219689,5.012e+09
1308,0.010788,0.221142,+0.210355,5.012e+09
1310,0.013582,0.214276,+0.200693,5.012e+09
1312,0.016565,0.152487,+0.135922,3.981e+09
1314,0.019699,0.146460,+0.126761,3.981e+09
1316,0.022945,0.140659,+0.117714,3.981e+09
1318,0.026269,0.135131,+0.108862,3.981e+09
1320,0.029637,0.129915,+0.100278,3.981e+09
1322,0.033030,0.125030,+0.092000,3.981e+09
1324,0.036420,0.120505,+0.084085,3.981e+09
1326,0.039780,0.116366,+0.076586,3.981e+09
1328,0.043089,0.112619,+0.069530,3.981e+09
1330,0.046337,0.109269,+0.062932,3.981e+09
1332,0.049502,0.106322,+0.056820,3.981e+09
1334,0.052575,0.103767,+0.051192,3.981e+09
1336,0.055544,0.101601,+0.046057,3.981e+09
1338,0.058395,0.099813,+0.041418,3.981e+09
1340,0.061121,0.098388,+0.037266,3.981e+09
1342,0.063718,0.097307,+0.033589,3.981e+09
1344,0.066178,0.096550,+0.030372,3.981e+09
1346,0.068501,0.096095,+0.027594,3.981e+09
1348,0.070674,0.095924,+0.025250,3.981e+09
1350,0.072701,0.096015,+0.023314,3.981e+09
1352,0.074576,0.096342,+0.021767,3.981e+09
1354,0.076302,0.096881,+0.020579,3.981e+09
1356,0.077882,0.097611,+0.019730,3.981e+09
1358,0.079303,0.098512,+0.019208,3.981e+09
1360,0.080570,0.099561,+0.018991,3.981e+09
1362,0.081686,0.100739,+0.019053,3.981e+09
1364,0.082652,0.102024,+0.019371,3.981e+09
1366,0.083469,0.103395,+0.019926,3.981e+09
1368,0.084137,0.104843,+0.020706,3.981e+09
1370,0.084656,0.106350,+0.021695,3.981e+09
1372,0.085025,0.107896,+0.022871,3.981e+09
1374,0.085255,0.109473,+0.024218,3.981e+09
1376,0.085345,0.131378,+0.046032,5.012e+09
1378,0.085294,0.132815,+0.047520,5.012e+09
1380,0.085102,0.134306,+0.049204,5.012e+09
