lambda_op_nm,T_cold,T_at_I_max_trust,dT_trust,I_max_trust_Wcm2,E_cell_max_trust_J,I_max_model_Wcm2
1240,0.870224,0.914224,+0.043999,6.310e+10,3.483e-11,1.000e+11
1242,0.866875,0.914278,+0.047403,6.310e+10,3.483e-11,1.000e+11
1244,0.863054,0.910393,+0.047339,5.012e+10,2.767e-11,1.000e+11
1246,0.858704,0.909967,+0.051263,5.012e+10,2.767e-11,1.000e+11
1248,0.853750,0.909368,+0.055618,5.012e+10,2.767e-11,1.000e+11
1250,0.848121,0.908574,+0.060454,5.012e+10,2.767e-11,1.000e+11
1252,0.841721,0.907559,+0.065838,5.012e+10,2.767e-11,1.000e+11
1254,0.834444,0.906292,+0.071848,5.012e+10,2.767e-11,1.000e+11
1256,0.826164,0.904740,+0.078576,5.012e+10,2.767e-11,7.943e+10
1258,0.816731,0.902862,+0.086131,5.012e+10,2.767e-11,7.943e+10
1260,0.805965,0.893584,+0.087619,3.981e+10,2.198e-11,7.943e+10
1262,0.793653,0.890349,+0.096696,3.981e+10,2.198e-11,7.943e+10
1264,0.779555,0.886558,+0.107003,3.981e+10,2.198e-11,7.943e+10
1266,0.763325,0.882108,+0.118784,3.981e+10,2.198e-11,7.943e+10
1268,0.744627,0.876895,+0.132268,3.981e+10,2.198e-11,6.310e+10
1270,0.722989,0.859484,+0.136495,3.162e+10,1.746e-11,6.310e+10
1272,0.697867,0.851180,+0.153312,3.162e+10,1.746e-11,6.310e+10
1274,0.668625,0.841379,+0.172754,3.162e+10,1.746e-11,6.310e+10
1276,0.634535,0.829733,+0.195199,3.162e+10,1.746e-11,6.310e+10
1278,0.594825,0.798031,+0.203206,2.512e+10,1.387e-11,5.012e+10
1280,0.548789,0.779039,+0.230250,2.512e+10,1.387e-11,5.012e+10
1282,0.496121,0.732369,+0.236247,1.995e+10,1.101e-11,3.981e+10
1284,0.437054,0.700560,+0.263506,1.995e+10,1.101e-11,3.981e+10
1286,0.373776,0.629375,+0.255599,1.585e+10,8.749e-12,3.162e+10
1288,0.310939,0.574732,+0.263794,1.585e+10,8.749e-12,3.162e+10
1290,0.256966,0.464620,+0.207654,1.259e+10,6.950e-12,2.512e+10
1292,0.223982,0.332510,+0.108528,1.000e+10,5.520e-12,1.995e+10
1294,0.223765,0.230297,+0.006532,1.000e+10,5.520e-12,1.585e+10
1296,0.261786,0.139110,-0.122676,7.943e+09,4.385e-12,1.585e+10
1298,0.332851,0.142300,-0.190551,1.000e+10,5.520e-12,1.585e+10
1300,0.422819,0.266130,-0.156688,1.000e+10,5.520e-12,1.585e+10
1302,0.515900,0.376747,-0.139153,1.585e+10,8.749e-12,1.995e+10
1304,0.601325,0.522483,-0.078842,1.995e+10,1.101e-11,3.162e+10
1306,0.673545,0.634568,-0.038978,2.512e+10,1.387e-11,3.981e+10
1308,0.731921,0.715178,-0.016743,3.162e+10,1.746e-11,5.012e+10
1310,0.777540,0.772337,-0.005203,3.981e+10,2.198e-11,7.943e+10
1312,0.812622,0.813279,+0.000657,5.012e+10,2.767e-11,7.943e+10
1314,0.839277,0.842928,+0.003651,6.310e+10,3.483e-11,1.000e+11
1316,0.859337,0.864849,+0.005512,6.310e+10,3.483e-11,1.000e+11
1318,0.874283,0.880730,+0.006446,7.943e+10,4.385e-11,1.000e+11
1320,0.885255,0.892348,+0.007093,7.943e+10,4.385e-11,1.000e+11
1322,0.893189,0.900789,+0.007600,7.943e+10,4.385e-11,1.000e+11
1324,0.898740,0.907521,+0.008781,1.000e+11,5.520e-11,1.000e+11
1326,0.902423,0.911990,+0.009567,1.000e+11,5.520e-11,1.000e+11
1328,0.904650,0.915097,+0.010448,1.000e+11,5.520e-11,1.000e+11
1330,0.905728,0.917155,+0.011427,1.000e+11,5.520e-11,1.000e+11
1332,0.905891,0.918383,+0.012492,1.000e+11,5.520e-11,1.000e+11
1334,0.905327,0.918958,+0.013631,1.000e+11,5.520e-11,1.000e+11
1336,0.904184,0.919011,+0.014828,1.000e+11,5.520e-11,1.000e+11
1338,0.902578,0.918645,+0.016067,1.000e+11,5.520e-11,1.000e+11
1340,0.900602,0.917938,+0.017336,1.000e+11,5.520e-11,1.000e+11
1342,0.898331,0.916951,+0.018620,1.000e+11,5.520e-11,1.000e+11
1344,0.895828,0.915735,+0.019907,1.000e+11,5.520e-11,1.000e+11
1346,0.893136,0.914327,+0.021191,1.000e+11,5.520e-11,1.000e+11
1348,0.890304,0.912765,+0.022460,1.000e+11,5.520e-11,1.000e+11
1350,0.887357,0.908293,+0.020936,7.943e+10,4.385e-11,1.000e+11
1352,0.884331,0.906355,+0.022024,7.943e+10,4.385e-11,1.000e+11
1354,0.881243,0.904331,+0.023088,7.943e+10,4.385e-11,1.000e+11
1356,0.878108,0.902235,+0.024127,7.943e+10,4.385e-11,1.000e+11
1358,0.874952,0.900088,+0.025135,7.943e+10,4.385e-11,1.000e+11
1360,0.871784,0.897897,+0.026113,7.943e+10,4.385e-11,1.000e+11
