lambda_op_nm,R_cold,R_at_I_max_trust,dR_trust,I_max_trust_Wcm2
1240,0.017164,0.024227,+0.007064,6.310e+10
1242,0.016975,0.023236,+0.006261,6.310e+10
1244,0.017004,0.021138,+0.004133,5.012e+10
1246,0.017281,0.020374,+0.003093,5.012e+10
1248,0.017839,0.019717,+0.001878,5.012e+10
1250,0.018715,0.019184,+0.000469,5.012e+10
1252,0.019951,0.018791,-0.001160,5.012e+10
1254,0.021599,0.018558,-0.003041,5.012e+10
1256,0.023716,0.018507,-0.005209,5.012e+10
1258,0.026372,0.018666,-0.007706,5.012e+10
1260,0.029651,0.019197,-0.010454,3.981e+10
1262,0.033652,0.020118,-0.013534,3.981e+10
1264,0.038489,0.021394,-0.017095,3.981e+10
1266,0.044325,0.023088,-0.021236,3.981e+10
1268,0.051324,0.025274,-0.026050,3.981e+10
1270,0.059718,0.030087,-0.029631,3.162e+10
1272,0.069783,0.034087,-0.035696,3.162e+10
1274,0.081853,0.039055,-0.042798,3.162e+10
1276,0.096330,0.045237,-0.051094,3.162e+10
1278,0.113674,0.057970,-0.055704,2.512e+10
1280,0.134374,0.068739,-0.065635,2.512e+10
1282,0.158815,0.090005,-0.068810,1.995e+10
1284,0.187251,0.109119,-0.078132,1.995e+10
1286,0.219147,0.145224,-0.073923,1.585e+10
1288,0.252922,0.180188,-0.072734,1.585e+10
1290,0.285201,0.242039,-0.043162,1.259e+10
1292,0.310466,0.319549,+0.009083,1.000e+10
1294,0.322640,0.394495,+0.071855,1.000e+10
1296,0.317671,0.455039,+0.137369,7.943e+09
1298,0.296178,0.485521,+0.189343,1.000e+10
1300,0.263330,0.419864,+0.156534,1.000e+10
1302,0.226025,0.381494,+0.155469,1.585e+10
1304,0.189648,0.296494,+0.106846,1.995e+10
1306,0.157456,0.228692,+0.071237,2.512e+10
1308,0.130442,0.179083,+0.048641,3.162e+10
1310,0.108634,0.143543,+0.034909,3.981e+10
1312,0.091368,0.117887,+0.026519,5.012e+10
1314,0.077893,0.099209,+0.021316,6.310e+10
1316,0.067493,0.082585,+0.015092,6.310e+10
1318,0.059554,0.072921,+0.013366,7.943e+10
1320,0.053586,0.063803,+0.010217,7.943e+10
1322,0.049165,0.057132,+0.007967,7.943e+10
1324,0.045989,0.053570,+0.007581,1.000e+11
1326,0.043816,0.049826,+0.006011,1.000e+11
1328,0.042441,0.047162,+0.004721,1.000e+11
1330,0.041712,0.045335,+0.003623,1.000e+11
1332,0.041510,0.044178,+0.002667,1.000e+11
1334,0.041735,0.043553,+0.001817,1.000e+11
1336,0.042309,0.043360,+0.001051,1.000e+11
1338,0.043166,0.043520,+0.000354,1.000e+11
1340,0.044255,0.043973,-0.000282,1.000e+11
1342,0.045533,0.044670,-0.000864,1.000e+11
1344,0.046963,0.045570,-0.001393,1.000e+11
1346,0.048521,0.046644,-0.001877,1.000e+11
1348,0.050174,0.047861,-0.002313,1.000e+11
1350,0.051910,0.049751,-0.002159,7.943e+10
1352,0.053705,0.051272,-0.002433,7.943e+10
1354,0.055549,0.052875,-0.002674,7.943e+10
1356,0.057433,0.054549,-0.002884,7.943e+10
1358,0.059339,0.056276,-0.003063,7.943e+10
1360,0.061263,0.058048,-0.003215,7.943e+10
