tag,stage,P,h,pad_frac,realized_pad_nm,seed,n_iter,order,warm_start,Fz_soft,Fz_hard,Fx_hard,Fy_hard,Ftot_hard,A_hard,R_hard,T_hard,eta_z_hard,identity_resid_hard,mean_Ez2_hard,max_Ez2_hard,Fz_best_history,fill,fill_active,s_flip_lr,s_flip_ud,s_inv,binarization_final,wall_s,warm_from
FAB_h970_P825_pad0.08_s333,stage1c,825.0,970.5,0.08,64.453125,333,80,5,False,0.8467388169928899,0.8477479412583057,0.03039821498170219,0.018965515365753707,0.8971116716057617,0.8972936861850507,0.04008355951585703,0.06262275429909228,0.9449748209616996,-0.00018201457928901377,17.685900000253646,66.94202430002211,0.8709922234473907,0.447998046875,0.629286694101509,0.29986372926846316,0.350165394941753,0.3906258514977095,0.0008761546147063665,92.87130951881409,
FAB_h970_P825_pad0.08_s1001,stage1c,825.0,970.5,0.08,64.453125,1001,80,5,False,0.8454818545699141,0.8458210825868159,0.030607522058003798,0.018749530860995584,0.8951781355058153,0.8953595098411602,0.04240430099169378,0.06223618916714603,0.9448634288960706,-0.00018137433534493042,17.64570145995639,64.43554547613189,0.8676907239987971,0.4459228515625,0.6263717421124828,0.3023767517065841,0.2807833865385132,0.35945635259707476,0.0004469908094405457,95.06557941436768,
FAB_h970_P825_pad0.12_s1001,stage1c,825.0,970.5,0.12,96.6796875,1001,80,5,False,0.660033749989201,0.6597529567818622,0.02684888246984866,0.0042564978847629935,0.6908583371364738,0.691028874586098,0.07259713441577684,0.23637399099812517,0.9549757472949668,-0.00017053744962414186,13.763908174399665,103.6726638003332,0.6581911188825914,0.11163330078125,0.19044148271553518,0.8717672453847711,0.5175963287550759,0.8879239644521607,0.002263403032844711,98.56028056144714,
FAB_h970_P750_pad0.08_s333,stage1c,750.0,970.5,0.08,58.59375,333,80,5,False,0.6440131886860084,0.6440803804387201,0.02699116667802903,0.006105446986957043,0.6771769941037061,0.677370015873736,0.11416252941751004,0.2084674547087539,0.9511256082927154,-0.00019302177002988863,13.436943513725017,82.99357542251585,0.6388115089253729,0.129638671875,0.18209876543209877,1.2532443771773139,0.8210965980639341,1.2960900203559511,0.001568630554293498,98.00040459632874,
FAB_h970_P750_pad0.08_s1001,stage1c,750.0,970.5,0.08,58.59375,1001,80,5,False,0.6421613972010934,0.6421457316431567,0.02691591939022183,0.004994628515458007,0.6740562795488366,0.6742381635857542,0.118784190274729,0.20697764613951683,0.9526589264519003,-0.00018188403691754562,13.39658245418277,77.79523587526613,0.6378915127600754,0.12615966796875,0.1772119341563786,0.956226254720977,0.39223227027636803,0.9572375995353501,0.002299620410953299,93.46622896194458,
FAB_h970_P750_pad0.12_s333,stage1c,750.0,970.5,0.12,87.890625,333,80,5,False,0.6324455065167873,0.6330992627707078,0.030135163639953826,0.005366209547469204,0.6686006359581309,0.6688152205003692,0.07416877301324283,0.25701600648638795,0.9469019751431312,-0.00021458454223832746,13.207853073612338,75.20400701637915,0.6370484803211202,0.13330078125,0.22740524781341107,0.8707707839849463,0.6574453834611907,0.9118672225175283,0.0018487784369323017,95.88522505760193,
FAB_h970_P750_pad0.12_s1001,stage1c,750.0,970.5,0.12,87.890625,1001,80,5,False,0.6335250087439583,0.6327628120977937,0.0294554341275482,0.005812099704114783,0.6680303459294566,0.6682419560181823,0.07814780471578078,0.25361023926603693,0.9472066889677088,-0.00021161008872561116,13.200833967264117,78.16936324837215,0.6365222826289143,0.1282958984375,0.21886713869221158,0.7390172711899441,0.3570680905836241,0.7454269078697207,0.001111251991071164,98.11121535301208,
FAB_h970_P825_pad0.12_s333,stage1c,825.0,970.5,0.12,96.6796875,333,80,5,False,0.5931763870049346,0.5917233517195405,0.025664524055638967,0.025389094290276235,0.6427769700654558,0.6429238126977537,0.15150497814077357,0.20557120916147276,0.920573354797207,-0.0001468426322979166,12.344659912465673,54.15302540570892,0.6491723263501178,0.27325439453125,0.46615993336109957,0.6244944347904217,0.464509944454111,0.6323142485443596,0.0010257953520972207,92.73208713531494,
FAB_h970_P650_pad0.08_s1001,stage1c,650.0,970.5,0.08,50.78125,1001,80,5,False,0.3166153932959841,0.3167807326824583,0.015484410944243139,0.01785913947909747,0.3501242831057989,0.35023887167853107,0.08066741107763527,0.5690937172438336,0.904766529965975,-0.00011458857273216605,6.608747821803277,35.96927226117348,0.32807706521685637,0.2388916015625,0.335562414266118,0.8807253015097661,0.8795641601986625,0.3630901271999933,0.0015024203055861104,94.41474032402039,
FAB_h970_P650_pad0.08_s333,stage1c,650.0,970.5,0.08,50.78125,333,80,5,False,0.29879443932043503,0.2985003674564081,0.015921943303110888,0.017210492576569755,0.3316328033360888,0.33174069447983034,0.07832182930825718,0.5899374762119125,0.9000930078496998,-0.00010789114374154529,6.227378908213043,34.01441568862469,0.3119249449582054,0.2396240234375,0.3365912208504801,0.8787987911539666,0.8914605918126538,0.5911557361913965,0.0010304931904925106,94.72807693481445,
