tag,stage,P,h,pad_frac,realized_pad_nm,seed,n_iter,order,warm_start,Fz_soft,Fz_hard,Fx_hard,Fy_hard,Ftot_hard,A_hard,R_hard,T_hard,eta_z_hard,identity_resid_hard,mean_Ez2_hard,max_Ez2_hard,Fz_best_history,fill,fill_active,s_flip_lr,s_flip_ud,s_inv,binarization_final,wall_s,warm_from
F2_P850_h600_pad0.12_s333_P825,stage2,825.0,600.0,0.12,96.6796875,333,100,5,True,0.9519449484810276,0.9520591378905996,0.02620941417776124,0.01412632595441284,0.9923948780227737,0.9926068924220971,0.00541108793967354,0.0019820196382294075,0.9593551508321585,-0.00021201439932339028,19.862062633933732,114.01355812983306,0.9549051579276141,0.2708740234375,0.4620991253644315,0.905145274280848,0.6799782622509664,0.9517423125367157,0.001302784702615037,112.64170169830322,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P850_h600_pad0.12_s333/rho_raw_final.npy
F0_P825_h600_pad0.12_s1001_h575,stage2,825.0,575.0,0.12,96.6796875,1001,100,5,True,0.9512934442243394,0.9512561894726005,0.027130735159190577,0.011725844265411907,0.9901127688972029,0.990322506663189,0.007467635109536184,0.002209858227274764,0.9607554001471154,-0.0002097377659860955,19.84531135122933,110.20504604126641,0.9545493550233108,0.2835693359375,0.4837567680133278,0.8986525523331553,0.24724047386224277,0.9000884827600255,0.0011596388243973643,115.42840194702148,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h600_pad0.12_s1001/rho_raw_final.npy
F0_P825_h600_pad0.12_s1001_pad0.08,stage2,825.0,600.0,0.07999999999999999,64.453125,1001,100,5,True,0.9509662581076437,0.9509493820584549,0.027046672032625837,0.013525630316506722,0.9915216844075875,0.9917348267515662,0.005311512837566305,0.00295366041086749,0.959080771517999,-0.00021314234397873388,19.83891066892527,108.80911104622474,0.9544818688080092,0.27899169921875,0.3918895747599451,0.8940846954135504,0.3233764117146882,0.8984782584588297,0.0012458177482232323,107.5550639629364,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h600_pad0.12_s1001/rho_raw_final.npy
F0_P825_h600_pad0.12_s1001_centre,stage2,825.0,600.0,0.12,96.6796875,1001,100,5,True,0.9510328690880101,0.9509202780923915,0.027059550383481935,0.013463277079972406,0.9914431055558459,0.991656172857055,0.00536114489665115,0.0029826822462938416,0.9591274302717194,-0.00021306730120906892,19.83830349572159,108.92559958248732,0.9545481551134132,0.27880859375,0.4756351520199917,0.8941334385618658,0.32550647589470016,0.8985296414907401,0.001245895707854712,118.08046960830688,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h600_pad0.12_s1001/rho_raw_final.npy
F1_P825_h500_pad0.12_s333_h525,stage2,825.0,525.0,0.12,96.6796875,333,100,5,True,0.9504213197971538,0.9505471745715756,0.02606653792708253,0.008600017868738187,0.9852137303673962,0.9854123033662502,0.011782094443960795,0.0028056021897889688,0.9648131621319436,-0.00019857299885395197,19.830519729772124,107.14671963308919,0.9543953204628993,0.3165283203125,0.5399833402748855,0.7721532191907716,0.4983582765915312,0.7904169573384224,0.001448541888202572,113.38265895843506,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h500_pad0.12_s333/rho_raw_final.npy
F0_P825_h600_pad0.12_s1001_pad0.16,stage2,825.0,600.0,0.16,128.90625,1001,100,5,True,0.9501557434784601,0.9501097794460662,0.027068270714620483,0.012882544229536457,0.9900605943902232,0.9902743507953706,0.006083942446699638,0.003641706757929723,0.9596481112666012,-0.000213756405147425,19.821394698528906,112.23162991444029,0.9543301101297194,0.2767333984375,0.5854855371900827,0.8725586649227685,0.33604251206683483,0.8745784793497294,0.0006709972712947861,111.45659112930298,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h600_pad0.12_s1001/rho_raw_final.npy
F1_P825_h500_pad0.12_s333_P850,stage2,850.0,500.0,0.12,99.609375,333,100,5,True,0.9466321056881779,0.9466344495715757,0.024232754706095455,0.005781250389559666,0.9766484546672308,0.976827628791878,0.01738077057636431,0.005791600631757611,0.969268363706282,-0.00017917412464718563,19.748891618737403,97.19188599064175,0.9483339104271394,0.31134033203125,0.5311328613077885,0.365649114113557,0.39353728388189124,0.40337723472138615,0.00073826766222052,110.5995864868164,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h500_pad0.12_s333/rho_raw_final.npy
F1_P825_h500_pad0.12_s333_centre,stage2,825.0,500.0,0.12,96.6796875,333,100,5,True,0.9453076832552642,0.9452543004449514,0.02562052517888027,0.010164063689245967,0.9810388893130776,0.9812329348348385,0.015905756409551917,0.0028613087556094716,0.9635237815157537,-0.0001940455217609438,19.720098650626287,109.75674652114498,0.9485847132488282,0.33544921875,0.5722615576842982,0.5690974493365255,0.39832253796435363,0.5798659685519717,0.0006172474543653528,114.30965757369995,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h500_pad0.12_s333/rho_raw_final.npy
F1_P825_h500_pad0.12_s333_pad0.08,stage2,825.0,500.0,0.07999999999999999,64.453125,333,100,5,True,0.9453032701728779,0.9452543004449514,0.02562052517888027,0.010164063689245967,0.9810388893130776,0.9812329348348385,0.015905756409551917,0.0028613087556094716,0.9635237815157537,-0.0001940455217609438,19.720098650626287,109.75674652114498,0.9485859492307819,0.33544921875,0.4711934156378601,0.5690974493365255,0.39832253796435363,0.5798659685519717,0.000521710444108486,113.97725510597229,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h500_pad0.12_s333/rho_raw_final.npy
F0_P825_h600_pad0.12_s1001_P800,stage2,800.0,600.0,0.12,93.75,1001,100,5,True,0.9449818214427141,0.9450793028288071,0.026864082931110554,0.017391663661938655,0.9893350494218562,0.9895629808350338,0.005027670919626788,0.005409348245339451,0.9552671800934263,-0.00022793141317756227,19.716447812695833,101.64556687209324,0.9527637509912011,0.30755615234375,0.5246772178259058,0.839820617972139,0.3041030522735079,0.8417089185414945,0.0011244689575002282,120.79129481315613,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h600_pad0.12_s1001/rho_raw_final.npy
F1_P825_h500_pad0.12_s333_pad0.16,stage2,825.0,500.0,0.16,128.90625,333,100,5,True,0.9450340026195414,0.9450357427951722,0.0258439096797008,0.010499083291856878,0.9813787357667298,0.9815733338633604,0.015577625804858474,0.0028490403317811496,0.9629674134490354,-0.0001945980966305827,19.715539053899285,107.40063588345522,0.948056003005481,0.3353271484375,0.7094524793388429,0.5456916672484607,0.3579661839623614,0.5556081356827312,0.0003988091709172448,112.81222248077393,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h500_pad0.12_s333/rho_raw_final.npy
F2_P850_h600_pad0.12_s333_pad0.08,stage2,850.0,600.0,0.07999999999999999,66.40625,333,100,5,True,0.9444883643957486,0.9444880192825293,0.02674081671008688,0.013787567521464128,0.9850164035140803,0.9852188224266966,0.012970006722233708,0.0018111708510697953,0.9588551174508724,-0.00020241891261629785,19.704112328099146,122.90433237805983,0.9464712332501307,0.24853515625,0.34910836762688613,1.0155954827960958,0.7645125056637769,1.0309550763014215,0.0012951795870059044,110.1088936328888,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P850_h600_pad0.12_s333/rho_raw_final.npy
F2_P850_h600_pad0.12_s333_centre,stage2,850.0,600.0,0.12,99.609375,333,100,5,True,0.9443204424522744,0.9442872880721346,0.026728764682318534,0.013596593818572252,0.9846126465730254,0.9848148818926249,0.01329022472239124,0.0018948933849838039,0.9590444438823282,-0.00020223531959950858,19.699924630387134,123.32190201555726,0.9464149818346242,0.24810791015625,0.42326114119117036,1.0133184436013594,0.7603326778837081,1.0287383452685286,0.0011793675660231595,111.79097747802734,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P850_h600_pad0.12_s333/rho_raw_final.npy
F0_P825_h600_pad0.12_s1001_P850,stage2,850.0,600.0,0.12,99.609375,1001,100,5,True,0.9437934922175455,0.9437480780303402,0.02863958702552631,0.011696834226329911,0.9840844992821964,0.9842853675834974,0.013280001764135404,0.002434630652367288,0.9590112218195916,-0.00020086830130094935,19.688675514448082,116.09610021846045,0.9463600317009838,0.24761962890625,0.42242815493544356,0.9588527365410165,0.3489482065794734,0.9639803278425034,0.0013205848308832785,119.1722457408905,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h600_pad0.12_s1001/rho_raw_final.npy
F2_P850_h600_pad0.12_s333_pad0.16,stage2,850.0,600.0,0.16,132.8125,333,100,5,True,0.943594939106148,0.943597969668277,0.02584991234359995,0.01572071711933205,0.985168599131209,0.9853697655487663,0.012767801788483087,0.0018624326627505812,0.957803537892304,-0.00020116641755729692,19.685543921492854,131.9319223769487,0.944532229984189,0.2218017578125,0.4692665289256198,1.097352595462005,0.48985300997482695,1.1142742232408396,0.00048469413132018593,114.6849856376648,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P850_h600_pad0.12_s333/rho_raw_final.npy
F1_P825_h500_pad0.12_s333_P800,stage2,800.0,500.0,0.12,93.75,333,100,5,True,0.943425118092739,0.9433171722634729,0.02623453070005336,0.01121730288805334,0.9807690058515796,0.9809694464639678,0.01458284485130608,0.004447708684726145,0.9618138079765397,-0.00020044061238821964,19.67968586560147,101.68891355937447,0.9479725333445208,0.36431884765625,0.6215118700541441,0.6001619259916039,0.3782493112541408,0.6046117509680168,0.0008264701459653027,116.46397233009338,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h500_pad0.12_s333/rho_raw_final.npy
F2_P850_h600_pad0.12_s333_h575,stage2,850.0,575.0,0.12,99.609375,333,100,5,True,0.9422745981862913,0.9423493305778587,0.026606885690571694,0.012791487623031214,0.9817477038914617,0.9819483881032348,0.01607694119065316,0.001974670706112009,0.9598691464645802,-0.00020068421177310558,19.65949454406026,123.0015898461496,0.9446308517320711,0.255615234375,0.4360683048729696,0.963022145300937,0.718163847823682,1.0061890617022264,0.0010082823890582198,114.36342453956604,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P850_h600_pad0.12_s333/rho_raw_final.npy
F1_P825_h500_pad0.12_s333_h475,stage2,825.0,475.0,0.12,96.6796875,333,100,5,True,0.9422028243618924,0.9422168710352214,0.026143955907151316,0.010044906916967812,0.9784057338593405,0.9785969162451201,0.018998371668166692,0.0024047120867132523,0.9630124174749352,-0.00019118238577964242,19.65673114457422,104.43584055949313,0.9453087084986526,0.3436279296875,0.5862140774677218,0.5161684222636018,0.41976056780102566,0.5436538445226874,0.0008228704236143209,112.95856785774231,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P825_h500_pad0.12_s333/rho_raw_final.npy
F2_P850_h600_pad0.12_s333_P875,stage2,853.7255727670643,600.0,0.12,100.04596555864035,333,100,5,True,0.9417810428277618,0.9418960419252334,0.02720082628521466,0.013520488043816257,0.9826173562542643,0.982815662426745,0.01471497943526724,0.002469358137987711,0.9585583197061972,-0.00019830617248073334,19.650037938633787,119.97710302504939,0.9438629104022809,0.2489013671875,0.4246147438567264,1.017743515655421,0.8238714098990471,1.0263808149238502,0.0011682992753195695,109.48341059684753,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P850_h600_pad0.12_s333/rho_raw_final.npy
SCRATCH_s2024_P825_h600_pad0.12,stage2,825.0,600.0,0.12,96.6796875,2024,150,5,False,0.9400755479310511,0.9394935528006652,0.025552703185680443,0.013413849189181783,0.9784601051755273,0.9786663616042102,0.011647681441064083,0.009685956954725784,0.9601756349914012,-0.00020625642868288274,19.599916693460674,112.81728856980577,0.9546036722913855,0.2791748046875,0.47625989171178673,1.0037097781521302,0.414009161110193,0.9980304171710404,0.0018172657314615547,158.6471209526062,
F3_P750_h500_pad0.08_s1001_P775,stage2,775.0,500.0,0.08,60.546875,1001,100,5,True,0.9387792104771208,0.9389568488702108,0.02722442179950852,0.010943158546513192,0.9771244292162324,0.9773294806782924,0.014095165288889785,0.008575354032817839,0.9609388741036425,-0.0002050514620599575,19.588719860555752,90.53730473925128,0.9466325307026706,0.39630126953125,0.5566700960219478,0.641738359920585,0.36010847656360667,0.6488981764266123,0.0007113375494514361,111.77454400062561,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P750_h500_pad0.08_s1001/rho_raw_final.npy
