tag,kind,certified,P,h,Q_target,fill,rho_sha256,Q_r,lambda_r,fwhm_r,Q_source,eta_Dz_lamE,eta_Dz_P_lamE,eta_source,eta_regression_rel,T_parent_lamE,R_parent_lamE,T_bg,T_bg_min,T_bg_n,T_bg_defined,R_bg,T_at_lambda_r,C_res,C_res_ext,res_depth,lam_op_pos,dT_max_pos,S_T_pos,T0_pos,T1_pos,contrast_pos,dR_pos,dA_pos,channel_pos,A0_pos,Ftot0_pos,Fz0_pos,eta_z_pos,mean_Ez2_pos,rayleigh_margin_nm_pos,at_window_edge_pos,loaded_Q_pos,loaded_pole_shift_nm,unresolved_pos,dT_order_change,dT_at_highest_order,highest_order,linear_response,S_T_spread_rel,frac_dT_from_Re,lam_op_neg,dT_max_neg,T0_neg,channel_neg,dT_lamE,T0_lamE,A0_lamE,Fz0_lamE,eta_z_lamE,A_to_R_dominant,Ftot0_max,T0_max,gamma_nr_over_gamma_r_est,Q_loaded_est,Q_loaded_exact,eta_Dz_P_critical,multipole_dominant,abs_delta_eps_pos,Te,order_B,order_A,identity_resid_max,wall_s
bare_ito_film_P825,reference,False,825.0,100.0,,,,,,,none,,,computed here,,0.9578705346037613,0.04212946539623884,0.9578725070883263,0.957859412986721,46,True,0.04212749291167388,,,,,1399.7277971023454,0.0006858548999107983,0.016259802249182657,0.9083860379188929,0.9090718928188037,1.0007550258054188,-0.0003487110109292313,-0.00033714388898153924,"R,A->T (useful)",0.035335127786385256,0.03533327781986478,0.0,0.0,0.0,148.5,True,,,False,,,,True,0.01165409067366165,0.39027068527698716,1261.2277971023454,0.0005320453478785403,0.9223418242468314,"R,A->T (useful)",0.0005780979028949806,0.9181342805467261,0.02936047153625676,0.0,0.0,False,0.03533327781986478,0.9223418242468314,,,,,,0.04218101114638553,1000.0,9,9,1.8499665204729787e-06,2416.309638738632
deck_cylinder_P588_h970,reference,False,588.0,970.5,,0.374755859375,646438ddd7e5100b,172.20357580508355,1301.8947443253126,7.5602073780333185,exact pole computed here (not certified),0.014411242388361075,0.013114826686052591,computed here,,0.010284139954365163,0.989715860047868,0.9651611367036587,0.9259470136568839,18,True,0.034838863296243514,0.01664936127771776,0.9485117754259409,0.9485117754259409,0.9628047353839236,1279.2141221912127,0.0189172830506803,0.5361422262372952,0.5480630860688492,0.5669803691195295,1.0345166159362609,-0.004694196669810774,-0.014223086380869554,"R,A->T (useful)",0.3148108477915089,0.3147016253484799,0.2823557633860266,0.8972173660474883,6.212006789905828,386.5632935283611,False,4.825022702822239,12.867864756210793,False,,,,True,0.009297272092734761,1.0080315431435116,1295.846578422885,-0.017165659094258878,0.27184041613583376,T->R,-0.006711425417969541,0.540131835724881,0.2441618621480559,0.21530586514412248,0.8820724844166662,False,0.46522325436021655,0.9060785949936933,5.228388053068655,27.648177078536527,52.37291958248241,0.002508388159588731,,0.03528407598753014,1000.0,9,9,0.0001514857838312289,4448.027912378311
fr_Q100_final0_h700,qdz_certified,True,825.0,700.0,100.0,0.28240966796875,f6291c18101bbc87,80.92604233713739,1293.951094042339,15.989304019733806,certified exact pole,0.04723631330565328,0.031712304310924505,certification,3.2828641803838613e-12,0.1726424203631245,0.8273575796284287,0.14747961872068555,0.14439251249876897,18,True,0.852520381278965,0.10416382935942714,0.043315789361258406,0.58988586198559,0.6602759608774185,1265.2277971023454,0.00013204176404513907,0.0038247976620024208,0.04773744995250299,0.047869491716548127,1.00276599952818,0.012930671908288172,-0.013062713672333248,A->R (absorption to reflection; NO transmission opening),0.4781605663963087,0.47804286014559394,0.3495401581900506,0.7311899984942641,7.953954253527762,14.0,False,63.982613405925854,0.5095686948920957,False,,,,False,9.013028369189964,3.8508891216405323,1297.1489548462848,-0.007677841141610256,0.0984843875847194,"T,A->R",-0.007599136599430442,0.10001163018642924,0.778564081428571,0.7404319906195964,0.9512349576561998,True,0.9060139656453703,0.10028266465295697,5.941268707147701,11.658681683624295,63.982613405925854,0.005337631720439223,frac_EQ,0.034522548828376555,1000.0,9,9,0.0004468751193416054,1943.1620478630066
fr_Q100_final1_h680,qdz_certified,True,825.0,680.0,100.0,0.2803955078125,b2c058cc7170d223,77.3691684464463,1293.9033384955924,16.723759146916663,certified exact pole,0.044464910656825014,0.029579320195188562,certification,1.5669931237340582e-11,0.2008480757770225,0.7991519242365486,0.10335739236265082,0.10097321357439967,17,True,0.8966426076375495,0.11385352817445114,0.010496135811800325,0.5539724701765115,0.6533484385347634,1265.6477458495076,-0.003246052621465441,-0.0939651124550873,0.03546159869303102,0.03221554607156558,0.9084628798164319,0.015515561882584294,-0.01226950926111886,"T,A->R",0.42391360292500213,0.4238065403717855,0.29479830271418916,0.6955963974873454,6.701365728630768,14.419948747162152,False,68.38958309917132,0.5272018033597305,False,,,,False,0.3193517497263011,0.8538574202088954,1295.2277971023454,-0.008594875447341888,0.1283828043526992,"T,A->R",-0.008406164659726989,0.12912454803178786,0.7539988041388613,0.71306610357572,0.9459249856028166,False,0.9238105768212286,0.12935129999392098,5.298088522083864,12.28454763300897,68.38958309917132,0.00558301736029777,frac_EQ,0.03454529597904715,1000.0,9,9,0.00040114587311579353,1936.9813106060028
fr_Q100_final3_h640,qdz_certified,True,825.0,640.0,100.0,0.33251953125,a4b9e9953b132cda,499.19564118349035,1287.5932211888228,2.5793358654658998,certified exact pole,0.05979108576061663,0.042161522032253165,certification,6.949212607201862e-13,0.46907146309246944,0.5309285369078512,0.24839949345938747,0.1448442136315405,17,True,0.7516005065410959,0.03763290722652151,0.21076658623286595,0.3774711809734177,0.590532017468832,1341.2277971023454,0.0051580176965249636,0.1330819535835504,0.2623346232758635,0.26749264097238845,1.019661978400392,0.007182901573188856,-0.012340919269713813,"A->T,R",0.6894346650979426,0.6892300198845039,0.5944157609208044,0.862434519350176,11.406679086948293,90.0,False,169.97456903341163,0.07086904192738075,False,,,,True,0.012763040784782975,0.8375394889080011,1303.2277971023454,-0.013448396122934608,0.18306336307390977,T->R,-0.013448396122934608,0.18306336307390977,0.700846369843764,0.6648018037052287,0.948768801704296,False,0.8586746602609382,0.3000009549733024,48.724810380584984,10.039166310796046,180.78355231168976,0.0008652988426826789,frac_EQ,0.03875820543381714,1000.0,9,9,0.0003508956407231034,2492.9965500831604
fr_Q200_final1_h700,qdz_certified,True,825.0,700.0,200.0,0.2823486328125,25e141e328a63cbd,107.1200247916298,1294.869601698932,12.088025597620204,certified exact pole,0.04300574468706996,0.029761784425464576,certification,5.825794763268128e-12,0.4783476175797108,0.521652382424224,0.20452000200500664,0.1832316221444618,15,True,0.7954799979949152,0.3739655008755724,0.16944549887056576,0.3097756316018768,0.43971346965127256,1273.6211344911057,-0.00025455064322130183,-0.007277330233790958,0.1546160738335203,0.154361523190299,0.9983536598950548,0.0002759074546087037,-2.135681138737411e-05,T->R,0.5539831763873742,0.5538479987653173,0.4482731198432182,0.8093793258123977,9.994767185844566,22.3933373887603,False,90.36622864855444,0.3951254331796008,False,,,,False,3.1423827948392673,0.8143625458043129,1304.5400221770287,-0.010755979753277578,0.1526278493875342,"T,A->R",-0.010733465721222468,0.15170485992968297,0.6793820105463887,0.6436628477806061,0.9476278438630605,False,0.9138128174999154,0.15615329751759938,7.380617926263855,12.781876674741186,90.36622864855444,0.00403242448299045,frac_EQ,0.0349785752526857,1000.0,9,9,0.0004567606022607418,1894.441150188446
fr_Q200_final3_h600,qdz_uncertified,False,825.0,600.0,200.0,0.2861328125,24c4bcbce6f843f3,11.03663938063108,1273.7423253562672,115.41034199157045,exact pole computed here (not certified),0.16079512203132354,0.11283173531272611,computed here,,0.1690017518429827,0.8309982481558228,0.1690017518429827,0.16181941609038097,27,True,0.8309982481558228,0.2442263555210818,0.0752246036780991,0.8244691809074585,0.8308164643052748,1262.2277971023454,0.002834114809211641,0.08248233913021982,0.11737827624587355,0.12021239105508519,1.0241451391165004,0.011851443718070731,-0.01468555852728226,A->R (absorption to reflection; NO transmission opening),0.6624187674043358,0.6622681318172468,0.5185440310596119,0.7829820070561758,11.887308472760461,11.0,True,264.9285775586828,0.12107249921564289,False,,,,True,0.15243195226897938,1.0722061160063894,1279.2277971023454,-0.005892480131330216,0.06824763162843003,"T,A->R",-0.00448359677045998,0.05815798657184856,0.8935833852512316,0.865342262283297,0.9685958356958332,True,0.929100039176047,0.15818420084163357,2.882910848281819,2.8423622925864427,264.9285775586828,0.03913812852727392,,0.03436026231915239,1000.0,9,9,0.00041460770448509265,2655.2596094608307
fr_Q200_fresh4242_h700,qdz_certified,True,825.0,700.0,200.0,0.09490966796875,d0d93a75ae28f2fa,228.39455953946705,1298.0380271998624,5.68331412892328,certified exact pole,0.0758209982320642,0.05247723057820373,certification,6.047429074552644e-13,0.8607018990705735,0.13929810092836037,0.9716817992215675,0.966101938991154,29,True,0.028318200778305026,0.6689582428218283,0.30272355639973925,0.30272355639973925,0.31033776187721285,1333.2277971023454,0.0025790097783353616,0.06733514424292912,0.9038636737634089,0.9064426835417443,1.0028533172127574,-7.059156948204665e-05,-0.0025084182088533913,"A->T (absorption to transmission, useful)",0.07249678640231039,0.07245940491660989,0.03845349458539146,0.530690179275496,0.7502606154952289,82.0,False,,,False,,,,True,0.030533594504893537,0.8376907786195745,1261.2277971023454,-0.003715627004701738,0.8674768556882153,T->A,0.0020771253144434842,0.9091382686995161,0.07209649863955248,0.039869763665760956,0.5532358527016773,False,0.11657764680433354,0.9092003852780414,27.747237711205614,7.944921937680271,,0.0018912596318375508,frac_MD,0.03830109532446994,1000.0,9,9,6.754962109031815e-05,2652.021244764328
fr_Q20_final1_h420,qdz_certified,True,825.0,420.0,20.0,0.2603759765625,355fc1a0b53af2a9,545.6789839957036,1303.1033987331537,2.3880402891664483,certified exact pole,0.13801889977815002,0.09819167199445712,certification,2.3303446901177647e-12,0.17672056529347055,0.8232794347076151,0.2998177091255852,0.21801176910716147,21,True,0.7001822908746861,0.19752461451637823,0.10229309460920696,0.17786998959248387,0.11330776394254533,1297.3721020391542,0.003641800304495374,0.10036698622477541,0.05674448171319394,0.060386282017689315,1.064178933255612,0.003520562326130683,-0.007162362630626196,"A->T,R",0.8367221221388194,0.8365425102429305,0.8080128285087886,0.9658957179284806,17.044476876031787,46.144304936808794,False,,,False,,,,True,0.13785457570553108,1.0274991183648985,1379.2277971023454,-0.0075194983718186725,0.14631988550973385,T->R,0.0032717375230701534,0.054146784530200665,0.8396671163205949,0.8103507377567556,0.9652987771361011,False,0.9212258493119015,0.20428073982024422,124.04377531780175,4.363903621822417,,0.0007915888704845431,frac_ED_eff,0.03628484267067095,1000.0,9,9,0.00036816454783294983,2307.9717552661896
fr_Q20_final2_h440,qdz_uncertified,False,825.0,440.0,20.0,0.266357421875,07185bc5d9ef6e07,17.28729491148738,1287.862429791348,74.49762593773798,exact pole computed here (not certified),0.1582300322937424,0.10464372507300758,computed here,,0.053971201242585816,0.946028798759218,0.3097476049446516,0.14039660201916632,21,True,0.6902523950547848,0.007452183019219406,0.3022954219254322,0.5966782184946756,0.9052073232694798,1300.7277971023454,0.004179849553152239,0.11460658735701039,0.0589489684151689,0.06312881796832114,1.0709062374716072,-0.0004053831740205155,-0.0037744663791317024,"A->T (absorption to transmission, useful)",0.8440991835714021,0.8439035011363513,0.8055403486551246,0.9545408302850159,16.864064451342426,49.5,False,97.99679449665847,0.33578084319356094,False,,,,True,0.1094267302993257,0.9859219051835609,1393.2277971023454,-0.007149789597138717,0.1405291773959926,T->R,0.003816168779992468,0.054302636449915405,0.8511106761673382,0.8103678374925587,0.952356018236922,False,0.9537958645456796,0.15456270319786905,4.187967710475665,3.3321901515656065,97.99679449665847,0.024986755464053528,,0.03647128537325355,1000.0,9,9,0.0003875587759712973,2756.0895023345947
