,unpadded,padded85
F_QNM,97.33826090440604,85.94211513591132
a_plus2,17581723.372278363,15523294.546573222
a_minus2,17581723.379438315,15523294.546274744
eta_pm,0.9117389266991346,0.8439315572762301
F_Ez,106.76111116239171,101.83540880173688
F_Et,26.567865915436727,28.856681440935816
eta_z,0.8007344952483345,0.7792010106552436
asi_over_ito_intensity,0.21530783396310674,0.24939554761681054
T,0.6715898672809296,0.6600121526266767
R,0.12340730200376356,0.13903902933069467
A,0.20500283071530678,0.20094881804262865
fill_fraction,0.59375,0.49468994140625
boundary_contact_fraction,0.296875,0.0
connected_components,1.0,1.0
min_feature_nm,132.8125,132.8125
min_gap_nm,132.8125,132.8125
Ez2_participation_ratio,0.47921611130519387,0.4126724136184845
Ez2_fraction_central_680,0.582628105806201,0.9373119770956886
