P,h,pad,seed,J_hard,J_soft,A_hard_min,A_hard,fill,s_flip,wall_s,tag
925.0,200.0,0.04,7777,0.467815723076336,0.467804007466698,0.42455094056157583,"[0.5065752073053285, 0.5145861474125514, 0.42455094056157583]",0.5425883366848606,0.9499730045974629,150.51398825645447,P925_h200_pad0.040_s7777
850.0,200.0,0.04,1001,0.4154288926867705,0.415428525303414,0.3545888127820047,"[0.5277739230637744, 0.5120602475438225, 0.3545888127820047]",0.6641769606434933,0.28967228828812075,142.3267891407013,P850_h200_pad0.040_s1001
925.0,200.0,0.08,1001,0.38238615062688946,0.38238526024481556,0.32244060636713257,"[0.4935733369617179, 0.46994334038322666, 0.32244060636713257]",0.6878429355281207,0.4485216065690338,140.62215399742126,P925_h200_pad0.080_s1001
925.0,160.0,0.04,1001,0.37869848102990306,0.3787158659887964,0.3219786777942476,"[0.4918759384132227, 0.43928496440826315, 0.3219786777942476]",0.6233840850330364,0.5569005735747865,147.15499758720398,P925_h160_pad0.040_s1001
925.0,200.0,0.12,1001,0.36991323142014276,0.36991572878921447,0.3151457908717137,"[0.4322684013760932, 0.4571250089000184, 0.3151457908717137]",0.8192419825072886,0.18178351566734052,142.7273313999176,P925_h200_pad0.120_s1001
925.0,160.0,0.08,1001,0.35250634549417653,0.35250214568705673,0.29249660086335183,"[0.4608511279309429, 0.4427821919817154, 0.29249660086335183]",0.7722050754458162,0.23228868384249587,143.9300994873047,P925_h160_pad0.080_s1001
1000.0,200.0,0.08,7777,0.3524053886678727,0.3524000574699509,0.29306595693182047,"[0.29306595693182047, 0.4807779860281673, 0.425254744252172]",0.4999142661179698,1.0276573235699815,147.49052453041077,P1000_h200_pad0.080_s7777
925.0,140.0,0.04,1001,0.3505873026604304,0.35058751528717846,0.2900660843699232,"[0.4605669257626897, 0.4453084628687978, 0.2900660843699232]",0.6944843435794312,0.30507598185578955,139.7202091217041,P925_h140_pad0.040_s1001
1000.0,160.0,0.04,7777,0.3426399555447166,0.3426442703398687,0.2860352480242302,"[0.2860352480242302, 0.4431081626037827, 0.4088741142229452]",0.4559752944556162,0.9994485800518131,141.19404649734497,P1000_h160_pad0.040_s7777
1000.0,200.0,0.04,1001,0.34131547229547105,0.3413154078084278,0.2910075124450221,"[0.2910075124450221, 0.4595859086232287, 0.370295843363615]",0.4132433208848032,0.7659779893397309,141.28213834762573,P1000_h200_pad0.040_s1001
1000.0,200.0,0.12,7777,0.33958879899932304,0.33959693378182243,0.2992639140988539,"[0.2992639140988539, 0.3798477734087599, 0.37405430778789267]",0.513640149937526,0.911444900256248,139.0178325176239,P1000_h200_pad0.120_s7777
925.0,140.0,0.08,7777,0.32321225872918175,0.3232092575072107,0.2745665306873919,"[0.4709194921821216, 0.3416364271819814, 0.2745665306873919]",0.8512517146776406,0.17783288276572656,140.39166641235352,P925_h140_pad0.080_s7777
1000.0,140.0,0.04,7777,0.31806487467053135,0.31806128553858515,0.27618519363899463,"[0.27618519363899463, 0.3614354974765309, 0.35492971789271127]",0.473355357655846,0.9039772870587683,139.11206793785095,P1000_h140_pad0.040_s7777
925.0,120.0,0.04,333,0.3116304357656429,0.3116202314111141,0.2570316089531438,"[0.43527963850059814, 0.3567671216077216, 0.2570316089531438]",0.7919419706980753,0.18612426432413487,142.2747824192047,P925_h120_pad0.040_s333
