P,h,pad,origin,J_hard,A_hard_min,A_hard,fill,s_flip,tag
925.0,200.0,0.04,centre<-P925_h200_pad0.040_s7777,0.5021705531584908,0.48249015539292134,"[0.5126302678521111, 0.5172744600731579, 0.48249015539292134]",0.5097673082447572,1.0224308737116352,P925_h200_pad0.040
975.0,200.0,0.04,nb(P+1)<-P925_h200_pad0.040_s7777,0.47523972467259507,0.4599836139408142,"[0.476318100223373, 0.49392362811152796, 0.4599836139408142]",0.45159436943407066,1.0718465197182203,P975_h200_pad0.040
875.0,200.0,0.04,nb(P-1)<-P925_h200_pad0.040_s7777,0.4841149658801869,0.4458742484621279,"[0.5272382879765236, 0.5099621304032653, 0.4458742484621279]",0.5953748922723355,0.9272707920739952,P875_h200_pad0.040
925.0,220.0,0.04,nb(h+1)<-P925_h200_pad0.040_s7777,0.5142674632353322,0.49446910768967367,"[0.5226546566197257, 0.5318923759323791, 0.49446910768967367]",0.4942545245619075,1.02397871236228,P925_h220_pad0.040
925.0,180.0,0.04,nb(h-1)<-P925_h200_pad0.040_s7777,0.47998780689433207,0.4521876497950272,"[0.5028448788401041, 0.4980449317446564, 0.4521876497950272]",0.5400028727377191,1.0062975001778602,P925_h180_pad0.040
925.0,200.0,0.07,nb(pad+1)<-P925_h200_pad0.040_s7777,0.49756950033621267,0.4722742717002451,"[0.5157088520603241, 0.5151038334211835, 0.4722742717002451]",0.5879338842975207,0.955872017010715,P925_h200_pad0.070
925.0,200.0,0.03,nb(pad-1)<-P925_h200_pad0.040_s7777,0.5023916931580826,0.48282070228892326,"[0.5127829101906789, 0.5173801601794592, 0.48282070228892326]",0.4932638888888889,1.023034715030295,P925_h200_pad0.030
925.0,240.0,0.04,step2<-P925_h200_pad0.040_s7777,0.5338497780830828,0.5114324481338292,"[0.5471300367528111, 0.550856803329705, 0.5114324481338292]",0.4867854064923872,1.024054162775306,P925_h240_pad0.040
850.0,200.0,0.04,centre<-P850_h200_pad0.040_s1001,0.4517298735665874,0.40690537906129454,"[0.5146547631144605, 0.4840288503528165, 0.40690537906129454]",0.6546969261706406,0.5075126690620114,P850_h200_pad0.040
900.0,200.0,0.04,nb(P+1)<-P850_h200_pad0.040_s1001,0.39345163170320574,0.33220296778889336,"[0.5015949192404843, 0.4989942902627904, 0.33220296778889336]",0.5885521401896007,0.45679735047619796,P900_h200_pad0.040
800.0,200.0,0.04,nb(P-1)<-P850_h200_pad0.040_s1001,0.5479234284128942,0.5392859959262408,"[0.5522051855130139, 0.5392859959262408, 0.5532553564877701]",0.7790146509623671,0.17756535458497835,P800_h200_pad0.040
850.0,220.0,0.04,nb(h+1)<-P850_h200_pad0.040_s1001,0.44260542284527393,0.38196863672544323,"[0.553237982664456, 0.5381627598435728, 0.38196863672544323]",0.6258259120942258,0.3585091410593171,P850_h220_pad0.040
850.0,180.0,0.04,nb(h-1)<-P850_h200_pad0.040_s1001,0.40592312613647313,0.3455457478103965,"[0.5130235120191715, 0.5012968664492496, 0.3455457478103965]",0.7055443837977593,0.30200200616284717,P850_h180_pad0.040
850.0,200.0,0.07,nb(pad+1)<-P850_h200_pad0.040_s1001,0.41500947518998454,0.3539016793575064,"[0.5230806795516207, 0.5186911461371218, 0.3539016793575064]",0.7738842975206611,0.3051599534353943,P850_h200_pad0.070
850.0,200.0,0.03,nb(pad-1)<-P850_h200_pad0.040_s1001,0.4530049528647594,0.40839493297436347,"[0.5144761696804614, 0.48548760280841474, 0.40839493297436347]",0.6327083333333333,0.5083001126303779,P850_h200_pad0.030
750.0,200.0,0.04,step2<-P850_h200_pad0.040_s1001,0.2128224947874968,0.19966065505234643,"[0.19982140359971057, 0.25170867667565155, 0.19966065505234643]",0.5838839413961505,0.17465481683323375,P750_h200_pad0.040
925.0,200.0,0.08,centre<-P925_h200_pad0.080_s1001,0.44507418245362296,0.3992597605657754,"[0.5038332530536228, 0.4837052843937765, 0.3992597605657754]",0.6889574759945131,0.5792152395081185,P925_h200_pad0.080
975.0,200.0,0.08,nb(P+1)<-P925_h200_pad0.080_s1001,0.4463258752855451,0.4128398792427322,"[0.4784119698542776, 0.4688437635153459, 0.4128398792427322]",0.5991083676268861,0.64597738144038,P975_h200_pad0.080
875.0,200.0,0.08,nb(P-1)<-P925_h200_pad0.080_s1001,0.39556208654973035,0.3339500294772296,"[0.5067200988471909, 0.5033904516805863, 0.3339500294772296]",0.7660322359396433,0.37462908348906787,P875_h200_pad0.080
925.0,220.0,0.08,nb(h+1)<-P925_h200_pad0.080_s1001,0.46295675538307646,0.417936281212648,"[0.5252503334375679, 0.4963189932333191, 0.417936281212648]",0.6566358024691358,0.5715544598614765,P925_h220_pad0.080
925.0,180.0,0.08,nb(h-1)<-P925_h200_pad0.080_s1001,0.4055745193985337,0.35281527755166703,"[0.48469097515390575, 0.46153911678058207, 0.35281527755166703]",0.7247085048010974,0.5154653078678375,P925_h180_pad0.080
