wavelength_nm,recommended_physical_epsilon_real_if_labels_are_swapped,recommended_physical_epsilon_imag_if_labels_are_swapped
1200,1.088204068,0.41667052
1201,1.08360949,0.41766642
1202,1.079011607,0.418664246
1203,1.074410421,0.419663995
1204,1.069805931,0.420665669
1205,1.065198137,0.421669266
1206,1.060587039,0.422674789
1207,1.055972637,0.423682235
1208,1.051354931,0.424691605
1209,1.046733921,0.4257029
1210,1.042109607,0.426716119
1211,1.03748199,0.427731262
1212,1.032851068,0.42874833
1213,1.028216842,0.429767322
1214,1.023579313,0.430788238
1215,1.018938479,0.431811078
1216,1.014294342,0.432835842
1217,1.009646901,0.433862531
1218,1.004996155,0.434891144
1219,1.000342106,0.435921681
1220,0.995684753,0.436954142
1221,0.991024095,0.437988528
1222,0.986360134,0.439024838
1223,0.981692869,0.440063072
1224,0.9770223,0.44110323
1225,0.972348427,0.442145312
1226,0.96767125,0.443189319
1227,0.96299077,0.44423525
1228,0.958306985,0.445283105
1229,0.953619896,0.446332885
1230,0.948929503,0.447384589
1231,0.944235807,0.448438217
1232,0.939538806,0.449493769
1233,0.934838502,0.450551245
1234,0.930134893,0.451610646
1235,0.925427981,0.452671971
1236,0.920717764,0.45373522
1237,0.916004244,0.454800393
1238,0.91128742,0.455867491
1239,0.906567292,0.456936513
1240,0.901843859,0.458007459
1241,0.897117123,0.459080329
1242,0.892387083,0.460155123
1243,0.887653739,0.461231842
1244,0.882917091,0.462310485
1245,0.87817714,0.463391052
1246,0.873433884,0.464473544
1247,0.868687324,0.46555796
1248,0.86393746,0.4666443
1249,0.859184293,0.467732564
1250,0.854427821,0.468822752
1251,0.849668045,0.469914865
1252,0.844904966,0.471008902
1253,0.840138583,0.472104863
1254,0.835368895,0.473202748
1255,0.830595904,0.474302558
1256,0.825819609,0.475404292
1257,0.821040009,0.47650795
1258,0.816257106,0.477613532
1259,0.811470899,0.478721038
1260,0.806681388,0.479830469
1261,0.801888573,0.480941824
1262,0.797092454,0.482055103
1263,0.792293031,0.483170307
1264,0.787490304,0.484287435
1265,0.782684274,0.485406486
1266,0.777874939,0.486527463
1267,0.7730623,0.487650363
1268,0.768246358,0.488775188
1269,0.763427111,0.489901937
1270,0.758604561,0.49103061
1271,0.753778706,0.492161207
1272,0.748949548,0.493293729
1273,0.744117085,0.494428174
1274,0.739281319,0.495564544
1275,0.734442249,0.496702839
1276,0.729599875,0.497843057
1277,0.724754197,0.4989852
1278,0.719905215,0.500129267
1279,0.715052929,0.501275258
1280,0.710197339,0.502423174
1281,0.705338445,0.503573013
1282,0.700476247,0.504724777
1283,0.695610745,0.505878465
1284,0.690741939,0.507034078
1285,0.68586983,0.508191614
1286,0.680994416,0.509351075
1287,0.676115699,0.51051246
1288,0.671233677,0.51167577
1289,0.666348352,0.512841003
1290,0.661459722,0.514008161
1291,0.656567789,0.515177243
1292,0.651672552,0.516348249
1293,0.64677401,0.51752118
1294,0.641872165,0.518696035
1295,0.636967016,0.519872814
1296,0.632058563,0.521051517
1297,0.627146806,0.522232144
1298,0.622231745,0.523414696
1299,0.61731338,0.524599172
1300,0.612391711,0.525785572
1301,0.607466738,0.526973896
1302,0.602538462,0.528164145
1303,0.597606881,0.529356318
1304,0.592671996,0.530550415
1305,0.587733808,0.531746436
1306,0.582792315,0.532944382
1307,0.577847519,0.534144252
1308,0.572899418,0.535346046
1309,0.567948014,0.536549764
1310,0.562993306,0.537755406
1311,0.558035293,0.538962973
1312,0.553073977,0.540172464
1313,0.548109357,0.541383879
1314,0.543141433,0.542597219
1315,0.538170205,0.543812482
1316,0.533195673,0.54502967
1317,0.528217837,0.546248782
1318,0.523236697,0.547469819
1319,0.518252253,0.548692779
1320,0.513264506,0.549917664
1321,0.508273454,0.551144473
1322,0.503279098,0.552373207
1323,0.498281439,0.553603864
1324,0.493280475,0.554836446
1325,0.488276208,0.556070952
1326,0.483268636,0.557307382
1327,0.478257761,0.558545737
1328,0.473243582,0.559786016
1329,0.468226098,0.561028219
1330,0.463205311,0.562272346
1331,0.45818122,0.563518397
1332,0.453153825,0.564766373
1333,0.448123126,0.566016273
1334,0.443089123,0.567268097
1335,0.438051816,0.568521845
1336,0.433011205,0.569777518
1337,0.42796729,0.571035115
1338,0.422920071,0.572294636
1339,0.417869549,0.573556081
1340,0.412815722,0.574819451
1341,0.407758591,0.576084744
1342,0.402698157,0.577351962
1343,0.397634418,0.578621105
1344,0.392567376,0.579892171
1345,0.387497029,0.581165162
1346,0.382423379,0.582440077
1347,0.377346425,0.583716916
1348,0.372266167,0.584995679
1349,0.367182604,0.586276367
1350,0.362095738,0.587558979
1351,0.357005568,0.588843515
1352,0.351912094,0.590129975
1353,0.346815316,0.59141836
1354,0.341715234,0.592708669
1355,0.336611849,0.594000902
1356,0.331505159,0.595295059
1357,0.326395165,0.596591141
1358,0.321281867,0.597889147
1359,0.316165266,0.599189077
1360,0.31104536,0.600490931
1361,0.305922151,0.601794709
1362,0.300795637,0.603100412
1363,0.29566582,0.604408039
1364,0.290532699,0.60571759
1365,0.285396273,0.607029066
1366,0.280256544,0.608342465
1367,0.275113511,0.609657789
1368,0.269967174,0.610975037
1369,0.264817533,0.61229421
1370,0.259664588,0.613615306
1371,0.254508339,0.614938327
1372,0.249348786,0.616263272
1373,0.244185929,0.617590141
1374,0.239019768,0.618918935
1375,0.233850303,0.620249653
1376,0.228677535,0.621582295
1377,0.223501462,0.622916861
1378,0.218322085,0.624253351
1379,0.213139405,0.625591766
1380,0.20795342,0.626932105
1381,0.202764132,0.628274368
1382,0.19757154,0.629618556
1383,0.192375643,0.630964667
1384,0.187176443,0.632312703
1385,0.181973939,0.633662663
1386,0.176768131,0.635014548
1387,0.171559019,0.636368356
1388,0.166346603,0.637724089
1389,0.161130883,0.639081746
1390,0.155911859,0.640441327
1391,0.150689531,0.641802833
1392,0.145463899,0.643166263
1393,0.140234963,0.644531617
1394,0.135002724,0.645898895
1395,0.12976718,0.647268097
1396,0.124528332,0.648639224
1397,0.119286181,0.650012275
1398,0.114040725,0.65138725
1399,0.108791966,0.65276415
1400,0.103539903,0.654142973
1401,0.098284535,0.655523721
1402,0.093025864,0.656906393
1403,0.087763889,0.65829099
1404,0.08249861,0.65967751
1405,0.077230027,0.661065955
1406,0.071958139,0.662456324
1407,0.066682949,0.663848617
1408,0.061404454,0.665242835
1409,0.056122655,0.666638977
1410,0.050837552,0.668037043
1411,0.045549145,0.669437033
1412,0.040257434,0.670838947
1413,0.03496242,0.672242786
1414,0.029664101,0.673648549
1415,0.024362479,0.675056236
1416,0.019057552,0.676465847
1417,0.013749322,0.677877383
1418,0.008437787,0.679290843
1419,0.003122949,0.680706227
1420,-0.002195193,0.682123535
1421,-0.00751664,0.683542768
1422,-0.01284139,0.684963925
1423,-0.018169444,0.686387006
1424,-0.023500802,0.687812011
1425,-0.028835464,0.689238941
1426,-0.03417343,0.690667794
1427,-0.0395147,0.692098572
1428,-0.044859274,0.693531275
1429,-0.050207151,0.694965901
1430,-0.055558333,0.696402452
1431,-0.060912819,0.697840927
1432,-0.066270608,0.699281326
1433,-0.071631702,0.700723649
1434,-0.0769961,0.702167897
1435,-0.082363801,0.703614069
1436,-0.087734806,0.705062165
1437,-0.093109116,0.706512185
1438,-0.098486729,0.70796413
1439,-0.103867646,0.709417998
1440,-0.109251867,0.710873792
1441,-0.114639393,0.712331509
1442,-0.120030222,0.71379115
1443,-0.125424355,0.715252716
1444,-0.130821792,0.716716206
1445,-0.136222533,0.71818162
1446,-0.141626577,0.719648959
1447,-0.147033926,0.721118221
1448,-0.152444579,0.722589408
1449,-0.157858536,0.724062519
1450,-0.163275796,0.725537555
1451,-0.168696361,0.727014514
1452,-0.174120229,0.728493398
1453,-0.179547402,0.729974206
1454,-0.184977878,0.731456939
1455,-0.190411659,0.732941595
1456,-0.195848743,0.734428176
1457,-0.201289131,0.735916681
1458,-0.206732823,0.73740711
1459,-0.212179819,0.738899464
1460,-0.21763012,0.740393742
1461,-0.223083724,0.741889944
1462,-0.228540632,0.74338807
1463,-0.234000843,0.74488812
1464,-0.239464359,0.746390095
1465,-0.244931179,0.747893994
1466,-0.250401303,0.749399817
1467,-0.255874731,0.750907564
1468,-0.261351462,0.752417236
1469,-0.266831498,0.753928832
1470,-0.272314837,0.755442352
1471,-0.277801481,0.756957796
1472,-0.283291428,0.758475165
1473,-0.28878468,0.759994457
1474,-0.294281235,0.761515674
1475,-0.299781094,0.763038816
1476,-0.305284257,0.764563881
1477,-0.310790725,0.766090871
1478,-0.316300496,0.767619785
1479,-0.321813571,0.769150623
1480,-0.32732995,0.770683386
1481,-0.332849633,0.772218072
1482,-0.33837262,0.773754683
1483,-0.34389891,0.775293218
1484,-0.349428505,0.776833678
1485,-0.354961404,0.778376061
1486,-0.360497607,0.779920369
1487,-0.366037113,0.781466601
1488,-0.371579924,0.783014757
1489,-0.377126038,0.784564838
1490,-0.382675457,0.786116843
1491,-0.388228179,0.787670772
1492,-0.393784205,0.789226625
1493,-0.399343536,0.790784403
1494,-0.40490617,0.792344104
1495,-0.410472108,0.79390573
1496,-0.41604135,0.79546928
1497,-0.421613896,0.797034755
1498,-0.427189746,0.798602154
1499,-0.4327689,0.800171476
1500,-0.438351358,0.801742724
1501,-0.44393712,0.803315895
1502,-0.449526186,0.80489099
1503,-0.455118555,0.80646801
1504,-0.460714229,0.808046954
1505,-0.466313207,0.809627823
1506,-0.471915488,0.811210615
1507,-0.477521074,0.812795332
1508,-0.483129963,0.814381973
1509,-0.488742157,0.815970538
1510,-0.494357654,0.817561028
1511,-0.499976455,0.819153441
1512,-0.50559856,0.820747779
1513,-0.51122397,0.822344042
1514,-0.516852683,0.823942228
1515,-0.5224847,0.825542339
1516,-0.528120021,0.827144374
1517,-0.533758646,0.828748333
1518,-0.539400575,0.830354216
1519,-0.545045808,0.831962024
1520,-0.550694344,0.833571755
1521,-0.556346185,0.835183412
1522,-0.56200133,0.836796992
1523,-0.567659778,0.838412496
1524,-0.573321531,0.840029925
1525,-0.578986588,0.841649278
1526,-0.584654948,0.843270555
1527,-0.590326612,0.844893757
1528,-0.596001581,0.846518883
1529,-0.601679853,0.848145932
1530,-0.607361429,0.849774907
1531,-0.61304631,0.851405805
1532,-0.618734494,0.853038628
1533,-0.624425982,0.854673375
1534,-0.630120774,0.856310046
1535,-0.63581887,0.857948641
1536,-0.64152027,0.859589161
1537,-0.647224974,0.861231604
1538,-0.652932981,0.862875973
1539,-0.658644293,0.864522265
1540,-0.664358909,0.866170481
1541,-0.670076828,0.867820622
1542,-0.675798052,0.869472687
1543,-0.68152258,0.871126676
1544,-0.687250411,0.87278259
1545,-0.692981546,0.874440427
1546,-0.698715986,0.876100189
1547,-0.704453729,0.877761876
1548,-0.710194776,0.879425486
1549,-0.715939128,0.881091021
1550,-0.721686783,0.88275848
1551,-0.727437742,0.884427863
1552,-0.733192005,0.88609917
1553,-0.738949572,0.887772402
1554,-0.744710443,0.889447557
1555,-0.750474618,0.891124637
1556,-0.756242097,0.892803642
1557,-0.762012879,0.89448457
1558,-0.767786966,0.896167423
1559,-0.773564357,0.8978522
1560,-0.779345051,0.899538901
1561,-0.78512905,0.901227527
1562,-0.790916352,0.902918076
1563,-0.796706959,0.90461055
1564,-0.802500869,0.906304948
1565,-0.808298084,0.908001271
1566,-0.814098602,0.909699517
1567,-0.819902424,0.911399688
1568,-0.82570955,0.913101783
1569,-0.83151998,0.914805803
1570,-0.837333714,0.916511746
1571,-0.843150752,0.918219614
1572,-0.848971094,0.919929406
1573,-0.85479474,0.921641122
1574,-0.86062169,0.923354763
1575,-0.866451944,0.925070328
1576,-0.872285502,0.926787817
1577,-0.878122363,0.92850723
1578,-0.883962529,0.930228567
1579,-0.889805998,0.931951829
1580,-0.895652772,0.933677015
1581,-0.901502849,0.935404125
1582,-0.907356231,0.93713316
1583,-0.913212916,0.938864118
1584,-0.919072905,0.940597001
1585,-0.924936199,0.942331808
1586,-0.930802796,0.944068539
1587,-0.936672697,0.945807195
1588,-0.942545902,0.947547775
1589,-0.948422411,0.949290279
1590,-0.954302224,0.951034707
1591,-0.960185341,0.95278106
1592,-0.966071762,0.954529336
1593,-0.971961487,0.956279537
1594,-0.977854515,0.958031663
1595,-0.983750848,0.959785712
1596,-0.989650485,0.961541686
1597,-0.995553425,0.963299584
1598,-1.00145967,0.965059406
1599,-1.007369218,0.966821152
1600,-1.013282071,0.968584823
1601,-1.019198227,0.970350418
1602,-1.025117687,0.972117937
1603,-1.031040451,0.97388738
1604,-1.03696652,0.975658748
1605,-1.042895892,0.977432039
1606,-1.048828568,0.979207255
1607,-1.054764548,0.980984396
1608,-1.060703832,0.98276346
1609,-1.06664642,0.984544449
1610,-1.072592312,0.986327362
1611,-1.078541508,0.988112199
1612,-1.084494007,0.98989896
1613,-1.090449811,0.991687646
1614,-1.096408919,0.993478256
1615,-1.10237133,0.99527079
1616,-1.108337046,0.997065249
1617,-1.114306065,0.998861631
1618,-1.120278389,1.000659938
1619,-1.126254016,1.002460169
1620,-1.132232947,1.004262324
1621,-1.138215183,1.006066404
1622,-1.144200722,1.007872408
1623,-1.150189565,1.009680336
1624,-1.156181712,1.011490188
1625,-1.162177163,1.013301965
1626,-1.168175918,1.015115665
1627,-1.174177977,1.01693129
1628,-1.18018334,1.018748839
1629,-1.186192007,1.020568313
1630,-1.192203977,1.022389711
1631,-1.198219252,1.024213032
1632,-1.204237831,1.026038279
1633,-1.210259713,1.027865449
1634,-1.2162849,1.029694544
1635,-1.222313391,1.031525562
1636,-1.228345185,1.033358505
1637,-1.234380283,1.035193373
