wavelength_nm,K_re_over_k0,K_im_over_k0,pole_residual,bound_both_claddings,Ez_localization_fraction
1270.0,-8.450517857233246,-8.422972608754572,4.47545209131181e-16,False,
1271.0,-8.399154994301412,-8.406096465758566,3.3306690738754696e-16,False,
1272.0,-8.347615401261502,-8.389582255138242,2.482534153247273e-16,False,
1273.0,-8.295904281242144,-8.373428689901852,2.482534153247273e-16,False,
1274.0,-8.244026729502236,-8.35763447204199,3.1401849173675503e-16,False,
1275.0,-8.191987704494329,-8.342198185561804,2.7755575615628914e-16,False,
1276.0,-8.13979206920422,-8.32711832980323,2.2887833992611187e-16,False,
1277.0,-8.087444539961265,-8.312393379918452,5.551115123125783e-17,False,
1278.0,-8.034949735935255,-8.29802171841791,4.965068306494546e-16,False,
1279.0,-7.982312152408375,-8.284001681557413,2.482534153247273e-16,False,
1280.0,-7.929536162262298,-8.270331563873535,2.0014830212433605e-16,False,
1281.0,-7.876626043704932,-8.257009580108063,2.482534153247273e-16,False,
1282.0,-7.823585935321388,-8.244033943358511,3.885780586188048e-16,False,
1283.0,-7.770419883660325,-8.231402794885103,1.6653345369377348e-16,False,
1284.0,-7.7171318120760155,-8.219114260922815,1.1102230246251565e-16,False,
1285.0,-7.663725564995218,-8.207166409288487,3.3306690738754696e-16,False,
1286.0,-7.610204822431215,-8.195557302454404,1.1102230246251565e-16,False,
1287.0,-7.556573220780692,-8.184284970002345,1.1102230246251565e-16,False,
1288.0,-7.502834237619647,-8.173347415469356,5.551115123125783e-17,False,
1289.0,-7.448991309945106,-8.162742614979257,2.237726045655905e-16,False,
1290.0,-7.395047707566548,-8.152468546665636,2.7755575615628914e-17,False,
1291.0,-7.341006663424843,-8.142523166340787,2.2887833992611187e-16,False,
1292.0,-7.2868712758879095,-8.132904411283201,2.482534153247273e-16,False,
1293.0,-7.232644543258928,-8.123610220996053,5.721958498152797e-16,False,
1294.0,-7.1783294155788635,-8.114638524105665,8.326672684688674e-17,False,
1295.0,-7.1239287141335295,-8.105987238490869,1.5700924586837752e-16,False,
1296.0,-7.069445182552676,-8.097654285741582,3.3422138886441676e-16,False,
1297.0,-7.014881477927869,-8.089637587395659,2.7336071744532853e-16,False,
1298.0,-6.960240167335002,-8.081935077763859,2.7755575615628914e-16,False,
1299.0,-6.905523746132008,-8.074544673070184,4.449557262054371e-16,False,
1300.0,-6.850734623388427,-8.06746430582614,1.1102230246251565e-16,False,
1301.0,-6.795875129335319,-8.060691915575786,2.7755575615628914e-16,False,
1302.0,-6.7409475230346665,-8.054225466533902,4.47545209131181e-16,False,
1303.0,-6.685953966124862,-8.048062895483707,4.652682298944613e-16,False,
1304.0,-6.6308965745567106,-8.042202177107644,2.7755575615628914e-16,False,
1305.0,-6.575777392950398,-8.036641298467973,1.1102230246251565e-16,False,
1306.0,-6.520598358551746,-8.031378256389628,2.618455766672135e-16,False,
1307.0,-6.465361394692512,-8.02641106064054,1.5700924586837752e-16,False,
1308.0,-6.410068309762976,-8.021737728199216,1.3877787807814457e-16,False,
1309.0,-6.354720891826605,-8.017356312467294,2.482534153247273e-16,False,
1310.0,-6.299320833446599,-8.013264870142677,3.554447978966673e-16,False,
1311.0,-6.2438697616566055,-8.009461487853946,2.2887833992611187e-16,False,
1312.0,-6.188369286684072,-8.005944263679405,2.7755575615628914e-16,False,
1313.0,-6.132820923396939,-8.002711312866357,2.7755575615628914e-17,False,
1314.0,-6.077226137187128,-7.999760787260751,2.7755575615628914e-17,False,
1315.0,-6.021586352465499,-7.99709082715161,2.7755575615628914e-16,False,
1316.0,-5.965902922832855,-7.994699638992266,2.237726045655905e-16,False,
1317.0,-5.910177163814924,-7.992585418774753,2.237726045655905e-16,False,
1318.0,-5.854410332241877,-7.990746407643083,2.7755575615628914e-16,False,
1319.0,-5.798603649208599,-7.9891808371748505,3.3422138886441676e-16,False,
1320.0,-5.742758282693298,-7.987887011183813,1.2412670766236366e-16,False,
1321.0,-5.68687533446565,-7.986863212202215,3.510833468576701e-16,False,
1322.0,-5.630955886668379,-7.986107782041109,1.3877787807814457e-16,False,
1323.0,-5.575000990465354,-7.985619054124359,1.7772239894833365e-16,False,
1324.0,-5.519011605829748,-7.985395419285441,3.0531133177191805e-16,False,
1325.0,-5.462988708337755,-7.985435276651239,2.2887833992611187e-16,False,
1326.0,-5.40693318587886,-7.985737046362973,8.349770295452321e-16,False,
1327.0,-5.350845928491598,-7.986299201058147,6.894341957538586e-16,False,
1328.0,-5.294727763595511,-7.987120205754852,2.618455766672135e-16,False,
1329.0,-5.238579478711365,-7.988198562966057,1.2412670766236366e-16,False,
1330.0,-5.182401859599295,-7.989532812676899,2.618455766672135e-16,False,
1331.0,-5.126195624992442,-7.991121510228215,3.2487068343022356e-16,False,
1332.0,-5.069961468313551,-7.992963252350517,2.618455766672135e-16,False,
1333.0,-5.013700058323828,-7.995056640356772,3.3766115072321297e-16,False,
1334.0,-4.957412029308492,-7.997400313384453,3.3422138886441676e-16,False,
1335.0,-4.901097985663837,-7.999992937405061,2.7755575615628914e-17,False,
1336.0,-4.844758499488367,-8.002833216331299,1.6653345369377348e-16,False,
1337.0,-4.788394121606487,-8.00591985889896,2.237726045655905e-16,False,
1338.0,-4.732005372242639,-8.009251611865363,2.237726045655905e-16,False,
1339.0,-4.675592756371912,-8.012827252181223,2.0014830212433605e-16,False,
1340.0,-4.619156717206126,-8.016645585218491,2.3714374201337736e-16,False,
1341.0,-4.562697715981146,-8.020705419919004,3.885780586188048e-16,False,
1342.0,-4.506216177486831,-8.025005636276928,2.482534153247273e-16,False,
1343.0,-4.449712476721812,-8.029545110001576,1.942890293094024e-16,False,
1344.0,-4.393187016533033,-8.034322734001691,2.3714374201337736e-16,False,
1345.0,-4.336640122000275,-8.039337460351534,2.618455766672135e-16,False,
1346.0,-4.280072150588548,-8.044588246907812,1.7772239894833365e-16,False,
1347.0,-4.223483403549485,-8.050074080741505,2.7755575615628914e-17,False,
1348.0,-4.166874173817608,-8.055793978916494,3.3766115072321297e-16,False,
1349.0,-4.110244721878675,-8.061746993797842,2.220446049250313e-16,False,
1350.0,-4.053595328921167,-8.067932190963932,4.847302891456678e-16,False,
1351.0,-3.996926222875198,-8.074348665693691,8.326672684688674e-17,False,
1352.0,-3.94023762605275,-8.080995543035167,2.237726045655905e-16,False,
1353.0,-3.883529742187337,-8.087871986028029,8.326672684688674e-17,False,
1354.0,-3.826802764881174,-8.094977162607396,2.7755575615628914e-17,False,
1355.0,-3.770056881367087,-8.1023102811666,2.618455766672135e-16,False,
1356.0,-3.7132922317047528,-8.109870569518016,3.608224830031759e-16,False,
1357.0,-3.656508973131913,-8.117657300953201,2.220446049250313e-16,False,
1358.0,-3.5997072438785587,-8.125669751093737,5.551115123125783e-17,False,
1359.0,-3.542887178429931,-8.133907235788742,2.482534153247273e-16,False,
1360.0,-3.486048866566887,-8.142369090756622,3.0531133177191805e-16,False,
1361.0,-3.429192431049368,-8.151054687854533,2.482534153247273e-16,False,
1362.0,-3.372317937929525,-8.159963427670164,1.5700924586837752e-16,False,
1363.0,-3.315425491878852,-8.169094724554217,1.1102230246251565e-16,False,
1364.0,-3.2585151529784167,-8.178448024004272,1.1443916996305594e-16,False,
1365.0,-3.201586970538463,-8.188022809468038,1.1443916996305594e-16,False,
1366.0,-3.144641025003218,-8.197818564435162,3.775166431889533e-16,False,
1367.0,-3.087677347987301,-8.207834836825409,2.220446049250313e-16,False,
1368.0,-3.030695981333411,-8.218071170410788,2.3714374201337736e-16,False,
1369.0,-2.973696956525581,-8.228527157642725,0.0,False,
1370.0,-2.9166803050424037,-8.23920238467949,5.551115123125783e-17,False,
1371.0,-2.859646045502782,-8.250096508256714,1.2412670766236366e-16,False,
1372.0,-2.8025941976083257,-8.26120917875179,2.7755575615628914e-17,False,
1373.0,-2.7455247751122425,-8.272540084083518,2.618455766672135e-16,False,
1374.0,-2.688437786602316,-8.2840889496531,2.618455766672135e-16,False,
1375.0,-2.6313332413166566,-8.29585550537017,0.0,False,
1376.0,-2.574211155392311,-8.307839520164174,2.237726045655905e-16,False,
1377.0,-2.5170715103780905,-8.320040784349722,2.237726045655905e-16,False,
1378.0,-2.459914319637847,-8.332459119508895,2.3714374201337736e-16,False,
1379.0,-2.402739594502158,-8.345094384226554,2.7755575615628914e-17,False,
1380.0,-2.3455473166374565,-8.357946436671968,1.3877787807814457e-16,False,
1381.0,-2.2883375106379056,-8.3710151780986,3.0531133177191805e-16,False,
1382.0,-2.2311101680999474,-8.384300542111239,1.1102230246251565e-16,False,
1383.0,-2.173865286776899,-8.397802455434435,2.2887833992611187e-16,False,
1384.0,-2.1166028941240485,-8.411520918458864,1.3877787807814457e-16,False,
1385.0,-2.059322992013219,-8.425455920124469,2.220446049250313e-16,False,
1386.0,-2.002025594289079,-8.439607498129016,1.2412670766236366e-16,False,
1387.0,-1.9447107228882066,-8.453975682656582,5.551115123125783e-17,False,
1388.0,-1.88737839961218,-8.468560572821362,3.510833468576701e-16,False,
1389.0,-1.8300286554830574,-8.4833622599152,5.551115123125783e-17,False,
1390.0,-1.7726615263600318,-8.498380870999997,2.7755575615628914e-17,False,
1391.0,-1.715277053729966,-8.513616568712287,1.3877787807814457e-16,False,
1392.0,-1.6578752885852748,-8.529069518274934,1.942890293094024e-16,False,
1393.0,-1.6004562886721934,-8.544739920090098,2.2887833992611187e-16,False,
1394.0,-1.5430201311548866,-8.560627999542088,2.3714374201337736e-16,False,
1395.0,-1.4855668695198958,-8.576734002912728,2.7755575615628914e-17,False,
1396.0,-1.4280965988348449,-8.593058213898335,1.1443916996305594e-16,False,
1397.0,-1.3706094262734139,-8.60960091750972,2.7336071744532853e-16,False,
1398.0,-1.3131054361769399,-8.626362430156338,2.7755575615628914e-17,False,
1399.0,-1.2555847672414535,-8.643343105290349,2.498001805406602e-16,False,
1400.0,-1.1980475398007076,-8.660543283612,2.7755575615628914e-17,False,
1401.0,-1.1404938837513028,-8.677963371786959,1.7772239894833365e-16,False,
1402.0,-1.0829239771762678,-8.695603767721238,1.3877787807814457e-16,False,
1403.0,-1.0253379778197442,-8.713464910511254,1.3877787807814457e-16,False,
1404.0,-0.9677360705629803,-8.731547228464494,2.482534153247273e-16,False,
1405.0,-0.910118452714665,-8.74985121433549,2.9504581591051765e-16,False,
