incumbent 10.616%
hop  0 [dilate_patch] refined 10.616%  (incumbent 10.616%, fill 0.4145, 7s)
hop  1 [dilate_patch] refined 10.616%  (incumbent 10.616%, fill 0.4145, 6s)
hop  2 [shift_block ] refined 10.607%  (incumbent 10.616%, fill 0.4167, 20s)
hop  3 [dilate_patch] refined 10.607%  (incumbent 10.616%, fill 0.4167, 13s)
hop  4 [orbits      ] refined 10.596%  (incumbent 10.616%, fill 0.4162, 10s)
hop  5 [dilate_patch] refined 10.616%  (incumbent 10.616%, fill 0.4145, 7s)
hop  6 [shift_block ] refined 10.596%  (incumbent 10.616%, fill 0.4167, 16s)
hop  7 [erode_patch ] refined 10.596%  (incumbent 10.616%, fill 0.4162, 10s)
hop  8 [dilate_patch] refined 10.616%  (incumbent 10.616%, fill 0.4145, 7s)
hop  9 [dilate_patch] refined 10.616%  (incumbent 10.616%, fill 0.4145, 10s)
hop 10 [shift_block ] refined 10.596%  (incumbent 10.616%, fill 0.4167, 17s)
hop 11 [erode_patch ] refined 10.616%  (incumbent 10.616%, fill 0.4145, 6s)
hop 12 [erode_patch ] refined 10.633% IMPROVED (incumbent 10.616%, fill 0.4110, 13s)
hop 13 [orbits      ] refined 10.627%  (incumbent 10.633%, fill 0.4136, 13s)
hop 14 [shift_vein  ] refined 10.607%  (incumbent 10.633%, fill 0.4167, 20s)
hop 15 [dilate_patch] refined 10.633%  (incumbent 10.633%, fill 0.4110, 7s)
hop 16 [orbits      ] refined 10.602%  (incumbent 10.633%, fill 0.4162, 13s)
hop 17 [shift_block ] refined 10.615%  (incumbent 10.633%, fill 0.4167, 21s)
hop 18 [shift_block ] refined 10.614%  (incumbent 10.633%, fill 0.4167, 17s)
hop 19 [orbits      ] refined 10.612%  (incumbent 10.633%, fill 0.4145, 13s)
hop 20 [shift_block ] refined 10.614%  (incumbent 10.633%, fill 0.4167, 16s)
hop 21 [shift_block ] refined 10.615%  (incumbent 10.633%, fill 0.4167, 20s)
hop 22 [dilate_patch] refined 10.633%  (incumbent 10.633%, fill 0.4110, 7s)
hop 23 [orbits      ] refined 10.633%  (incumbent 10.633%, fill 0.4115, 10s)
hop 24 [shift_vein  ] refined 10.607%  (incumbent 10.633%, fill 0.4167, 20s)
hop 25 [orbits      ] refined 10.607%  (incumbent 10.633%, fill 0.4162, 13s)
hop 26 [dilate_patch] refined 10.540%  (incumbent 10.633%, fill 0.4175, 13s)
hop 27 [shift_vein  ] refined 10.607%  (incumbent 10.633%, fill 0.4167, 20s)
hop 28 [shift_vein  ] refined 10.615%  (incumbent 10.633%, fill 0.4158, 17s)
hop 29 [shift_vein  ] refined 10.615%  (incumbent 10.633%, fill 0.4158, 17s)
hop 30 [dilate_patch] refined 10.633%  (incumbent 10.633%, fill 0.4110, 7s)
hop 31 [erode_patch ] refined 10.633%  (incumbent 10.633%, fill 0.4110, 7s)
hop 32 [shift_vein  ] refined 10.607%  (incumbent 10.633%, fill 0.4167, 21s)
hop 33 [erode_patch ] refined 10.633%  (incumbent 10.633%, fill 0.4110, 7s)
hop 34 [orbits      ] refined 10.626%  (incumbent 10.633%, fill 0.4119, 18s)
