lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,n_si,order
1402.0,2.479319556823213e-30,1.9620128760322316e-30,-1.6379516651217335e-25,5.6656136763824905e-25,2.1434964196176596e-37,-3.6251341825162496e-37,5.153788909008749e-32,5.97354778094943e-32,1.5293202404818202e-23,-1.2097019031695794e-24,8.296951920204722e-39,-9.908770367832209e-39,1.738948193225887e-33,-1.1186646565289375e-33,-9.219005714683801e-22,1.3914651985152996e-21,-2.315748948564125e-40,-2.9015075020092714e-40,2.730537817501871e-12,8.462859621951346e-12,5.7033033598179966e-12,2.323523241805824e-13,1.7129053123451794e-11,9.733334027787564e-13,3.73350526278642e-12,20.481460571289062,28.462539672851562,19.546937942504883,27.25343132019043,3.3,11
1403.0,2.64932630438744e-30,1.8741334862951507e-30,-1.397164400035154e-25,5.946138538923915e-25,2.3248702250925607e-37,-4.498397026462713e-37,5.262788937463214e-32,5.454400258905683e-32,1.5131688543067248e-23,-1.6608961634817714e-24,6.819742377925848e-39,-9.319141718407543e-39,2.7266539529519735e-33,-7.165134327421337e-34,-9.514501218310262e-22,1.6457824495957494e-21,-1.2014388728546997e-40,-5.386504479494775e-40,2.868201198978385e-12,1.0945804325190538e-11,7.38061089539566e-12,3.181904818248993e-13,2.151280690138948e-11,1.4005192121842041e-12,4.0750468979952195e-12,25.878379821777344,36.25688934326172,24.700313568115234,34.732826232910156,3.3,11
1404.0,2.85300578722037e-30,1.7294384089382114e-30,-1.212740175739223e-25,6.1005876851305695e-25,2.4002576931225417e-37,-5.664754015994385e-37,5.340430101392718e-32,4.950840562675422e-32,1.4827699001858673e-23,-2.216906096418504e-24,5.6148203998526205e-39,-8.453706945270264e-39,4.058757963880033e-33,-3.577868038285491e-34,-9.420261988846125e-22,1.9832487333767877e-21,-2.159204788866011e-41,-8.755210826412944e-40,3.0225849793171645e-12,1.4559298250533544e-11,9.822057393095417e-12,4.4683535106540705e-13,2.7850775974011534e-11,2.058119769957733e-12,4.499065626722293e-12,33.64963912963867,47.49677276611328,32.12151336669922,45.521297454833984,3.3,11
1405.0,3.0696596075835472e-30,1.5063217619925332e-30,-9.223805615119105e-26,6.3508203519319405e-25,2.2318788483382307e-37,-7.113625231019475e-37,5.379103318453595e-32,4.3078406689442e-32,1.4350624754859394e-23,-2.843057254388954e-24,4.266240341567972e-39,-7.308609130570308e-39,5.7678511705575e-33,-2.769909796124165e-34,-8.572117860609147e-22,2.396594660088809e-21,7.645013350946014e-42,-1.3080882849600896e-39,3.165739348989494e-12,1.951019235150223e-11,1.3151055425747759e-11,6.280520337747151e-13,3.64550391600142e-11,3.009103783099367e-12,4.972063712853373e-12,44.167362213134766,62.736812591552734,42.1663818359375,60.15351867675781,3.3,11
1406.0,3.287880690846376e-30,1.1358088889890466e-30,-4.215542040587622e-26,6.71851567926479e-25,1.5309231693036366e-37,-9.007611568444976e-37,5.016433116847996e-32,3.6080869861801746e-32,1.3526901999437675e-23,-3.532929171009654e-24,3.268128744792202e-39,-4.8122547693859437e-39,8.083559030380472e-33,-6.894778294955389e-34,-6.073601612036214e-22,2.926321119439889e-21,-8.087336562070911e-41,-1.8947513863776056e-39,3.266722948521849e-12,2.6823051978394606e-11,1.8072256886158983e-11,9.046418913659705e-13,4.906667370444141e-11,4.4996085935391e-12,5.496635928557527e-12,59.5106315612793,85.00862884521484,56.82135772705078,81.543701171875,3.3,11
1407.0,3.4058646825062564e-30,5.58095690547611e-31,8.468329197352302e-26,6.442037872087729e-25,-2.2373518955951263e-38,-1.115616915489145e-36,4.7919208606558364e-32,2.622000704390279e-32,1.2118636017162235e-23,-4.036968308676085e-24,2.5710576433728335e-39,-2.508718258795756e-39,1.09549216631376e-32,-2.313555289968862e-33,-4.7456694678242635e-23,3.504157873335987e-21,-4.736323741730719e-40,-2.6334603612678817e-39,3.206417781978798e-12,3.6775268743802064e-11,2.480854049980768e-11,1.2975730794423915e-12,6.608780010503093e-11,6.682329065478107e-12,5.900804229849393e-12,80.0930404663086,114.9546890258789,76.48238372802734,110.31561279296875,3.3,11
1408.0,3.231255204928619e-30,-1.7755664933235793e-31,2.1787647440508955e-25,5.688961985670925e-25,-3.4248559637409104e-37,-1.271424335242348e-36,3.8806234747479093e-32,1.422235482333897e-32,1.0229176980694201e-23,-3.929190301492648e-24,2.514706538664624e-39,8.536027338778044e-40,1.3392294500265717e-32,-5.7735374410364404e-33,9.156064071367785e-22,3.878795446831581e-21,-1.334397333701517e-39,-3.274219027796172e-39,2.810876779307732e-12,4.7425873273997885e-11,3.2007101706853636e-11,1.743660238340591e-12,8.398751199849985e-11,9.265581028696775e-12,5.8123668422921404e-12,101.54215240478516,146.28562927246094,96.97559356689453,140.43870544433594,3.3,11
1409.0,2.6086235126790893e-30,-8.196053381416416e-31,2.8520544283530827e-25,4.137705795849425e-25,-7.62841879343234e-37,-1.2368989098030682e-36,2.68530924877877e-32,8.66254307727591e-33,8.401792182989287e-24,-2.732712861651635e-24,4.508064061396427e-39,2.9335183866165497e-39,1.384731624720545e-32,-1.0668377609279978e-32,2.1258539324470318e-21,3.679100916548343e-21,-2.5724008033379606e-39,-3.411749537340667e-39,2.0010092320609693e-12,5.375709779983058e-11,3.633239740373085e-11,2.0549059023687062e-12,9.414541033799111e-11,1.123794105722711e-11,4.8581070311486905e-12,113.3646240234375,163.76869201660156,108.27787780761719,157.28253173828125,3.3,11
1410.0,1.7012851822714658e-30,-1.0061118977528242e-30,2.5945183239271027e-25,3.137648286497177e-25,-1.10271130836593e-36,-9.62352614368593e-37,1.0852233230407291e-32,1.5718004084514882e-32,7.52539956422424e-24,-5.737767220500148e-25,8.85712090749609e-39,4.316336338685672e-39,1.1312886062771048e-32,-1.5190177638775928e-32,3.048380712570183e-21,2.8069386261334756e-21,-3.726982840615002e-39,-2.7958174710442246e-39,1.0426232808125995e-12,5.0981599482282325e-11,3.4427983429595666e-11,2.0190910612110844e-12,8.847129725390168e-11,1.1350858690472249e-11,3.2155925621113987e-12,105.91155242919922,153.28004455566406,101.17096710205078,147.2656707763672,3.3,11
1411.0,9.546063957433052e-31,-7.2734899427370666e-31,1.7833886857516351e-25,1.8014888937065412e-25,-1.2254961704015404e-36,-6.06960818821004e-37,3.2442149986149354e-33,2.2976692201467035e-32,7.888417825392378e-24,1.3713105331472997e-24,1.1300848664566703e-38,2.964949868414114e-39,7.428895731952093e-33,-1.7323595420109557e-32,3.3234502380036817e-21,1.748536982581051e-21,-4.290443736881606e-39,-1.825588937775956e-39,3.8347600760272875e-13,4.1751854202786754e-11,2.8238918515281978e-11,1.7117648068846488e-12,7.20860135325561e-11,9.868545857992322e-12,1.7233373480889522e-12,85.68204498291016,124.10102081298828,81.85527038574219,119.27288055419922,3.3,11
