lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,substrate,order
1322.5,-8.561697823280608e-31,3.6566123298697984e-30,-1.9031910689213056e-26,-2.404306241295254e-25,-7.285488760967669e-38,-4.273059191052485e-38,5.625720474465453e-32,5.982434636055231e-32,-5.105688240309521e-25,1.4734006549286198e-24,8.78515891440601e-39,-2.0473953785281066e-38,-9.78571619856277e-34,7.980031722147344e-33,4.690555515882015e-25,-5.168684005148268e-23,2.7178607295972324e-39,5.9376420085390645e-40,4.865025858741221e-12,1.025881063023618e-14,1.8407140404188878e-13,1.2484835191376155e-14,5.0718409086047225e-12,5.943976131326189e-14,4.923354319166093e-12,8.132012367248535,9.039443969726562,7.940209865570068,8.632002830505371,silica,11
1324.5,-4.864832723370102e-31,3.887018358198801e-30,-1.6458061604432533e-25,-1.3644508794301903e-25,-1.3159794771493025e-38,-6.153276691379191e-38,3.056310198194832e-31,1.7619631828429012e-31,-1.779129872268377e-24,4.863703289205423e-24,3.7180461622140747e-38,-8.485159804550217e-38,4.9078789227481676e-33,1.0255213667667788e-32,1.1298772460104616e-22,-2.0979351808747677e-22,3.1735142189101336e-39,-6.449052027600973e-40,5.3016116598087515e-12,2.1660526006487705e-13,1.2342672065564115e-13,6.491546922479417e-14,5.706559109754064e-12,9.680242767667713e-14,5.54552140867628e-12,10.422986030578613,12.440739631652832,10.14175033569336,11.848756790161133,silica,11
1326.5,-1.1583032444246576e-31,4.025537477989805e-30,3.624375962232634e-26,-2.6712734554901893e-26,4.689437353211367e-38,-7.4291355554916e-38,1.8000571533308565e-31,-2.177394884297475e-31,1.6745540023148417e-24,4.443020561291001e-24,-6.565259499441976e-38,-4.874696026562222e-38,3.220093520147475e-33,2.2352832881491957e-33,3.248426346900989e-24,-1.7595713856705675e-22,1.7604616900280492e-39,-5.5037597845006466e-40,5.551769466731078e-12,1.1747035591143317e-13,6.187627091058932e-14,7.070789045897221e-14,5.801823984012072e-12,1.1011523513315234e-13,6.010995793554451e-12,14.95839786529541,17.126407623291016,14.547384262084961,16.32637596130371,silica,11
1328.5,6.4028638635775895e-31,4.266591479313135e-30,-9.574619762877976e-27,-1.2791988577861639e-25,1.9483151418315385e-37,-1.6316108200144446e-37,4.42782920884729e-32,-1.2121868156476048e-31,-2.0689143424029272e-25,5.057320451952423e-24,-4.1656005834989516e-38,-1.2136091644343919e-38,1.8100615818131022e-33,4.235628512231287e-33,2.3954481716195815e-22,-2.439639246355152e-22,2.246882147721137e-39,-6.113882364924495e-40,6.308090126821439e-12,4.4049747158906773e-13,4.010171759248679e-13,2.234651228480761e-13,7.373069897183451e-12,5.03418336765616e-13,7.2742377564742916e-12,26.243425369262695,29.686763763427734,25.440988540649414,28.277097702026367,silica,11
1330.5,2.0562239310275023e-30,3.7499174652900155e-30,-1.7988513243591166e-25,-9.692069637406892e-26,3.034008166641533e-37,-4.996849509495652e-37,3.5155405088209804e-32,-4.8031199028958756e-32,-3.932577254328199e-25,9.306255517011538e-24,-2.4273530138719457e-38,-4.9708296598441735e-39,3.961685361186254e-33,4.7401550498633625e-33,4.1054647210788427e-22,-7.0494263685572915e-22,2.251555138656476e-39,-1.7111081858226025e-39,6.156850785480629e-12,2.492411777843806e-12,1.8766064861240396e-12,7.445672669924538e-13,1.1270436316440927e-11,2.5696449683503197e-12,7.937215830365631e-12,52.1793327331543,59.48057556152344,50.43608474731445,56.697662353515625,silica,11
1332.5,2.1447295292587224e-30,1.448342398082761e-30,-2.006231567815341e-25,1.4993504815255438e-25,-1.4088603910683342e-37,-8.689663320895032e-37,9.51616223352762e-32,-3.6408702326937153e-32,6.037884200204947e-24,1.2093421895075715e-23,-1.518212439111381e-38,-1.4691513974770995e-38,5.543033889648926e-33,1.2231248046178503e-33,-2.0451992595721504e-22,-1.2282298366580817e-21,5.477471466747836e-40,-2.3694985174388972e-39,2.2441061210037006e-12,5.771638292406686e-12,4.057123072886894e-12,1.2886128684804875e-12,1.3361480354777769e-11,5.767732919263384e-12,3.5962383583289235e-12,63.1097297668457,72.47911834716797,60.8658332824707,69.23033905029297,silica,11
1334.5,4.9008116449211465e-31,9.550120244708093e-31,-2.2095680154505302e-26,2.103423832284251e-25,-5.180590035597999e-37,-6.157144761252073e-37,8.659770566966207e-32,-7.601751592619041e-32,9.510287686211113e-24,7.859122189061297e-24,-1.9739456654049395e-38,-1.5346798691967316e-38,3.0109544416491816e-33,-7.2888670335600145e-34,-7.350576876724738e-22,-8.731857411386164e-22,-3.062069372838617e-40,-1.2318735160922778e-39,3.8758273360354837e-13,4.8208252468725495e-12,3.32104817521518e-12,9.019920629179304e-13,9.431448218609209e-12,4.777734965528954e-12,4.642531037499953e-13,35.27882385253906,40.697078704833984,33.98017501831055,38.97710418701172,silica,11
1336.5,-2.2396508794131536e-31,1.421088596699783e-30,6.625143937531211e-26,1.9626596265061974e-25,-5.594156760996831e-37,-3.877851501998478e-37,6.088385433869137e-32,-8.381489435573502e-32,9.17834643404374e-24,5.148731730800067e-24,-2.0794300802811578e-38,-1.1645455482128144e-38,1.217442367066855e-33,-4.445553941376324e-34,-7.931304717863289e-22,-5.508617243343132e-22,-1.9813775583233123e-40,-5.693489947876236e-40,6.876842689788615e-13,3.430095444507512e-12,2.3452033326011444e-12,5.683120431902543e-13,7.031295089277772e-12,3.389092020584011e-12,3.1576581917670704e-13,19.420732498168945,22.438875198364258,18.69500732421875,21.547607421875,silica,11
1338.5,-4.4280499093081285e-31,1.8094434228568198e-30,1.0209963372918905e-25,1.3737445103621926e-25,-5.3484101164433115e-37,-2.6725298854468658e-37,4.527148684992656e-32,-8.027244900831426e-32,8.489926494352245e-24,3.949577657327841e-24,-2.0012437026973871e-38,-9.232367847196499e-39,6.008244045508825e-34,7.919463759341748e-35,-7.576594997024548e-22,-3.798929736243584e-22,-1.6480234604670726e-41,-2.623133101835478e-40,1.1430330420679328e-12,2.6266676680579877e-12,1.7906795082051176e-12,3.9810914474088555e-13,5.958489363071924e-12,2.5918554852104263e-12,6.492467570499681e-13,12.61519718170166,14.572248458862305,12.142111778259277,14.024876594543457,silica,11
1340.5,-4.968725682070248e-31,2.0762803546902932e-30,1.1543655388139395e-25,1.0493878456331075e-25,-5.055369939915888e-37,-1.9780120897436612e-37,3.324296592962942e-32,-7.425360250035936e-32,7.953553164333057e-24,3.348050763955962e-24,-1.8706436032689096e-38,-6.951645866133599e-39,2.675290813369789e-34,4.33204368572313e-34,-7.154582920242418e-22,-2.811166600345789e-22,1.1853790388898993e-40,-1.258479821468291e-40,1.4908750740585826e-12,2.1477622150455718e-12,1.462294262457173e-12,3.037270301349883e-13,5.404658581696315e-12,2.1175616286804588e-12,9.673667804247227e-13,9.259957313537598,10.682428359985352,8.913348197937012,10.299309730529785,silica,11
