run_id,lambda_peak_ED,lambda_peak_MD,ED_peak_interior,MD_peak_interior,ED_MD_peak_splitting_nm
P0790_H0125_seed029_lam1332p5,1332.5760738261288,1332.4440782374293,True,True,0.13199558869951034
P0790_H0125_seed047_lam1332p5,1332.6541022040453,1332.3315650832735,True,True,0.3225371207718126
P0830_H0100_seed011_lam1332p5,1332.5270495055654,1332.4729836245606,True,True,0.05406588100481713
P0830_H0100_seed047_lam1332p5,1332.504581396207,1332.4816162988266,True,True,0.022965097380392763
P0830_H0125_seed029_lam1332p5,1332.501822674619,1332.4985780110546,True,True,0.0032446635643736954
P0830_H0150_seed029_lam1332p5,1332.5793188489858,1332.4914947450773,True,True,0.08782410390858786
P0870_H0100_seed011_lam1332p5,1332.5335978714363,1332.4793516798577,True,True,0.054246191578613434
P0870_H0100_seed029_lam1332p5,1332.4968770655244,1332.512335211133,True,True,0.015458145608590712
P0870_H0100_seed047_lam1332p5,1332.4941732902594,1332.5132743171082,True,True,0.01910102684882986
P0870_H0125_seed029_lam1332p5,1332.5200025685417,1332.5348734745974,True,True,0.014870906055648447
P0900_H0100_seed011_lam1332p5,1332.5310800563034,1332.5290744830565,True,True,0.002005573246833592
P0900_H0100_seed029_lam1332p5,1332.5326296641856,1332.5171218341645,True,True,0.015507830021078917
P0900_H0100_seed047_lam1332p5,1332.5332887491581,1332.5164038587282,True,True,0.016884890429992083
P0900_H0175_seed047_lam1332p5,1332.5780349960157,1332.6942867186567,True,True,0.11625172264098182
P0900_H0200_seed029_lam1332p5,1332.3685705664695,1332.3409516820286,True,True,0.027618884440926195
