run_id,period_nm,height_nm,seed,target_wavelength_nm,final_Fco,best_Fco,final_S_ED,final_S_MD,balance,binary_Fco,binary_S_ED,binary_S_MD,fill_fraction,nx,ny,fourier_order_x,fourier_order_y,runtime_s,status
P0900_H0100_seed047_lam1332p5,900,100,47,1332.5,4.230832099914551,4.2310991287231445,63.16488265991211,74.88211822509766,0.8435242772102356,4.2305169105529785,63.1484260559082,74.85449981689453,0.4375,180,180,7,7,263.6170766353607,completed
P0900_H0100_seed011_lam1332p5,900,100,11,1332.5,4.225595474243164,4.226824760437012,62.643829345703125,74.7184066772461,0.8383988738059998,4.2249650955200195,62.60107421875,74.67515563964844,0.4312654435634613,180,180,7,7,265.80205845832825,completed
P0900_H0100_seed029_lam1332p5,900,100,29,1332.5,4.224811553955078,4.225026607513428,62.53117752075195,74.73571014404297,0.8366974592208862,4.223385810852051,62.44424057006836,74.62660217285156,0.43160495162010193,180,180,7,7,259.9988820552826,completed
P0870_H0100_seed011_lam1332p5,870,100,11,1332.5,4.117452621459961,4.117500305175781,54.81410598754883,68.78303527832031,0.7969131469726562,4.117647171020508,54.8222541809082,68.79965209960938,0.5794358849525452,174,174,7,7,265.1399326324463,completed
P0870_H0100_seed047_lam1332p5,870,100,47,1332.5,4.115635871887207,4.115996837615967,55.260406494140625,67.98014068603516,0.8128904700279236,4.115231513977051,55.23872375488281,67.9517593383789,0.6992006897926331,174,174,7,7,264.59915351867676,completed
P0870_H0100_seed029_lam1332p5,870,100,29,1332.5,4.098751544952393,4.098894119262695,53.6876106262207,67.6482162475586,0.7936293482780457,4.098608493804932,53.67817306518555,67.64073944091797,0.677137017250061,174,174,7,7,177.29860258102417,completed
P0830_H0100_seed047_lam1332p5,830,100,47,1332.5,4.071705341339111,4.071990489959717,51.5434684753418,66.75205993652344,0.7721629738807678,4.071589469909668,51.533050537109375,66.75008392333984,0.7154884338378906,166,166,7,7,270.4440824985504,completed
P0870_H0125_seed029_lam1332p5,870,125,29,1332.5,4.039578437805176,4.054919242858887,50.2579231262207,64.19910430908203,0.782844603061676,4.03914737701416,50.22900390625,64.1806869506836,0.44332143664360046,174,174,7,7,260.16209506988525,completed
P0870_H0125_seed011_lam1332p5,870,125,11,1332.5,4.02821159362793,4.02811336517334,49.222843170166016,64.07572174072266,0.7681980133056641,4.027851581573486,49.21437454223633,64.0406265258789,0.45818468928337097,174,174,7,7,265.30181646347046,completed
P0830_H0100_seed011_lam1332p5,830,100,11,1332.5,4.024692058563232,4.02631950378418,48.510528564453125,64.56051635742188,0.7513962388038635,4.023064136505127,48.42954635620117,64.4582748413086,0.61997389793396,166,166,7,7,292.9255599975586,completed
P0900_H0125_seed011_lam1332p5,900,125,11,1332.5,3.975980281829834,3.9758167266845703,38.45528793334961,73.88165283203125,0.5204984545707703,3.9757912158966064,38.4460563659668,73.87144470214844,0.447376549243927,180,180,7,7,275.5892677307129,completed
P0900_H0175_seed011_lam1332p5,900,175,11,1332.5,3.9599971771240234,3.9609761238098145,42.32680892944336,65.01211547851562,0.6510603427886963,3.9590888023376465,42.278419494628906,64.96839904785156,0.36966049671173096,180,180,7,7,262.9984781742096,completed
P0830_H0125_seed011_lam1332p5,830,125,11,1332.5,3.946101188659668,3.946342706680298,44.03493118286133,60.7774772644043,0.72452712059021,3.9464478492736816,44.04445266723633,60.80646514892578,0.5793656706809998,166,166,7,7,262.44182419776917,completed
P0900_H0150_seed047_lam1332p5,900,150,47,1332.5,3.940492868423462,3.941074848175049,38.70296859741211,68.37924194335938,0.5660046339035034,3.940659999847412,38.712310791015625,68.3855972290039,0.46731480956077576,180,180,7,7,257.34073209762573,completed
P0830_H0125_seed047_lam1332p5,830,125,47,1332.5,3.922473192214966,3.922739028930664,42.65604782104492,59.846153259277344,0.7127617597579956,3.9224681854248047,42.65553665161133,59.84627151489258,0.6303527355194092,166,166,7,7,260.0595827102661,completed
P0900_H0200_seed029_lam1332p5,900,200,29,1332.5,3.9183545112609863,3.9179749488830566,40.607276916503906,62.34988784790039,0.6512807011604309,3.9154839515686035,40.51937484741211,62.12743377685547,0.40561729669570923,180,180,7,7,259.6294183731079,completed
P0830_H0125_seed029_lam1332p5,830,125,29,1332.5,3.915196657180786,3.9153122901916504,42.71501159667969,58.90010070800781,0.7252112030982971,3.914839267730713,42.70106506347656,58.877254486083984,0.7055450677871704,166,166,7,7,266.08965706825256,completed
P0790_H0125_seed029_lam1332p5,790,125,29,1332.5,3.888256072998047,3.8884449005126953,40.3660774230957,59.058170318603516,0.68349689245224,3.8881592750549316,40.36607360839844,59.046714782714844,0.6348341703414917,158,158,7,7,90.03117394447327,completed
P0900_H0150_seed011_lam1332p5,900,150,11,1332.5,3.869307279586792,3.894185781478882,34.05935287475586,67.39089965820312,0.5053998827934265,3.870151996612549,34.083946228027344,67.4561538696289,0.3708333373069763,180,180,7,7,266.3561339378357,completed
P0790_H0125_seed047_lam1332p5,790,125,47,1332.5,3.864333152770996,3.871795177459717,38.95951843261719,58.331546783447266,0.6678979396820068,3.865229606628418,38.99641036987305,58.38093185424805,0.6377984285354614,158,158,7,7,263.2524082660675,completed
P0830_H0150_seed029_lam1332p5,830,150,29,1332.5,3.8619508743286133,3.862361431121826,39.964290618896484,56.59470748901367,0.7061489224433899,3.8623485565185547,39.971282958984375,56.62982940673828,0.5035926699638367,166,166,7,7,259.9759314060211,completed
P0900_H0175_seed047_lam1332p5,900,175,47,1332.5,3.858283281326294,3.8623809814453125,37.25838088989258,60.261260986328125,0.618280827999115,3.8554961681365967,37.15252685546875,60.0970458984375,0.4437345564365387,180,180,7,7,264.6185371875763,completed
P0830_H0150_seed011_lam1332p5,830,150,11,1332.5,3.8300933837890625,3.874530553817749,38.19845962524414,55.555999755859375,0.6875667572021484,3.830068349838257,38.201969146728516,55.54812240600586,0.43551313877105713,166,166,7,7,260.6526839733124,completed
P0900_H0175_seed029_lam1332p5,900,175,29,1332.5,3.8117034435272217,3.812788963317871,35.171852111816406,58.157859802246094,0.6047652363777161,3.811598300933838,35.19718551635742,58.10377883911133,0.3831481337547302,180,180,7,7,267.9872872829437,completed
P0790_H0150_seed047_lam1332p5,790,150,47,1332.5,3.7384374141693115,3.7401723861694336,34.09461975097656,51.81787872314453,0.6579701900482178,3.7396440505981445,34.10299301147461,51.930320739746094,0.7143887281417847,158,158,7,7,268.24732780456543,completed
P0790_H0150_seed029_lam1332p5,790,150,29,1332.5,3.736171245574951,3.7364296913146973,33.800750732421875,52.03201675415039,0.6496144533157349,3.735898017883301,33.79203796386719,52.01699447631836,0.704254150390625,158,158,7,7,270.76045513153076,completed
P0790_H0150_seed011_lam1332p5,790,150,11,1332.5,3.731355667114258,3.731619358062744,33.53611373901367,51.939971923828125,0.6456705927848816,3.7310445308685303,33.52792739868164,51.92033004760742,0.6987662315368652,158,158,7,7,268.02513885498047,completed
P0750_H0150_seed011_lam1332p5,750,150,11,1332.5,3.7150278091430664,3.717069625854492,31.678117752075195,53.219722747802734,0.5952326655387878,3.7154762744903564,31.69130516052246,53.24534225463867,0.615244448184967,150,150,7,7,279.6211941242218,completed
P0750_H0150_seed047_lam1332p5,750,150,47,1332.5,3.7022464275360107,3.7037363052368164,31.177988052368164,52.70870590209961,0.5915149450302124,3.7008461952209473,31.138105392456055,52.628623962402344,0.6091111302375793,150,150,7,7,263.1213960647583,completed
P0830_H0175_seed029_lam1332p5,830,175,29,1332.5,3.6968941688537598,3.709155559539795,30.894330978393555,52.626277923583984,0.5870513916015625,3.6969032287597656,30.83991241455078,52.720096588134766,0.44571053981781006,166,166,7,7,264.4486572742462,completed
P0790_H0175_seed029_lam1332p5,790,175,29,1332.5,3.625308036804199,3.6649014949798584,30.154296875,46.72543716430664,0.6453507542610168,3.6254029273986816,30.155309677124023,46.732730865478516,0.6664797067642212,158,158,7,7,268.01977944374084,completed
P0750_H0150_seed029_lam1332p5,750,150,29,1332.5,3.62492036819458,3.6269514560699463,29.84596824645996,47.17155456542969,0.6327111721038818,3.6284570693969727,29.95583152770996,47.33216094970703,0.623022198677063,150,150,7,7,281.78411626815796,completed
P0790_H0175_seed047_lam1332p5,790,175,47,1332.5,3.6214442253112793,3.6501355171203613,29.820356369018555,46.88498306274414,0.6360321640968323,3.621006727218628,29.811141967773438,46.85844802856445,0.6546627283096313,158,158,7,7,267.19917702674866,completed
P0790_H0175_seed011_lam1332p5,790,175,11,1332.5,3.607272148132324,3.6737351417541504,29.033918380737305,46.809207916259766,0.6202608346939087,3.6058692932128906,28.989736557006836,46.749176025390625,0.630988597869873,158,158,7,7,265.26444125175476,completed
P0790_H0200_seed047_lam1332p5,790,200,47,1332.5,3.577120780944824,3.577299118041992,28.631752014160156,44.68891143798828,0.6406903266906738,3.5771095752716064,28.61620330810547,44.71217727661133,0.49983978271484375,158,158,7,7,266.8512055873871,completed
P0790_H0200_seed011_lam1332p5,790,200,11,1332.5,3.57252836227417,3.5736827850341797,28.36122703552246,44.702701568603516,0.6344410181045532,3.5683860778808594,28.248214721679688,44.51124572753906,0.4294183552265167,158,158,7,7,262.1265621185303,completed
P0750_H0175_seed011_lam1332p5,750,175,11,1332.5,3.5559473037719727,3.564152717590332,26.92451286315918,45.5521240234375,0.5910704135894775,3.555971384048462,26.926061630249023,45.55171203613281,0.7129777669906616,150,150,7,7,268.7587490081787,completed
P0750_H0175_seed029_lam1332p5,750,175,29,1332.5,3.555540084838867,3.555856466293335,27.048871994018555,45.30580520629883,0.5970288515090942,3.5552289485931396,27.03818702697754,45.29549789428711,0.7264888882637024,150,150,7,7,265.21567368507385,completed
P0750_H0175_seed047_lam1332p5,750,175,47,1332.5,3.5479788780212402,3.5494344234466553,26.591140747070312,45.39397048950195,0.5857857465744019,3.5489346981048584,26.61713218688965,45.43642807006836,0.720977783203125,150,150,7,7,264.6992018222809,completed
P0750_H0200_seed029_lam1332p5,750,200,29,1332.5,3.5411133766174316,3.5417654514312744,27.001060485839844,44.09518051147461,0.6123358607292175,3.541271209716797,27.013811111450195,44.088279724121094,0.5824000239372253,150,150,7,7,218.27342987060547,completed
P0790_H0200_seed029_lam1332p5,790,200,29,1332.5,3.531440258026123,3.5332281589508057,27.401594161987305,42.61811447143555,0.6429564952850342,3.531797409057617,27.41779136657715,42.623382568359375,0.7041739821434021,158,158,7,7,134.92278480529785,completed
P0900_H0200_seed047_lam1332p5,900,200,47,1332.5,3.4837646484375,3.4835338592529297,34.21232986450195,31.029653549194336,0.9069728255271912,3.483128070831299,34.1899528503418,31.010448455810547,0.594753086566925,180,180,7,7,269.64609265327454,completed
P0750_H0200_seed011_lam1332p5,750,200,11,1332.5,3.441006898880005,3.4437079429626465,23.717100143432617,41.0921630859375,0.5771684646606445,3.4409255981445312,23.716066360473633,41.087276458740234,0.6365333199501038,150,150,7,7,770.3055181503296,completed
P0750_H0200_seed047_lam1332p5,750,200,47,1332.5,3.4344606399536133,3.434875965118408,23.45703125,41.007328033447266,0.5720204710960388,3.4343695640563965,23.45456886291504,41.004180908203125,0.626977801322937,150,150,7,7,771.8778312206268,completed
P0830_H0200_seed047_lam1332p5,830,200,47,1332.5,3.302043914794922,3.292538642883301,20.763240814208984,35.54869842529297,0.5840787887573242,3.2882437705993652,20.48748207092285,35.04642868041992,0.609740138053894,166,166,7,7,266.6977159976959,completed
