it,L,R_cross,R_co,T_tot,pb_err_deg
0,-0.0049820393323898315,0.28485336899757385,0.30019137263298035,0.39330041233915836,91.58226776123047
1,-0.010509014129638672,0.2892543077468872,0.29453209042549133,0.3947014042059891,90.5485610961914
2,-0.01500171422958374,0.2930232286453247,0.28921014070510864,0.3960644020116888,89.60572052001953
3,-0.020717903971672058,0.2974199652671814,0.28419384360313416,0.3970420114637818,88.62174224853516
4,-0.025178715586662292,0.3010607957839966,0.27894502878189087,0.39819928753422573,87.69606018066406
5,-0.029427260160446167,0.30449166893959045,0.2741583287715912,0.39910278012393974,86.83982849121094
6,-0.03368633985519409,0.30793166160583496,0.2695872485637665,0.3999525102553889,85.98725891113281
7,-0.037671566009521484,0.3112030029296875,0.2650982141494751,0.40061169510590844,85.17047119140625
8,-0.040966153144836426,0.31398817896842957,0.26108741760253906,0.40111758990678936,84.43614959716797
9,-0.0448918342590332,0.31716206669807434,0.25707337260246277,0.40126622933894396,83.67405700683594
10,-0.04851508140563965,0.32024654746055603,0.2535920739173889,0.40131907956674695,82.97826385498047
11,-0.05126450955867767,0.32259246706962585,0.24994608759880066,0.40129170927684754,82.3257827758789
12,-0.05466584861278534,0.32533854246139526,0.24653102457523346,0.4008717820397578,81.66560363769531
13,-0.05698809027671814,0.32741856575012207,0.24356256425380707,0.4004762287950143,81.12252807617188
14,-0.06001955270767212,0.3298918902873993,0.24058066308498383,0.3997245399514213,80.53218078613281
15,-0.061853453516960144,0.3316466808319092,0.2377830594778061,0.3990739114815369,80.03050994873047
16,-0.06430168449878693,0.33364138007164,0.23523738980293274,0.39819713856559247,79.53507995605469
17,-0.06679984927177429,0.3358575701713562,0.23269961774349213,0.39713540952652693,79.03401947021484
18,-0.06897285580635071,0.33772775530815125,0.23050428926944733,0.3961633724393323,78.58453369140625
19,-0.07135030627250671,0.33971673250198364,0.22830913960933685,0.3949991671834141,78.13702392578125
20,-0.07201963663101196,0.340503990650177,0.22670398652553558,0.394096139119938,77.86583709716797
21,-0.07448959350585938,0.3426833152770996,0.2243441939353943,0.39285266934894025,77.38848876953125
22,-0.07634207606315613,0.34425076842308044,0.2228085845708847,0.3912900190334767,77.05419158935547
23,-0.07744210958480835,0.3453492522239685,0.22128432989120483,0.3902073916979134,76.76715087890625
24,-0.07932734489440918,0.34692737460136414,0.2196001261472702,0.3890283009968698,76.42221069335938
25,-0.0807192325592041,0.34827935695648193,0.2182261198759079,0.387687970418483,76.1304702758789
26,-0.08154112100601196,0.3490973114967346,0.21687880158424377,0.3866154632996768,75.90218353271484
27,-0.08310988545417786,0.3502860367298126,0.21541395783424377,0.38529221108183265,75.61820983886719
28,-0.08394704759120941,0.3512304723262787,0.2143724262714386,0.38419940834864974,75.40167236328125
29,-0.08549626171588898,0.35260722041130066,0.21311740577220917,0.3830134472809732,75.12469482421875
30,-0.08638477325439453,0.3534202575683594,0.2119867503643036,0.38187609473243356,74.91421508789062
31,-0.08731789886951447,0.3543315827846527,0.21102696657180786,0.38092256616801023,74.71563720703125
32,-0.08863069117069244,0.3554336130619049,0.20984883606433868,0.3798745246604085,74.47511291503906
33,-0.08878213167190552,0.35564541816711426,0.20896169543266296,0.37913569901138544,74.3407974243164
34,-0.08972625434398651,0.35659292340278625,0.2082030475139618,0.3783462313003838,74.16010284423828
35,-0.09089219570159912,0.35753798484802246,0.20712929964065552,0.3775099003687501,73.94579315185547
36,-0.11793026328086853,0.3816590905189514,0.18075112998485565,0.35441641695797443,68.4634017944336
37,-0.11815889179706573,0.3819097578525543,0.1802554726600647,0.35427114460617304,68.38411712646484
38,-0.11863885819911957,0.38225820660591125,0.1795753836631775,0.35412039421498775,68.25641632080078
39,-0.11823619902133942,0.38197582960128784,0.1793566644191742,0.35440018493682146,68.2337417602539
40,-0.11909535527229309,0.38269275426864624,0.17858397960662842,0.3543365504592657,68.0723876953125
41,-0.11860758066177368,0.3823659121990204,0.17826272547245026,0.3550117462873459,68.0513916015625
42,-0.1187918484210968,0.38256001472473145,0.17793868482112885,0.35538396146148443,67.9776840209961
43,-0.11909909546375275,0.38287365436553955,0.1775129735469818,0.3560192286968231,67.87682342529297
44,-0.11953034996986389,0.3830968141555786,0.17687828838825226,0.35656167287379503,67.7748031616211
45,-0.11961647868156433,0.38321444392204285,0.17657101154327393,0.3572242399677634,67.72075653076172
46,-0.1194012314081192,0.38299494981765747,0.17625147104263306,0.35804091952741146,67.66983795166016
47,-0.1198955625295639,0.38327112793922424,0.17564989626407623,0.35872117057442665,67.55984497070312
48,-0.11951874196529388,0.38308510184288025,0.1753055602312088,0.3595994571223855,67.517333984375
49,-0.12024898827075958,0.3835621178150177,0.17488659918308258,0.3601112328469753,67.41187286376953
50,-0.1205613911151886,0.3837435245513916,0.1746300756931305,0.3607476819306612,67.35690307617188
51,-0.12053065001964569,0.3837994933128357,0.17414258420467377,0.3614854095503688,67.28243255615234
52,-0.12048222124576569,0.38368815183639526,0.174096941947937,0.3620896516367793,67.2630844116211
53,-0.12109793722629547,0.3841501474380493,0.17360831797122955,0.3625826984643936,67.16112518310547
54,-0.12072977423667908,0.3838441073894501,0.17344486713409424,0.3630300844088197,67.15139770507812
55,-0.12180730700492859,0.3846639096736908,0.17284904420375824,0.3632770385593176,67.00691986083984
56,-0.12077265977859497,0.3839232921600342,0.1730901002883911,0.3636902207508683,67.08026123046875
57,-0.12097813189029694,0.3840603232383728,0.17277203500270844,0.36402314715087414,67.0282974243164
58,-0.12159296870231628,0.38445594906806946,0.17265819013118744,0.3642370505258441,66.98168182373047
59,-0.137822225689888,0.39904215931892395,0.1564648300409317,0.34997076727449894,63.488773345947266
60,-0.1382293999195099,0.39927035570144653,0.15644867718219757,0.3501723073422909,63.46413040161133
61,-0.1382661759853363,0.399127334356308,0.1560678333044052,0.3506872598081827,63.41927719116211
62,-0.13757461309432983,0.3986928164958954,0.1563105583190918,0.35099796392023563,63.476104736328125
63,-0.13866963982582092,0.3994431793689728,0.1558685302734375,0.351230276748538,63.35730743408203
64,-0.13902059197425842,0.399766743183136,0.15592743456363678,0.35146110504865646,63.33917236328125
65,-0.13818947970867157,0.3991239368915558,0.15600739419460297,0.35220486484467983,63.39298629760742
66,-0.1389363706111908,0.39954784512519836,0.15562789142131805,0.35222561843693256,63.3011360168457
67,-0.13846103847026825,0.3992808163166046,0.15586695075035095,0.35279806330800056,63.34976577758789
68,-0.13808700442314148,0.39897996187210083,0.1558133065700531,0.35287041030824184,63.36223220825195
69,-0.13885381817817688,0.3995739817619324,0.15548166632652283,0.353122616186738,63.2660026550293
70,-0.1391659379005432,0.39973992109298706,0.15559269487857819,0.3533620946109295,63.2724494934082
71,-0.1388234943151474,0.39942947030067444,0.15555286407470703,0.3535757903009653,63.29026794433594
72,-0.1385887861251831,0.39920905232429504,0.15553191304206848,0.35381269827485085,63.29491424560547
73,-0.13844212889671326,0.39931192994117737,0.15577249228954315,0.35395706817507744,63.30927658081055
74,-0.13846983015537262,0.3991852402687073,0.15576952695846558,0.3540137354284525,63.32086944580078
75,-0.13953661918640137,0.39980271458625793,0.15546803176403046,0.353787561878562,63.24518966674805
76,-0.13796642422676086,0.3987501859664917,0.1559300273656845,0.35416929982602596,63.37343215942383
77,-0.1432628184556961,0.40329432487487793,0.15086781978607178,0.3509825821965933,62.25420379638672
78,-0.14400054514408112,0.4037260413169861,0.15074002742767334,0.3505409974604845,62.2166633605957
79,-0.14467081427574158,0.404282808303833,0.15077485144138336,0.3504363764077425,62.18552017211914
80,-0.14397895336151123,0.40387943387031555,0.15115706622600555,0.3504215572029352,62.27234649658203
81,-0.14390535652637482,0.4036683142185211,0.1512499898672104,0.3501992616802454,62.29802703857422
82,-0.14419859647750854,0.4039558172225952,0.15126481652259827,0.34999195486307144,62.28770446777344
83,-0.1446961909532547,0.40440037846565247,0.15131422877311707,0.3494225163012743,62.269447326660156
84,-0.14376860857009888,0.40362635254859924,0.15148772299289703,0.34936438873410225,62.352230072021484
85,-0.14480172097682953,0.4043530821800232,0.151443213224411,0.34896312840282917,62.31075668334961
86,-0.14398398995399475,0.4037189781665802,0.1516951471567154,0.34866834431886673,62.38605499267578
87,-0.14404989778995514,0.4039522409439087,0.15186698734760284,0.34821327961981297,62.40009689331055
88,-0.1437644362449646,0.40374913811683655,0.15208281576633453,0.3480638824403286,62.45862579345703
89,-0.14333029091358185,0.40342244505882263,0.15233160555362701,0.34788687713444233,62.510807037353516
