tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,T_tot_mean,A_mean,score,fab_ok
B_P190_H110_s11_g80_o7,B,190.0,110.0,11,150,80,7,9,coarse,20.0,75.0,215.0004961490631,42bdc97a1cb17214d6717470d480292dc65dd9967b349d7d5e0864f3b62487b9,0.01732858084142208,0.008966556750237942,0.01733541116118431,0.009030772373080254,0.058902159333229065,0.8970345258712769,0.20810800790786743,0.09670660644769669,0.00046205020043998957,2.555813262006268e-05,-114.4607925415039,65.5392074584961,0.04330894351005554,0.009352381341159344,0.9233998656272888,0.9874184727668762,0.03329116106033325,0.0032291412353515625,-0.207403302192688,-0.01711186394095421,0.0004527592973317951,-9.219225466949865e-05,-2.487558413122315e-05,5.867151230631862e-06,0.04714582860469818,-0.08443599939346313,-0.17708264291286469,0.9444795250892639,0.3083151876926422,0.944648027420044,0.9532146898472152,0.043432433599396476,0.003291747613862024,6.11289395262531e-05,0.9999394482458395,2.9985647685757665e-06,3.0237984198741864e-07,0.9988087932504329,0.9461807867571765,0.04125914290655076,0.0121829396698465,0.00037713066642614906,2.4963990464192598e-05,0.9955580858563303,0.9999581049418342,2.1154669515879773e-05,1,1,35.625,2.375,74.82192400961098,0.17807599038901856,0.1325,0.9554091691970825,0.018260151147842407,-0.574091294563065,False
B_P190_H140_s11_g80_o7,B,190.0,140.0,11,150,80,7,9,coarse,20.0,75.0,227.1103754043579,135eeb7166da5d3eb8736124a3de816a13680471b7f985fa1ea8fbdfc6ba55bb,0.10360854864120483,0.2051447033882141,0.10359158366918564,0.20519283413887024,0.18537606298923492,0.35599285364151,0.31630465388298035,0.7193671464920044,3.3864831493701786e-05,0.00011698187881847844,-63.488407135009766,116.5115966796875,0.10004864633083344,0.5174890756607056,0.7973362803459167,0.2855100929737091,0.10261505842208862,0.19700083136558533,0.05422709882259369,0.31162166595458984,4.372137482278049e-06,3.35814111167565e-05,0.00011352699220879003,-2.822022906912025e-05,-0.5791398882865906,0.4267154633998871,-0.6981530785560608,0.5567032694816589,-0.460521936416626,-0.27097904682159424,0.5042918876560999,0.48064459593322145,0.014761592825120575,0.00030192358555795407,0.9860472540795724,1.4115572024749263e-05,8.084403960362916e-08,0.9999970669650113,0.4742076958010131,0.5234830280357684,0.0021405084539108154,0.0001687677093075918,5.970697657455585e-06,0.9978836050762777,0.9999577052635193,8.564682909227215e-09,1,1,83.125,2.375,74.89727339830202,0.10272660169798087,0.3325,0.5414231866598129,0.14980794489383698,-0.4638613908489545,False
B_P190_H170_s11_g80_o7,B,190.0,170.0,11,150,80,7,9,coarse,20.0,75.0,235.1290225982666,a18eb62863f0705b86e03aaec5270fe3283676b039b3f65d3fd8ab47626c5b22,0.14398193359375,0.24005015194416046,0.14407458901405334,0.2402525544166565,0.22831951081752777,0.2428942769765854,0.370979905128479,0.7941871285438538,0.0001293081877520308,0.00012251563020981848,-70.95850372314453,109.04149627685547,0.13762611150741577,0.6307331919670105,0.7621679306030273,0.1803985983133316,0.10020595788955688,0.1888682097196579,-0.07809001952409744,0.3626679480075836,-5.498133759829216e-06,-0.00012919124856125563,0.0001157035439973697,4.0283630369231105e-05,-0.7884516716003418,0.0952741950750351,-0.8393509984016418,0.24012035131454468,-0.1330203413963318,-0.4033660590648651,0.5144514342733651,0.4644659827436317,0.020257387736027376,0.0008251952469757831,0.9916474289685546,1.4975199145918883e-05,5.35883031963838e-08,0.9999982390296202,0.4450646776819176,0.5519875062039296,0.0011588664202366488,0.0017889496939163198,9.7770090717659e-06,0.9977305217828687,0.9999294818589378,1.7900255099417763e-08,1,1,78.375,2.375,74.82192400961098,0.17807599038901856,0.315625,0.4712832644581795,0.1445370838046074,-0.3934206017355124,False
B_P190_H200_s11_g80_o7,B,190.0,200.0,11,150,80,7,9,coarse,20.0,75.0,242.708749294281,7926000b4356a9e7debbd95c4b1e603441cba92fbe56710317245541730b0bd1,0.11539749801158905,0.17289896309375763,0.11533959209918976,0.17285026609897614,0.36028310656547546,0.19700373709201813,0.30582597851753235,0.6949509382247925,3.1996823963709176e-05,0.00023352490097749978,285.6983947753906,105.69839477539062,0.0935295820236206,0.48295679688453674,0.831668496131897,0.2829238176345825,0.07480192184448242,0.23411941528320312,-0.1569310575723648,0.26249223947525024,-1.5552965123788454e-05,-2.7962511012447067e-05,-0.00022386093041859567,-6.648432463407516e-05,-0.6707194447517395,-0.1819126158952713,-0.9110939502716064,0.03970172256231308,0.15691328048706055,-0.5082342624664307,0.4804358182444077,0.47345372101680705,0.0424939761080957,0.003616484630689556,0.987408422215385,2.6260386804842353e-05,1.060653169491407e-06,0.9999948931337233,0.4055359883900868,0.5847445645650684,0.0009751000888805321,0.008744346955964197,4.832385837879409e-06,0.9981396677120814,0.9999521271997988,7.677065630630853e-08,1,1,78.375,2.375,74.82192400961098,0.17807599038901856,0.290625,0.5572961568832397,0.15446066856384277,-0.4258640532692274,False
B_P190_H230_s11_g80_o7,B,190.0,230.0,11,150,80,7,9,coarse,20.0,75.0,301.64950585365295,9228d0d8ef32d19eed3f2760e7ddd3e3eb21de3a656df4906c02f90374a32c67,0.05180387943983078,0.11905072629451752,0.051676101982593536,0.11919932067394257,0.46456268429756165,0.23689374327659607,0.5456589460372925,0.2097291350364685,0.0003057966532651335,1.870766209322028e-05,-306.0733947753906,126.07342529296875,0.29774367809295654,0.043986402451992035,0.47783640027046204,0.925667941570282,0.22441992163658142,0.030345678329467773,-0.5341023802757263,-0.11170652508735657,0.00022579739743378013,-0.00020622106967493892,-7.328526407945901e-07,1.8693302990868688e-05,-0.15558063983917236,0.1406448483467102,0.17100511491298676,-0.6697713732719421,-0.957403302192688,0.09511350840330124,0.37321017268387424,0.6084662757922826,0.006858035916169507,0.011465515607673617,0.9987949189131395,6.4899355708605765e-06,6.232378192383334e-07,0.9999735610216212,0.5170474544190287,0.39247759368156676,0.08491042602368104,0.005564525875723485,8.285076254003834e-05,0.9897869237752049,0.9999933040618869,3.1114000612232606e-06,1,1,64.125,2.375,74.06421411518521,0.9357858848147913,0.22875,0.701752170920372,0.1273827999830246,-0.5687199446558953,False
B_P190_H260_s11_g80_o7,B,190.0,260.0,11,150,80,7,9,coarse,20.0,75.0,352.1342227458954,79f1a36caadbd266b4f91a46d77e3593394f17d8ac9e37a15fdc169a973b817a,0.01759336329996586,0.09414259344339371,0.017544159665703773,0.09425830096006393,0.5644599795341492,0.04099622741341591,0.4394013583660126,0.17454169690608978,0.00020439372747205198,9.283335202781018e-06,-2.307333469390869,177.69265747070312,0.1930735558271408,0.030464844778180122,0.49544188380241394,0.7147543430328369,0.31148454546928406,0.2547808289527893,-0.43309763073921204,0.07416198402643204,-0.00011430351878516376,-0.00016944468370638788,-8.110919225146063e-06,4.515894943324383e-06,-0.17308422923088074,0.02250901237130165,0.27801164984703064,0.64664626121521,0.07577311247587204,-0.8420286178588867,0.019822890551132493,0.8639608148123217,0.01894231552692545,0.09727397910962032,0.8824222733447292,5.119339147205143e-05,7.844310323769543e-09,0.999999267025599,0.29332273106968104,0.6268035226152018,0.023100467051674758,0.056773279263442576,9.97821881197217e-06,0.9751851530693998,0.9999903589158229,1.3692809039060756e-06,1,1,83.125,2.375,74.36822448129308,0.6317755187069167,0.326875,0.6050981134176254,0.2831326872110367,-0.6281814192483822,False
B_P208_H110_s11_g80_o7,B,208.0,110.0,11,150,80,7,9,coarse,20.8,83.2,211.3267228603363,52cfc97e373a3d96ed579954f938fd06a70b38860cc9691ad92ef1cd42506f60,0.039748236536979675,0.08704591542482376,0.039719875901937485,0.08723855018615723,0.1434967815876007,0.5686002969741821,0.4523293077945709,0.22169966995716095,0.0002372942108195275,0.00013724416203331202,61.786922454833984,118.21308898925781,0.20460182428359985,0.049150798469781876,0.5824931263923645,0.8422060608863831,0.21290504932403564,0.10864311456680298,-0.2382618635892868,0.3844906687736511,-0.00020117859821766615,-0.00012584002979565412,8.056768274400383e-05,0.00011110719060525298,0.11085379123687744,0.1919952630996704,-0.7522286772727966,0.1290159672498703,-0.42589271068573,0.8129091858863831,0.5769729034398162,0.4215511710223901,0.00145548599278459,2.0439545009018532e-05,0.9986739353932584,6.462885432349784e-06,1.3677063428748408e-09,0.9999192321819625,0.5545131325294466,0.4376459605559231,0.007669813899543989,0.00017109301508641897,1.3985105702873794e-05,0.9871557234875804,0.999995961066662,1.1844117714532089e-07,1,1,96.2,2.6,83.1390401676613,0.060959832338696174,0.345625,0.7123495936393738,0.1607740819454193,-0.5569713329772155,False
B_P208_H140_s11_g80_o7,B,208.0,140.0,11,150,80,7,9,coarse,20.8,83.2,217.7090916633606,dffccea0662b9e83ccfbe6039364a4b9d55cdc3df0e304cf4c6263a6e55e0a11,0.18273401260375977,0.24741961061954498,0.18288610875606537,0.2468077838420868,0.18308396637439728,0.22161424160003662,0.8353608250617981,0.40251657366752625,0.0005708335665985942,0.00012796961527783424,78.97486877441406,101.02513885498047,0.6978276968002319,0.16201992332935333,0.1052243635058403,0.7033228874206543,0.19694793224334717,0.13465720415115356,-0.7918040156364441,0.26622191071510315,0.0004327083006501198,0.00037230970337986946,5.4906522564124316e-05,-0.00011559194535948336,0.05294739827513695,0.3990190029144287,-0.2211400419473648,-0.2373213768005371,-0.688387393951416,0.4790046215057373,0.476148649623392,0.5229605616376845,0.0006604179639042151,0.00023037077501942245,0.998132930742203,9.872823225580379e-06,4.329661789628914e-09,0.9998941078983619,0.500819740687837,0.4918797775518501,0.007013405483742678,0.00028707627657026895,9.543675978488588e-06,0.9876905910538435,0.9999979704866957,3.666914643531646e-07,1,1,85.8,2.6,83.1390401676613,0.060959832338696174,0.32125,0.4042736254632473,0.16580256819725037,-0.31148783686260384,False
B_P208_H170_s11_g80_o7,B,208.0,170.0,11,150,80,7,9,coarse,20.8,83.2,228.12872743606567,aee7b14f7f058e2749d98d9b18200872d2804ff198cf1c17629f33acbeb4fcb3,0.22822599112987518,0.2425823211669922,0.22810165584087372,0.24279829859733582,0.20898771286010742,0.1571304053068161,0.861175000667572,0.4473095238208771,0.0002818266220856458,5.889901876798831e-05,-272.1611633300781,92.16114044189453,0.7416223883628845,0.20008587837219238,0.06269574165344238,0.6700102686882019,0.1956818699836731,0.1299038529396057,-0.8423529863357544,-0.17906378209590912,-0.00012747642176691443,-0.0002513483923394233,-3.052222018595785e-05,-5.037348819314502e-05,-0.10944230854511261,0.4337144196033478,0.012081163004040718,-0.2500995397567749,-0.8009124398231506,0.1689656674861908,0.4866454143419215,0.5073744516493714,0.003538669727281926,0.002441464281425163,0.998363356666583,4.520656220464588e-06,4.092560306524242e-09,0.999929407687134,0.37444490763778604,0.603808370456153,0.020253296326848535,0.0014934255792125092,1.3895164723931044e-05,0.9652464626226511,0.999998716080058,7.104231483476513e-08,1,1,80.60000000000001,2.6,83.1390401676613,0.060959832338696174,0.305,0.36635300517082214,0.1627928614616394,-0.22984357277552286,False
B_P208_H200_s11_g80_o7,B,208.0,200.0,11,150,80,7,9,coarse,20.8,83.2,232.2379457950592,be4787a67affa16a17d5b06d2f8a940058206ff43968385ffd700ea69b7c9da7,0.18753093481063843,0.16472364962100983,0.18746158480644226,0.1647852063179016,0.33972012996673584,0.11282406747341156,0.3906249403953552,0.7429088950157166,3.321400436107069e-05,7.069709681672975e-05,265.5053405761719,85.50532531738281,0.15258784592151642,0.5519136190414429,0.7359981536865234,0.16924698650836945,0.11141401529312134,0.2788394093513489,-0.22044171392917633,0.32247990369796753,-2.6670340957934968e-05,-1.9795526895904914e-05,-4.583506233757362e-05,5.382589006330818e-05,-0.5785664319992065,-0.4660198390483856,-0.8505712747573853,-0.11192258447408676,0.30339688062667847,-0.27784404158592224,0.4311731052000645,0.5373931583800704,0.02711415563469706,0.004319580785168027,0.9838033621389211,3.871394192110492e-05,1.596828347867477e-06,0.9999883678703145,0.4051014503095767,0.5699600711481635,0.012026650301757381,0.012911828240502502,4.78223563255303e-06,0.9983303057965925,0.9999136028453045,1.4378509376015518e-08,1,1,85.8,2.6,83.1390401676613,0.060959832338696174,0.289375,0.45262257009744644,0.1951267123222351,-0.26365105057756105,False
