tag,theta_rot,phase_deg,R_cross,pixels_outside_envelope
A_P271_H200_s11_g96_o9,0,-31.60510895015739,0.5261953473091125,0.0
A_P271_H200_s11_g96_o9,15,-74.62301321092087,0.4673800468444824,6.0
A_P271_H200_s11_g96_o9,30,-107.1547739257739,0.43093281984329224,4.0
A_P271_H200_s11_g96_o9,45,-128.69708811515656,0.47351208329200745,4.0
A_P271_H200_s11_g96_o9,60,-149.84924140858058,0.5226845741271973,4.0
A_P271_H200_s11_g96_o9,75,-175.1100949972258,0.5431275963783264,6.0
A_P271_H200_s11_g96_o9,90,148.39855021000488,0.5263098478317261,0.0
A_P271_H200_s11_g96_o9,105,105.44919372775166,0.46789631247520447,6.0
A_P271_H200_s11_g96_o9,120,72.83427545975374,0.4308892488479614,4.0
A_P271_H200_s11_g96_o9,135,51.315419555075486,0.47339463233947754,4.0
A_P271_H200_s11_g96_o9,150,30.168231809178053,0.5227180123329163,4.0
A_P271_H200_s11_g96_o9,165,4.902483109332072,0.5429412722587585,6.0
A_P271_H200_s11_g96_o9,180,-31.60510895015739,0.5261953473091125,0.0
A_P271_H200_s11_g96_o9,-1,-1.9586507875408727,7.400105535600841,0.4308892488479614
A_P271_H185_s11_g96_o9,0,-58.128420554041895,0.5261270999908447,0.0
A_P271_H185_s11_g96_o9,15,-96.12752913343668,0.46916744112968445,10.0
A_P271_H185_s11_g96_o9,30,-127.40985700379761,0.4395587742328644,6.0
A_P271_H185_s11_g96_o9,45,-153.89507664268095,0.4714789390563965,0.0
A_P271_H185_s11_g96_o9,60,-176.61240876554842,0.5189456343650818,6.0
A_P271_H185_s11_g96_o9,75,157.0414579253607,0.5429191589355469,10.0
A_P271_H185_s11_g96_o9,90,121.93674445959635,0.5265843868255615,0.0
A_P271_H185_s11_g96_o9,105,83.87826787593582,0.46903279423713684,10.0
A_P271_H185_s11_g96_o9,120,52.57855034394804,0.4398537874221802,6.0
A_P271_H185_s11_g96_o9,135,26.091933931379426,0.4710690379142761,0.0
A_P271_H185_s11_g96_o9,150,3.3850752632739347,0.5189816951751709,6.0
A_P271_H185_s11_g96_o9,165,-22.946776960108416,0.5431955456733704,10.0
A_P271_H185_s11_g96_o9,180,-58.128420554041895,0.5261270999908447,0.0
A_P271_H185_s11_g96_o9,-1,-1.9727973443858318,4.9054416755178725,0.4395587742328644
A_P262_H185_s11_g96_o9,0,-63.29057507589999,0.4908086657524109,0.0
A_P262_H185_s11_g96_o9,15,-100.79191995915176,0.4387112259864807,10.0
A_P262_H185_s11_g96_o9,30,-131.49588107097435,0.41670602560043335,6.0
A_P262_H185_s11_g96_o9,45,-160.09030410669266,0.44255170226097107,0.0
A_P262_H185_s11_g96_o9,60,177.93221987924832,0.4915911853313446,6.0
A_P262_H185_s11_g96_o9,75,151.24179403694112,0.5140060782432556,10.0
A_P262_H185_s11_g96_o9,90,116.7005575173245,0.49187931418418884,0.0
A_P262_H185_s11_g96_o9,105,79.19764169056363,0.4376879036426544,10.0
A_P262_H185_s11_g96_o9,120,48.524184203574315,0.4167824685573578,6.0
A_P262_H185_s11_g96_o9,135,19.88385546644436,0.44265034794807434,0.0
A_P262_H185_s11_g96_o9,150,-2.018070744060416,0.4915878474712372,6.0
A_P262_H185_s11_g96_o9,165,-28.745534140915662,0.5127577185630798,10.0
A_P262_H185_s11_g96_o9,180,-63.29057507589999,0.4908086657524109,0.0
A_P262_H185_s11_g96_o9,-1,-1.9753826280510902,4.5842347288963,0.41670602560043335
B_P271_H215_s11_g96_o9,0,4.115725998556175,0.5048607587814331,0.0
B_P271_H215_s11_g96_o9,15,-40.05940099158329,0.43753576278686523,10.0
B_P271_H215_s11_g96_o9,30,-74.94024817711129,0.4011255204677582,6.0
B_P271_H215_s11_g96_o9,45,-99.17451750331439,0.4320128858089447,4.0
B_P271_H215_s11_g96_o9,60,-115.13302910280657,0.49020594358444214,6.0
B_P271_H215_s11_g96_o9,75,-137.53159629710956,0.5216361880302429,10.0
B_P271_H215_s11_g96_o9,90,-175.9143907531298,0.5049274563789368,0.0
B_P271_H215_s11_g96_o9,105,139.9302084694563,0.4372946619987488,10.0
B_P271_H215_s11_g96_o9,120,105.08155196548657,0.40097883343696594,6.0
B_P271_H215_s11_g96_o9,135,80.82116399589732,0.43216851353645325,4.0
B_P271_H215_s11_g96_o9,150,64.89372292693953,0.49005240201950073,6.0
B_P271_H215_s11_g96_o9,165,42.42626302957322,0.5209774971008301,10.0
B_P271_H215_s11_g96_o9,180,4.115725998556175,0.5048607587814331,0.0
B_P271_H215_s11_g96_o9,-1,-1.9525120088194963,9.187759231063854,0.40097883343696594
B_P271_H230_s11_g96_o9,0,16.626611675798856,0.42501479387283325,0.0
B_P271_H230_s11_g96_o9,15,-29.58735837121432,0.3530391752719879,10.0
B_P271_H230_s11_g96_o9,30,-64.60546845339748,0.3265322148799896,6.0
B_P271_H230_s11_g96_o9,45,-82.45452177363583,0.35933586955070496,0.0
B_P271_H230_s11_g96_o9,60,-100.758062711436,0.4317813813686371,6.0
B_P271_H230_s11_g96_o9,75,-121.69536557432811,0.45283597707748413,10.0
B_P271_H230_s11_g96_o9,90,-163.45369415968202,0.4250934422016144,0.0
B_P271_H230_s11_g96_o9,105,150.41221292072973,0.3523592948913574,10.0
B_P271_H230_s11_g96_o9,120,115.37011862927606,0.32687848806381226,6.0
B_P271_H230_s11_g96_o9,135,97.58615701182794,0.35927340388298035,0.0
B_P271_H230_s11_g96_o9,150,79.2315399194144,0.43147560954093933,6.0
B_P271_H230_s11_g96_o9,165,58.416231065287896,0.4521767497062683,10.0
B_P271_H230_s11_g96_o9,180,16.626611675798856,0.42501479387283325,0.0
B_P271_H230_s11_g96_o9,-1,-1.941446169155079,10.45836423466045,0.3265322148799896
B_P262_H215_s11_g96_o9,0,-27.237459108028112,0.4564717411994934,0.0
B_P262_H215_s11_g96_o9,15,-68.85421494736059,0.3930370509624481,4.0
B_P262_H215_s11_g96_o9,30,-100.85637645434916,0.3704318702220917,2.0
B_P262_H215_s11_g96_o9,45,-123.40431988580032,0.408123642206192,0.0
B_P262_H215_s11_g96_o9,60,-143.95558045680332,0.45840218663215637,2.0
B_P262_H215_s11_g96_o9,75,-169.61994796123452,0.48523715138435364,4.0
B_P262_H215_s11_g96_o9,90,152.7610466744054,0.45865491032600403,0.0
B_P262_H215_s11_g96_o9,105,111.17009870485182,0.39332354068756104,4.0
B_P262_H215_s11_g96_o9,120,79.14508338490039,0.37067168951034546,2.0
B_P262_H215_s11_g96_o9,135,56.56381204539415,0.4081327021121979,0.0
B_P262_H215_s11_g96_o9,150,36.04941059024714,0.45833519101142883,2.0
B_P262_H215_s11_g96_o9,165,10.411216370715417,0.48568880558013916,4.0
B_P262_H215_s11_g96_o9,180,-27.237459108028112,0.4564717411994934,0.0
B_P262_H215_s11_g96_o9,-1,-1.9593970421568332,7.115118102478946,0.3704318702220917
