tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,min_air_gap_internal_nm,n_internal_air_holes,fab_ok2
A_P262_H185_s11_g96_o9,A,262.0,185.0,11,70,96,9,9,refinement,26.200000000000003,104.8,2054.907476663589,19d82770019426fc7c4e5eae59ab58e6255f5e168c765f3dbcb24e2c8e1ef673,0.4908831715583801,0.1133513897657394,0.4905827045440674,0.113450288772583,0.0591276586055755,0.0325852334499359,0.8066734671592712,0.7466897368431091,2.1033412849646996e-05,0.0002924142463598,-231.21136474609372,51.21137619018555,0.6507221460342407,0.55754554271698,0.0057600825093686,0.1776345670223236,0.3435177803039551,0.2648198902606964,0.0298000574111938,-0.8061228394508362,-1.5886495020822622e-05,1.3784910152025986e-05,0.000113521462481,0.0002694790600799,-0.598899245262146,0.4459430873394012,0.0381949096918106,0.0655825808644294,-0.3807038366794586,-0.1808290630578994,0.568148391245478,0.2899766517947261,0.1257542057371989,0.016120751222597,0.9997646231245102,4.218663554468501e-08,1.6251071211497816e-07,0.9996473376232188,0.2864754057453431,0.7091153537917989,0.0017444804797518,0.0026647599831061,8.591090328145228e-06,0.954918126798264,0.9999794807274156,5.617762136096278e-09,1,1,95.52083333333331,8.1875,104.6556242931098,0.1443757068901874,0.2673611111111111,,,
A_P253_H200_s11_g96_o9,A,253.0,200.0,11,70,96,9,9,refinement,25.3,101.2,2074.3586893081665,664efb0eb153afd221a3fe7527fb1bf86610ae31efed6611269aa64df93b97a1,0.4376662075519562,0.0966163054108619,0.4379224777221679,0.0966435596346855,0.1059063747525215,0.0401767268776893,0.7700653672218323,0.6898172497749329,9.015529212774708e-05,0.0001943312527146,-230.04042053222656,50.040409088134766,0.5930007100105286,0.475847840309143,0.0155584039166569,0.2764938473701477,0.3914408981800079,0.2476583123207092,0.1538275480270385,-0.754544734954834,-7.54261200199835e-05,4.938499114359729e-05,-0.0001943180541275,-2.265471266582608e-06,-0.6065864562988281,0.3284824192523956,0.0907398760318756,0.0855836346745491,-0.394902616739273,-0.347197026014328,0.4858880072560696,0.3481436864030366,0.1456804433440458,0.0202878629968478,0.9998395557675792,1.7929110185017865e-07,2.3640941545023598e-07,0.9998567351383036,0.2633398050714103,0.7218118854265556,0.0076702383227941,0.00717807117924,2.217263735265484e-05,0.9456843415617548,0.999984910534468,1.7391887533489553e-07,1,1,102.78125,2.6354166666666665,101.06058376395715,0.1394162360428339,0.2690972222222222,,,
A_P271_H185_s11_g96_o9,A,271.0,185.0,11,70,96,9,9,refinement,27.1,108.4,3001.6460947990417,954e6638dc195daadbbcd1f1b648948a7a74a360a9ad67c5f5e426d606b8cd53,0.5259636044502258,0.0807667151093483,0.5260211825370789,0.0806907936930656,0.0388466417789459,0.0416140221059322,0.8012412190437317,0.7559463381767273,1.010223331832094e-05,0.0001340966846328,-222.6819610595703,42.68194580078125,0.6419875025749207,0.5714548826217651,0.0038774467539042,0.1570454537868499,0.3541350364685058,0.2714996635913849,0.1556063592433929,-0.7859861254692078,-4.1596531445975415e-06,9.206107279169372e-06,3.261168603785336e-05,-0.0001300707517657,-0.6106441617012024,0.445610374212265,-0.0313610695302486,0.0537950657308101,-0.3622146546840668,-0.1607669442892074,0.5799781117379595,0.2394395654199549,0.1659522135839584,0.0146301092581271,0.9999526309229172,3.327758199825003e-07,2.914012466670636e-07,0.9995460503786748,0.2637648695654583,0.731159612202505,0.0020661631522281,0.0030093550798086,1.213863102403404e-05,0.9405254580607908,0.9999786799212445,8.105463635574452e-09,1,1,98.80208333333331,8.46875,108.25066482226244,0.1493351777375693,0.2582465277777778,,,
A_P271_H200_s11_g96_o9,A,271.0,200.0,11,70,96,9,9,refinement,27.1,108.4,2990.193175792694,290779db129e1571510a531d7143919e44671ddc17c284c35314378a3ee1c9eb,0.526213526725769,0.0646221339702606,0.5261343121528625,0.0645972266793251,0.0212386455386877,0.0331587828695774,0.7529293298721313,0.7840055227279663,1.5387717212433927e-05,6.114569259807467e-05,-218.5638732910156,38.56388854980469,0.5669025778770447,0.6146646738052368,0.0067328698933124,0.1021184921264648,0.426364541053772,0.2832168340682983,0.4707577228546142,-0.587613582611084,-8.265032192866784e-06,1.2979641724086832e-05,5.745400267187506e-05,2.0924460841342807e-05,-0.7647139430046082,0.1728504300117492,-0.0808563530445098,0.0139652648940682,-0.1926278918981552,-0.2549764513969421,0.4996691646531749,0.2246020731426913,0.2564001322347544,0.0193286299693793,0.9999626100196364,4.8571208625590535e-08,4.871963080932516e-08,0.999703768935508,0.258257280391862,0.7309000094517185,0.0023255662410817,0.0085171439153378,1.87827671079247e-05,0.9398572921833934,0.9999754821539416,2.593393341599792e-08,1,1,110.09375,2.8229166666666665,108.25066482226244,0.1493351777375693,0.2578125,,,
A_P235_H170_s11_g96_o9,A,235.0,170.0,11,70,96,9,9,refinement,23.5,94.0,2204.6929597854614,83eb16cb8881a7269c3ab824ba4d7ff007f0ce461587e707e79d676902742ad3,0.3467392921447754,0.2222979515790939,0.3466235399246216,0.2223559617996215,0.1185791045427322,0.1134723722934722,0.8916618227958679,0.5856244564056396,1.256444102182286e-05,0.0001338210277026,-256.222900390625,76.2229232788086,0.7950608134269714,0.342956006526947,0.0007950130966491,0.4633412063121795,0.2041441798210144,0.1937027871608734,-0.7208577990531921,-0.5248093008995056,1.2189737390144728e-05,-3.0455678370344685e-06,0.0001213038194691,5.651063111145049e-05,-0.2220183908939361,0.5419076085090637,0.0057601169683039,-0.0276010017842054,-0.6791176199913025,0.0462656244635582,0.5671734994558153,0.4040316046958284,0.0249296338650557,0.0038652619833005,0.99926048026268,1.457568349898982e-06,1.8666944335518667e-08,0.9998569996787906,0.3241696891391503,0.6662856181948207,0.0083427598271646,0.0012019328388644,3.961299655057443e-06,0.9666465287280384,0.9999951601204032,2.0843473902360827e-08,1,1,85.67708333333333,2.4479166666666665,93.67879964095474,0.3212003590452639,0.2825520833333333,,,
A_P235_H185_s11_g96_o9,A,235.0,185.0,11,70,96,9,9,refinement,23.5,94.0,2212.8720767498016,770896ced99384d5ce919bc25ba49c4c3bb55c8a7f8bb61c176426112b58e312,0.3589390814304352,0.1727625578641891,0.3589244484901428,0.1728240698575973,0.1579626649618148,0.0602870695292949,0.8246132731437683,0.6192439794540405,5.633095497614704e-05,3.1412102543981746e-05,-248.62181091308597,68.6218032836914,0.6799870729446411,0.3834631145000458,0.028823422268033,0.4077231585979461,0.2911894917488098,0.2088136970996856,-0.416212260723114,-0.7118668556213379,-5.034349669585936e-06,-5.610554217128083e-05,1.6390247765230015e-05,2.6797013561008495e-05,-0.3838620185852051,0.4859146773815155,0.1665311753749847,-0.0330269820988178,-0.61841881275177,-0.1590010672807693,0.5295966056631175,0.4099869548215778,0.0478937167956394,0.0125227227196654,0.9993158538469736,1.248308779943752e-06,7.518023829668396e-08,0.9998616173879076,0.2938587093642316,0.6935321430488215,0.0097394585268406,0.0028696890601062,6.014405683709499e-06,0.9584424592019388,0.9999953355298622,1.2555815254867961e-08,1,1,90.57291666666666,2.4479166666666665,93.67879964095474,0.3212003590452639,0.2834201388888889,,,
A_P253_H155_s11_g96_o9,A,253.0,155.0,11,70,96,9,9,refinement,25.3,101.2,3425.92636346817,99ddb15967f07a779f733958e331d5342812adfbc3cb0ed7051326543c4f6fed,0.3846920132637024,0.2100551724433899,0.3852564990520477,0.2101551294326782,0.0700904056429863,0.1394108682870865,0.9036788940429688,0.6111653447151184,1.4143213775241747e-05,0.000462230440462,-251.5412750244141,71.54129791259766,0.81663578748703,0.373523086309433,0.015917595475912,0.4030390083789825,0.1674466133117675,0.223437875509262,-0.7683809399604797,-0.4756324589252472,9.59700992098078e-06,1.038883510773303e-05,-0.0004267680924385,0.0001775555720087,-0.1405884027481079,0.5947755575180054,-0.0871300175786018,0.0912454351782798,-0.6090670228004456,0.1790987104177475,0.6517976637236006,0.3206758740184703,0.0263529700543814,0.0011734922035475,0.9996331205376954,1.3580671591449258e-06,2.2676521003851692e-08,0.9998562639972144,0.263683773237906,0.7204242652635107,0.0151577074835386,0.0007342540150446,4.420430523006099e-06,0.9297787363292144,0.9999934996497142,6.882625911414778e-08,1,1,86.96875,2.6354166666666665,100.8541970602619,0.3458029397381068,0.2708333333333333,,,
A_P244_H185_s11_g96_o9,A,244.0,185.0,11,70,96,9,9,refinement,24.4,97.6,3479.363352537155,3da6a2882e37fe9df796e69bd0fd2a9911337db55c018301b43ae1cb90caed91,0.4050058424472809,0.1446432620286941,0.4051497876644134,0.1447185575962066,0.1320492178201675,0.0486445240676403,0.817231297492981,0.6570010781288147,6.153230060590431e-06,0.0001396489096805,-240.98876953125,60.98876190185547,0.6678670048713684,0.4316504299640655,0.0209515318274498,0.3403925001621246,0.3111814558506012,0.2279570996761322,-0.2757459282875061,-0.7693056464195251,2.827293428708799e-06,5.465221875056159e-06,-0.0001251774374395,6.190659041749313e-05,-0.4333575069904327,0.4938133955001831,0.1436000019311905,0.018181212246418,-0.5595204830169678,-0.1653158813714981,0.5505850299041476,0.3687920085221604,0.0663495422835052,0.0142734192901867,0.9994560148910988,5.909169778767772e-07,1.9141159812310247e-07,0.9998283136501152,0.2793070631253845,0.7102206154565971,0.0077146045180655,0.0027577168999527,5.3646637368059775e-06,0.950674030025838,0.9999918516085514,1.8662872701710693e-08,1,1,94.04166666666666,2.5416666666666665,97.26649835060832,0.3335016493916782,0.2760416666666667,,,
A_P253_H170_s11_g96_o9,A,253.0,170.0,11,70,96,9,9,refinement,25.3,101.2,2306.9526965618134,2db80a0ac9062e561e39379e946c1a8cec6bc9c084369e080e96e0243e63de97,0.4204537868499756,0.1810946464538574,0.4206191599369049,0.1811865270137787,0.07169109582901,0.1034138426184654,0.8829625844955444,0.6509464979171753,2.5101831852225587e-05,0.000161960357218,-245.38531494140625,65.38533020019531,0.7796229124069214,0.4237313568592071,0.0048322123475372,0.3454070091247558,0.2155448794364929,0.2308616638183593,-0.5433863401412964,-0.6959555745124817,1.1926269507966936e-05,2.2087690012995157e-05,-0.0001158935774583,0.0001131363605963,-0.2995999157428741,0.5779024362564087,-0.0534473247826099,0.0444472655653953,-0.5876353979110718,0.0095716323703527,0.6478616236175203,0.3027777593316091,0.0450261467602427,0.0043344702906276,0.9996337445335032,5.778928659950333e-07,1.1661835826403223e-07,0.9998317362581972,0.2511673106748833,0.7339616160768593,0.0134592654084277,0.0014118078398298,5.984874453402666e-06,0.924925429504716,0.9999923437274596,3.568775657089784e-08,1,1,86.96875,2.6354166666666665,100.8541970602619,0.3458029397381068,0.2682291666666667,,,
A_P271_H200_s47_g96_o9,A,271.0,200.0,47,70,96,9,9,refinement,27.1,108.4,1608.809353351593,b2e1b3f49f93c775ec2b5562b6bcf9314e3c8986e29992e78e45295d8d22929b,0.3796838819980621,0.0480329766869545,0.3796206414699554,0.0479753203690052,0.1193529069423675,0.0571098513901233,0.7975849509239197,0.4681571125984192,0.000263422349235,8.3214181358926e-06,207.3525238037109,27.35251808166504,0.6361417770385742,0.2191711515188217,0.0246433317661285,0.3289569318294525,0.3392148911952972,0.4518719017505646,-0.7937197089195251,0.0784266889095306,-0.0002625352935865,2.1599786123260856e-05,7.628575986018404e-06,-3.324277713545598e-06,0.3926494121551513,-0.2549461126327514,-0.1323441863059997,-0.0844295397400856,0.1119583398103714,0.5625138878822327,0.3092323145522596,0.684453218906134,0.0016175561391538,0.0046969104024526,0.948836122454922,5.318123534379572e-06,2.3130143224956885e-07,0.9999704372721784,0.2908453577091375,0.4106619265176848,0.2250688253058982,0.0734238904672793,3.705131753041716e-06,0.9971458463784248,0.9998781996627956,1.9989082026134174e-06,1,1,98.80208333333331,2.8229166666666665,106.31945161681702,2.080548383182986,0.2443576388888889,,,
