tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,min_air_gap_internal_nm,n_internal_air_holes,fab_ok2
B_P235_H185_s11_g96_o9,B,235.0,185.0,11,90,96,9,9,refinement,23.5,94.0,503.644031047821,c93b3dc9a67b1ea98750ed2085d01a160b38d0d2252793de39b3ea4eb722ca44,0.3598248064517975,0.1720537096261978,0.3596804440021515,0.1720080822706222,0.1588246673345565,0.0612088628113269,0.8252108693122864,0.6185418963432312,1.9944167434005067e-05,0.0001108375290641,-248.421630859375,68.4216537475586,0.6809729933738708,0.3825940787792206,0.0287396106868982,0.4114008843898773,0.2902874052524566,0.2060050070285797,-0.4148626327514648,-0.7133456468582153,1.696952313068323e-05,-1.047879322868539e-05,0.0001019686169456,-4.344375338405371e-05,-0.3828549683094024,0.4858149588108063,0.1661030948162078,-0.0339018478989601,-0.621106743812561,-0.1600852012634277,0.5302445981808631,0.4098327090492747,0.0477455345413748,0.0121771582284872,0.9993806849890692,1.1396187454284322e-06,5.98252199015133e-08,0.999881901034923,0.2832159763480749,0.7022881909190408,0.0114113812403811,0.0030844514925031,5.899080472153521e-06,0.9535897751672852,0.99999361103156,7.986747353396126e-09,1,1,90.57291666666666,2.4479166666666665,93.67879964095474,0.3212003590452639,0.2842881944444444,,,
B_P235_H200_s11_g96_o9,B,235.0,200.0,11,90,96,9,9,refinement,23.5,94.0,516.7132816314697,6c5b3e9df1677794843005c20c82997cea0a4b18d776c2663e6b3a9b14e49d51,0.3326989114284515,0.142024353146553,0.3326886594295501,0.14207424223423,0.1962479054927826,0.0466591939330101,0.7611350417137146,0.6084075570106506,5.134543607709929e-05,2.0890725863864645e-05,-245.6890869140625,65.6890869140625,0.5793265700340271,0.3701597452163696,0.0672730728983879,0.4185216426849365,0.3534003496170044,0.2113186120986938,-0.1772894263267517,-0.7401993274688721,1.358391727990238e-05,-4.9515965656610206e-05,3.451214070082642e-06,2.0603678422048688e-05,-0.4808637797832489,0.3727328777313232,0.2583264410495758,0.0232492014765739,-0.5482164025306702,-0.3434827327728271,0.4444727141253412,0.4582205296599972,0.0771936530786698,0.0201131031359919,0.9993435430397164,9.490390509928928e-07,1.6284213675814105e-08,0.9999226014596988,0.2790652660478877,0.7025769982679088,0.0117348564029979,0.0066228792812054,1.0744449538025342e-05,0.9561093112931968,0.999992056402629,2.0427032009828545e-08,1,2,85.67708333333333,2.4479166666666665,93.87050270565192,0.1294972943480843,0.2821180555555556,,,
B_P235_H215_s11_g96_o9,B,235.0,215.0,11,90,96,9,9,refinement,23.5,94.0,548.4080281257629,1de08bb9fce3e9b261759accf67c65a430c79b350457bfe7fd21e9447aa3db85,0.2919807136058807,0.1254632174968719,0.292003333568573,0.125622808933258,0.2232411205768585,0.0622545070946216,0.7343161702156067,0.5439208745956421,5.04219533468131e-05,0.0002519077388569,-245.3712158203125,65.3712387084961,0.5392202734947205,0.2958499193191528,0.0760806053876876,0.4948696196079254,0.3846991062164306,0.2092804610729217,-0.0652952492237091,-0.7314074039459229,-4.032647120766342e-05,-3.0267954571172595e-05,-6.856376421637833e-05,0.0002423974510747,-0.4723244607448578,0.2697396874427795,0.272599995136261,0.0420683808624744,-0.5170885920524597,-0.4769580662250519,0.353531313869216,0.5083765648055842,0.1148815119904741,0.0232106093347254,0.9994386368618028,1.0411651652405337e-06,7.37167891412652e-08,0.9999437206279328,0.2784044313976412,0.6968771393906737,0.0127611612433335,0.0119572679683515,1.7646578494884605e-05,0.9603937776161564,0.9999923243729516,2.2743982725578938e-07,1,2,80.78125,2.4479166666666665,93.87050270565192,0.1294972943480843,0.2730034722222222,,,
B_P244_H185_s11_g96_o9,B,244.0,185.0,11,90,96,9,9,refinement,24.4,97.6,485.46871399879456,5f565f0d220f86f79f901cf4e6793e460a0157d928d4a680ead36ce712c2632e,0.4060586392879486,0.1510282456874847,0.4061760902404785,0.1510866731405258,0.1261875480413437,0.0442244112491607,0.8153163194656372,0.6705288887023926,6.905363534315256e-06,0.0001123712863773,-242.18939208984372,62.18939971923828,0.6647406816482544,0.4496089816093445,0.0218590423464775,0.3189334273338318,0.3134002685546875,0.2314575910568237,-0.2602318525314331,-0.7726707458496094,6.860099801997421e-06,7.893518159107771e-07,-0.0001061855364241,3.676870983326808e-05,-0.4622073471546173,0.4857708811759949,0.1464877724647522,0.0200082547962665,-0.5339601635932922,-0.1839021295309066,0.5453585846474507,0.3671432895983429,0.073241431311035,0.0142566944431713,0.9995468710232616,6.551278998744094e-07,1.145024479358473e-07,0.9998135794952808,0.2780292280717644,0.711861176250844,0.0070768184880335,0.003032777189358,8.274891279928282e-06,0.9513004476811572,0.999992649783429,3.303620957619125e-09,1,1,88.95833333333333,2.5416666666666665,97.46554323480454,0.134456765195452,0.2790798611111111,,,
B_P244_H200_s11_g96_o9,B,244.0,200.0,11,90,96,9,9,refinement,24.4,97.6,506.0545907020569,95bc24e50642473f31f45febf02304eab96eae6ea8567f56d91744e0be253f1b,0.3878808617591858,0.1199227273464202,0.3875404000282287,0.1197401583194732,0.1506941318511963,0.0287416204810142,0.7506810426712036,0.6719837188720703,0.0001132406396209,0.0002605482877697,-237.9244537353516,57.92446517944336,0.5635221004486084,0.4515621066093445,0.0520948208868503,0.3069855868816376,0.3843830823898315,0.2414523065090179,0.0191026628017425,-0.7504379749298096,7.142067261156626e-06,0.0001130151940742,0.0002588491188362,-2.970770583488047e-05,-0.5783008337020874,0.3422430157661438,0.2080046832561493,0.0939618572592735,-0.4280101954936981,-0.3518421053886413,0.4488761937996011,0.4129562886047507,0.114420707957375,0.023746809638273,0.9995493497926212,1.0607556540164876e-06,1.084977775867218e-07,0.999889650476208,0.2690592851965506,0.7178831036665968,0.0064832080039998,0.0065744031328525,1.107542015689615e-05,0.9534801164662796,0.9999878210376942,3.4440917914017193e-08,1,2,88.95833333333333,2.5416666666666665,97.46554323480454,0.134456765195452,0.2777777777777778,,,
B_P244_H215_s11_g96_o9,B,244.0,215.0,11,90,96,9,9,refinement,24.4,97.6,532.1474993228912,f5f7b307fba060cc921b09eb9770706acb121889ea0b75bb33836545db61ff7b,0.3586355447769165,0.1109772473573684,0.3585380315780639,0.1110662594437599,0.1524805724620819,0.0412409305572509,0.7318900227546692,0.6352591514587402,1.1579002602957187e-05,0.0001585035934112,-237.82774353027344,57.82775115966797,0.5356630086898804,0.4035542011260986,0.0442131385207176,0.343259185552597,0.4201238453388214,0.2531866133213043,0.1659498661756515,-0.7128279209136963,8.757406249060296e-06,-7.575034032925032e-06,-2.6586989406496286e-05,0.0001562578690936,-0.6004071235656738,0.2075221687555313,0.1821974962949752,0.1049628555774688,-0.3327101171016693,-0.4822480380535126,0.3611672442664873,0.4524981505244006,0.1590510621385007,0.0272835430706112,0.9996062674766968,6.642386317877799e-07,3.3132817941426445e-08,0.9999291291564678,0.2605044994765181,0.7204126028456792,0.0065787497171561,0.0125041479606464,1.051005520428383e-05,0.9555037490698634,0.999991327238942,3.418354583318689e-08,1,2,83.875,22.875,97.46554323480454,0.134456765195452,0.2712673611111111,,,
B_P253_H185_s11_g96_o9,B,253.0,185.0,11,90,96,9,9,refinement,25.3,101.2,504.8846814632416,d85c1af6eaa69678d2fd89396c2059585ca1c01ae7d24b3bc8ae88184b983753,0.4512937068939209,0.1241428107023239,0.4513987898826599,0.1241972520947456,0.0972561761736869,0.0372699946165084,0.8083871603012085,0.7053670883178711,5.781804702564841e-06,0.0001066737095243,-234.9856109619141,54.985626220703125,0.6534898281097412,0.4975427389144897,0.0143228489905595,0.2547144591808319,0.3321873247623443,0.2477428019046783,-0.1117464303970336,-0.8006263375282288,1.7423178633180214e-06,5.513038559001871e-06,-9.841632709139958e-05,4.115224874112755e-05,-0.5162081122398376,0.4806993901729584,0.1059452518820762,0.0556636750698089,-0.47129026055336,-0.1805546134710312,0.5552412814514249,0.3298059156561297,0.0990351034701904,0.0159176994222549,0.9996456913115844,4.932453923530675e-07,1.1128759734106249e-07,0.9997276693051884,0.281214494537052,0.7123522405334757,0.0036662285440105,0.0027670363854619,7.314213759793424e-06,0.9528077431650755,0.9999883817479148,4.049804055650458e-09,1,1,92.23958333333331,2.6354166666666665,101.06058376395715,0.1394162360428339,0.2721354166666667,,,
B_P253_H200_s11_g96_o9,B,253.0,200.0,11,90,96,9,9,refinement,25.3,101.2,507.3778691291809,6d4d6f9aea81b6eaddcee9ec5bae8f46ee22d5ccd1b6c06ffe59b7ddd7051c79,0.4419440329074859,0.0945070460438728,0.4413654804229736,0.0943754538893699,0.1069426983594894,0.0248169898986816,0.7523144483566284,0.7114878296852112,3.969865429098718e-05,0.0004661864950321,-229.5579376220703,49.55792617797852,0.5659772753715515,0.5062149167060852,0.0287887901067733,0.2348745614290237,0.4052339196205139,0.2589105367660522,0.1851448118686676,-0.7291765213012695,3.823239603661932e-05,-1.0689571354305372e-05,0.00045857715304,8.388583228224888e-05,-0.638414740562439,0.3140725791454315,0.1256894618272781,0.1139763370156288,-0.3555933833122253,-0.3292838931083679,0.4537940810118998,0.3661327458804332,0.1547860821719523,0.0252870909357146,0.9996697025698512,9.37648369564122e-07,7.692798418873642e-07,0.9998373902620964,0.271422863951162,0.71916014623348,0.003183044081948,0.0062339457334098,7.853620365030838e-06,0.9539340618426686,0.9999812591582934,9.343504429959865e-09,1,2,92.23958333333331,13.177083333333332,101.06058376395715,0.1394162360428339,0.2708333333333333,,,
B_P253_H215_s11_g96_o9,B,253.0,215.0,11,90,96,9,9,refinement,25.3,101.2,515.978752374649,10b6ece57bc2539739931480973815ed22b617ff1c8276670ed1cd060a739b5d,0.428814172744751,0.0746898055076599,0.4281145334243774,0.074957750737667,0.1034538149833679,0.0213984511792659,0.7123275399208069,0.7065162658691406,3.429502612561919e-05,0.0007570321322418,-225.35723876953125,45.35724639892578,0.5074111223220825,0.4991652369499206,0.0312216505408287,0.2181890606880188,0.4613672196865082,0.2826457023620605,0.413007915019989,-0.5803748369216919,-3.1956733437255025e-05,1.2446526852727402e-05,-0.0001629299804335,0.000739291193895,-0.6974155306816101,0.113034576177597,0.0955555140972137,0.1486262828111648,-0.1955954283475875,-0.4241833090782165,0.3582206182231481,0.3840844698933776,0.2238959992739174,0.0337989126095568,0.9998003836517104,5.297026059440297e-07,1.8425161261631827e-07,0.999891698856924,0.2535509074298606,0.7317298568569541,0.0017204190280682,0.012998816685117,8.223933503882182e-06,0.9543124167267488,0.999990747014455,1.6444480624895188e-08,1,2,81.69791666666666,28.98958333333333,101.06058376395715,0.1394162360428339,0.2677951388888889,,,
B_P253_H230_s11_g96_o9,B,253.0,230.0,11,90,96,9,9,refinement,25.3,101.2,546.7805058956146,d2d8d17ef8b6080cd8743af37b8733d441cc691fd47946b38052cb9af964a885,0.361761063337326,0.0364808514714241,0.3620717227458954,0.0365533344447612,0.1295729130506515,0.0916735306382179,0.7156686782836914,0.5335591435432434,7.188775634858757e-05,0.0002846612478606,-211.5524139404297,31.552396774291992,0.5121816992759705,0.2846853733062744,0.0035413871519267,0.438859224319458,0.4842769205570221,0.2764554023742676,0.5210753679275513,-0.4905732274055481,-7.167651347117499e-05,5.507026799023151e-06,-0.0002617329591885,-0.0001119280350394,-0.5224343538284302,0.1083867996931076,0.0060724765062332,0.059198223054409,-0.2536173462867737,-0.6119946837425232,0.3404310797146758,0.3762995090531299,0.2527762274728844,0.0304931837593098,0.9999268086381548,1.5629258654631022e-06,6.239515840943486e-07,0.999902256859012,0.2673437225543647,0.7023353953740865,0.0093696464070024,0.0209512356645464,2.7782410501593105e-05,0.9514084204443172,0.9999830982363838,5.079162118728069e-07,1,1,102.78125,2.6354166666666665,100.7853075733574,0.4146924266426168,0.2521701388888889,,,
