tag,pol,model,t_re,t_im,T_model
A_P271_H200_s11_g96_o9,x,bg_only,-0.3956258296966553,0.899380087852478,0.9654043395486979
A_P271_H200_s11_g96_o9,x,bg+ED,-0.07001471902844858,0.31116578228672576,0.10172620494674262
A_P271_H200_s11_g96_o9,x,bg+MD,0.024401357558772596,1.1531667500583334,1.3303889796908097
A_P271_H200_s11_g96_o9,x,bg+EQ,-0.9280654091760805,0.46668853249257686,1.0791035900692407
A_P271_H200_s11_g96_o9,x,bg+ED+MD,0.3500124682269793,0.5649524444925811,0.4416799924524852
A_P271_H200_s11_g96_o9,x,bg+ED+EQ,-0.6024542985078738,-0.12152577307317541,0.37771969531164723
A_P271_H200_s11_g96_o9,x,bg+MD+EQ,-0.5080382219206526,0.7204751946984322,0.7771873411080421
A_P271_H200_s11_g96_o9,x,ladder_all,-0.18242711125244593,0.13226088913267986,0.050772593714079314
A_P271_H200_s11_g96_o9,x,full,-0.08107472211122513,0.01371032651513815,0.006761083618564076
A_P271_H200_s11_g96_o9,y,bg_only,-0.3956258296966553,0.899380087852478,0.9654043395486979
A_P271_H200_s11_g96_o9,y,bg+ED,-0.600064096309306,0.47687359446722666,0.5874853447795971
A_P271_H200_s11_g96_o9,y,bg+MD,0.056884367225643606,0.2989137902042188,0.09258528520891361
A_P271_H200_s11_g96_o9,y,bg+EQ,-0.4123438238237909,0.8698061476739338,0.9265901635769948
A_P271_H200_s11_g96_o9,y,bg+ED+MD,-0.14755389938700714,-0.12359270318103255,0.03704730950390584
A_P271_H200_s11_g96_o9,y,bg+ED+EQ,-0.6167820904364416,0.4472996542886825,0.5804971278099218
A_P271_H200_s11_g96_o9,y,bg+MD+EQ,0.04016637309850797,0.2693398500256747,0.07415729233974147
A_P271_H200_s11_g96_o9,y,ladder_all,-0.16427189351414276,-0.15316664335957664,0.05044527563676159
A_P271_H200_s11_g96_o9,y,full,-0.19226491451263428,-0.25475451350212097,0.1018656595022529
B_P271_H215_s11_g96_o9,x,bg_only,-0.5246636271476746,0.8307420015335083,0.9654041947636536
B_P271_H215_s11_g96_o9,x,bg+ED,-0.14987291222601656,0.5278930679654287,0.30113298102506
B_P271_H215_s11_g96_o9,x,bg+MD,-0.2725400976930042,1.1519145599069516,1.4011852581761381
B_P271_H215_s11_g96_o9,x,bg+EQ,-0.8990257364510092,0.1073354151224778,0.8197681661407942
B_P271_H215_s11_g96_o9,x,bg+ED+MD,0.1022506172286538,0.8490656263388718,0.7313676265538614
B_P271_H215_s11_g96_o9,x,bg+ED+EQ,-0.5242350215293512,-0.19551351844560183,0.31304789369285796
B_P271_H215_s11_g96_o9,x,bg+MD+EQ,-0.6469022069963388,0.42850797349592107,0.6021015487663149
B_P271_H215_s11_g96_o9,x,ladder_all,-0.2721114920746808,0.12565903992784144,0.08983485843469595
B_P271_H215_s11_g96_o9,x,full,-0.06779168546199799,0.04345238208770752,0.0064838221268745935
B_P271_H215_s11_g96_o9,y,bg_only,-0.5246636271476746,0.8307420015335083,0.9654041947636536
B_P271_H215_s11_g96_o9,y,bg+ED,-0.577791854595168,0.3331798493108869,0.4448522392233491
B_P271_H215_s11_g96_o9,y,bg+MD,0.07051846829195418,0.3447883952624495,0.12385189187789845
B_P271_H215_s11_g96_o9,y,bg+EQ,-0.5445215227704033,0.8019280377727948,0.9395922665263239
B_P271_H215_s11_g96_o9,y,bg+ED+MD,0.017390240844460725,-0.15277375696017192,0.02364224129235403
B_P271_H215_s11_g96_o9,y,bg+ED+EQ,-0.5976497502178968,0.3043658855501734,0.4498238162222556
B_P271_H215_s11_g96_o9,y,bg+MD+EQ,0.050660572669225426,0.315974431501736,0.10240633498601912
B_P271_H215_s11_g96_o9,y,ladder_all,-0.002467654778268047,-0.18158772072088536,0.03298018963671096
B_P271_H215_s11_g96_o9,y,full,-0.001819753204472363,-0.32696473598480225,0.10690925007933662
